Tested at The Flinders University of South Australia,,,,,,
,,,,,,
Cell Name:,CP156Q_1,,,,,
Notes:,,,,,,
Cell Area (cm2):,0.1,,,,,
Temperature (C):,25,,,,,
Ideality [LnJ vs. V]: ,30.243,,,,,
Jsat [Ln J vs. V] (A/m2): ,1.79E+01,,,,,
Jsat [Ln J vs. V] (mA/cm2): ,1.79E+00,,,,,
Schottky? : ,No,,,,,
SBH [Ln J vs. V] (eV): ,0,,,,,
R-Squared [Ln J vs. V]: ,0.995,,,,,
,,,,,,
,,,,,,
,,,,,,
Voltage (V), Current (A), Current Density (mA/cm2), Power Density (mW/cm2),,,
-1.00E+00,4.29E-05,4.29E-01,-4.29E-01,,,0.655097703
-9.45E-01,5.25E-05,5.25E-01,-4.95E-01,,,0.72423822
-8.89E-01,6.10E-05,6.10E-01,-5.43E-01,,,0.78125028
-8.34E-01,5.44E-05,5.44E-01,-4.53E-01,,,0.737288275
-7.78E-01,6.10E-05,6.10E-01,-4.75E-01,,,0.78125028
-7.22E-01,7.06E-05,7.06E-01,-5.10E-01,,,0.84007083
-6.67E-01,7.53E-05,7.53E-01,-5.02E-01,,,0.867987903
-6.11E-01,8.20E-05,8.20E-01,-5.01E-01,,,0.905626855
-5.56E-01,8.77E-05,8.77E-01,-4.87E-01,,,0.936685646
-5.00E-01,9.35E-05,9.35E-01,-4.67E-01,,,0.96674764
-4.45E-01,9.44E-05,9.44E-01,-4.20E-01,,,0.971667639
-3.89E-01,1.00E-04,1.00E+00,-3.90E-01,,,1.000679769
-3.34E-01,1.01E-04,1.01E+00,-3.37E-01,,,1.005430256
-2.78E-01,1.05E-04,1.05E+00,-2.92E-01,,,1.024226537
-2.22E-01,1.08E-04,1.08E+00,-2.39E-01,,,1.038099225
-1.67E-01,1.12E-04,1.12E+00,-1.86E-01,,,1.056314347
-1.11E-01,1.13E-04,1.13E+00,-1.26E-01,,,1.065302774
-5.55E-02,1.17E-04,1.17E+00,-6.51E-02,,,1.083060478
0.00E+00,1.14E-04,1.14E+00,0.00E+00,,,1.069771004
5.55E-02,1.19E-04,1.19E+00,6.62E-02,,,1.091828741
1.11E-01,1.21E-04,1.21E+00,1.34E-01,,,1.10053169
1.67E-01,1.24E-04,1.24E+00,2.06E-01,,,1.113454085
2.22E-01,1.26E-04,1.26E+00,2.79E-01,,,1.121984848
2.78E-01,1.33E-04,1.33E+00,3.69E-01,,,1.15135138
3.34E-01,1.35E-04,1.35E+00,4.52E-01,,,1.163709586
3.89E-01,1.47E-04,1.47E+00,5.71E-01,,,1.211882833
4.45E-01,1.52E-04,1.52E+00,6.74E-01,,,1.23139758
5.00E-01,1.65E-04,1.65E+00,8.25E-01,,,1.284468762
5.56E-01,1.93E-04,1.93E+00,1.07E+00,,,1.387955331
6.11E-01,1.92E-04,1.92E+00,1.17E+00,,,1.384514355
6.67E-01,2.08E-04,2.08E+00,1.39E+00,,,1.441877249
7.22E-01,1.93E-04,1.93E+00,1.39E+00,,,1.387955331
7.78E-01,1.92E-04,1.92E+00,1.49E+00,,,1.384514355
8.34E-01,1.96E-04,1.96E+00,1.63E+00,,,1.398223873
8.89E-01,1.95E-04,1.95E+00,1.73E+00,,,1.394811815
9.45E-01,1.28E-04,1.28E+00,1.21E+00,,,1.130451237
1.00E+00,1.34E-04,1.34E+00,1.34E+00,,,1.155482583
1.06E+00,1.42E-04,1.42E+00,1.50E+00,,,1.192044462
1.11E+00,1.50E-04,1.50E+00,1.66E+00,,,1.223629846
1.17E+00,1.55E-04,1.55E+00,1.81E+00,,,1.246791883
1.22E+00,2.14E-04,2.14E+00,2.61E+00,,,1.461584756
1.28E+00,2.04E-04,2.04E+00,2.61E+00,,,1.428586714
1.33E+00,2.57E-04,2.57E+00,3.42E+00,,,1.601680368
1.39E+00,3.01E-04,3.01E+00,4.19E+00,,,1.73597523
1.44E+00,2.93E-04,2.93E+00,4.23E+00,,,1.711075685
1.50E+00,3.38E-04,3.38E+00,5.06E+00,,,1.837392174
1.56E+00,3.20E-04,3.20E+00,4.98E+00,,,1.790069831
1.61E+00,3.30E-04,3.30E+00,5.32E+00,,,1.816510391
1.67E+00,4.42E-04,4.42E+00,7.36E+00,,,2.101311495
1.72E+00,5.42E-04,5.42E+00,9.33E+00,,,2.327417023
1.78E+00,5.52E-04,5.52E+00,9.82E+00,,,2.349844676
