Tested at The Flinders University of South Australia

Cell Name:,CP156Q_3
Notes:,
Cell Area (cm2):,0.100000
Temperature (C):,25.000000
Ideality [LnJ vs. V]: ,93.943
Jsat [Ln J vs. V] (A/m2): ,2.692E+1
Jsat [Ln J vs. V] (mA/cm2): ,2.692E+0
Schottky? : ,No
SBH [Ln J vs. V] (eV): ,0.000
R-Squared [Ln J vs. V]: ,0.981



Voltage (V), Current (A), Current Density (mA/cm2), Power Density (mW/cm2)
-1.00000E+0,1.73569E-4,1.73569E+0,-1.73569E+0
-9.44500E-1,1.80244E-4,1.80244E+0,-1.70241E+0
-8.89000E-1,1.86920E-4,1.86920E+0,-1.66172E+0
-8.33500E-1,1.91689E-4,1.91688E+0,-1.59772E+0
-7.78000E-1,1.96457E-4,1.96457E+0,-1.52843E+0
-7.22000E-1,2.01225E-4,2.01225E+0,-1.45285E+0
-6.66500E-1,2.04086E-4,2.04086E+0,-1.36024E+0
-6.11000E-1,2.09808E-4,2.09808E+0,-1.28193E+0
-5.55500E-1,2.12669E-4,2.12669E+0,-1.18138E+0
-5.00000E-1,2.19345E-4,2.19345E+0,-1.09673E+0
-4.44500E-1,2.23160E-4,2.23160E+0,-9.91945E-1
-3.89000E-1,2.26974E-4,2.26974E+0,-8.82931E-1
-3.33500E-1,2.29835E-4,2.29835E+0,-7.66501E-1
-2.78000E-1,2.32696E-4,2.32696E+0,-6.46896E-1
-2.22000E-1,2.33650E-4,2.33650E+0,-5.18703E-1
-1.66500E-1,2.36511E-4,2.36511E+0,-3.93791E-1
-1.11000E-1,2.38419E-4,2.38419E+0,-2.64645E-1
-5.55000E-2,2.40326E-4,2.40326E+0,-1.33381E-1
0.00000E+0,2.39372E-4,2.39372E+0,0.00000E+0
5.55000E-2,2.39372E-4,2.39372E+0,1.32852E-1
1.11000E-1,2.42233E-4,2.42233E+0,2.68879E-1
1.66500E-1,2.42233E-4,2.42233E+0,4.03318E-1
2.22000E-1,2.45094E-4,2.45094E+0,5.44109E-1
2.78000E-1,2.47955E-4,2.47955E+0,6.89316E-1
3.33500E-1,2.47955E-4,2.47955E+0,8.26931E-1
3.89000E-1,2.48909E-4,2.48909E+0,9.68256E-1
4.44500E-1,2.52724E-4,2.52724E+0,1.12336E+0
5.00000E-1,2.55585E-4,2.55585E+0,1.27792E+0
5.55500E-1,2.58446E-4,2.58446E+0,1.43567E+0
6.11000E-1,2.62260E-4,2.62260E+0,1.60241E+0
6.66500E-1,2.66075E-4,2.66075E+0,1.77339E+0
7.22000E-1,2.72751E-4,2.72751E+0,1.96926E+0
7.78000E-1,2.85149E-4,2.85149E+0,2.21846E+0
8.33500E-1,2.90871E-4,2.90871E+0,2.42441E+0
8.89000E-1,3.09944E-4,3.09944E+0,2.75540E+0
9.44500E-1,3.43323E-4,3.43323E+0,3.24268E+0
1.00000E+0,3.79562E-4,3.79562E+0,3.79562E+0
1.05550E+0,4.24385E-4,4.24385E+0,4.47938E+0
1.11100E+0,3.72887E-4,3.72887E+0,4.14277E+0
1.16650E+0,3.91007E-4,3.91006E+0,4.56109E+0
1.22200E+0,3.89099E-4,3.89099E+0,4.75479E+0
1.27800E+0,4.16756E-4,4.16756E+0,5.32614E+0
1.33350E+0,4.85420E-4,4.85420E+0,6.47308E+0
1.38900E+0,4.99725E-4,4.99725E+0,6.94118E+0
1.44450E+0,5.71251E-4,5.71251E+0,8.25172E+0
1.50000E+0,6.05583E-4,6.05583E+0,9.08375E+0
1.55550E+0,5.11169E-4,5.11169E+0,7.95124E+0
1.61100E+0,4.73022E-4,4.73022E+0,7.62039E+0
1.66650E+0,5.04494E-4,5.04494E+0,8.40739E+0
1.72200E+0,4.81605E-4,4.81605E+0,8.29325E+0
1.77800E+0,5.32150E-4,5.32150E+0,9.46163E+0
1.83350E+0,4.97818E-4,4.97818E+0,9.12749E+0
1.88900E+0,4.94957E-4,4.94957E+0,9.34974E+0
1.94450E+0,4.93050E-4,4.93050E+0,9.58735E+0
2.00000E+0,4.79698E-4,4.79698E+0,9.59396E+0
2.05550E+0,4.56810E-4,4.56810E+0,9.38973E+0
2.11100E+0,4.63486E-4,4.63486E+0,9.78418E+0
2.16650E+0,4.55856E-4,4.55856E+0,9.87613E+0
2.22200E+0,4.18663E-4,4.18663E+0,9.30269E+0
2.27800E+0,4.05312E-4,4.05312E+0,9.23300E+0
2.33350E+0,3.68118E-4,3.68118E+0,8.59004E+0
2.38900E+0,2.65122E-4,2.65121E+0,6.33375E+0
2.44450E+0,2.61307E-4,2.61307E+0,6.38764E+0
2.50000E+0,2.54631E-4,2.54631E+0,6.36578E+0
2.55550E+0,2.56538E-4,2.56538E+0,6.55584E+0
2.61100E+0,2.64168E-4,2.64168E+0,6.89742E+0
2.66650E+0,2.55585E-4,2.55585E+0,6.81517E+0
2.72200E+0,2.55585E-4,2.55585E+0,6.95702E+0
2.77800E+0,2.54631E-4,2.54631E+0,7.07365E+0
2.83350E+0,2.48909E-4,2.48909E+0,7.05284E+0
2.88900E+0,2.46048E-4,2.46048E+0,7.10833E+0
2.94450E+0,2.48909E-4,2.48909E+0,7.32913E+0
3.00000E+0,2.52724E-4,2.52724E+0,7.58171E+0
3.05550E+0,2.56538E-4,2.56538E+0,7.83853E+0
3.11100E+0,2.51770E-4,2.51770E+0,7.83256E+0
3.16650E+0,2.51770E-4,2.51770E+0,7.97230E+0
3.22200E+0,2.49863E-4,2.49863E+0,8.05058E+0
3.27800E+0,2.59399E-4,2.59399E+0,8.50311E+0
3.33350E+0,2.59399E-4,2.59399E+0,8.64708E+0
3.38900E+0,2.65122E-4,2.65121E+0,8.98497E+0
3.44450E+0,2.67983E-4,2.67982E+0,9.23066E+0
3.50000E+0,2.72751E-4,2.72751E+0,9.54628E+0
3.55550E+0,2.70844E-4,2.70843E+0,9.62984E+0
3.61100E+0,2.93732E-4,2.93732E+0,1.06067E+1
3.66650E+0,2.71797E-4,2.71797E+0,9.96544E+0
3.72200E+0,2.70844E-4,2.70843E+0,1.00808E+1
3.77800E+0,2.65122E-4,2.65121E+0,1.00163E+1
3.83350E+0,2.72751E-4,2.72751E+0,1.04559E+1
3.88900E+0,2.71797E-4,2.71797E+0,1.05702E+1
3.94450E+0,2.71797E-4,2.71797E+0,1.07210E+1
4.00000E+0,2.93732E-4,2.93732E+0,1.17493E+1
4.05550E+0,2.93732E-4,2.93732E+0,1.19123E+1
4.11100E+0,2.97546E-4,2.97546E+0,1.22321E+1
4.16650E+0,3.00407E-4,3.00407E+0,1.25165E+1
4.22200E+0,2.88963E-4,2.88963E+0,1.22000E+1
4.27800E+0,2.90871E-4,2.90871E+0,1.24434E+1
4.33350E+0,2.91824E-4,2.91824E+0,1.26462E+1
4.38900E+0,2.93732E-4,2.93732E+0,1.28919E+1
4.44450E+0,3.10898E-4,3.10898E+0,1.38179E+1
4.50000E+0,3.21388E-4,3.21388E+0,1.44625E+1
4.55550E+0,3.16620E-4,3.16620E+0,1.44236E+1
4.61100E+0,3.10898E-4,3.10898E+0,1.43355E+1
4.66650E+0,3.30925E-4,3.30925E+0,1.54426E+1
4.72200E+0,3.33786E-4,3.33786E+0,1.57614E+1
4.77800E+0,3.40462E-4,3.40462E+0,1.62673E+1
4.83350E+0,3.49999E-4,3.49999E+0,1.69172E+1
