Tested at The Flinders University of South Australia

Cell Name:,CP156Q_2R
Notes:,
Cell Area (cm2):,0.100000
Temperature (C):,25.000000
Ideality [LnJ vs. V]: ,148.600
Jsat [Ln J vs. V] (A/m2): ,2.835E+1
Jsat [Ln J vs. V] (mA/cm2): ,2.835E+0
Schottky? : ,No
SBH [Ln J vs. V] (eV): ,0.000
R-Squared [Ln J vs. V]: ,0.966



Voltage (V), Current (A), Current Density (mA/cm2), Power Density (mW/cm2)
-1.00000E+0,2.53677E-4,2.53677E+0,-2.53677E+0
-9.44500E-1,2.18391E-4,2.18391E+0,-2.06271E+0
-8.89000E-1,2.23160E-4,2.23160E+0,-1.98389E+0
-8.33500E-1,2.27928E-4,2.27928E+0,-1.89978E+0
-7.78000E-1,2.32696E-4,2.32696E+0,-1.81038E+0
-7.22000E-1,2.34604E-4,2.34604E+0,-1.69384E+0
-6.66500E-1,2.37465E-4,2.37465E+0,-1.58270E+0
-6.11000E-1,2.42233E-4,2.42233E+0,-1.48005E+0
-5.55500E-1,2.46048E-4,2.46048E+0,-1.36680E+0
-5.00000E-1,2.47955E-4,2.47955E+0,-1.23978E+0
-4.44500E-1,2.48909E-4,2.48909E+0,-1.10640E+0
-3.89000E-1,2.50816E-4,2.50816E+0,-9.75675E-1
-3.33500E-1,2.54631E-4,2.54631E+0,-8.49194E-1
-2.78000E-1,2.58446E-4,2.58446E+0,-7.18479E-1
-2.22000E-1,2.58446E-4,2.58446E+0,-5.73749E-1
-1.66500E-1,2.61307E-4,2.61307E+0,-4.35076E-1
-1.11000E-1,2.61307E-4,2.61307E+0,-2.90051E-1
-5.55000E-2,2.61307E-4,2.61307E+0,-1.45025E-1
0.00000E+0,2.58446E-4,2.58446E+0,0.00000E+0
5.55000E-2,2.58446E-4,2.58446E+0,1.43437E-1
1.11000E-1,2.57492E-4,2.57492E+0,2.85816E-1
1.66500E-1,2.57492E-4,2.57492E+0,4.28724E-1
2.22000E-1,2.57492E-4,2.57492E+0,5.71632E-1
2.78000E-1,2.60353E-4,2.60353E+0,7.23782E-1
3.33500E-1,2.58446E-4,2.58446E+0,8.61916E-1
3.89000E-1,2.58446E-4,2.58446E+0,1.00535E+0
4.44500E-1,2.61307E-4,2.61307E+0,1.16151E+0
5.00000E-1,2.61307E-4,2.61307E+0,1.30653E+0
5.55500E-1,2.60353E-4,2.60353E+0,1.44626E+0
6.11000E-1,2.60353E-4,2.60353E+0,1.59076E+0
6.66500E-1,4.54903E-4,4.54903E+0,3.03193E+0
7.22000E-1,3.61443E-4,3.61443E+0,2.60962E+0
7.78000E-1,3.52860E-4,3.52860E+0,2.74525E+0
8.33500E-1,3.57628E-4,3.57628E+0,2.98083E+0
8.89000E-1,3.50952E-4,3.50952E+0,3.11996E+0
9.44500E-1,3.43323E-4,3.43323E+0,3.24268E+0
1.00000E+0,3.48091E-4,3.48091E+0,3.48091E+0
1.05550E+0,3.41415E-4,3.41415E+0,3.60364E+0
1.11100E+0,3.50952E-4,3.50952E+0,3.89908E+0
1.16650E+0,3.48091E-4,3.48091E+0,4.06048E+0
1.22200E+0,4.15802E-4,4.15802E+0,5.08110E+0
1.27800E+0,4.40597E-4,4.40597E+0,5.63084E+0
1.33350E+0,4.29153E-4,4.29153E+0,5.72276E+0
1.38900E+0,4.19617E-4,4.19617E+0,5.82848E+0
1.44450E+0,4.30107E-4,4.30107E+0,6.21290E+0
1.50000E+0,4.32968E-4,4.32968E+0,6.49452E+0
1.55550E+0,3.83377E-4,3.83377E+0,5.96343E+0
1.61100E+0,3.57628E-4,3.57628E+0,5.76139E+0
