Tested at The Flinders University of South Australia,,,
,,,
Cell Name:,CP156R_5,,
Notes:,,,
Cell Area (cm2):,0.1,,
Temperature (C):,25,,
Ideality [LnJ vs. V]: ,16.765,,
Jsat [Ln J vs. V] (A/m2): ,5.71E+01,,
Jsat [Ln J vs. V] (mA/cm2): ,5.71E+00,,
Schottky? : ,No,,
SBH [Ln J vs. V] (eV): ,0,,
R-Squared [Ln J vs. V]: ,0.966,,
,,,
,,,
,,,
Voltage (V), Current (A), Current Density (mA/cm2), Power Density (mW/cm2)
-1.00E+00,2.69E-04,2.69E+00,-2.69E+00
-9.45E-01,2.74E-04,2.74E+00,-2.59E+00
-8.89E-01,2.77E-04,2.77E+00,-2.46E+00
-8.34E-01,2.76E-04,2.76E+00,-2.30E+00
-7.78E-01,2.77E-04,2.77E+00,-2.15E+00
-7.22E-01,2.79E-04,2.79E+00,-2.02E+00
-6.67E-01,2.80E-04,2.80E+00,-1.87E+00
-6.11E-01,1.34E-04,1.34E+00,-8.22E-01
-5.56E-01,1.62E-04,1.62E+00,-9.01E-01
-5.00E-01,1.83E-04,1.83E+00,-9.16E-01
-4.45E-01,1.98E-04,1.98E+00,-8.82E-01
-3.89E-01,2.16E-04,2.16E+00,-8.38E-01
-3.34E-01,2.31E-04,2.31E+00,-7.70E-01
-2.78E-01,2.43E-04,2.43E+00,-6.76E-01
-2.22E-01,2.57E-04,2.57E+00,-5.72E-01
-1.67E-01,2.70E-04,2.70E+00,-4.49E-01
-1.11E-01,2.82E-04,2.82E+00,-3.13E-01
-5.55E-02,2.90E-04,2.90E+00,-1.61E-01
0.00E+00,2.97E-04,2.97E+00,0.00E+00
5.55E-02,3.01E-04,3.01E+00,1.67E-01
1.11E-01,3.01E-04,3.01E+00,3.35E-01
1.67E-01,3.05E-04,3.05E+00,5.08E-01
2.22E-01,3.12E-04,3.12E+00,6.92E-01
2.78E-01,3.19E-04,3.19E+00,8.86E-01
3.34E-01,3.27E-04,3.27E+00,1.09E+00
3.89E-01,3.40E-04,3.40E+00,1.32E+00
4.45E-01,4.24E-04,4.24E+00,1.89E+00
5.00E-01,4.63E-04,4.63E+00,2.32E+00
5.56E-01,4.61E-04,4.61E+00,2.56E+00
6.11E-01,4.22E-04,4.22E+00,2.58E+00
6.67E-01,5.01E-04,5.01E+00,3.34E+00
7.22E-01,3.64E-04,3.64E+00,2.63E+00
7.78E-01,3.57E-04,3.57E+00,2.77E+00
8.34E-01,3.52E-04,3.52E+00,2.93E+00
8.89E-01,4.28E-04,4.28E+00,3.81E+00
9.45E-01,4.35E-04,4.35E+00,4.11E+00
1.00E+00,4.88E-04,4.88E+00,4.88E+00
1.06E+00,4.75E-04,4.75E+00,5.01E+00
1.11E+00,4.65E-04,4.65E+00,5.17E+00
1.17E+00,6.91E-04,6.91E+00,8.07E+00
1.22E+00,8.34E-04,8.34E+00,1.02E+01
1.28E+00,7.56E-04,7.56E+00,9.67E+00
1.33E+00,6.75E-04,6.75E+00,9.00E+00
1.39E+00,6.18E-04,6.18E+00,8.58E+00
1.44E+00,5.61E-04,5.61E+00,8.10E+00
1.50E+00,5.88E-04,5.88E+00,8.83E+00
1.56E+00,5.56E-04,5.56E+00,8.65E+00
1.61E+00,5.53E-04,5.53E+00,8.91E+00
1.67E+00,5.94E-04,5.94E+00,9.90E+00
1.72E+00,6.40E-04,6.40E+00,1.10E+01
1.78E+00,6.78E-04,6.78E+00,1.21E+01
1.83E+00,6.58E-04,6.58E+00,1.21E+01
1.89E+00,6.24E-04,6.24E+00,1.18E+01
1.94E+00,6.46E-04,6.46E+00,1.26E+01
2.00E+00,5.66E-04,5.66E+00,1.13E+01
2.06E+00,5.25E-04,5.25E+00,1.08E+01
2.11E+00,5.43E-04,5.43E+00,1.15E+01
2.17E+00,5.51E-04,5.51E+00,1.19E+01
2.22E+00,5.46E-04,5.46E+00,1.21E+01
2.28E+00,5.55E-04,5.55E+00,1.26E+01
2.33E+00,5.75E-04,5.75E+00,1.34E+01
2.39E+00,6.18E-04,6.18E+00,1.48E+01
2.44E+00,5.78E-04,5.78E+00,1.41E+01
2.50E+00,5.93E-04,5.93E+00,1.48E+01
2.56E+00,5.97E-04,5.97E+00,1.53E+01
2.61E+00,6.02E-04,6.02E+00,1.57E+01
2.67E+00,6.11E-04,6.11E+00,1.63E+01
2.72E+00,5.77E-04,5.77E+00,1.57E+01
