Tested at The Flinders University of South Australia

Cell Name:,CP156R_1R
Notes:,
Cell Area (cm2):,0.100000
Temperature (C):,25.000000
Ideality [LnJ vs. V]: ,20.377
Jsat [Ln J vs. V] (A/m2): ,4.631E+1
Jsat [Ln J vs. V] (mA/cm2): ,4.631E+0
Schottky? : ,No
SBH [Ln J vs. V] (eV): ,0.000
R-Squared [Ln J vs. V]: ,0.965



Voltage (V), Current (A), Current Density (mA/cm2), Power Density (mW/cm2)
-1.00000E+0,2.85149E-4,2.85149E+0,-2.85149E+0
-9.44500E-1,2.86102E-4,2.86102E+0,-2.70224E+0
-8.89000E-1,2.85149E-4,2.85149E+0,-2.53497E+0
-8.33500E-1,2.85149E-4,2.85149E+0,-2.37671E+0
-7.78000E-1,2.85149E-4,2.85149E+0,-2.21846E+0
-7.22000E-1,2.88010E-4,2.88010E+0,-2.07943E+0
-6.66500E-1,2.85149E-4,2.85149E+0,-1.90052E+0
-6.11000E-1,2.86102E-4,2.86102E+0,-1.74809E+0
-5.55500E-1,1.56403E-4,1.56403E+0,-8.68816E-1
-5.00000E-1,1.84059E-4,1.84059E+0,-9.20295E-1
-4.44500E-1,2.00272E-4,2.00272E+0,-8.90207E-1
-3.89000E-1,2.16484E-4,2.16484E+0,-8.42123E-1
-3.33500E-1,2.46048E-4,2.46048E+0,-8.20570E-1
-2.78000E-1,2.46048E-4,2.46048E+0,-6.84013E-1
-2.22000E-1,2.55585E-4,2.55585E+0,-5.67398E-1
-1.66500E-1,2.63214E-4,2.63214E+0,-4.38251E-1
-1.11000E-1,2.74658E-4,2.74658E+0,-3.04871E-1
-5.55000E-2,2.85149E-4,2.85149E+0,-1.58257E-1
0.00000E+0,2.83241E-4,2.83241E+0,0.00000E+0
5.55000E-2,2.82288E-4,2.82288E+0,1.56670E-1
1.11000E-1,2.83241E-4,2.83241E+0,3.14398E-1
1.66500E-1,2.85149E-4,2.85149E+0,4.74772E-1
2.22000E-1,2.83241E-4,2.83241E+0,6.28796E-1
2.78000E-1,2.86102E-4,2.86102E+0,7.95364E-1
3.33500E-1,2.88963E-4,2.88963E+0,9.63693E-1
3.89000E-1,2.88963E-4,2.88963E+0,1.12407E+0
4.44500E-1,2.88010E-4,2.88010E+0,1.28020E+0
5.00000E-1,2.91824E-4,2.91824E+0,1.45912E+0
5.55500E-1,2.88963E-4,2.88963E+0,1.60519E+0
6.11000E-1,2.88963E-4,2.88963E+0,1.76557E+0
6.66500E-1,2.91824E-4,2.91824E+0,1.94501E+0
7.22000E-1,2.91824E-4,2.91824E+0,2.10697E+0
7.78000E-1,3.13759E-4,3.13759E+0,2.44104E+0
8.33500E-1,3.31879E-4,3.31879E+0,2.76621E+0
8.89000E-1,3.39508E-4,3.39508E+0,3.01823E+0
9.44500E-1,3.48091E-4,3.48091E+0,3.28772E+0
1.00000E+0,3.44276E-4,3.44276E+0,3.44276E+0
1.05550E+0,3.43323E-4,3.43323E+0,3.62377E+0
1.11100E+0,3.66211E-4,3.66211E+0,4.06860E+0
1.16650E+0,3.59535E-4,3.59535E+0,4.19398E+0
1.22200E+0,3.62396E-4,3.62396E+0,4.42848E+0
1.27800E+0,3.63350E-4,3.63350E+0,4.64361E+0
1.33350E+0,3.66211E-4,3.66211E+0,4.88342E+0
1.38900E+0,3.66211E-4,3.66211E+0,5.08667E+0
1.44450E+0,3.69072E-4,3.69072E+0,5.33125E+0
1.50000E+0,3.83377E-4,3.83377E+0,5.75066E+0
1.55550E+0,3.92914E-4,3.92914E+0,6.11177E+0
1.61100E+0,3.92914E-4,3.92914E+0,6.32984E+0
1.66650E+0,4.06265E-4,4.06265E+0,6.77041E+0
1.72200E+0,3.98636E-4,3.98636E+0,6.86451E+0
1.77800E+0,3.99590E-4,3.99589E+0,7.10470E+0
1.83350E+0,3.96729E-4,3.96728E+0,7.27402E+0
1.88900E+0,4.20570E-4,4.20570E+0,7.94457E+0
1.94450E+0,4.04358E-4,4.04358E+0,7.86274E+0
2.00000E+0,4.24385E-4,4.24385E+0,8.48770E+0
2.05550E+0,4.50134E-4,4.50134E+0,9.25251E+0
2.11100E+0,4.36783E-4,4.36783E+0,9.22048E+0
2.16650E+0,4.44412E-4,4.44412E+0,9.62819E+0
2.22200E+0,4.67300E-4,4.67300E+0,1.03834E+1
2.27800E+0,4.85420E-4,4.85420E+0,1.10579E+1
2.33350E+0,5.01633E-4,5.01633E+0,1.17056E+1
2.38900E+0,5.61714E-4,5.61714E+0,1.34194E+1
2.44450E+0,6.46591E-4,6.46591E+0,1.58059E+1
2.50000E+0,6.98090E-4,6.98090E+0,1.74522E+1
2.55550E+0,7.20978E-4,7.20978E+0,1.84246E+1
2.61100E+0,7.68661E-4,7.68661E+0,2.00698E+1
2.66650E+0,7.75337E-4,7.75337E+0,2.06744E+1
2.72200E+0,8.41141E-4,8.41141E+0,2.28958E+1
2.77800E+0,9.61304E-4,9.61304E+0,2.67050E+1
2.83350E+0,1.03092E-3,1.03092E+1,2.92112E+1
2.88900E+0,9.88960E-4,9.88960E+0,2.85711E+1
2.94450E+0,1.08051E-3,1.08051E+1,3.18157E+1
3.00000E+0,1.12629E-3,1.12629E+1,3.37887E+1
3.05550E+0,1.20068E-3,1.20068E+1,3.66867E+1
3.11100E+0,1.28078E-3,1.28078E+1,3.98452E+1
3.16650E+0,1.37806E-3,1.37806E+1,4.36362E+1
3.22200E+0,1.48869E-3,1.48869E+1,4.79655E+1
3.27800E+0,1.52492E-3,1.52492E+1,4.99870E+1
3.33350E+0,1.62792E-3,1.62792E+1,5.42668E+1
3.38900E+0,1.77479E-3,1.77479E+1,6.01476E+1
3.44450E+0,1.93977E-3,1.93977E+1,6.68155E+1
3.50000E+0,2.05612E-3,2.05612E+1,7.19643E+1
3.55550E+0,2.25067E-3,2.25067E+1,8.00226E+1
3.61100E+0,2.41947E-3,2.41947E+1,8.73671E+1
3.66650E+0,2.55680E-3,2.55680E+1,9.37451E+1
3.72200E+0,2.70462E-3,2.70462E+1,1.00666E+2
3.77800E+0,2.87056E-3,2.87056E+1,1.08450E+2
3.83350E+0,3.11375E-3,3.11375E+1,1.19365E+2
3.88900E+0,3.23105E-3,3.23105E+1,1.25655E+2
3.94450E+0,3.44944E-3,3.44944E+1,1.36063E+2
4.00000E+0,3.65353E-3,3.65353E+1,1.46141E+2
4.05550E+0,3.86429E-3,3.86429E+1,1.56716E+2
4.11100E+0,4.06933E-3,4.06933E+1,1.67290E+2
4.16650E+0,4.26292E-3,4.26292E+1,1.77615E+2
4.22200E+0,4.45175E-3,4.45175E+1,1.87953E+2
4.27800E+0,4.72069E-3,4.72069E+1,2.01951E+2
4.33350E+0,5.03921E-3,5.03921E+1,2.18374E+2
4.38900E+0,5.29671E-3,5.29671E+1,2.32472E+2
4.44450E+0,5.45978E-3,5.45978E+1,2.42660E+2
4.50000E+0,5.70393E-3,5.70393E+1,2.56677E+2
4.55550E+0,5.98907E-3,5.98907E+1,2.72832E+2
4.61100E+0,6.31714E-3,6.31714E+1,2.91283E+2
4.66650E+0,6.64139E-3,6.64139E+1,3.09920E+2
4.72200E+0,6.99520E-3,6.99520E+1,3.30313E+2
4.77800E+0,7.31468E-3,7.31468E+1,3.49496E+2
4.83350E+0,7.60078E-3,7.60078E+1,3.67384E+2
4.88900E+0,8.00610E-3,8.00610E+1,3.91418E+2
4.94450E+0,8.27503E-3,8.27503E+1,4.09159E+2
5.00000E+0,8.57830E-3,8.57830E+1,4.28915E+2
5.05550E+0,8.93116E-3,8.93116E+1,4.51515E+2
5.11100E+0,9.34696E-3,9.34696E+1,4.77723E+2
