Tested at The Flinders University of South Australia

Cell Name:,CP156T_2
Notes:,
Cell Area (cm2):,0.100000
Temperature (C):,25.000000
Ideality [LnJ vs. V]: ,592.053
Jsat [Ln J vs. V] (A/m2): ,2.926E+1
Jsat [Ln J vs. V] (mA/cm2): ,2.926E+0
Schottky? : ,No
SBH [Ln J vs. V] (eV): ,0.000
R-Squared [Ln J vs. V]: ,0.895



Voltage (V), Current (A), Current Density (mA/cm2), Power Density (mW/cm2)
-1.00000E+0,2.78473E-4,2.78473E+0,-2.78473E+0
-9.44500E-1,2.78473E-4,2.78473E+0,-2.63018E+0
-8.89000E-1,2.81334E-4,2.81334E+0,-2.50106E+0
-8.33500E-1,2.79427E-4,2.79427E+0,-2.32902E+0
-7.78000E-1,2.84195E-4,2.84195E+0,-2.21104E+0
-7.22000E-1,2.84195E-4,2.84195E+0,-2.05189E+0
-6.66500E-1,2.84195E-4,2.84195E+0,-1.89416E+0
-6.11000E-1,2.86102E-4,2.86102E+0,-1.74809E+0
-5.55500E-1,2.85149E-4,2.85149E+0,-1.58400E+0
-5.00000E-1,2.85149E-4,2.85149E+0,-1.42574E+0
-4.44500E-1,2.85149E-4,2.85149E+0,-1.26749E+0
-3.89000E-1,2.85149E-4,2.85149E+0,-1.10923E+0
-3.33500E-1,2.86102E-4,2.86102E+0,-9.54151E-1
-2.78000E-1,2.88010E-4,2.88010E+0,-8.00667E-1
-2.22000E-1,2.88010E-4,2.88010E+0,-6.39381E-1
-1.66500E-1,2.88963E-4,2.88963E+0,-4.81124E-1
-1.11000E-1,2.88010E-4,2.88010E+0,-3.19691E-1
-5.55000E-2,2.88010E-4,2.88010E+0,-1.59845E-1
0.00000E+0,2.84195E-4,2.84195E+0,0.00000E+0
5.55000E-2,2.84195E-4,2.84195E+0,1.57728E-1
1.11000E-1,2.84195E-4,2.84195E+0,3.15456E-1
1.66500E-1,2.85149E-4,2.85149E+0,4.74772E-1
2.22000E-1,2.86102E-4,2.86102E+0,6.35147E-1
2.78000E-1,2.86102E-4,2.86102E+0,7.95364E-1
3.33500E-1,2.86102E-4,2.86102E+0,9.54151E-1
3.89000E-1,2.86102E-4,2.86102E+0,1.11294E+0
4.44500E-1,2.88963E-4,2.88963E+0,1.28444E+0
5.00000E-1,2.90871E-4,2.90871E+0,1.45435E+0
5.55500E-1,2.91824E-4,2.91824E+0,1.62108E+0
6.11000E-1,2.88963E-4,2.88963E+0,1.76557E+0
6.66500E-1,2.88963E-4,2.88963E+0,1.92594E+0
7.22000E-1,2.90871E-4,2.90871E+0,2.10009E+0
7.78000E-1,3.10898E-4,3.10898E+0,2.41878E+0
8.33500E-1,3.07083E-4,3.07083E+0,2.55954E+0
8.89000E-1,3.00407E-4,3.00407E+0,2.67062E+0
9.44500E-1,2.93732E-4,2.93732E+0,2.77430E+0
1.00000E+0,3.02315E-4,3.02315E+0,3.02315E+0
1.05550E+0,3.17573E-4,3.17573E+0,3.35199E+0
1.11100E+0,3.13759E-4,3.13759E+0,3.48586E+0
1.16650E+0,3.18527E-4,3.18527E+0,3.71562E+0
1.22200E+0,3.28064E-4,3.28064E+0,4.00894E+0
1.27800E+0,4.28200E-4,4.28200E+0,5.47239E+0
1.33350E+0,4.02451E-4,4.02451E+0,5.36668E+0
1.38900E+0,3.95775E-4,3.95775E+0,5.49731E+0
1.44450E+0,3.94821E-4,3.94821E+0,5.70319E+0
1.50000E+0,3.91960E-4,3.91960E+0,5.87940E+0
1.55550E+0,3.82423E-4,3.82423E+0,5.94860E+0
1.61100E+0,3.97682E-4,3.97682E+0,6.40666E+0
1.66650E+0,3.94821E-4,3.94821E+0,6.57970E+0
1.72200E+0,3.75748E-4,3.75748E+0,6.47038E+0
1.77800E+0,3.82423E-4,3.82423E+0,6.79949E+0
1.83350E+0,3.88145E-4,3.88145E+0,7.11665E+0
1.88900E+0,3.94821E-4,3.94821E+0,7.45817E+0
1.94450E+0,3.89099E-4,3.89099E+0,7.56603E+0
2.00000E+0,3.85284E-4,3.85284E+0,7.70569E+0
2.05550E+0,3.83377E-4,3.83377E+0,7.88032E+0
2.11100E+0,3.88145E-4,3.88145E+0,8.19375E+0
2.16650E+0,3.82423E-4,3.82423E+0,8.28520E+0
2.22200E+0,3.79562E-4,3.79562E+0,8.43388E+0
2.27800E+0,3.83377E-4,3.83377E+0,8.73333E+0
2.33350E+0,3.78609E-4,3.78609E+0,8.83483E+0
2.38900E+0,3.79562E-4,3.79562E+0,9.06775E+0
2.44450E+0,3.92914E-4,3.92914E+0,9.60478E+0
2.50000E+0,4.04358E-4,4.04358E+0,1.01089E+1
2.55550E+0,4.04358E-4,4.04358E+0,1.03334E+1
2.61100E+0,4.14848E-4,4.14848E+0,1.08317E+1
2.66650E+0,4.17709E-4,4.17709E+0,1.11382E+1
2.72200E+0,4.23431E-4,4.23431E+0,1.15258E+1
2.77800E+0,4.25339E-4,4.25339E+0,1.18159E+1
2.83350E+0,4.36783E-4,4.36783E+0,1.23762E+1
2.88900E+0,4.41551E-4,4.41551E+0,1.27564E+1
2.94450E+0,4.44412E-4,4.44412E+0,1.30857E+1
3.00000E+0,4.44412E-4,4.44412E+0,1.33324E+1
3.05550E+0,4.63486E-4,4.63486E+0,1.41618E+1
3.11100E+0,4.62532E-4,4.62532E+0,1.43894E+1
3.16650E+0,4.75883E-4,4.75883E+0,1.50689E+1
3.22200E+0,4.85420E-4,4.85420E+0,1.56402E+1
3.27800E+0,5.05447E-4,5.05447E+0,1.65686E+1
3.33350E+0,5.15938E-4,5.15938E+0,1.71988E+1
3.38900E+0,5.12123E-4,5.12123E+0,1.73559E+1
3.44450E+0,4.96864E-4,4.96864E+0,1.71145E+1
3.50000E+0,5.05447E-4,5.05447E+0,1.76907E+1
3.55550E+0,5.15938E-4,5.15938E+0,1.83442E+1
3.61100E+0,5.08308E-4,5.08308E+0,1.83550E+1
3.66650E+0,5.08308E-4,5.08308E+0,1.86371E+1
3.72200E+0,5.20706E-4,5.20706E+0,1.93807E+1
3.77800E+0,5.36919E-4,5.36919E+0,2.02848E+1
3.83350E+0,5.55038E-4,5.55038E+0,2.12774E+1
3.88900E+0,6.10352E-4,6.10352E+0,2.37366E+1
3.94450E+0,9.78470E-4,9.78470E+0,3.85957E+1
4.00000E+0,6.17027E-4,6.17027E+0,2.46811E+1
4.05550E+0,5.70297E-4,5.70297E+0,2.31284E+1
4.11100E+0,5.77927E-4,5.77927E+0,2.37586E+1
