Tested at The Flinders University of South Australia,,,,,,
,,,,,,
Cell Name:,CP156T_6,,,,,
Notes:,,,,,,
Cell Area (cm2):,0.1,,,,,
Temperature (C):,25,,,,,
Ideality [LnJ vs. V]: ,266.9,,,,,
Jsat [Ln J vs. V] (A/m2): ,5.87E+02,,,,,
Jsat [Ln J vs. V] (mA/cm2): ,5.87E+01,,,,,
Schottky? : ,No,,,,,
SBH [Ln J vs. V] (eV): ,0,,,,,
R-Squared [Ln J vs. V]: ,0.993,,,,,
,,,,,,
,,,,,,
,,,,,,
Voltage (V), Current (A), Current Density (mA/cm2), Power Density (mW/cm2),,,
1.00E+01,1.95E-02,1.95E+02,1.95E+03,,,13.94980287
9.94E+00,2.03E-02,2.03E+02,2.02E+03,,,14.23874995
9.89E+00,2.11E-02,2.11E+02,2.09E+03,,,14.53306575
9.83E+00,2.18E-02,2.18E+02,2.14E+03,,,14.75547356
9.78E+00,2.23E-02,2.23E+02,2.18E+03,,,14.93693409
9.72E+00,2.27E-02,2.27E+02,2.21E+03,,,15.06090967
9.67E+00,2.29E-02,2.29E+02,2.22E+03,,,15.14272102
9.61E+00,2.31E-02,2.31E+02,2.22E+03,,,15.18232525
9.56E+00,2.32E-02,2.32E+02,2.22E+03,,,15.22685128
9.50E+00,2.32E-02,2.32E+02,2.20E+03,,,15.23436904
9.44E+00,2.31E-02,2.31E+02,2.18E+03,,,15.19865126
9.39E+00,2.30E-02,2.30E+02,2.16E+03,,,15.15780327
9.33E+00,2.28E-02,2.28E+02,2.13E+03,,,15.10519778
9.28E+00,2.27E-02,2.27E+02,2.10E+03,,,15.05363743
9.22E+00,2.25E-02,2.25E+02,2.08E+03,,,15.00193321
9.17E+00,2.24E-02,2.24E+02,2.05E+03,,,14.956069
9.11E+00,2.21E-02,2.21E+02,2.02E+03,,,14.88223773
9.06E+00,2.20E-02,2.20E+02,1.99E+03,,,14.82541736
9.00E+00,2.18E-02,2.18E+02,1.97E+03,,,14.78032476
8.94E+00,2.17E-02,2.17E+02,1.94E+03,,,14.73153081
8.89E+00,2.16E-02,2.16E+02,1.92E+03,,,14.68356224
8.83E+00,2.14E-02,2.14E+02,1.89E+03,,,14.62661957
8.78E+00,2.13E-02,2.13E+02,1.87E+03,,,14.5815637
8.72E+00,2.11E-02,2.11E+02,1.84E+03,,,14.52126028
8.67E+00,2.09E-02,2.09E+02,1.81E+03,,,14.47124735
8.61E+00,2.09E-02,2.09E+02,1.80E+03,,,14.45015571
8.56E+00,2.07E-02,2.07E+02,1.77E+03,,,14.40354123
8.50E+00,2.07E-02,2.07E+02,1.76E+03,,,14.39923609
8.44E+00,2.06E-02,2.06E+02,1.74E+03,,,14.34817062
8.39E+00,2.04E-02,2.04E+02,1.71E+03,,,14.29790194
8.33E+00,2.03E-02,2.03E+02,1.69E+03,,,14.23941712
8.28E+00,2.02E-02,2.02E+02,1.67E+03,,,14.20623103
8.22E+00,2.01E-02,2.01E+02,1.65E+03,,,14.18234818
8.17E+00,1.99E-02,1.99E+02,1.63E+03,,,14.11293733
8.11E+00,1.97E-02,1.97E+02,1.60E+03,,,14.03196351
8.06E+00,1.96E-02,1.96E+02,1.58E+03,,,13.99281959
8.00E+00,1.94E-02,1.94E+02,1.56E+03,,,13.9436724
7.94E+00,1.93E-02,1.93E+02,1.54E+03,,,13.90528676
7.89E+00,1.92E-02,1.92E+02,1.51E+03,,,13.85034296
7.83E+00,1.90E-02,1.90E+02,1.49E+03,,,13.79202668
7.78E+00,1.88E-02,1.88E+02,1.46E+03,,,13.70113134
7.72E+00,1.85E-02,1.85E+02,1.43E+03,,,13.61491829
7.67E+00,1.84E-02,1.84E+02,1.41E+03,,,13.55558925
7.61E+00,1.81E-02,1.81E+02,1.38E+03,,,13.46807336
7.56E+00,1.79E-02,1.79E+02,1.36E+03,,,13.3931699
7.50E+00,1.78E-02,1.78E+02,1.33E+03,,,13.32497655
7.44E+00,1.76E-02,1.76E+02,1.31E+03,,,13.25284875
7.39E+00,1.73E-02,1.73E+02,1.28E+03,,,13.15062736
7.33E+00,1.70E-02,1.70E+02,1.25E+03,,,13.05710535
7.28E+00,1.67E-02,1.67E+02,1.22E+03,,,12.94082687
7.22E+00,1.65E-02,1.65E+02,1.19E+03,,,12.85507682
7.17E+00,1.63E-02,1.63E+02,1.17E+03,,,12.77207892
