Tested at The Flinders University of South Australia

Cell Name:,CP156T_5R
Notes:,
Cell Area (cm2):,0.100000
Temperature (C):,25.000000
Ideality [LnJ vs. V]: ,56.791
Jsat [Ln J vs. V] (A/m2): ,6.997E+0
Jsat [Ln J vs. V] (mA/cm2): ,6.997E-1
Schottky? : ,No
SBH [Ln J vs. V] (eV): ,0.000
R-Squared [Ln J vs. V]: ,1.000



Voltage (V), Current (A), Current Density (mA/cm2), Power Density (mW/cm2)
1.00000E+1,3.91893E-2,3.91893E+2,3.91893E+3
9.94950E+0,5.00984E-2,5.00984E+2,4.98454E+3
9.89900E+0,5.31597E-2,5.31597E+2,5.26228E+3
9.84850E+0,5.40581E-2,5.40581E+2,5.32391E+3
9.79800E+0,5.39751E-2,5.39751E+2,5.28848E+3
9.74750E+0,5.33409E-2,5.33409E+2,5.19941E+3
9.69700E+0,5.23272E-2,5.23272E+2,5.07416E+3
9.64650E+0,5.10216E-2,5.10216E+2,4.92180E+3
9.59600E+0,4.96073E-2,4.96073E+2,4.76031E+3
9.54550E+0,4.80795E-2,4.80795E+2,4.58943E+3
9.49500E+0,4.66099E-2,4.66099E+2,4.42561E+3
9.44450E+0,4.50554E-2,4.50554E+2,4.25526E+3
9.39400E+0,4.35543E-2,4.35543E+2,4.09149E+3
9.34350E+0,4.21085E-2,4.21085E+2,3.93441E+3
9.29300E+0,4.06971E-2,4.06971E+2,3.78198E+3
9.24250E+0,3.92809E-2,3.92809E+2,3.63054E+3
9.19200E+0,3.80306E-2,3.80306E+2,3.49577E+3
9.14150E+0,3.66659E-2,3.66659E+2,3.35182E+3
9.09100E+0,3.54652E-2,3.54652E+2,3.22414E+3
9.04050E+0,3.42665E-2,3.42665E+2,3.09786E+3
8.99000E+0,3.31183E-2,3.31183E+2,2.97733E+3
8.93950E+0,3.20587E-2,3.20587E+2,2.86589E+3
8.88900E+0,3.10125E-2,3.10125E+2,2.75670E+3
8.83850E+0,3.01151E-2,3.01151E+2,2.66173E+3
8.78800E+0,2.92387E-2,2.92387E+2,2.56950E+3
8.73750E+0,2.84004E-2,2.84004E+2,2.48149E+3
8.68700E+0,2.75640E-2,2.75640E+2,2.39449E+3
8.63650E+0,2.67792E-2,2.67792E+2,2.31278E+3
8.58600E+0,2.60658E-2,2.60658E+2,2.23801E+3
8.53550E+0,2.53391E-2,2.53391E+2,2.16282E+3
8.48500E+0,2.46859E-2,2.46859E+2,2.09460E+3
8.43450E+0,2.40669E-2,2.40669E+2,2.02993E+3
8.38400E+0,2.34575E-2,2.34575E+2,1.96668E+3
8.33350E+0,2.28863E-2,2.28863E+2,1.90723E+3
8.28300E+0,2.23331E-2,2.23331E+2,1.84985E+3
8.23250E+0,2.19002E-2,2.19002E+2,1.80293E+3
8.18200E+0,2.13957E-2,2.13957E+2,1.75059E+3
8.13150E+0,2.09103E-2,2.09103E+2,1.70032E+3
8.08100E+0,2.04954E-2,2.04954E+2,1.65623E+3
8.03050E+0,2.00996E-2,2.00996E+2,1.61410E+3
7.98000E+0,1.96762E-2,1.96762E+2,1.57016E+3
7.92950E+0,1.93100E-2,1.93100E+2,1.53119E+3
7.87900E+0,1.89438E-2,1.89438E+2,1.49258E+3
7.82850E+0,1.85709E-2,1.85709E+2,1.45382E+3
7.77800E+0,1.82390E-2,1.82390E+2,1.41863E+3
7.72750E+0,1.79224E-2,1.79224E+2,1.38495E+3
7.67700E+0,1.76039E-2,1.76039E+2,1.35145E+3
7.62650E+0,1.72949E-2,1.72949E+2,1.31899E+3
7.57600E+0,1.69964E-2,1.69964E+2,1.28765E+3
7.52550E+0,1.67141E-2,1.67141E+2,1.25782E+3
7.47500E+0,1.64681E-2,1.64680E+2,1.23099E+3
7.42450E+0,1.61886E-2,1.61886E+2,1.20192E+3
7.37400E+0,1.59397E-2,1.59397E+2,1.17539E+3
7.32300E+0,1.56765E-2,1.56765E+2,1.14799E+3
7.27250E+0,1.54524E-2,1.54524E+2,1.12377E+3
7.22200E+0,1.52006E-2,1.52006E+2,1.09779E+3
7.17150E+0,1.49746E-2,1.49746E+2,1.07390E+3
7.12100E+0,1.47457E-2,1.47457E+2,1.05004E+3
7.07050E+0,1.45111E-2,1.45111E+2,1.02601E+3
7.02000E+0,1.42851E-2,1.42851E+2,1.00281E+3
6.96950E+0,1.40438E-2,1.40438E+2,9.78783E+2
6.91900E+0,1.38311E-2,1.38311E+2,9.56977E+2
6.86850E+0,1.36185E-2,1.36185E+2,9.35385E+2
6.81800E+0,1.33963E-2,1.33963E+2,9.13357E+2
6.76750E+0,1.31855E-2,1.31855E+2,8.92329E+2
6.71700E+0,1.29747E-2,1.29747E+2,8.71513E+2
6.66650E+0,1.27859E-2,1.27859E+2,8.52373E+2
6.61600E+0,1.25847E-2,1.25847E+2,8.32603E+2
6.56550E+0,1.23901E-2,1.23901E+2,8.13475E+2
6.51500E+0,1.21918E-2,1.21918E+2,7.94294E+2
6.46450E+0,1.19972E-2,1.19972E+2,7.75560E+2
6.41400E+0,1.18227E-2,1.18227E+2,7.58308E+2
6.36350E+0,1.16530E-2,1.16529E+2,7.41535E+2
6.31300E+0,1.14689E-2,1.14689E+2,7.24031E+2
6.26250E+0,1.12934E-2,1.12934E+2,7.07250E+2
6.21200E+0,1.11141E-2,1.11141E+2,6.90409E+2
6.16150E+0,1.09386E-2,1.09386E+2,6.73984E+2
6.11100E+0,1.07641E-2,1.07641E+2,6.57795E+2
6.06050E+0,1.05886E-2,1.05886E+2,6.41725E+2
6.01000E+0,1.04237E-2,1.04237E+2,6.26462E+2
5.95950E+0,1.02463E-2,1.02463E+2,6.10627E+2
5.90900E+0,1.00727E-2,1.00727E+2,5.95196E+2
5.85850E+0,9.90486E-3,9.90486E+1,5.80276E+2
5.80800E+0,9.72939E-3,9.72939E+1,5.65083E+2
5.75750E+0,9.55391E-3,9.55391E+1,5.50066E+2
5.70700E+0,9.38511E-3,9.38511E+1,5.35608E+2
5.65650E+0,9.22108E-3,9.22108E+1,5.21590E+2
5.60600E+0,9.07993E-3,9.07993E+1,5.09021E+2
5.55550E+0,8.91590E-3,8.91590E+1,4.95323E+2
5.50500E+0,8.75378E-3,8.75378E+1,4.81895E+2
5.45450E+0,8.59928E-3,8.59928E+1,4.69048E+2
5.40400E+0,8.43811E-3,8.43811E+1,4.55995E+2
5.35350E+0,8.27599E-3,8.27599E+1,4.43055E+2
5.30300E+0,8.11672E-3,8.11672E+1,4.30430E+2
5.25250E+0,7.96509E-3,7.96509E+1,4.18366E+2
5.20200E+0,7.81918E-3,7.81918E+1,4.06754E+2
5.15150E+0,7.66277E-3,7.66277E+1,3.94748E+2
5.10100E+0,7.51686E-3,7.51686E+1,3.83435E+2
5.05050E+0,7.37095E-3,7.37095E+1,3.72270E+2
5.00000E+0,7.22122E-3,7.22122E+1,3.61061E+2
4.94950E+0,7.07149E-3,7.07150E+1,3.50004E+2
4.89900E+0,6.92558E-3,6.92558E+1,3.39284E+2
4.84850E+0,6.78635E-3,6.78635E+1,3.29036E+2
4.79800E+0,6.63757E-3,6.63757E+1,3.18471E+2
4.74750E+0,6.49166E-3,6.49166E+1,3.08192E+2
4.69700E+0,6.35243E-3,6.35242E+1,2.98373E+2
4.64650E+0,6.21510E-3,6.21510E+1,2.88784E+2
4.59600E+0,6.07204E-3,6.07204E+1,2.79071E+2
4.54550E+0,5.92899E-3,5.92899E+1,2.69502E+2
4.49500E+0,5.78785E-3,5.78785E+1,2.60164E+2
4.44450E+0,5.65338E-3,5.65338E+1,2.51265E+2
4.39400E+0,5.51701E-3,5.51701E+1,2.42417E+2
4.34350E+0,5.38063E-3,5.38063E+1,2.33708E+2
4.29300E+0,5.24521E-3,5.24521E+1,2.25177E+2
4.24250E+0,5.11837E-3,5.11837E+1,2.17147E+2
4.19200E+0,4.98962E-3,4.98962E+1,2.09165E+2
4.14150E+0,4.85897E-3,4.85897E+1,2.01234E+2
4.09100E+0,4.73309E-3,4.73309E+1,1.93631E+2
4.04050E+0,4.60529E-3,4.60529E+1,1.86077E+2
3.99000E+0,4.47941E-3,4.47941E+1,1.78728E+2
3.93950E+0,4.35257E-3,4.35257E+1,1.71469E+2
3.88900E+0,4.22382E-3,4.22382E+1,1.64265E+2
3.83850E+0,4.10557E-3,4.10557E+1,1.57592E+2
3.78800E+0,3.98254E-3,3.98254E+1,1.50859E+2
3.73750E+0,3.86429E-3,3.86429E+1,1.44428E+2
3.68700E+0,3.74889E-3,3.74889E+1,1.38222E+2
3.63650E+0,3.62873E-3,3.62873E+1,1.31959E+2
3.58600E+0,3.51524E-3,3.51524E+1,1.26057E+2
3.53550E+0,3.40271E-3,3.40271E+1,1.20303E+2
3.48500E+0,3.29208E-3,3.29208E+1,1.14729E+2
3.43450E+0,3.18241E-3,3.18241E+1,1.09300E+2
3.38400E+0,3.07560E-3,3.07560E+1,1.04078E+2
3.33350E+0,2.97356E-3,2.97356E+1,9.91235E+1
3.28300E+0,2.87342E-3,2.87342E+1,9.43344E+1
3.23250E+0,2.77042E-3,2.77042E+1,8.95540E+1
3.18200E+0,2.67220E-3,2.67219E+1,8.50292E+1
3.13150E+0,2.57492E-3,2.57492E+1,8.06337E+1
3.08100E+0,2.47860E-3,2.47860E+1,7.63657E+1
3.03050E+0,2.37656E-3,2.37656E+1,7.20215E+1
2.98000E+0,2.27737E-3,2.27737E+1,6.78657E+1
2.92950E+0,2.18201E-3,2.18201E+1,6.39219E+1
2.87900E+0,2.09236E-3,2.09236E+1,6.02391E+1
2.82850E+0,2.00653E-3,2.00653E+1,5.67547E+1
2.77800E+0,1.92261E-3,1.92261E+1,5.34100E+1
2.72750E+0,1.83868E-3,1.83868E+1,5.01501E+1
2.67700E+0,1.75381E-3,1.75381E+1,4.69494E+1
2.62650E+0,1.67751E-3,1.67751E+1,4.40599E+1
2.57600E+0,1.59931E-3,1.59931E+1,4.11983E+1
2.52550E+0,1.51825E-3,1.51825E+1,3.83434E+1
2.47450E+0,1.44386E-3,1.44386E+1,3.57284E+1
2.42400E+0,1.37234E-3,1.37234E+1,3.32654E+1
2.37350E+0,1.30367E-3,1.30367E+1,3.09427E+1
2.32300E+0,1.23596E-3,1.23596E+1,2.87114E+1
2.27250E+0,1.17016E-3,1.17016E+1,2.65918E+1
2.22200E+0,1.10912E-3,1.10912E+1,2.46447E+1
2.17150E+0,1.05286E-3,1.05286E+1,2.28628E+1
2.12100E+0,9.94682E-4,9.94682E+0,2.10972E+1
2.07050E+0,9.40323E-4,9.40323E+0,1.94694E+1
2.02000E+0,8.90732E-4,8.90732E+0,1.79928E+1
1.96950E+0,8.39233E-4,8.39233E+0,1.65287E+1
1.91900E+0,7.93457E-4,7.93457E+0,1.52264E+1
1.86850E+0,7.49588E-4,7.49588E+0,1.40061E+1
1.81800E+0,7.06673E-4,7.06673E+0,1.28473E+1
1.76750E+0,6.67572E-4,6.67572E+0,1.17993E+1
1.71700E+0,6.29425E-4,6.29425E+0,1.08072E+1
1.66650E+0,5.95093E-4,5.95093E+0,9.91722E+0
1.61600E+0,5.62668E-4,5.62668E+0,9.09271E+0
1.56550E+0,5.31197E-4,5.31197E+0,8.31588E+0
1.51500E+0,5.01633E-4,5.01633E+0,7.59974E+0
1.46450E+0,4.73022E-4,4.73022E+0,6.92741E+0
1.41400E+0,4.46320E-4,4.46320E+0,6.31096E+0
1.36350E+0,4.18663E-4,4.18663E+0,5.70847E+0
1.31300E+0,3.98636E-4,3.98636E+0,5.23409E+0
1.26250E+0,3.78609E-4,3.78609E+0,4.77993E+0
1.21200E+0,3.59535E-4,3.59535E+0,4.35757E+0
1.16150E+0,3.46184E-4,3.46184E+0,4.02092E+0
1.11100E+0,3.29018E-4,3.29018E+0,3.65539E+0
1.06050E+0,3.13759E-4,3.13759E+0,3.32741E+0
1.01000E+0,2.98500E-4,2.98500E+0,3.01485E+0
9.59500E-1,2.88010E-4,2.88010E+0,2.76345E+0
9.09000E-1,2.75612E-4,2.75612E+0,2.50531E+0
8.58500E-1,2.67983E-4,2.67982E+0,2.30063E+0
8.08000E-1,2.55585E-4,2.55585E+0,2.06512E+0
7.57500E-1,2.48909E-4,2.48909E+0,1.88549E+0
7.07000E-1,2.45094E-4,2.45094E+0,1.73282E+0
6.56500E-1,2.38419E-4,2.38419E+0,1.56522E+0
6.06000E-1,2.36511E-4,2.36511E+0,1.43326E+0
5.55500E-1,2.29835E-4,2.29835E+0,1.27674E+0
5.05000E-1,2.26021E-4,2.26021E+0,1.14141E+0
4.54500E-1,2.20299E-4,2.20299E+0,1.00126E+0
4.04000E-1,2.20299E-4,2.20299E+0,8.90007E-1
3.53500E-1,2.16484E-4,2.16484E+0,7.65271E-1
3.03000E-1,2.13623E-4,2.13623E+0,6.47278E-1
2.52500E-1,2.10762E-4,2.10762E+0,5.32174E-1
2.02000E-1,2.10762E-4,2.10762E+0,4.25739E-1
1.51500E-1,2.08855E-4,2.08855E+0,3.16415E-1
1.01000E-1,2.09808E-4,2.09808E+0,2.11906E-1
5.05000E-2,2.10762E-4,2.10762E+0,1.06435E-1
0.00000E+0,2.09808E-4,2.09808E+0,0.00000E+0
1.00000E+1,2.60515E-2,2.60515E+2,2.60515E+3
