Tested at The Flinders University of South Australia

Cell Name:,CP156T_6R
Notes:,
Cell Area (cm2):,0.100000
Temperature (C):,25.000000
Ideality [LnJ vs. V]: ,15.903
Jsat [Ln J vs. V] (A/m2): ,8.059E-7
Jsat [Ln J vs. V] (mA/cm2): ,8.059E-8
Schottky? : ,No
SBH [Ln J vs. V] (eV): ,0.000
R-Squared [Ln J vs. V]: ,0.999



Voltage (V), Current (A), Current Density (mA/cm2), Power Density (mW/cm2)
1.00000E+1,1.68182E-1,1.68182E+3,1.68182E+4
9.94950E+0,2.31447E-1,2.31447E+3,2.30278E+4
9.89900E+0,2.37623E-1,2.37623E+3,2.35223E+4
9.84850E+0,2.26823E-1,2.26823E+3,2.23387E+4
9.79800E+0,2.07314E-1,2.07314E+3,2.03126E+4
9.74750E+0,1.84320E-1,1.84320E+3,1.79666E+4
9.69700E+0,1.62628E-1,1.62628E+3,1.57701E+4
9.64650E+0,1.42411E-1,1.42411E+3,1.37377E+4
9.59600E+0,1.25912E-1,1.25912E+3,1.20825E+4
9.54550E+0,1.12246E-1,1.12246E+3,1.07144E+4
9.49500E+0,1.00296E-1,1.00296E+3,9.52311E+3
9.44450E+0,8.99658E-2,8.99658E+2,8.49682E+3
9.39400E+0,8.11176E-2,8.11176E+2,7.62019E+3
9.34350E+0,7.32737E-2,7.32737E+2,6.84632E+3
9.29300E+0,6.65550E-2,6.65550E+2,6.18496E+3
9.24250E+0,6.06880E-2,6.06880E+2,5.60909E+3
9.19200E+0,5.56030E-2,5.56030E+2,5.11103E+3
9.14150E+0,5.11560E-2,5.11560E+2,4.67643E+3
9.09100E+0,4.71411E-2,4.71411E+2,4.28560E+3
9.04050E+0,4.37231E-2,4.37231E+2,3.95279E+3
8.99000E+0,4.06408E-2,4.06408E+2,3.65361E+3
8.93950E+0,3.79543E-2,3.79543E+2,3.39293E+3
8.88900E+0,3.54614E-2,3.54614E+2,3.15217E+3
8.83850E+0,3.32909E-2,3.32909E+2,2.94241E+3
8.78800E+0,3.13578E-2,3.13578E+2,2.75572E+3
8.73750E+0,2.96049E-2,2.96049E+2,2.58673E+3
8.68700E+0,2.80705E-2,2.80704E+2,2.43848E+3
8.63650E+0,2.66132E-2,2.66132E+2,2.29845E+3
8.58600E+0,2.53773E-2,2.53773E+2,2.17889E+3
8.53550E+0,2.41909E-2,2.41909E+2,2.06481E+3
8.48500E+0,2.31361E-2,2.31361E+2,1.96310E+3
8.43450E+0,2.21653E-2,2.21653E+2,1.86953E+3
8.38400E+0,2.13213E-2,2.13213E+2,1.78758E+3
8.33350E+0,2.05698E-2,2.05698E+2,1.71418E+3
8.28300E+0,1.98288E-2,1.98288E+2,1.64242E+3
8.23250E+0,1.91412E-2,1.91412E+2,1.57580E+3
8.18200E+0,1.85251E-2,1.85251E+2,1.51573E+3
8.13150E+0,1.79634E-2,1.79634E+2,1.46069E+3
8.08100E+0,1.74446E-2,1.74446E+2,1.40970E+3
8.03050E+0,1.69802E-2,1.69802E+2,1.36359E+3
7.98000E+0,1.65539E-2,1.65539E+2,1.32100E+3
7.92950E+0,1.61705E-2,1.61705E+2,1.28224E+3
7.87900E+0,1.57795E-2,1.57795E+2,1.24327E+3
7.82850E+0,1.54114E-2,1.54114E+2,1.20648E+3
7.77800E+0,1.51024E-2,1.51024E+2,1.17466E+3
7.72750E+0,1.48010E-2,1.48010E+2,1.14375E+3
7.67700E+0,1.45512E-2,1.45512E+2,1.11709E+3
7.62650E+0,1.42984E-2,1.42984E+2,1.09047E+3
7.57600E+0,1.40772E-2,1.40772E+2,1.06649E+3
7.52550E+0,1.38283E-2,1.38283E+2,1.04065E+3
7.47500E+0,1.36480E-2,1.36480E+2,1.02019E+3
7.42450E+0,1.34678E-2,1.34678E+2,9.99916E+2
7.37400E+0,1.32923E-2,1.32923E+2,9.80175E+2
7.32300E+0,1.31159E-2,1.31159E+2,9.60476E+2
7.27250E+0,1.29442E-2,1.29442E+2,9.41368E+2
7.22200E+0,1.27831E-2,1.27830E+2,9.23192E+2
7.17150E+0,1.26305E-2,1.26305E+2,9.05793E+2
7.12100E+0,1.25046E-2,1.25046E+2,8.90451E+2
7.07050E+0,1.23901E-2,1.23901E+2,8.76045E+2
7.02000E+0,1.22604E-2,1.22604E+2,8.60683E+2
6.96950E+0,1.21622E-2,1.21622E+2,8.47645E+2
6.91900E+0,1.20687E-2,1.20687E+2,8.35037E+2
6.86850E+0,1.19610E-2,1.19610E+2,8.21540E+2
6.81800E+0,1.18895E-2,1.18895E+2,8.10623E+2
6.76750E+0,1.17712E-2,1.17712E+2,7.96616E+2
6.71700E+0,1.16692E-2,1.16692E+2,7.83817E+2
6.66650E+0,1.15862E-2,1.15862E+2,7.72393E+2
6.61600E+0,1.14679E-2,1.14679E+2,7.58718E+2
6.56550E+0,1.13840E-2,1.13840E+2,7.47417E+2
6.51500E+0,1.12877E-2,1.12877E+2,7.35393E+2
6.46450E+0,1.11961E-2,1.11961E+2,7.23774E+2
6.41400E+0,1.11237E-2,1.11237E+2,7.13472E+2
6.36350E+0,1.10168E-2,1.10168E+2,7.01057E+2
6.31300E+0,1.09196E-2,1.09196E+2,6.89352E+2
6.26250E+0,1.08271E-2,1.08271E+2,6.78045E+2
6.21200E+0,1.07279E-2,1.07279E+2,6.66416E+2
6.16150E+0,1.06306E-2,1.06306E+2,6.55005E+2
6.11100E+0,1.05410E-2,1.05410E+2,6.44158E+2
6.06050E+0,1.04332E-2,1.04332E+2,6.32304E+2
6.01000E+0,1.03292E-2,1.03292E+2,6.20788E+2
5.95950E+0,1.02387E-2,1.02386E+2,6.10172E+2
5.90900E+0,1.01290E-2,1.01290E+2,5.98521E+2
5.85850E+0,1.00193E-2,1.00193E+2,5.86981E+2
5.80800E+0,9.92203E-3,9.92203E+1,5.76271E+2
5.75750E+0,9.82285E-3,9.82284E+1,5.65550E+2
5.70700E+0,9.70650E-3,9.70650E+1,5.53950E+2
5.65650E+0,9.59969E-3,9.59969E+1,5.43006E+2
5.60600E+0,9.49192E-3,9.49192E+1,5.32117E+2
5.55550E+0,9.38129E-3,9.38129E+1,5.21178E+2
5.50500E+0,9.26876E-3,9.26876E+1,5.10245E+2
5.45450E+0,9.15241E-3,9.15241E+1,4.99218E+2
5.40400E+0,9.03606E-3,9.03606E+1,4.88309E+2
5.35350E+0,8.92162E-3,8.92162E+1,4.77619E+2
5.30300E+0,8.80527E-3,8.80527E+1,4.66944E+2
5.25250E+0,8.68130E-3,8.68130E+1,4.55985E+2
5.20200E+0,8.55827E-3,8.55827E+1,4.45201E+2
5.15150E+0,8.43143E-3,8.43143E+1,4.34345E+2
5.10100E+0,8.32558E-3,8.32558E+1,4.24688E+2
5.05050E+0,8.20255E-3,8.20255E+1,4.14270E+2
5.00000E+0,8.07381E-3,8.07381E+1,4.03690E+2
4.94950E+0,7.94792E-3,7.94792E+1,3.93382E+2
4.89900E+0,7.82204E-3,7.82204E+1,3.83202E+2
4.84850E+0,7.69806E-3,7.69806E+1,3.73240E+2
4.79800E+0,7.56645E-3,7.56645E+1,3.63038E+2
4.74750E+0,7.43961E-3,7.43961E+1,3.53196E+2
4.69700E+0,7.31945E-3,7.31945E+1,3.43795E+2
4.64650E+0,7.17831E-3,7.17831E+1,3.33540E+2
4.59600E+0,7.06196E-3,7.06196E+1,3.24568E+2
4.54550E+0,6.93703E-3,6.93703E+1,3.15323E+2
4.49500E+0,6.80733E-3,6.80733E+1,3.05989E+2
4.44450E+0,6.68335E-3,6.68335E+1,2.97041E+2
4.39400E+0,6.54602E-3,6.54602E+1,2.87632E+2
4.34350E+0,6.42014E-3,6.42014E+1,2.78859E+2
4.29300E+0,6.28471E-3,6.28471E+1,2.69803E+2
4.24250E+0,6.15692E-3,6.15692E+1,2.61207E+2
4.19200E+0,6.02722E-3,6.02722E+1,2.52661E+2
4.14150E+0,5.89848E-3,5.89848E+1,2.44285E+2
4.09100E+0,5.76496E-3,5.76496E+1,2.35845E+2
4.04050E+0,5.63240E-3,5.63240E+1,2.27577E+2
3.99000E+0,5.50556E-3,5.50556E+1,2.19672E+2
3.93950E+0,5.37491E-3,5.37491E+1,2.11745E+2
3.88900E+0,5.23949E-3,5.23949E+1,2.03764E+2
3.83850E+0,5.10883E-3,5.10883E+1,1.96103E+2
3.78800E+0,4.98009E-3,4.98009E+1,1.88646E+2
3.73750E+0,4.85325E-3,4.85325E+1,1.81390E+2
3.68700E+0,4.73213E-3,4.73213E+1,1.74474E+2
3.63650E+0,4.61388E-3,4.61388E+1,1.67784E+2
3.58600E+0,4.48036E-3,4.48036E+1,1.60666E+2
3.53550E+0,4.35448E-3,4.35448E+1,1.53953E+2
3.48500E+0,4.23718E-3,4.23717E+1,1.47666E+2
3.43450E+0,4.10938E-3,4.10938E+1,1.41137E+2
3.38400E+0,3.99113E-3,3.99113E+1,1.35060E+2
3.33350E+0,3.86906E-3,3.86906E+1,1.28975E+2
3.28300E+0,3.75748E-3,3.75748E+1,1.23358E+2
3.23250E+0,3.64208E-3,3.64208E+1,1.17730E+2
3.18200E+0,3.51906E-3,3.51906E+1,1.11976E+2
3.13150E+0,3.40271E-3,3.40271E+1,1.06556E+2
3.08100E+0,3.28350E-3,3.28350E+1,1.01165E+2
3.03050E+0,3.16906E-3,3.16906E+1,9.60384E+1
2.98000E+0,3.06225E-3,3.06225E+1,9.12550E+1
2.92950E+0,2.95067E-3,2.95067E+1,8.64398E+1
2.87900E+0,2.84386E-3,2.84386E+1,8.18746E+1
2.82850E+0,2.75040E-3,2.75040E+1,7.77950E+1
2.77800E+0,2.64358E-3,2.64358E+1,7.34388E+1
2.72750E+0,2.54536E-3,2.54536E+1,6.94246E+1
2.67700E+0,2.44522E-3,2.44522E+1,6.54586E+1
2.62650E+0,2.33936E-3,2.33936E+1,6.14434E+1
2.57600E+0,2.23732E-3,2.23732E+1,5.76334E+1
2.52550E+0,2.14481E-3,2.14481E+1,5.41673E+1
2.47450E+0,2.04754E-3,2.04754E+1,5.06664E+1
2.42400E+0,1.95980E-3,1.95980E+1,4.75056E+1
2.37350E+0,1.86920E-3,1.86920E+1,4.43655E+1
2.32300E+0,1.78146E-3,1.78146E+1,4.13834E+1
2.27250E+0,1.69945E-3,1.69945E+1,3.86200E+1
2.22200E+0,1.62125E-3,1.62125E+1,3.60241E+1
2.17150E+0,1.54114E-3,1.54114E+1,3.34658E+1
2.12100E+0,1.46198E-3,1.46198E+1,3.10087E+1
2.07050E+0,1.38474E-3,1.38473E+1,2.86709E+1
2.02000E+0,1.31607E-3,1.31607E+1,2.65846E+1
1.96950E+0,1.24454E-3,1.24454E+1,2.45113E+1
1.91900E+0,1.17683E-3,1.17683E+1,2.25834E+1
1.86850E+0,1.11103E-3,1.11103E+1,2.07596E+1
1.81800E+0,1.04809E-3,1.04809E+1,1.90542E+1
1.76750E+0,9.88007E-4,9.88007E+0,1.74630E+1
1.71700E+0,9.30786E-4,9.30786E+0,1.59816E+1
1.66650E+0,8.78334E-4,8.78334E+0,1.46374E+1
1.61600E+0,8.26836E-4,8.26836E+0,1.33617E+1
1.56550E+0,7.75337E-4,7.75337E+0,1.21379E+1
1.51500E+0,7.29561E-4,7.29561E+0,1.10528E+1
1.46450E+0,6.86646E-4,6.86645E+0,1.00559E+1
1.41400E+0,6.42777E-4,6.42776E+0,9.08886E+0
1.36350E+0,6.03676E-4,6.03676E+0,8.23112E+0
1.31300E+0,5.66483E-4,5.66483E+0,7.43792E+0
1.26250E+0,5.34058E-4,5.34058E+0,6.74248E+0
1.21200E+0,5.01633E-4,5.01633E+0,6.07979E+0
1.16150E+0,4.72069E-4,4.72069E+0,5.48308E+0
1.11100E+0,4.41551E-4,4.41551E+0,4.90563E+0
1.06050E+0,4.16756E-4,4.16756E+0,4.41969E+0
1.01000E+0,3.91960E-4,3.91960E+0,3.95880E+0
9.59500E-1,3.72887E-4,3.72887E+0,3.57785E+0
9.09000E-1,3.53813E-4,3.53813E+0,3.21616E+0
8.58500E-1,3.37601E-4,3.37601E+0,2.89830E+0
8.08000E-1,3.21388E-4,3.21388E+0,2.59682E+0
7.57500E-1,3.07083E-4,3.07083E+0,2.32615E+0
7.07000E-1,2.97546E-4,2.97546E+0,2.10365E+0
6.56500E-1,2.84195E-4,2.84195E+0,1.86574E+0
6.06000E-1,2.71797E-4,2.71797E+0,1.64709E+0
5.55500E-1,2.63214E-4,2.63214E+0,1.46215E+0
5.05000E-1,2.55585E-4,2.55585E+0,1.29070E+0
4.54500E-1,2.46048E-4,2.46048E+0,1.11829E+0
4.04000E-1,2.40326E-4,2.40326E+0,9.70917E-1
3.53500E-1,2.35558E-4,2.35558E+0,8.32696E-1
3.03000E-1,2.32696E-4,2.32696E+0,7.05070E-1
