Tested at The Flinders University of South Australia

Cell Name:,CP156Q_1
Notes:,
Cell Area (cm2):,0.100000
Temperature (C):,25.000000
Ideality [LnJ vs. V]: ,-92.642
Jsat [Ln J vs. V] (A/m2): ,1.026E+5
Jsat [Ln J vs. V] (mA/cm2): ,1.026E+4
Schottky? : ,No
SBH [Ln J vs. V] (eV): ,0.000
R-Squared [Ln J vs. V]: ,0.998



Voltage (V), Current (A), Current Density (mA/cm2), Power Density (mW/cm2)
1.00000E+1,6.85501E-3,6.85501E+1,6.85501E+2
9.94950E+0,8.28075E-3,8.28075E+1,8.23894E+2
9.89900E+0,9.30214E-3,9.30214E+1,9.20819E+2
9.84850E+0,1.02139E-2,1.02138E+2,1.00591E+3
9.79800E+0,1.11217E-2,1.11218E+2,1.08971E+3
9.74750E+0,1.20373E-2,1.20373E+2,1.17333E+3
9.69700E+0,1.29137E-2,1.29137E+2,1.25224E+3
9.64650E+0,1.37901E-2,1.37901E+2,1.33026E+3
9.59600E+0,1.46027E-2,1.46027E+2,1.40127E+3
9.54550E+0,1.55115E-2,1.55115E+2,1.48065E+3
9.49500E+0,1.63889E-2,1.63889E+2,1.55613E+3
9.44450E+0,1.70898E-2,1.70898E+2,1.61405E+3
9.39400E+0,1.79253E-2,1.79253E+2,1.68390E+3
9.34350E+0,1.86825E-2,1.86825E+2,1.74560E+3
9.29300E+0,1.94502E-2,1.94502E+2,1.80751E+3
9.24250E+0,2.01578E-2,2.01578E+2,1.86309E+3
9.19200E+0,2.08817E-2,2.08817E+2,1.91944E+3
9.14150E+0,2.16122E-2,2.16122E+2,1.97568E+3
9.09100E+0,2.23389E-2,2.23389E+2,2.03083E+3
9.04050E+0,2.29454E-2,2.29454E+2,2.07438E+3
8.99000E+0,2.34842E-2,2.34842E+2,2.11123E+3
8.93950E+0,2.40612E-2,2.40612E+2,2.15095E+3
8.88900E+0,2.45228E-2,2.45228E+2,2.17983E+3
8.83850E+0,2.50454E-2,2.50454E+2,2.21364E+3
8.78800E+0,2.55680E-2,2.55680E+2,2.24692E+3
8.73750E+0,2.60859E-2,2.60858E+2,2.27925E+3
8.68700E+0,2.64568E-2,2.64568E+2,2.29830E+3
8.63650E+0,2.69270E-2,2.69270E+2,2.32555E+3
8.58600E+0,2.72713E-2,2.72713E+2,2.34151E+3
8.53550E+0,2.76203E-2,2.76203E+2,2.35753E+3
8.48500E+0,2.79551E-2,2.79551E+2,2.37199E+3
8.43450E+0,2.83022E-2,2.83022E+2,2.38715E+3
8.38400E+0,2.85807E-2,2.85807E+2,2.39620E+3
8.33350E+0,2.89078E-2,2.89078E+2,2.40903E+3
8.28300E+0,2.92358E-2,2.92358E+2,2.42160E+3
8.23250E+0,2.95773E-2,2.95773E+2,2.43495E+3
8.18200E+0,2.98300E-2,2.98300E+2,2.44069E+3
8.13150E+0,3.02219E-2,3.02219E+2,2.45750E+3
8.08100E+0,3.05128E-2,3.05128E+2,2.46574E+3
8.03050E+0,3.08600E-2,3.08599E+2,2.47821E+3
7.98000E+0,3.10306E-2,3.10306E+2,2.47625E+3
7.92950E+0,3.12900E-2,3.12900E+2,2.48114E+3
7.87900E+0,3.16591E-2,3.16591E+2,2.49442E+3
7.82850E+0,3.19452E-2,3.19452E+2,2.50083E+3
7.77800E+0,3.21837E-2,3.21836E+2,2.50324E+3
7.72750E+0,3.23248E-2,3.23248E+2,2.49790E+3
7.67700E+0,3.24898E-2,3.24898E+2,2.49424E+3
7.62650E+0,3.27015E-2,3.27015E+2,2.49398E+3
7.57600E+0,3.28598E-2,3.28598E+2,2.48946E+3
7.52550E+0,3.30820E-2,3.30820E+2,2.48959E+3
7.47500E+0,3.29418E-2,3.29418E+2,2.46240E+3
7.42450E+0,3.29752E-2,3.29752E+2,2.44824E+3
7.37400E+0,3.29409E-2,3.29409E+2,2.42906E+3
7.32300E+0,3.28321E-2,3.28321E+2,2.40430E+3
7.27250E+0,3.26509E-2,3.26509E+2,2.37454E+3
7.22200E+0,3.24650E-2,3.24650E+2,2.34462E+3
7.17150E+0,3.23486E-2,3.23486E+2,2.31988E+3
7.12100E+0,3.21121E-2,3.21121E+2,2.28670E+3
7.07050E+0,3.18327E-2,3.18327E+2,2.25073E+3
7.02000E+0,3.14712E-2,3.14712E+2,2.20928E+3
6.96950E+0,3.10106E-2,3.10106E+2,2.16129E+3
6.91900E+0,3.06034E-2,3.06034E+2,2.11745E+3
6.86850E+0,3.00484E-2,3.00484E+2,2.06387E+3
6.81800E+0,2.95553E-2,2.95553E+2,2.01508E+3
6.76750E+0,2.90546E-2,2.90546E+2,1.96627E+3
6.71700E+0,2.84901E-2,2.84901E+2,1.91368E+3
6.66650E+0,2.80523E-2,2.80523E+2,1.87011E+3
6.61600E+0,2.74773E-2,2.74773E+2,1.81790E+3
6.56550E+0,2.69079E-2,2.69079E+2,1.76664E+3
6.51500E+0,2.62928E-2,2.62928E+2,1.71298E+3
6.46450E+0,2.55995E-2,2.55995E+2,1.65488E+3
6.41400E+0,2.49968E-2,2.49968E+2,1.60329E+3
6.36350E+0,2.43168E-2,2.43168E+2,1.54740E+3
6.31300E+0,2.36654E-2,2.36654E+2,1.49400E+3
6.26250E+0,2.31409E-2,2.31409E+2,1.44920E+3
6.21200E+0,2.26145E-2,2.26145E+2,1.40481E+3
6.16150E+0,2.19431E-2,2.19431E+2,1.35202E+3
6.11100E+0,2.13232E-2,2.13232E+2,1.30306E+3
6.06050E+0,2.07462E-2,2.07462E+2,1.25733E+3
6.01000E+0,2.02293E-2,2.02293E+2,1.21578E+3
5.95950E+0,1.96657E-2,1.96657E+2,1.17198E+3
5.90900E+0,1.91240E-2,1.91240E+2,1.13004E+3
5.85850E+0,1.85986E-2,1.85986E+2,1.08960E+3
5.80800E+0,1.80521E-2,1.80521E+2,1.04847E+3
5.75750E+0,1.75295E-2,1.75295E+2,1.00926E+3
5.70700E+0,1.69926E-2,1.69926E+2,9.69766E+2
5.65650E+0,1.64852E-2,1.64852E+2,9.32486E+2
5.60600E+0,1.60246E-2,1.60246E+2,8.98339E+2
5.55550E+0,1.56574E-2,1.56574E+2,8.69848E+2
5.50500E+0,1.51968E-2,1.51968E+2,8.36584E+2
5.45450E+0,1.47915E-2,1.47915E+2,8.06802E+2
5.40400E+0,1.43833E-2,1.43833E+2,7.77275E+2
5.35350E+0,1.40104E-2,1.40104E+2,7.50048E+2
5.30300E+0,1.36719E-2,1.36719E+2,7.25020E+2
5.25250E+0,1.33362E-2,1.33362E+2,7.00483E+2
5.20200E+0,1.29461E-2,1.29461E+2,6.73458E+2
5.15150E+0,1.25771E-2,1.25771E+2,6.47907E+2
5.10100E+0,1.22299E-2,1.22299E+2,6.23848E+2
5.05050E+0,1.19295E-2,1.19295E+2,6.02500E+2
5.00000E+0,1.15576E-2,1.15576E+2,5.77879E+2
4.94950E+0,1.12848E-2,1.12848E+2,5.58543E+2
4.89900E+0,1.09949E-2,1.09949E+2,5.38641E+2
4.84850E+0,1.06783E-2,1.06783E+2,5.17737E+2
4.79800E+0,1.04322E-2,1.04322E+2,5.00539E+2
4.74750E+0,1.01461E-2,1.01461E+2,4.81688E+2
4.69700E+0,9.88293E-3,9.88293E+1,4.64201E+2
4.64650E+0,9.60731E-3,9.60731E+1,4.46404E+2
4.59600E+0,9.31835E-3,9.31835E+1,4.28271E+2
4.54550E+0,9.05323E-3,9.05323E+1,4.11515E+2
4.49500E+0,8.78715E-3,8.78715E+1,3.94983E+2
4.44450E+0,8.54588E-3,8.54588E+1,3.79821E+2
4.39400E+0,8.32272E-3,8.32272E+1,3.65700E+2
4.34350E+0,8.06618E-3,8.06618E+1,3.50354E+2
4.29300E+0,7.87735E-3,7.87735E+1,3.38175E+2
4.24250E+0,7.63130E-3,7.63130E+1,3.23758E+2
4.19200E+0,7.38811E-3,7.38811E+1,3.09710E+2
4.14150E+0,7.14207E-3,7.14207E+1,2.95789E+2
4.09100E+0,6.93417E-3,6.93417E+1,2.83677E+2
