Tested at The Flinders University of South Australia

Cell Name:,CP156Q_6
Notes:,
Cell Area (cm2):,0.100000
Temperature (C):,25.000000
Ideality [LnJ vs. V]: ,81.081
Jsat [Ln J vs. V] (A/m2): ,8.393E+0
Jsat [Ln J vs. V] (mA/cm2): ,8.393E-1
Schottky? : ,No
SBH [Ln J vs. V] (eV): ,0.000
R-Squared [Ln J vs. V]: ,0.460



Voltage (V), Current (A), Current Density (mA/cm2), Power Density (mW/cm2)
1.00000E+1,6.24752E-3,6.24752E+1,6.24752E+2
9.94950E+0,6.64329E-3,6.64329E+1,6.60975E+2
9.89900E+0,6.93321E-3,6.93321E+1,6.86319E+2
9.84850E+0,7.14111E-3,7.14111E+1,7.03293E+2
9.79800E+0,7.33185E-3,7.33185E+1,7.18374E+2
9.74750E+0,7.52258E-3,7.52258E+1,7.33264E+2
9.69700E+0,7.66277E-3,7.66277E+1,7.43059E+2
9.64650E+0,7.80010E-3,7.80010E+1,7.52437E+2
9.59600E+0,7.94125E-3,7.94125E+1,7.62042E+2
9.54550E+0,7.95460E-3,7.95460E+1,7.59306E+2
9.49500E+0,8.21781E-3,8.21781E+1,7.80281E+2
9.44450E+0,8.04329E-3,8.04329E+1,7.59648E+2
9.39400E+0,7.39002E-3,7.39002E+1,6.94219E+2
9.34350E+0,8.47340E-3,8.47340E+1,7.91712E+2
9.29300E+0,7.26700E-3,7.26700E+1,6.75322E+2
9.24250E+0,7.58171E-3,7.58171E+1,7.00740E+2
9.19200E+0,7.58839E-3,7.58839E+1,6.97525E+2
9.14150E+0,7.68852E-3,7.68852E+1,7.02846E+2
9.09100E+0,7.84206E-3,7.84206E+1,7.12922E+2
9.04050E+0,8.23116E-3,8.23116E+1,7.44138E+2
8.99000E+0,8.79574E-3,8.79574E+1,7.90737E+2
8.93950E+0,8.71468E-3,8.71468E+1,7.79048E+2
8.88900E+0,8.63075E-3,8.63075E+1,7.67188E+2
8.83850E+0,8.63647E-3,8.63647E+1,7.63335E+2
8.78800E+0,8.66127E-3,8.66127E+1,7.61152E+2
8.73750E+0,8.56209E-3,8.56209E+1,7.48112E+2
8.68700E+0,8.59642E-3,8.59642E+1,7.46771E+2
8.63650E+0,8.90541E-3,8.90541E+1,7.69116E+2
8.58600E+0,8.95500E-3,8.95500E+1,7.68876E+2
8.53550E+0,9.00650E-3,9.00650E+1,7.68750E+2
8.48500E+0,9.02843E-3,9.02843E+1,7.66063E+2
8.43450E+0,8.62312E-3,8.62312E+1,7.27317E+2
8.38400E+0,9.20105E-3,9.20105E+1,7.71416E+2
8.33350E+0,9.17721E-3,9.17721E+1,7.64783E+2
8.28300E+0,9.32121E-3,9.32121E+1,7.72076E+2
8.23250E+0,9.42039E-3,9.42039E+1,7.75534E+2
8.18200E+0,9.46426E-3,9.46426E+1,7.74366E+2
8.13150E+0,9.52435E-3,9.52434E+1,7.74472E+2
8.08100E+0,9.57680E-3,9.57680E+1,7.73901E+2
8.03050E+0,9.81712E-3,9.81712E+1,7.88364E+2
7.98000E+0,1.01452E-2,1.01452E+2,8.09586E+2
7.92950E+0,1.04198E-2,1.04198E+2,8.26242E+2
7.87900E+0,1.03626E-2,1.03626E+2,8.16472E+2
7.82850E+0,1.04055E-2,1.04055E+2,8.14598E+2
7.77800E+0,1.05820E-2,1.05820E+2,8.23066E+2
7.72750E+0,1.05801E-2,1.05801E+2,8.17574E+2
7.67700E+0,1.05991E-2,1.05991E+2,8.13696E+2
7.62650E+0,1.05763E-2,1.05762E+2,8.06598E+2
7.57600E+0,1.04036E-2,1.04036E+2,7.88179E+2
7.52550E+0,1.05152E-2,1.05152E+2,7.91322E+2
7.47500E+0,1.06144E-2,1.06144E+2,7.93426E+2
7.42450E+0,1.06611E-2,1.06611E+2,7.91536E+2
7.37400E+0,1.07851E-2,1.07851E+2,7.95293E+2
7.32300E+0,1.10731E-2,1.10731E+2,8.10884E+2
7.27250E+0,1.10674E-2,1.10674E+2,8.04876E+2
7.22200E+0,1.09129E-2,1.09129E+2,7.88130E+2
7.17150E+0,1.10560E-2,1.10559E+2,7.92877E+2
7.12100E+0,1.12944E-2,1.12944E+2,8.04271E+2
7.07050E+0,1.15299E-2,1.15299E+2,8.15223E+2
7.02000E+0,1.15786E-2,1.15786E+2,8.12815E+2
6.96950E+0,1.18132E-2,1.18132E+2,8.23318E+2
