Tested at The Flinders University of South Australia

Cell Name:,CP156Q_4R
Notes:,
Cell Area (cm2):,0.100000
Temperature (C):,25.000000
Ideality [LnJ vs. V]: ,52.585
Jsat [Ln J vs. V] (A/m2): ,4.546E+0
Jsat [Ln J vs. V] (mA/cm2): ,4.546E-1
Schottky? : ,No
SBH [Ln J vs. V] (eV): ,0.000
R-Squared [Ln J vs. V]: ,1.000



Voltage (V), Current (A), Current Density (mA/cm2), Power Density (mW/cm2)
1.00000E+1,4.35343E-2,4.35343E+2,4.35343E+3
9.94950E+0,5.46274E-2,5.46274E+2,5.43516E+3
9.89900E+0,5.74665E-2,5.74665E+2,5.68861E+3
9.84850E+0,5.82228E-2,5.82228E+2,5.73407E+3
9.79800E+0,5.80149E-2,5.80149E+2,5.68430E+3
9.74750E+0,5.71642E-2,5.71642E+2,5.57208E+3
9.69700E+0,5.61066E-2,5.61066E+2,5.44065E+3
9.64650E+0,5.48830E-2,5.48830E+2,5.29429E+3
9.59600E+0,5.35173E-2,5.35173E+2,5.13552E+3
9.54550E+0,5.20048E-2,5.20048E+2,4.96412E+3
9.49500E+0,5.04522E-2,5.04522E+2,4.79044E+3
9.44450E+0,4.88167E-2,4.88167E+2,4.61049E+3
9.39400E+0,4.71726E-2,4.71725E+2,4.43139E+3
9.34350E+0,4.54931E-2,4.54931E+2,4.25065E+3
9.29300E+0,4.39262E-2,4.39262E+2,4.08207E+3
9.24250E+0,4.24128E-2,4.24128E+2,3.92000E+3
9.19200E+0,4.08583E-2,4.08583E+2,3.75569E+3
9.14150E+0,3.93515E-2,3.93515E+2,3.59731E+3
9.09100E+0,3.79181E-2,3.79181E+2,3.44713E+3
9.04050E+0,3.65543E-2,3.65543E+2,3.30470E+3
8.99000E+0,3.52240E-2,3.52240E+2,3.16663E+3
8.93950E+0,3.39556E-2,3.39556E+2,3.03546E+3
8.88900E+0,3.28340E-2,3.28340E+2,2.91862E+3
8.83850E+0,3.16973E-2,3.16973E+2,2.80156E+3
8.78800E+0,3.06339E-2,3.06339E+2,2.69211E+3
8.73750E+0,2.96335E-2,2.96335E+2,2.58923E+3
8.68700E+0,2.86684E-2,2.86684E+2,2.49042E+3
8.63650E+0,2.78082E-2,2.78082E+2,2.40165E+3
8.58600E+0,2.69346E-2,2.69346E+2,2.31261E+3
8.53550E+0,2.60982E-2,2.60983E+2,2.22762E+3
8.48500E+0,2.53201E-2,2.53201E+2,2.14841E+3
8.43450E+0,2.45819E-2,2.45819E+2,2.07336E+3
8.38400E+0,2.38981E-2,2.38981E+2,2.00362E+3
8.33350E+0,2.32906E-2,2.32906E+2,1.94092E+3
8.28300E+0,2.26488E-2,2.26488E+2,1.87600E+3
8.23250E+0,2.21071E-2,2.21071E+2,1.81997E+3
8.18200E+0,2.15778E-2,2.15778E+2,1.76550E+3
8.13150E+0,2.10533E-2,2.10533E+2,1.71195E+3
8.08100E+0,2.05755E-2,2.05755E+2,1.66271E+3
8.03050E+0,2.00930E-2,2.00930E+2,1.61357E+3
7.98000E+0,1.96619E-2,1.96619E+2,1.56902E+3
7.92950E+0,1.92327E-2,1.92327E+2,1.52506E+3
7.87900E+0,1.88303E-2,1.88303E+2,1.48364E+3
7.82850E+0,1.84479E-2,1.84479E+2,1.44419E+3
7.77800E+0,1.80702E-2,1.80702E+2,1.40550E+3
7.72750E+0,1.77136E-2,1.77136E+2,1.36881E+3
7.67700E+0,1.73645E-2,1.73645E+2,1.33307E+3
7.62650E+0,1.70326E-2,1.70326E+2,1.29899E+3
7.57600E+0,1.67275E-2,1.67274E+2,1.26727E+3
7.52550E+0,1.64509E-2,1.64509E+2,1.23801E+3
7.47500E+0,1.61533E-2,1.61533E+2,1.20746E+3
7.42450E+0,1.58777E-2,1.58777E+2,1.17884E+3
7.37400E+0,1.55735E-2,1.55735E+2,1.14839E+3
7.32300E+0,1.53227E-2,1.53227E+2,1.12208E+3
7.27250E+0,1.50671E-2,1.50671E+2,1.09575E+3
7.22200E+0,1.48125E-2,1.48125E+2,1.06976E+3
7.17150E+0,1.45893E-2,1.45893E+2,1.04627E+3
7.12100E+0,1.43518E-2,1.43518E+2,1.02199E+3
7.07050E+0,1.41258E-2,1.41258E+2,9.98766E+2
7.02000E+0,1.38931E-2,1.38931E+2,9.75298E+2
6.96950E+0,1.36747E-2,1.36747E+2,9.53061E+2
6.91900E+0,1.34516E-2,1.34516E+2,9.30715E+2
6.86850E+0,1.32275E-2,1.32275E+2,9.08528E+2
6.81800E+0,1.30100E-2,1.30100E+2,8.87024E+2
6.76750E+0,1.28079E-2,1.28079E+2,8.66771E+2
6.71700E+0,1.26066E-2,1.26066E+2,8.46787E+2
6.66650E+0,1.24121E-2,1.24121E+2,8.27451E+2
6.61600E+0,1.22213E-2,1.22213E+2,8.08564E+2
6.56550E+0,1.20325E-2,1.20325E+2,7.89994E+2
6.51500E+0,1.18437E-2,1.18437E+2,7.71616E+2
6.46450E+0,1.16510E-2,1.16510E+2,7.53181E+2
6.41400E+0,1.14622E-2,1.14622E+2,7.35186E+2
6.36350E+0,1.12791E-2,1.12791E+2,7.17746E+2
6.31300E+0,1.11055E-2,1.11055E+2,7.01093E+2
6.26250E+0,1.09110E-2,1.09110E+2,6.83301E+2
6.21200E+0,1.07250E-2,1.07250E+2,6.66238E+2
6.16150E+0,1.05495E-2,1.05495E+2,6.50011E+2
6.11100E+0,1.03779E-2,1.03779E+2,6.34192E+2
6.06050E+0,1.02005E-2,1.02005E+2,6.18201E+2
6.01000E+0,1.00288E-2,1.00288E+2,6.02733E+2
5.95950E+0,9.85527E-3,9.85527E+1,5.87325E+2
