Tested at The Flinders University of South Australia

Cell Name:,CP156Q_5R
Notes:,
Cell Area (cm2):,0.100000
Temperature (C):,25.000000
Ideality [LnJ vs. V]: ,27.052
Jsat [Ln J vs. V] (A/m2): ,1.059E-2
Jsat [Ln J vs. V] (mA/cm2): ,1.059E-3
Schottky? : ,No
SBH [Ln J vs. V] (eV): ,0.000
R-Squared [Ln J vs. V]: ,1.000



Voltage (V), Current (A), Current Density (mA/cm2), Power Density (mW/cm2)
1.00000E+1,9.49936E-2,9.49936E+2,9.49936E+3
9.94950E+0,1.23906E-1,1.23906E+3,1.23280E+4
9.89900E+0,1.30938E-1,1.30938E+3,1.29615E+4
9.84850E+0,1.31719E-1,1.31719E+3,1.29723E+4
9.79800E+0,1.29250E-1,1.29250E+3,1.26640E+4
9.74750E+0,1.24562E-1,1.24562E+3,1.21417E+4
9.69700E+0,1.18236E-1,1.18236E+3,1.14653E+4
9.64650E+0,1.11359E-1,1.11359E+3,1.07422E+4
9.59600E+0,1.04171E-1,1.04171E+3,9.99623E+3
9.54550E+0,9.70554E-2,9.70554E+2,9.26443E+3
9.49500E+0,9.03568E-2,9.03568E+2,8.57938E+3
9.44450E+0,8.39615E-2,8.39615E+2,7.92974E+3
9.39400E+0,7.80735E-2,7.80735E+2,7.33422E+3
9.34350E+0,7.26719E-2,7.26719E+2,6.79010E+3
9.29300E+0,6.78835E-2,6.78835E+2,6.30841E+3
9.24250E+0,6.32925E-2,6.32925E+2,5.84981E+3
9.19200E+0,5.90420E-2,5.90420E+2,5.42714E+3
9.14150E+0,5.52130E-2,5.52130E+2,5.04729E+3
9.09100E+0,5.17044E-2,5.17044E+2,4.70045E+3
9.04050E+0,4.85582E-2,4.85582E+2,4.38991E+3
8.99000E+0,4.56743E-2,4.56743E+2,4.10612E+3
8.93950E+0,4.30203E-2,4.30202E+2,3.84580E+3
8.88900E+0,4.04653E-2,4.04653E+2,3.59696E+3
8.83850E+0,3.82729E-2,3.82729E+2,3.38275E+3
8.78800E+0,3.62091E-2,3.62091E+2,3.18206E+3
8.73750E+0,3.43542E-2,3.43542E+2,3.00170E+3
8.68700E+0,3.26300E-2,3.26300E+2,2.83457E+3
8.63650E+0,3.10965E-2,3.10965E+2,2.68565E+3
8.58600E+0,2.96755E-2,2.96755E+2,2.54794E+3
8.53550E+0,2.83680E-2,2.83680E+2,2.42135E+3
8.48500E+0,2.71759E-2,2.71759E+2,2.30588E+3
8.43450E+0,2.60706E-2,2.60706E+2,2.19892E+3
8.38400E+0,2.50711E-2,2.50711E+2,2.10196E+3
8.33350E+0,2.41070E-2,2.41070E+2,2.00896E+3
8.28300E+0,2.32220E-2,2.32220E+2,1.92348E+3
8.23250E+0,2.24028E-2,2.24028E+2,1.84431E+3
8.18200E+0,2.16932E-2,2.16932E+2,1.77494E+3
8.13150E+0,2.10142E-2,2.10142E+2,1.70877E+3
8.08100E+0,2.03953E-2,2.03953E+2,1.64814E+3
8.03050E+0,1.98336E-2,1.98336E+2,1.59273E+3
7.98000E+0,1.93148E-2,1.93148E+2,1.54132E+3
7.92950E+0,1.88074E-2,1.88074E+2,1.49133E+3
7.87900E+0,1.83144E-2,1.83144E+2,1.44299E+3
7.82850E+0,1.78909E-2,1.78909E+2,1.40059E+3
7.77800E+0,1.74942E-2,1.74942E+2,1.36070E+3
7.72750E+0,1.71509E-2,1.71509E+2,1.32533E+3
7.67700E+0,1.67942E-2,1.67942E+2,1.28929E+3
7.62650E+0,1.64766E-2,1.64766E+2,1.25659E+3
7.57600E+0,1.61991E-2,1.61991E+2,1.22724E+3
7.52550E+0,1.58949E-2,1.58949E+2,1.19617E+3
7.47500E+0,1.56164E-2,1.56164E+2,1.16733E+3
7.42450E+0,1.53952E-2,1.53952E+2,1.14301E+3
7.37400E+0,1.51424E-2,1.51424E+2,1.11660E+3
7.32300E+0,1.49345E-2,1.49345E+2,1.09366E+3
7.27250E+0,1.47085E-2,1.47085E+2,1.06968E+3
7.22200E+0,1.45264E-2,1.45264E+2,1.04909E+3
7.17150E+0,1.43480E-2,1.43480E+2,1.02897E+3
7.12100E+0,1.41811E-2,1.41811E+2,1.00984E+3
7.07050E+0,1.40009E-2,1.40009E+2,9.89933E+2
7.02000E+0,1.38578E-2,1.38578E+2,9.72820E+2
6.96950E+0,1.37377E-2,1.37377E+2,9.57448E+2
6.91900E+0,1.35593E-2,1.35593E+2,9.38171E+2
6.86850E+0,1.34125E-2,1.34125E+2,9.21236E+2
6.81800E+0,1.32637E-2,1.32637E+2,9.04319E+2
6.76750E+0,1.31474E-2,1.31474E+2,8.89747E+2
6.71700E+0,1.30234E-2,1.30234E+2,8.74780E+2
6.66650E+0,1.28946E-2,1.28946E+2,8.59621E+2
6.61600E+0,1.27602E-2,1.27602E+2,8.44212E+2
6.56550E+0,1.26352E-2,1.26352E+2,8.29566E+2
6.51500E+0,1.25132E-2,1.25132E+2,8.15232E+2
6.46450E+0,1.23711E-2,1.23711E+2,7.99727E+2
6.41400E+0,1.22404E-2,1.22404E+2,7.85100E+2
6.36350E+0,1.21155E-2,1.21155E+2,7.70969E+2
6.31300E+0,1.20010E-2,1.20010E+2,7.57626E+2
6.26250E+0,1.18608E-2,1.18608E+2,7.42786E+2
6.21200E+0,1.17235E-2,1.17235E+2,7.28265E+2
6.16150E+0,1.16062E-2,1.16062E+2,7.15117E+2
6.11100E+0,1.14689E-2,1.14689E+2,7.00864E+2
6.06050E+0,1.13430E-2,1.13430E+2,6.87443E+2
6.01000E+0,1.12076E-2,1.12076E+2,6.73576E+2
