Tested at The Flinders University of South Australia

Cell Name:,CP156R_2
Notes:,
Cell Area (cm2):,0.100000
Temperature (C):,25.000000
Ideality [LnJ vs. V]: ,282.115
Jsat [Ln J vs. V] (A/m2): ,2.184E+2
Jsat [Ln J vs. V] (mA/cm2): ,2.184E+1
Schottky? : ,No
SBH [Ln J vs. V] (eV): ,0.000
R-Squared [Ln J vs. V]: ,0.984



Voltage (V), Current (A), Current Density (mA/cm2), Power Density (mW/cm2)
1.00000E+1,6.23894E-3,6.23894E+1,6.23894E+2
9.94950E+0,6.56891E-3,6.56891E+1,6.53574E+2
9.89900E+0,6.84547E-3,6.84547E+1,6.77633E+2
9.84850E+0,7.04193E-3,7.04193E+1,6.93525E+2
9.79800E+0,7.20215E-3,7.20215E+1,7.05666E+2
9.74750E+0,7.31945E-3,7.31945E+1,7.13463E+2
9.69700E+0,7.42245E-3,7.42245E+1,7.19755E+2
9.64650E+0,7.53593E-3,7.53593E+1,7.26954E+2
9.59600E+0,7.57790E-3,7.57790E+1,7.27175E+2
9.54550E+0,7.61986E-3,7.61986E+1,7.27354E+2
9.49500E+0,7.65324E-3,7.65324E+1,7.26675E+2
9.44450E+0,7.69901E-3,7.69901E+1,7.27133E+2
9.39400E+0,7.70473E-3,7.70473E+1,7.23783E+2
9.34350E+0,7.69711E-3,7.69711E+1,7.19179E+2
9.29300E+0,7.68471E-3,7.68471E+1,7.14140E+2
9.24250E+0,7.70760E-3,7.70760E+1,7.12375E+2
9.19200E+0,7.68566E-3,7.68566E+1,7.06466E+2
9.14150E+0,7.66468E-3,7.66468E+1,7.00667E+2
9.09100E+0,7.65514E-3,7.65514E+1,6.95929E+2
9.04050E+0,7.59029E-3,7.59029E+1,6.86201E+2
8.99000E+0,7.55787E-3,7.55787E+1,6.79452E+2
8.93950E+0,7.49016E-3,7.49016E+1,6.69583E+2
8.88900E+0,7.47395E-3,7.47395E+1,6.64359E+2
8.83850E+0,7.42912E-3,7.42912E+1,6.56623E+2
8.78800E+0,7.36713E-3,7.36713E+1,6.47424E+2
8.73750E+0,7.33852E-3,7.33852E+1,6.41204E+2
8.68700E+0,7.28607E-3,7.28607E+1,6.32941E+2
8.63650E+0,7.23648E-3,7.23648E+1,6.24979E+2
8.58600E+0,7.21168E-3,7.21168E+1,6.19195E+2
8.53550E+0,7.13062E-3,7.13062E+1,6.08634E+2
8.48500E+0,7.10773E-3,7.10773E+1,6.03091E+2
8.43450E+0,7.06101E-3,7.06100E+1,5.95560E+2
8.38400E+0,6.99139E-3,6.99139E+1,5.86158E+2
8.33350E+0,6.97422E-3,6.97422E+1,5.81197E+2
8.28300E+0,6.92844E-3,6.92844E+1,5.73883E+2
8.23250E+0,6.84833E-3,6.84834E+1,5.63789E+2
8.18200E+0,6.82163E-3,6.82163E+1,5.58146E+2
8.13150E+0,6.77967E-3,6.77967E+1,5.51289E+2
8.08100E+0,6.75774E-3,6.75774E+1,5.46093E+2
8.03050E+0,6.75297E-3,6.75297E+1,5.42297E+2
7.98000E+0,6.70242E-3,6.70242E+1,5.34853E+2
7.92950E+0,6.69479E-3,6.69479E+1,5.30864E+2
7.87900E+0,6.68812E-3,6.68812E+1,5.26957E+2
7.82850E+0,6.70147E-3,6.70147E+1,5.24625E+2
7.77800E+0,6.65283E-3,6.65283E+1,5.17457E+2
7.72750E+0,6.64139E-3,6.64139E+1,5.13213E+2
7.67700E+0,6.60133E-3,6.60133E+1,5.06784E+2
7.62650E+0,6.62327E-3,6.62327E+1,5.05124E+2
7.57600E+0,6.68240E-3,6.68240E+1,5.06258E+2
