Tested at The Flinders University of South Australia

Cell Name:,CP156R_5
Notes:,
Cell Area (cm2):,0.100000
Temperature (C):,25.000000
Ideality [LnJ vs. V]: ,-2349.938
Jsat [Ln J vs. V] (A/m2): ,1.153E+3
Jsat [Ln J vs. V] (mA/cm2): ,1.153E+2
Schottky? : ,No
SBH [Ln J vs. V] (eV): ,0.000
R-Squared [Ln J vs. V]: ,0.232



Voltage (V), Current (A), Current Density (mA/cm2), Power Density (mW/cm2)
1.00000E+1,6.54030E-3,6.54030E+1,6.54030E+2
9.94950E+0,7.37190E-3,7.37190E+1,7.33467E+2
9.89900E+0,7.80296E-3,7.80296E+1,7.72415E+2
9.84850E+0,8.11481E-3,8.11481E+1,7.99188E+2
9.79800E+0,8.39233E-3,8.39233E+1,8.22281E+2
9.74750E+0,8.62980E-3,8.62980E+1,8.41190E+2
9.69700E+0,8.83770E-3,8.83770E+1,8.56992E+2
9.64650E+0,8.98933E-3,8.98933E+1,8.67156E+2
9.59600E+0,9.14383E-3,9.14383E+1,8.77442E+2
9.54550E+0,9.30214E-3,9.30214E+1,8.87936E+2
9.49500E+0,9.40990E-3,9.40990E+1,8.93470E+2
9.44450E+0,9.50623E-3,9.50623E+1,8.97816E+2
9.39400E+0,9.61113E-3,9.61113E+1,9.02870E+2
9.34350E+0,9.68456E-3,9.68456E+1,9.04877E+2
9.29300E+0,9.76181E-3,9.76181E+1,9.07165E+2
9.24250E+0,9.78279E-3,9.78279E+1,9.04174E+2
9.19200E+0,9.83810E-3,9.83810E+1,9.04319E+2
9.14150E+0,9.86290E-3,9.86290E+1,9.01617E+2
9.09100E+0,9.90486E-3,9.90486E+1,9.00451E+2
9.04050E+0,9.93538E-3,9.93538E+1,8.98208E+2
8.99000E+0,9.95827E-3,9.95827E+1,8.95248E+2
8.93950E+0,9.92489E-3,9.92489E+1,8.87235E+2
8.88900E+0,9.97734E-3,9.97734E+1,8.86886E+2
8.83850E+0,9.96971E-3,9.96971E+1,8.81173E+2
8.78800E+0,9.99355E-3,9.99355E+1,8.78233E+2
8.73750E+0,1.00374E-2,1.00374E+2,8.77020E+2
8.68700E+0,1.00622E-2,1.00622E+2,8.74105E+2
8.63650E+0,1.01004E-2,1.01004E+2,8.72318E+2
8.58600E+0,1.01776E-2,1.01776E+2,8.73850E+2
8.53550E+0,1.02587E-2,1.02587E+2,8.75629E+2
8.48500E+0,1.03569E-2,1.03569E+2,8.78783E+2
8.43450E+0,1.03750E-2,1.03750E+2,8.75081E+2
8.38400E+0,1.04494E-2,1.04494E+2,8.76079E+2
8.33350E+0,1.05486E-2,1.05486E+2,8.79067E+2
8.28300E+0,1.06516E-2,1.06516E+2,8.82271E+2
8.23250E+0,1.07222E-2,1.07222E+2,8.82702E+2
8.18200E+0,1.07660E-2,1.07660E+2,8.80877E+2
8.13150E+0,1.09253E-2,1.09253E+2,8.88390E+2
8.08100E+0,1.09854E-2,1.09854E+2,8.87728E+2
8.03050E+0,1.11275E-2,1.11275E+2,8.93591E+2
7.98000E+0,1.13287E-2,1.13287E+2,9.04030E+2
7.92950E+0,1.14002E-2,1.14002E+2,9.03980E+2
7.87900E+0,1.15175E-2,1.15175E+2,9.07465E+2
7.82850E+0,1.16701E-2,1.16701E+2,9.13595E+2
7.77800E+0,1.18427E-2,1.18427E+2,9.21128E+2
7.72750E+0,1.19906E-2,1.19906E+2,9.26570E+2
7.67700E+0,1.21355E-2,1.21355E+2,9.31643E+2
7.62650E+0,1.22929E-2,1.22929E+2,9.37515E+2
7.57600E+0,1.24016E-2,1.24016E+2,9.39544E+2
7.52550E+0,1.25980E-2,1.25980E+2,9.48066E+2
7.47500E+0,1.27440E-2,1.27439E+2,9.52610E+2
7.42450E+0,1.28422E-2,1.28422E+2,9.53468E+2
7.37400E+0,1.29919E-2,1.29919E+2,9.58023E+2
7.32300E+0,1.31073E-2,1.31073E+2,9.59848E+2
7.27250E+0,1.32608E-2,1.32608E+2,9.64395E+2
7.22200E+0,1.33181E-2,1.33181E+2,9.61830E+2
7.17150E+0,1.35174E-2,1.35174E+2,9.69399E+2
7.12100E+0,1.35956E-2,1.35956E+2,9.68141E+2
7.07050E+0,1.37720E-2,1.37720E+2,9.73750E+2
7.02000E+0,1.38617E-2,1.38617E+2,9.73089E+2
6.96950E+0,1.39341E-2,1.39341E+2,9.71140E+2
6.91900E+0,1.40161E-2,1.40161E+2,9.69777E+2
6.86850E+0,1.40982E-2,1.40982E+2,9.68333E+2
6.81800E+0,1.41258E-2,1.41258E+2,9.63098E+2
6.76750E+0,1.42813E-2,1.42813E+2,9.66485E+2
6.71700E+0,1.42498E-2,1.42498E+2,9.57159E+2
6.66650E+0,1.43204E-2,1.43204E+2,9.54667E+2
6.61600E+0,1.43204E-2,1.43204E+2,9.47436E+2
6.56550E+0,1.42860E-2,1.42860E+2,9.37950E+2
6.51500E+0,1.43433E-2,1.43433E+2,9.34463E+2
6.46450E+0,1.43528E-2,1.43528E+2,9.27837E+2
6.41400E+0,1.43061E-2,1.43061E+2,9.17591E+2
6.36350E+0,1.42698E-2,1.42698E+2,9.08061E+2
6.31300E+0,1.42689E-2,1.42689E+2,9.00794E+2
6.26250E+0,1.41840E-2,1.41840E+2,8.88273E+2
6.21200E+0,1.41811E-2,1.41811E+2,8.80932E+2
6.16150E+0,1.40781E-2,1.40781E+2,8.67425E+2
6.11100E+0,1.40352E-2,1.40352E+2,8.57692E+2
6.06050E+0,1.38807E-2,1.38807E+2,8.41242E+2
6.01000E+0,1.37024E-2,1.37024E+2,8.23514E+2
5.95950E+0,1.35527E-2,1.35527E+2,8.07671E+2
5.90900E+0,1.34735E-2,1.34735E+2,7.96150E+2
5.85850E+0,1.33553E-2,1.33553E+2,7.82418E+2
5.80800E+0,1.32027E-2,1.32027E+2,7.66811E+2
5.75750E+0,1.31216E-2,1.31216E+2,7.55476E+2
5.70700E+0,1.29156E-2,1.29156E+2,7.37094E+2
5.65650E+0,1.27096E-2,1.27096E+2,7.18920E+2
5.60600E+0,1.24750E-2,1.24750E+2,6.99349E+2
5.55550E+0,1.23367E-2,1.23367E+2,6.85367E+2
5.50500E+0,1.22061E-2,1.22061E+2,6.71945E+2
5.45450E+0,1.19877E-2,1.19877E+2,6.53869E+2
5.40400E+0,1.17540E-2,1.17540E+2,6.35188E+2
5.35350E+0,1.15871E-2,1.15871E+2,6.20318E+2
5.30300E+0,1.14498E-2,1.14498E+2,6.07183E+2
5.25250E+0,1.12782E-2,1.12782E+2,5.92385E+2
5.20200E+0,1.10922E-2,1.10922E+2,5.77016E+2
5.15150E+0,1.09053E-2,1.09053E+2,5.61785E+2
5.10100E+0,1.06878E-2,1.06878E+2,5.45186E+2
5.05050E+0,1.05066E-2,1.05066E+2,5.30637E+2
5.00000E+0,1.02873E-2,1.02873E+2,5.14364E+2
4.94950E+0,1.00412E-2,1.00412E+2,4.96991E+2
4.89900E+0,9.82761E-3,9.82761E+1,4.81455E+2
4.84850E+0,9.65977E-3,9.65977E+1,4.68354E+2
4.79800E+0,9.39369E-3,9.39369E+1,4.50709E+2
4.74750E+0,9.20105E-3,9.20105E+1,4.36820E+2
4.69700E+0,8.99029E-3,8.99029E+1,4.22274E+2
4.64650E+0,8.79478E-3,8.79478E+1,4.08650E+2
4.59600E+0,8.60023E-3,8.60023E+1,3.95267E+2
4.54550E+0,8.37803E-3,8.37803E+1,3.80823E+2
4.49500E+0,8.14247E-3,8.14247E+1,3.66004E+2
4.44450E+0,7.96223E-3,7.96223E+1,3.53881E+2
4.39400E+0,7.73716E-3,7.73716E+1,3.39971E+2
4.34350E+0,7.50732E-3,7.50732E+1,3.26081E+2
4.29300E+0,7.32994E-3,7.32994E+1,3.14674E+2
4.24250E+0,7.13825E-3,7.13825E+1,3.02840E+2
4.19200E+0,6.94847E-3,6.94847E+1,2.91280E+2
4.14150E+0,6.73485E-3,6.73485E+1,2.78924E+2
4.09100E+0,6.55460E-3,6.55460E+1,2.68149E+2
4.04050E+0,6.36578E-3,6.36578E+1,2.57209E+2
3.99000E+0,6.20556E-3,6.20556E+1,2.47602E+2
3.93950E+0,6.02245E-3,6.02245E+1,2.37255E+2
3.88900E+0,5.79834E-3,5.79834E+1,2.25497E+2
3.83850E+0,5.57327E-3,5.57327E+1,2.13930E+2
3.78800E+0,5.41878E-3,5.41878E+1,2.05263E+2
3.73750E+0,5.25856E-3,5.25856E+1,1.96539E+2
3.68700E+0,5.10406E-3,5.10406E+1,1.88187E+2
3.63650E+0,4.97055E-3,4.97055E+1,1.80754E+2
3.58600E+0,4.80080E-3,4.80080E+1,1.72157E+2
3.53550E+0,4.63295E-3,4.63295E+1,1.63798E+2
3.48500E+0,4.49371E-3,4.49371E+1,1.56606E+2
3.43450E+0,4.31919E-3,4.31919E+1,1.48343E+2
3.38400E+0,4.16565E-3,4.16565E+1,1.40966E+2
3.33350E+0,4.01974E-3,4.01974E+1,1.33998E+2
3.28300E+0,3.86429E-3,3.86429E+1,1.26865E+2
3.23250E+0,3.70598E-3,3.70598E+1,1.19796E+2
3.18200E+0,3.57532E-3,3.57532E+1,1.13767E+2
3.13150E+0,3.43800E-3,3.43800E+1,1.07661E+2
3.08100E+0,3.30353E-3,3.30353E+1,1.01782E+2
3.03050E+0,3.20625E-3,3.20625E+1,9.71655E+1
2.98000E+0,3.08132E-3,3.08132E+1,9.18234E+1
2.92950E+0,2.96497E-3,2.96497E+1,8.68589E+1
2.87900E+0,2.84100E-3,2.84100E+1,8.17923E+1
2.82850E+0,2.71130E-3,2.71130E+1,7.66890E+1
2.77800E+0,2.59304E-3,2.59304E+1,7.20347E+1
2.72750E+0,2.48909E-3,2.48909E+1,6.78899E+1
2.67700E+0,2.39086E-3,2.39086E+1,6.40034E+1
2.62650E+0,2.27451E-3,2.27451E+1,5.97401E+1
2.57600E+0,2.15817E-3,2.15816E+1,5.55943E+1
2.52550E+0,2.05612E-3,2.05612E+1,5.19274E+1
2.47450E+0,1.95980E-3,1.95980E+1,4.84953E+1
2.42400E+0,1.86920E-3,1.86920E+1,4.53095E+1
2.37350E+0,1.77193E-3,1.77193E+1,4.20567E+1
2.32300E+0,1.68896E-3,1.68896E+1,3.92345E+1
2.27250E+0,1.60790E-3,1.60789E+1,3.65394E+1
2.22200E+0,1.52111E-3,1.52111E+1,3.37991E+1
2.17150E+0,1.44291E-3,1.44291E+1,3.13328E+1
2.12100E+0,1.37234E-3,1.37234E+1,2.91073E+1
2.07050E+0,1.30177E-3,1.30176E+1,2.69530E+1
2.02000E+0,1.23215E-3,1.23215E+1,2.48894E+1
1.96950E+0,1.16444E-3,1.16444E+1,2.29336E+1
1.91900E+0,1.09863E-3,1.09863E+1,2.10828E+1
1.86850E+0,1.04332E-3,1.04332E+1,1.94944E+1
1.81800E+0,9.83238E-4,9.83238E+0,1.78753E+1
1.76750E+0,9.27925E-4,9.27925E+0,1.64011E+1
1.71700E+0,8.81195E-4,8.81195E+0,1.51301E+1
1.66650E+0,8.26836E-4,8.26836E+0,1.37792E+1
1.61600E+0,7.74383E-4,7.74383E+0,1.25140E+1
1.56550E+0,7.23839E-4,7.23839E+0,1.13317E+1
1.51500E+0,6.79970E-4,6.79970E+0,1.03015E+1
1.46450E+0,6.40869E-4,6.40869E+0,9.38553E+0
1.41400E+0,6.03676E-4,6.03676E+0,8.53598E+0
1.36350E+0,5.67436E-4,5.67436E+0,7.73699E+0
1.31300E+0,5.34058E-4,5.34058E+0,7.01218E+0
1.26250E+0,5.06401E-4,5.06401E+0,6.39331E+0
1.21200E+0,4.76837E-4,4.76837E+0,5.77927E+0
1.16150E+0,4.47273E-4,4.47273E+0,5.19508E+0
1.11100E+0,4.20570E-4,4.20570E+0,4.67254E+0
1.06050E+0,3.95775E-4,3.95775E+0,4.19719E+0
1.01000E+0,3.71933E-4,3.71933E+0,3.75652E+0
9.59500E-1,3.50952E-4,3.50952E+0,3.36739E+0
9.09000E-1,3.32832E-4,3.32832E+0,3.02545E+0
8.58500E-1,3.13759E-4,3.13759E+0,2.69362E+0
8.08000E-1,2.98500E-4,2.98500E+0,2.41188E+0
7.57500E-1,2.85149E-4,2.85149E+0,2.16000E+0
7.07000E-1,2.68936E-4,2.68936E+0,1.90138E+0
6.56500E-1,2.56538E-4,2.56538E+0,1.68417E+0
6.06000E-1,2.47002E-4,2.47002E+0,1.49683E+0
5.55500E-1,2.37465E-4,2.37465E+0,1.31912E+0
5.05000E-1,2.29835E-4,2.29835E+0,1.16067E+0
4.54500E-1,2.23160E-4,2.23160E+0,1.01426E+0
4.04000E-1,2.16484E-4,2.16484E+0,8.74596E-1
3.53500E-1,2.13623E-4,2.13623E+0,7.55157E-1
3.03000E-1,2.10762E-4,2.10762E+0,6.38609E-1
2.52500E-1,2.06947E-4,2.06947E+0,5.22542E-1
2.02000E-1,2.03133E-4,2.03133E+0,4.10328E-1
1.51500E-1,2.01225E-4,2.01225E+0,3.04856E-1
1.01000E-1,1.98364E-4,1.98364E+0,2.00348E-1
5.05000E-2,1.98364E-4,1.98364E+0,1.00174E-1
0.00000E+0,1.97411E-4,1.97411E+0,0.00000E+0
1.00000E+1,1.67026E-2,1.67026E+2,1.67026E+3
