Tested at The Flinders University of South Australia

Cell Name:,CP156R_3R
Notes:,
Cell Area (cm2):,0.100000
Temperature (C):,25.000000
Ideality [LnJ vs. V]: ,31.888
Jsat [Ln J vs. V] (A/m2): ,9.463E-2
Jsat [Ln J vs. V] (mA/cm2): ,9.463E-3
Schottky? : ,No
SBH [Ln J vs. V] (eV): ,0.000
R-Squared [Ln J vs. V]: ,1.000



Voltage (V), Current (A), Current Density (mA/cm2), Power Density (mW/cm2)
1.00000E+1,8.16670E-2,8.16669E+2,8.16670E+3
9.94950E+0,1.12234E-1,1.12234E+3,1.11667E+4
9.89900E+0,1.22412E-1,1.22412E+3,1.21175E+4
9.84850E+0,1.30670E-1,1.30670E+3,1.28691E+4
9.79800E+0,1.31339E-1,1.31339E+3,1.28686E+4
9.74750E+0,1.28863E-1,1.28863E+3,1.25610E+4
9.69700E+0,1.25664E-1,1.25664E+3,1.21856E+4
9.64650E+0,1.20336E-1,1.20337E+3,1.16083E+4
9.59600E+0,1.14349E-1,1.14349E+3,1.09730E+4
9.54550E+0,1.07942E-1,1.07942E+3,1.03036E+4
9.49500E+0,1.01620E-1,1.01620E+3,9.64879E+3
9.44450E+0,9.56173E-2,9.56173E+2,9.03057E+3
9.39400E+0,8.99849E-2,8.99849E+2,8.45318E+3
9.34350E+0,8.44641E-2,8.44641E+2,7.89190E+3
9.29300E+0,7.95250E-2,7.95250E+2,7.39026E+3
9.24250E+0,7.47967E-2,7.47967E+2,6.91308E+3
9.19200E+0,7.04660E-2,7.04660E+2,6.47724E+3
9.14150E+0,6.65207E-2,6.65207E+2,6.08099E+3
9.09100E+0,6.29683E-2,6.29683E+2,5.72444E+3
9.04050E+0,5.94502E-2,5.94501E+2,5.37459E+3
8.99000E+0,5.62744E-2,5.62744E+2,5.05907E+3
8.93950E+0,5.32522E-2,5.32522E+2,4.76048E+3
8.88900E+0,5.04436E-2,5.04436E+2,4.48394E+3
8.83850E+0,4.78792E-2,4.78792E+2,4.23180E+3
8.78800E+0,4.55179E-2,4.55179E+2,4.00011E+3
8.73750E+0,4.33598E-2,4.33598E+2,3.78856E+3
8.68700E+0,4.13217E-2,4.13217E+2,3.58962E+3
8.63650E+0,3.94678E-2,3.94678E+2,3.40864E+3
8.58600E+0,3.77665E-2,3.77665E+2,3.24263E+3
8.53550E+0,3.61471E-2,3.61471E+2,3.08534E+3
8.48500E+0,3.46670E-2,3.46670E+2,2.94150E+3
8.43450E+0,3.33214E-2,3.33214E+2,2.81049E+3
8.38400E+0,3.20005E-2,3.20005E+2,2.68293E+3
8.33350E+0,3.07932E-2,3.07932E+2,2.56615E+3
8.28300E+0,2.96669E-2,2.96669E+2,2.45731E+3
8.23250E+0,2.86551E-2,2.86550E+2,2.35903E+3
8.18200E+0,2.76489E-2,2.76489E+2,2.26224E+3
8.13150E+0,2.67811E-2,2.67811E+2,2.17770E+3
8.08100E+0,2.59666E-2,2.59666E+2,2.09836E+3
8.03050E+0,2.51818E-2,2.51818E+2,2.02222E+3
7.98000E+0,2.44560E-2,2.44560E+2,1.95159E+3
7.92950E+0,2.37884E-2,2.37884E+2,1.88631E+3
7.87900E+0,2.31342E-2,2.31342E+2,1.82275E+3
7.82850E+0,2.25296E-2,2.25296E+2,1.76373E+3
7.77800E+0,2.19469E-2,2.19469E+2,1.70703E+3
7.72750E+0,2.14548E-2,2.14548E+2,1.65792E+3
7.67700E+0,2.09408E-2,2.09408E+2,1.60762E+3
7.62650E+0,2.04802E-2,2.04802E+2,1.56192E+3
7.57600E+0,2.00615E-2,2.00615E+2,1.51986E+3
7.52550E+0,1.96362E-2,1.96362E+2,1.47772E+3
7.47500E+0,1.92442E-2,1.92442E+2,1.43850E+3
7.42450E+0,1.88732E-2,1.88732E+2,1.40124E+3
7.37400E+0,1.85289E-2,1.85289E+2,1.36632E+3
7.32300E+0,1.82056E-2,1.82056E+2,1.33320E+3
7.27250E+0,1.78728E-2,1.78728E+2,1.29980E+3
7.22200E+0,1.75743E-2,1.75743E+2,1.26922E+3
7.17150E+0,1.72901E-2,1.72901E+2,1.23996E+3
7.12100E+0,1.70374E-2,1.70374E+2,1.21323E+3
7.07050E+0,1.68123E-2,1.68123E+2,1.18872E+3
7.02000E+0,1.65834E-2,1.65834E+2,1.16416E+3
6.96950E+0,1.63555E-2,1.63555E+2,1.13990E+3
6.91900E+0,1.61371E-2,1.61371E+2,1.11653E+3
6.86850E+0,1.59426E-2,1.59426E+2,1.09502E+3
6.81800E+0,1.57452E-2,1.57452E+2,1.07351E+3
6.76750E+0,1.55659E-2,1.55659E+2,1.05342E+3
6.71700E+0,1.53723E-2,1.53723E+2,1.03256E+3
6.66650E+0,1.51844E-2,1.51844E+2,1.01227E+3
6.61600E+0,1.50061E-2,1.50061E+2,9.92802E+2
6.56550E+0,1.48487E-2,1.48487E+2,9.74892E+2
6.51500E+0,1.46818E-2,1.46818E+2,9.56521E+2
6.46450E+0,1.44987E-2,1.44987E+2,9.37269E+2
6.41400E+0,1.43318E-2,1.43318E+2,9.19243E+2
6.36350E+0,1.41678E-2,1.41678E+2,9.01567E+2
6.31300E+0,1.39942E-2,1.39942E+2,8.83455E+2
6.26250E+0,1.38311E-2,1.38311E+2,8.66175E+2
6.21200E+0,1.36633E-2,1.36633E+2,8.48764E+2
6.16150E+0,1.35040E-2,1.35040E+2,8.32051E+2
6.11100E+0,1.33448E-2,1.33448E+2,8.15498E+2
6.06050E+0,1.31731E-2,1.31731E+2,7.98356E+2
6.01000E+0,1.30167E-2,1.30167E+2,7.82304E+2
5.95950E+0,1.28479E-2,1.28479E+2,7.65671E+2
5.90900E+0,1.26858E-2,1.26858E+2,7.49603E+2
5.85850E+0,1.25179E-2,1.25179E+2,7.33363E+2
5.80800E+0,1.23558E-2,1.23558E+2,7.17625E+2
5.75750E+0,1.21965E-2,1.21965E+2,7.02216E+2
5.70700E+0,1.20439E-2,1.20439E+2,6.87348E+2
5.65650E+0,1.18876E-2,1.18875E+2,6.72419E+2
5.60600E+0,1.17187E-2,1.17187E+2,6.56953E+2
5.55550E+0,1.15538E-2,1.15538E+2,6.41869E+2
5.50500E+0,1.13888E-2,1.13888E+2,6.26952E+2
5.45450E+0,1.12219E-2,1.12219E+2,6.12098E+2
5.40400E+0,1.10569E-2,1.10569E+2,5.97515E+2
5.35350E+0,1.08957E-2,1.08957E+2,5.83303E+2
5.30300E+0,1.07298E-2,1.07298E+2,5.69001E+2
5.25250E+0,1.05677E-2,1.05677E+2,5.55067E+2
5.20200E+0,1.04075E-2,1.04075E+2,5.41396E+2
5.15150E+0,1.02367E-2,1.02367E+2,5.27346E+2
5.10100E+0,1.00765E-2,1.00765E+2,5.14003E+2
5.05050E+0,9.91154E-3,9.91154E+1,5.00582E+2
