Tested at The Flinders University of South Australia

Cell Name:,CP156U_2
Notes:,
Cell Area (cm2):,0.100000
Temperature (C):,25.000000
Ideality [LnJ vs. V]: ,130.940
Jsat [Ln J vs. V] (A/m2): ,1.215E+2
Jsat [Ln J vs. V] (mA/cm2): ,1.215E+1
Schottky? : ,No
SBH [Ln J vs. V] (eV): ,0.000
R-Squared [Ln J vs. V]: ,0.992



Voltage (V), Current (A), Current Density (mA/cm2), Power Density (mW/cm2)
1.00000E+1,1.13163E-2,1.13163E+2,1.13163E+3
9.94950E+0,1.17502E-2,1.17502E+2,1.16909E+3
9.89900E+0,1.26076E-2,1.26076E+2,1.24802E+3
9.84850E+0,1.34373E-2,1.34373E+2,1.32337E+3
9.79800E+0,1.42460E-2,1.42460E+2,1.39582E+3
9.74750E+0,1.49879E-2,1.49880E+2,1.46095E+3
9.69700E+0,1.56498E-2,1.56498E+2,1.51756E+3
9.64650E+0,1.62420E-2,1.62420E+2,1.56679E+3
9.59600E+0,1.67646E-2,1.67646E+2,1.60873E+3
9.54550E+0,1.72205E-2,1.72205E+2,1.64378E+3
9.49500E+0,1.75839E-2,1.75839E+2,1.66959E+3
9.44450E+0,1.78728E-2,1.78728E+2,1.68800E+3
9.39400E+0,1.80521E-2,1.80521E+2,1.69581E+3
9.34350E+0,1.81675E-2,1.81675E+2,1.69748E+3
9.29300E+0,1.82266E-2,1.82266E+2,1.69380E+3
9.24250E+0,1.82695E-2,1.82695E+2,1.68856E+3
9.19200E+0,1.82142E-2,1.82142E+2,1.67425E+3
9.14150E+0,1.80941E-2,1.80941E+2,1.65407E+3
9.09100E+0,1.79510E-2,1.79510E+2,1.63193E+3
9.04050E+0,1.77622E-2,1.77622E+2,1.60579E+3
8.99000E+0,1.75428E-2,1.75428E+2,1.57710E+3
8.93950E+0,1.73378E-2,1.73378E+2,1.54991E+3
8.88900E+0,1.70717E-2,1.70717E+2,1.51751E+3
8.83850E+0,1.67732E-2,1.67732E+2,1.48250E+3
8.78800E+0,1.64900E-2,1.64900E+2,1.44914E+3
8.73750E+0,1.61610E-2,1.61610E+2,1.41206E+3
8.68700E+0,1.58539E-2,1.58539E+2,1.37723E+3
8.63650E+0,1.54982E-2,1.54982E+2,1.33850E+3
8.58600E+0,1.51825E-2,1.51825E+2,1.30357E+3
8.53550E+0,1.48783E-2,1.48783E+2,1.26993E+3
8.48500E+0,1.45483E-2,1.45483E+2,1.23442E+3
8.43450E+0,1.41993E-2,1.41993E+2,1.19764E+3
8.38400E+0,1.38845E-2,1.38845E+2,1.16408E+3
8.33350E+0,1.35508E-2,1.35508E+2,1.12925E+3
8.28300E+0,1.31998E-2,1.31998E+2,1.09334E+3
8.23250E+0,1.28641E-2,1.28641E+2,1.05904E+3
8.18200E+0,1.25723E-2,1.25723E+2,1.02866E+3
8.13150E+0,1.22509E-2,1.22509E+2,9.96182E+2
8.08100E+0,1.19314E-2,1.19314E+2,9.64178E+2
8.03050E+0,1.16272E-2,1.16272E+2,9.33722E+2
7.98000E+0,1.13516E-2,1.13516E+2,9.05857E+2
7.92950E+0,1.10693E-2,1.10693E+2,8.77740E+2
7.87900E+0,1.07832E-2,1.07832E+2,8.49608E+2
7.82850E+0,1.04971E-2,1.04971E+2,8.21765E+2
7.77800E+0,1.02472E-2,1.02472E+2,7.97030E+2
7.72750E+0,1.00050E-2,1.00050E+2,7.73136E+2
7.67700E+0,9.73129E-3,9.73129E+1,7.47071E+2
7.62650E+0,9.44900E-3,9.44900E+1,7.20628E+2
7.57600E+0,9.18770E-3,9.18770E+1,6.96060E+2
7.52550E+0,8.96358E-3,8.96358E+1,6.74555E+2
7.47500E+0,8.75473E-3,8.75473E+1,6.54416E+2
7.42450E+0,8.50964E-3,8.50964E+1,6.31798E+2
