Tested at The Flinders University of South Australia,,,
,,,
Cell Name:,CP156U_2,,
Notes:,,,
Cell Area (cm2):,0.1,,
Temperature (C):,25,,
Ideality [LnJ vs. V]: ,NaN,,
Jsat [Ln J vs. V] (A/m2): ,NaN,,
Jsat [Ln J vs. V] (mA/cm2): ,NaN,,
Schottky? : ,No,,
SBH [Ln J vs. V] (eV): ,0,,
R-Squared [Ln J vs. V]: ,NaN,,
,,,
,,,
,,,
Voltage (V), Current (A), Current Density (mA/cm2), Power Density (mW/cm2)
0.00E+00,2.79E-04,2.79E+00,0.00E+00
5.05E-02,2.03E-04,2.03E+00,1.03E-01
1.01E-01,2.01E-04,2.01E+00,2.03E-01
1.52E-01,2.03E-04,2.03E+00,3.08E-01
2.02E-01,1.98E-04,1.98E+00,4.01E-01
2.53E-01,2.00E-04,2.00E+00,5.06E-01
3.03E-01,2.01E-04,2.01E+00,6.10E-01
3.54E-01,2.01E-04,2.01E+00,7.11E-01
4.04E-01,2.07E-04,2.07E+00,8.36E-01
4.55E-01,2.05E-04,2.05E+00,9.32E-01
5.05E-01,2.05E-04,2.05E+00,1.04E+00
5.56E-01,2.05E-04,2.05E+00,1.14E+00
6.06E-01,2.04E-04,2.04E+00,1.24E+00
6.57E-01,2.03E-04,2.03E+00,1.33E+00
7.07E-01,2.04E-04,2.04E+00,1.44E+00
7.58E-01,2.05E-04,2.05E+00,1.55E+00
8.08E-01,2.05E-04,2.05E+00,1.66E+00
8.59E-01,2.05E-04,2.05E+00,1.76E+00
9.09E-01,2.26E-04,2.26E+00,2.05E+00
9.60E-01,2.26E-04,2.26E+00,2.17E+00
1.01E+00,2.28E-04,2.28E+00,2.30E+00
1.06E+00,2.30E-04,2.30E+00,2.44E+00
1.11E+00,2.27E-04,2.27E+00,2.52E+00
1.16E+00,2.30E-04,2.30E+00,2.67E+00
1.21E+00,2.28E-04,2.28E+00,2.76E+00
1.26E+00,2.27E-04,2.27E+00,2.87E+00
1.31E+00,2.49E-04,2.49E+00,3.27E+00
1.36E+00,2.26E-04,2.26E+00,3.08E+00
1.41E+00,2.47E-04,2.47E+00,3.49E+00
1.46E+00,2.47E-04,2.47E+00,3.62E+00
1.52E+00,2.69E-04,2.69E+00,4.07E+00
1.57E+00,2.72E-04,2.72E+00,4.25E+00
1.62E+00,2.69E-04,2.69E+00,4.35E+00
1.67E+00,2.66E-04,2.66E+00,4.43E+00
1.72E+00,3.05E-04,3.05E+00,5.24E+00
1.77E+00,2.81E-04,2.81E+00,4.97E+00
1.82E+00,2.79E-04,2.79E+00,5.08E+00
1.87E+00,2.73E-04,2.73E+00,5.10E+00
1.92E+00,2.65E-04,2.65E+00,5.09E+00
1.97E+00,2.77E-04,2.77E+00,5.45E+00
2.02E+00,2.82E-04,2.82E+00,5.70E+00
2.07E+00,2.88E-04,2.88E+00,5.96E+00
2.12E+00,2.82E-04,2.82E+00,5.99E+00
2.17E+00,2.86E-04,2.86E+00,6.21E+00
2.22E+00,2.81E-04,2.81E+00,6.25E+00
2.27E+00,2.92E-04,2.92E+00,6.63E+00
2.32E+00,3.05E-04,3.05E+00,7.09E+00
2.37E+00,3.16E-04,3.16E+00,7.49E+00
2.42E+00,3.14E-04,3.14E+00,7.61E+00
2.47E+00,3.15E-04,3.15E+00,7.79E+00
2.53E+00,3.25E-04,3.25E+00,8.21E+00
2.58E+00,3.37E-04,3.37E+00,8.67E+00
2.63E+00,3.51E-04,3.51E+00,9.22E+00
2.68E+00,3.56E-04,3.56E+00,9.52E+00
2.73E+00,3.64E-04,3.64E+00,9.94E+00
2.78E+00,3.73E-04,3.73E+00,1.04E+01
2.83E+00,3.79E-04,3.79E+00,1.07E+01
2.88E+00,4.02E-04,4.02E+00,1.16E+01
2.93E+00,4.13E-04,4.13E+00,1.21E+01
2.98E+00,4.19E-04,4.19E+00,1.25E+01
3.03E+00,4.32E-04,4.32E+00,1.31E+01
3.08E+00,4.47E-04,4.47E+00,1.38E+01
3.13E+00,4.70E-04,4.70E+00,1.47E+01
3.18E+00,4.74E-04,4.74E+00,1.51E+01
3.23E+00,4.94E-04,4.94E+00,1.60E+01
3.28E+00,5.02E-04,5.02E+00,1.65E+01
3.33E+00,5.20E-04,5.20E+00,1.73E+01
3.38E+00,5.59E-04,5.59E+00,1.89E+01
3.43E+00,5.84E-04,5.84E+00,2.00E+01
