Tested at The Flinders University of South Australia,,,,,,
,,,,,,
Cell Name:,CP156U_3,,,,,
Notes:,,,,,,
Cell Area (cm2):,0.1,,,,,
Temperature (C):,25,,,,,
Ideality [LnJ vs. V]: ,106.46,,,,,
Jsat [Ln J vs. V] (A/m2): ,6.66E+01,,,,,
Jsat [Ln J vs. V] (mA/cm2): ,6.66E+00,,,,,
Schottky? : ,No,,,,,
SBH [Ln J vs. V] (eV): ,0,,,,,
R-Squared [Ln J vs. V]: ,0.999,,,,,
,,,,,,
,,,,,,
,,,,,,
Voltage (V), Current (A), Current Density (mA/cm2), Power Density (mW/cm2),,,
1.00E+01,2.03E-02,2.03E+02,2.03E+03,,,14.24141847
9.95E+00,2.02E-02,2.02E+02,2.01E+03,,,14.20587906
9.90E+00,2.04E-02,2.04E+02,2.02E+03,,,14.29587353
9.85E+00,2.07E-02,2.07E+02,2.04E+03,,,14.39923609
9.80E+00,2.10E-02,2.10E+02,2.05E+03,,,14.48212692
9.75E+00,2.11E-02,2.11E+02,2.06E+03,,,14.52453097
9.70E+00,2.11E-02,2.11E+02,2.05E+03,,,14.54159551
9.65E+00,2.11E-02,2.11E+02,2.04E+03,,,14.54259262
9.60E+00,2.11E-02,2.11E+02,2.02E+03,,,14.52126028
9.55E+00,2.10E-02,2.10E+02,2.00E+03,,,14.47749978
9.50E+00,2.08E-02,2.08E+02,1.97E+03,,,14.41148847
9.44E+00,2.06E-02,2.06E+02,1.94E+03,,,14.34384886
9.39E+00,2.03E-02,2.03E+02,1.91E+03,,,14.25412221
9.34E+00,2.00E-02,2.00E+02,1.87E+03,,,14.14701382
9.29E+00,1.97E-02,1.97E+02,1.83E+03,,,14.04111819
9.24E+00,1.94E-02,1.94E+02,1.80E+03,,,13.94091102
9.19E+00,1.91E-02,1.91E+02,1.75E+03,,,13.81343549
9.14E+00,1.87E-02,1.87E+02,1.71E+03,,,13.68722032
9.09E+00,1.84E-02,1.84E+02,1.67E+03,,,13.56753478
9.04E+00,1.81E-02,1.81E+02,1.63E+03,,,13.44075891
8.99E+00,1.78E-02,1.78E+02,1.60E+03,,,13.33356666
8.94E+00,1.75E-02,1.75E+02,1.56E+03,,,13.22440925
8.89E+00,1.72E-02,1.72E+02,1.52E+03,,,13.09614447
8.84E+00,1.68E-02,1.68E+02,1.49E+03,,,12.97173851
8.79E+00,1.65E-02,1.65E+02,1.45E+03,,,12.84838511
8.74E+00,1.62E-02,1.62E+02,1.42E+03,,,12.72796135
8.69E+00,1.59E-02,1.59E+02,1.38E+03,,,12.61051149
8.64E+00,1.56E-02,1.56E+02,1.35E+03,,,12.48739364
8.59E+00,1.53E-02,1.53E+02,1.32E+03,,,12.38038772
8.54E+00,1.51E-02,1.51E+02,1.28E+03,,,12.26898529
8.49E+00,1.48E-02,1.48E+02,1.25E+03,,,12.14907404
8.43E+00,1.45E-02,1.45E+02,1.22E+03,,,12.03511529
8.38E+00,1.42E-02,1.42E+02,1.19E+03,,,11.92367393
8.33E+00,1.40E-02,1.40E+02,1.16E+03,,,11.82002538
8.28E+00,1.37E-02,1.37E+02,1.14E+03,,,11.70734812
8.23E+00,1.34E-02,1.34E+02,1.11E+03,,,11.5943952
8.18E+00,1.32E-02,1.32E+02,1.08E+03,,,11.48903825
8.13E+00,1.29E-02,1.29E+02,1.05E+03,,,11.37514835
8.08E+00,1.27E-02,1.27E+02,1.03E+03,,,11.26649901
8.03E+00,1.25E-02,1.25E+02,1.00E+03,,,11.16230263
7.98E+00,1.22E-02,1.22E+02,9.74E+02,,,11.04984163
7.93E+00,1.19E-02,1.19E+02,9.47E+02,,,10.92876937
7.88E+00,1.17E-02,1.17E+02,9.25E+02,,,10.83369743
7.83E+00,1.16E-02,1.16E+02,9.06E+02,,,10.75857797
7.78E+00,1.14E-02,1.14E+02,8.85E+02,,,10.66555203
7.73E+00,1.11E-02,1.11E+02,8.61E+02,,,10.55272477
7.68E+00,1.09E-02,1.09E+02,8.37E+02,,,10.44145584
7.63E+00,1.07E-02,1.07E+02,8.14E+02,,,10.33218273
7.58E+00,1.05E-02,1.05E+02,7.92E+02,,,10.22643633
7.53E+00,1.03E-02,1.03E+02,7.73E+02,,,10.13321272
7.48E+00,1.01E-02,1.01E+02,7.52E+02,,,10.0319988
7.42E+00,9.90E-03,9.90E+01,7.35E+02,,,9.949442195
