Tested at The Flinders University of South Australia

Cell Name:,CP156U_5
Notes:,
Cell Area (cm2):,0.100000
Temperature (C):,25.000000
Ideality [LnJ vs. V]: ,NaN
Jsat [Ln J vs. V] (A/m2): ,NaN
Jsat [Ln J vs. V] (mA/cm2): ,NaN
Schottky? : ,No
SBH [Ln J vs. V] (eV): ,0.000
R-Squared [Ln J vs. V]: ,NaN



Voltage (V), Current (A), Current Density (mA/cm2), Power Density (mW/cm2)
0.00000E+0,2.74658E-4,2.74658E+0,0.00000E+0
5.05000E-2,2.00272E-4,2.00272E+0,1.01137E-1
1.01000E-1,2.01225E-4,2.01225E+0,2.03238E-1
1.51500E-1,2.03133E-4,2.03133E+0,3.07746E-1
2.02000E-1,1.97411E-4,1.97411E+0,3.98769E-1
2.52500E-1,1.98364E-4,1.98364E+0,5.00870E-1
3.03000E-1,2.00272E-4,2.00272E+0,6.06823E-1
3.53500E-1,3.89099E-4,3.89099E+0,1.37547E+0
4.04000E-1,2.00272E-4,2.00272E+0,8.09097E-1
4.54500E-1,2.12669E-4,2.12669E+0,9.66582E-1
5.05000E-1,2.23160E-4,2.23160E+0,1.12696E+0
5.55500E-1,2.33650E-4,2.33650E+0,1.29793E+0
6.06000E-1,2.40326E-4,2.40326E+0,1.45637E+0
6.56500E-1,1.97411E-4,1.97411E+0,1.29600E+0
7.07000E-1,2.00272E-4,2.00272E+0,1.41592E+0
7.57500E-1,2.04086E-4,2.04086E+0,1.54595E+0
8.08000E-1,2.06947E-4,2.06947E+0,1.67213E+0
8.58500E-1,2.28882E-4,2.28882E+0,1.96495E+0
9.09000E-1,2.16484E-4,2.16484E+0,1.96784E+0
9.59500E-1,2.14577E-4,2.14577E+0,2.05886E+0
1.01000E+0,2.16484E-4,2.16484E+0,2.18649E+0
1.06050E+0,2.16484E-4,2.16484E+0,2.29581E+0
1.11100E+0,2.13623E-4,2.13623E+0,2.37335E+0
1.16150E+0,2.17438E-4,2.17438E+0,2.52554E+0
1.21200E+0,2.26974E-4,2.26974E+0,2.75093E+0
1.26250E+0,2.26021E-4,2.26021E+0,2.85351E+0
1.31300E+0,2.23160E-4,2.23160E+0,2.93009E+0
1.36350E+0,2.22206E-4,2.22206E+0,3.02978E+0
1.41400E+0,2.28882E-4,2.28882E+0,3.23639E+0
1.46450E+0,2.23160E-4,2.23160E+0,3.26818E+0
1.51500E+0,2.26021E-4,2.26021E+0,3.42422E+0
1.56550E+0,2.26021E-4,2.26021E+0,3.53836E+0
1.61600E+0,2.26021E-4,2.26021E+0,3.65250E+0
1.66650E+0,2.22206E-4,2.22206E+0,3.70306E+0
1.71700E+0,2.24113E-4,2.24113E+0,3.84803E+0
1.76750E+0,2.24113E-4,2.24113E+0,3.96121E+0
1.81800E+0,2.22206E-4,2.22206E+0,4.03971E+0
