Tested at The Flinders University of South Australia

Cell Name:,CP156U_1R
Notes:,
Cell Area (cm2):,0.100000
Temperature (C):,25.000000
Ideality [LnJ vs. V]: ,163.607
Jsat [Ln J vs. V] (A/m2): ,7.768E+2
Jsat [Ln J vs. V] (mA/cm2): ,7.768E+1
Schottky? : ,No
SBH [Ln J vs. V] (eV): ,0.000
R-Squared [Ln J vs. V]: ,0.994



Voltage (V), Current (A), Current Density (mA/cm2), Power Density (mW/cm2)
1.00000E+1,3.08647E-2,3.08647E+2,3.08647E+3
9.94950E+0,3.65648E-2,3.65648E+2,3.63802E+3
9.89900E+0,3.97491E-2,3.97491E+2,3.93477E+3
9.84850E+0,4.27151E-2,4.27151E+2,4.20679E+3
9.79800E+0,4.56076E-2,4.56076E+2,4.46863E+3
9.74750E+0,4.84314E-2,4.84314E+2,4.72085E+3
9.69700E+0,5.10750E-2,5.10750E+2,4.95274E+3
9.64650E+0,5.37500E-2,5.37500E+2,5.18500E+3
9.59600E+0,5.60942E-2,5.60942E+2,5.38280E+3
9.54550E+0,5.83468E-2,5.83467E+2,5.56949E+3
9.49500E+0,6.04925E-2,6.04925E+2,5.74376E+3
9.44450E+0,6.24733E-2,6.24733E+2,5.90029E+3
9.39400E+0,6.40640E-2,6.40640E+2,6.01817E+3
9.34350E+0,6.55012E-2,6.55012E+2,6.12011E+3
9.29300E+0,6.63977E-2,6.63977E+2,6.17034E+3
9.24250E+0,6.69127E-2,6.69126E+2,6.18440E+3
9.19200E+0,6.72884E-2,6.72884E+2,6.18515E+3
9.14150E+0,6.69527E-2,6.69527E+2,6.12048E+3
9.09100E+0,6.67152E-2,6.67152E+2,6.06508E+3
9.04050E+0,6.63385E-2,6.63385E+2,5.99734E+3
8.99000E+0,6.58140E-2,6.58140E+2,5.91668E+3
8.93950E+0,6.51674E-2,6.51674E+2,5.82564E+3
8.88900E+0,6.43778E-2,6.43778E+2,5.72254E+3
8.83850E+0,6.34890E-2,6.34890E+2,5.61147E+3
8.78800E+0,6.27804E-2,6.27804E+2,5.51714E+3
8.73750E+0,6.20270E-2,6.20270E+2,5.41961E+3
8.68700E+0,6.12860E-2,6.12860E+2,5.32391E+3
8.63650E+0,6.04172E-2,6.04172E+2,5.21793E+3
8.58600E+0,5.94826E-2,5.94826E+2,5.10717E+3
8.53550E+0,5.87921E-2,5.87921E+2,5.01820E+3
8.48500E+0,5.78365E-2,5.78365E+2,4.90743E+3
8.43450E+0,5.67541E-2,5.67541E+2,4.78693E+3
8.38400E+0,5.55725E-2,5.55725E+2,4.65920E+3
8.33350E+0,5.42870E-2,5.42870E+2,4.52400E+3
8.28300E+0,5.30653E-2,5.30653E+2,4.39540E+3
8.23250E+0,5.17740E-2,5.17740E+2,4.26230E+3
8.18200E+0,5.05447E-2,5.05447E+2,4.13557E+3
8.13150E+0,4.91591E-2,4.91590E+2,3.99737E+3
8.08100E+0,4.76532E-2,4.76532E+2,3.85086E+3
8.03050E+0,4.61597E-2,4.61597E+2,3.70686E+3
7.98000E+0,4.46911E-2,4.46911E+2,3.56635E+3
7.92950E+0,4.30527E-2,4.30527E+2,3.41386E+3
7.87900E+0,4.13227E-2,4.13227E+2,3.25582E+3
7.82850E+0,3.96604E-2,3.96604E+2,3.10482E+3
7.77800E+0,3.80554E-2,3.80554E+2,2.95995E+3
7.72750E+0,3.65276E-2,3.65276E+2,2.82267E+3
7.67700E+0,3.50628E-2,3.50628E+2,2.69177E+3
7.62650E+0,3.34129E-2,3.34129E+2,2.54824E+3
7.57600E+0,3.18651E-2,3.18651E+2,2.41410E+3
7.52550E+0,3.03259E-2,3.03259E+2,2.28217E+3
7.47500E+0,2.88086E-2,2.88086E+2,2.15344E+3
7.42450E+0,2.74105E-2,2.74105E+2,2.03509E+3
7.37400E+0,2.59981E-2,2.59981E+2,1.91710E+3
7.32300E+0,2.47745E-2,2.47745E+2,1.81424E+3
7.27250E+0,2.36654E-2,2.36654E+2,1.72107E+3
7.22200E+0,2.25229E-2,2.25229E+2,1.62661E+3
7.17150E+0,2.14644E-2,2.14643E+2,1.53932E+3
7.12100E+0,2.04163E-2,2.04163E+2,1.45384E+3
7.07050E+0,1.95732E-2,1.95732E+2,1.38392E+3
7.02000E+0,1.87950E-2,1.87950E+2,1.31941E+3
6.96950E+0,1.80645E-2,1.80645E+2,1.25901E+3
6.91900E+0,1.73120E-2,1.73120E+2,1.19782E+3
6.86850E+0,1.66493E-2,1.66492E+2,1.14355E+3
6.81800E+0,1.59979E-2,1.59979E+2,1.09074E+3
6.76750E+0,1.54409E-2,1.54409E+2,1.04497E+3
6.71700E+0,1.48392E-2,1.48392E+2,9.96747E+2
6.66650E+0,1.42984E-2,1.42984E+2,9.53206E+2
6.61600E+0,1.38073E-2,1.38073E+2,9.13491E+2
6.56550E+0,1.34125E-2,1.34125E+2,8.80596E+2
6.51500E+0,1.30558E-2,1.30558E+2,8.50585E+2
6.46450E+0,1.25971E-2,1.25971E+2,8.14338E+2
6.41400E+0,1.21918E-2,1.21918E+2,7.81980E+2
6.36350E+0,1.18246E-2,1.18246E+2,7.52459E+2
6.31300E+0,1.14594E-2,1.14594E+2,7.23429E+2
6.26250E+0,1.11027E-2,1.11027E+2,6.95305E+2
6.21200E+0,1.07460E-2,1.07460E+2,6.67542E+2
6.16150E+0,1.04179E-2,1.04179E+2,6.41901E+2
6.11100E+0,1.01604E-2,1.01604E+2,6.20905E+2
6.06050E+0,9.92489E-3,9.92489E+1,6.01498E+2
6.01000E+0,9.65214E-3,9.65214E+1,5.80093E+2
5.95950E+0,9.40132E-3,9.40132E+1,5.60272E+2
5.90900E+0,9.15623E-3,9.15623E+1,5.41041E+2
5.85850E+0,8.92258E-3,8.92258E+1,5.22729E+2
5.80800E+0,8.65841E-3,8.65841E+1,5.02880E+2
5.75750E+0,8.41141E-3,8.41141E+1,4.84287E+2
5.70700E+0,8.18157E-3,8.18157E+1,4.66922E+2
5.65650E+0,7.95174E-3,7.95174E+1,4.49790E+2
5.60600E+0,7.71427E-3,7.71427E+1,4.32462E+2
5.55550E+0,7.56550E-3,7.56550E+1,4.20301E+2
5.50500E+0,7.35474E-3,7.35474E+1,4.04878E+2
5.45450E+0,7.18498E-3,7.18498E+1,3.91905E+2
5.40400E+0,7.01046E-3,7.01046E+1,3.78845E+2
5.35350E+0,6.87504E-3,6.87504E+1,3.68055E+2
5.30300E+0,6.67667E-3,6.67667E+1,3.54064E+2
5.25250E+0,6.50120E-3,6.50120E+1,3.41475E+2
5.20200E+0,6.36768E-3,6.36768E+1,3.31247E+2
5.15150E+0,6.18649E-3,6.18648E+1,3.18697E+2
5.10100E+0,6.01864E-3,6.01864E+1,3.07011E+2
5.05050E+0,5.84888E-3,5.84888E+1,2.95398E+2
5.00000E+0,5.68867E-3,5.68867E+1,2.84433E+2
4.94950E+0,5.58376E-3,5.58376E+1,2.76368E+2
4.89900E+0,5.43594E-3,5.43594E+1,2.66307E+2
4.84850E+0,5.34344E-3,5.34344E+1,2.59077E+2
4.79800E+0,5.20611E-3,5.20611E+1,2.49789E+2
4.74750E+0,5.08022E-3,5.08022E+1,2.41184E+2
4.69700E+0,4.96578E-3,4.96578E+1,2.33243E+2
4.64650E+0,4.83322E-3,4.83322E+1,2.24576E+2
4.59600E+0,4.69971E-3,4.69971E+1,2.15999E+2
4.54550E+0,4.55380E-3,4.55380E+1,2.06993E+2
4.49500E+0,4.46701E-3,4.46701E+1,2.00792E+2
4.44450E+0,4.35257E-3,4.35257E+1,1.93450E+2
4.39400E+0,4.20380E-3,4.20380E+1,1.84715E+2
4.34350E+0,4.07791E-3,4.07791E+1,1.77124E+2
4.29300E+0,3.97301E-3,3.97301E+1,1.70561E+2
4.24250E+0,3.85952E-3,3.85952E+1,1.63740E+2
4.19200E+0,3.76606E-3,3.76606E+1,1.57873E+2
4.14150E+0,3.66116E-3,3.66116E+1,1.51627E+2
4.09100E+0,3.54195E-3,3.54195E+1,1.44901E+2
4.04050E+0,3.44372E-3,3.44372E+1,1.39143E+2
3.99000E+0,3.34358E-3,3.34358E+1,1.33409E+2
3.93950E+0,3.24440E-3,3.24440E+1,1.27813E+2
3.88900E+0,3.13091E-3,3.13091E+1,1.21761E+2
3.83850E+0,3.04317E-3,3.04317E+1,1.16812E+2
3.78800E+0,2.94590E-3,2.94590E+1,1.11591E+2
3.73750E+0,2.86484E-3,2.86484E+1,1.07073E+2
3.68700E+0,2.78282E-3,2.78282E+1,1.02603E+2
3.63650E+0,2.69508E-3,2.69508E+1,9.80067E+1
3.58600E+0,2.61307E-3,2.61307E+1,9.37046E+1
3.53550E+0,2.51675E-3,2.51675E+1,8.89796E+1
3.48500E+0,2.43950E-3,2.43950E+1,8.50165E+1
3.43450E+0,2.35844E-3,2.35844E+1,8.10005E+1
3.38400E+0,2.25353E-3,2.25353E+1,7.62595E+1
3.33350E+0,2.18964E-3,2.18964E+1,7.29915E+1
3.28300E+0,2.12002E-3,2.12002E+1,6.96002E+1
3.23250E+0,2.04182E-3,2.04182E+1,6.60017E+1
3.18200E+0,1.96457E-3,1.96457E+1,6.25126E+1
3.13150E+0,1.89781E-3,1.89781E+1,5.94300E+1
3.08100E+0,1.82152E-3,1.82152E+1,5.61210E+1
3.03050E+0,1.74522E-3,1.74522E+1,5.28890E+1
2.98000E+0,1.67275E-3,1.67274E+1,4.98478E+1
2.92950E+0,1.60122E-3,1.60122E+1,4.69077E+1
2.87900E+0,1.53255E-3,1.53255E+1,4.41223E+1
2.82850E+0,1.47152E-3,1.47152E+1,4.16219E+1
2.77800E+0,1.42098E-3,1.42097E+1,3.94747E+1
2.72750E+0,1.36375E-3,1.36375E+1,3.71964E+1
2.67700E+0,1.31607E-3,1.31607E+1,3.52312E+1
2.62650E+0,1.25504E-3,1.25503E+1,3.29635E+1
