Tested at The Flinders University of South Australia

Cell Name:,CP156U_4R
Notes:,
Cell Area (cm2):,0.100000
Temperature (C):,25.000000
Ideality [LnJ vs. V]: ,NaN
Jsat [Ln J vs. V] (A/m2): ,NaN
Jsat [Ln J vs. V] (mA/cm2): ,NaN
Schottky? : ,No
SBH [Ln J vs. V] (eV): ,0.000
R-Squared [Ln J vs. V]: ,NaN



Voltage (V), Current (A), Current Density (mA/cm2), Power Density (mW/cm2)
0.00000E+0,2.76566E-4,2.76566E+0,0.00000E+0
5.05000E-2,2.00272E-4,2.00272E+0,1.01137E-1
1.01000E-1,1.98364E-4,1.98364E+0,2.00348E-1
1.51500E-1,1.98364E-4,1.98364E+0,3.00522E-1
2.02000E-1,2.02179E-4,2.02179E+0,4.08402E-1
2.52500E-1,2.02179E-4,2.02179E+0,5.10502E-1
3.03000E-1,2.05040E-4,2.05040E+0,6.21271E-1
3.53500E-1,2.05040E-4,2.05040E+0,7.24816E-1
4.04000E-1,2.05040E-4,2.05040E+0,8.28362E-1
4.54500E-1,2.05040E-4,2.05040E+0,9.31907E-1
5.05000E-1,2.06947E-4,2.06947E+0,1.04508E+0
5.55500E-1,2.05040E-4,2.05040E+0,1.13900E+0
6.06000E-1,2.07901E-4,2.07901E+0,1.25988E+0
6.56500E-1,2.07901E-4,2.07901E+0,1.36487E+0
7.07000E-1,2.05040E-4,2.05040E+0,1.44963E+0
7.57500E-1,2.04086E-4,2.04086E+0,1.54595E+0
8.08000E-1,2.01225E-4,2.01225E+0,1.62590E+0
8.58500E-1,2.01225E-4,2.01225E+0,1.72752E+0
9.09000E-1,2.00272E-4,2.00272E+0,1.82047E+0
9.59500E-1,2.00272E-4,2.00272E+0,1.92161E+0
1.01000E+0,2.00272E-4,2.00272E+0,2.02274E+0
1.06050E+0,2.01225E-4,2.01225E+0,2.13399E+0
1.11100E+0,2.01225E-4,2.01225E+0,2.23561E+0
1.16150E+0,2.01225E-4,2.01225E+0,2.33723E+0
1.21200E+0,2.02179E-4,2.02179E+0,2.45041E+0
1.26250E+0,2.01225E-4,2.01225E+0,2.54047E+0
1.31300E+0,2.00272E-4,2.00272E+0,2.62957E+0
1.36350E+0,2.00272E-4,2.00272E+0,2.73070E+0
1.41400E+0,2.00272E-4,2.00272E+0,2.83184E+0
1.46450E+0,1.98364E-4,1.98364E+0,2.90505E+0
1.51500E+0,1.98364E-4,1.98364E+0,3.00522E+0
1.56550E+0,1.98364E-4,1.98364E+0,3.10539E+0
1.61600E+0,2.00272E-4,2.00272E+0,3.23639E+0
1.66650E+0,1.95503E-4,1.95503E+0,3.25806E+0
1.71700E+0,1.97411E-4,1.97411E+0,3.38954E+0
1.76750E+0,1.97411E-4,1.97411E+0,3.48923E+0
1.81800E+0,1.98364E-4,1.98364E+0,3.60626E+0
1.86850E+0,2.02179E-4,2.02179E+0,3.77771E+0
1.91900E+0,2.02179E-4,2.02179E+0,3.87982E+0
1.96950E+0,2.10762E-4,2.10762E+0,4.15096E+0
2.02000E+0,2.18391E-4,2.18391E+0,4.41151E+0
2.07050E+0,2.27928E-4,2.27928E+0,4.71925E+0
2.12100E+0,2.27928E-4,2.27928E+0,4.83436E+0
2.17150E+0,2.26974E-4,2.26974E+0,4.92875E+0
2.22200E+0,2.26021E-4,2.26021E+0,5.02218E+0
2.27250E+0,2.26021E-4,2.26021E+0,5.13632E+0
2.32300E+0,2.26974E-4,2.26974E+0,5.27262E+0
2.37350E+0,2.30789E-4,2.30789E+0,5.47778E+0
2.42400E+0,2.88010E-4,2.88010E+0,6.98135E+0
2.47450E+0,2.49863E-4,2.49863E+0,6.18285E+0
2.52550E+0,2.55585E-4,2.55585E+0,6.45479E+0
2.57600E+0,2.52724E-4,2.52724E+0,6.51016E+0
2.62650E+0,2.65122E-4,2.65121E+0,6.96342E+0
2.67700E+0,2.69890E-4,2.69890E+0,7.22495E+0
2.72750E+0,2.76566E-4,2.76566E+0,7.54333E+0
2.77800E+0,2.79427E-4,2.79427E+0,7.76247E+0
2.82850E+0,2.92778E-4,2.92778E+0,8.28123E+0
2.87900E+0,3.25203E-4,3.25203E+0,9.36259E+0
2.92950E+0,3.33786E-4,3.33786E+0,9.77826E+0
2.98000E+0,3.62396E-4,3.62396E+0,1.07994E+1
3.03050E+0,3.85284E-4,3.85284E+0,1.16760E+1
3.08100E+0,3.90053E-4,3.90053E+0,1.20175E+1
3.13150E+0,4.29153E-4,4.29153E+0,1.34389E+1
3.18200E+0,4.66347E-4,4.66347E+0,1.48392E+1
3.23250E+0,4.87328E-4,4.87328E+0,1.57529E+1
3.28300E+0,5.58853E-4,5.58853E+0,1.83471E+1
3.33350E+0,6.10352E-4,6.10352E+0,2.03461E+1
3.38400E+0,6.52313E-4,6.52313E+0,2.20743E+1
3.43450E+0,6.99997E-4,6.99997E+0,2.40414E+1
3.48500E+0,7.75337E-4,7.75337E+0,2.70205E+1
3.53550E+0,8.68797E-4,8.68797E+0,3.07163E+1
3.58600E+0,9.50813E-4,9.50813E+0,3.40962E+1
3.63650E+0,1.02520E-3,1.02520E+1,3.72814E+1
3.68700E+0,1.16825E-3,1.16825E+1,4.30734E+1
3.73750E+0,1.28174E-3,1.28174E+1,4.79050E+1
3.78800E+0,1.39618E-3,1.39618E+1,5.28873E+1
3.83850E+0,1.56403E-3,1.56403E+1,6.00351E+1
3.88900E+0,1.69086E-3,1.69086E+1,6.57577E+1
3.93950E+0,1.81770E-3,1.81770E+1,7.16084E+1
3.99000E+0,2.02847E-3,2.02847E+1,8.09358E+1
4.04050E+0,2.25830E-3,2.25830E+1,9.12467E+1
4.09100E+0,2.47479E-3,2.47479E+1,1.01243E+2
4.14150E+0,2.72655E-3,2.72655E+1,1.12920E+2
4.19200E+0,2.95544E-3,2.95544E+1,1.23892E+2
4.24250E+0,3.22533E-3,3.22533E+1,1.36834E+2
4.29300E+0,3.54099E-3,3.54099E+1,1.52015E+2
4.34350E+0,3.88718E-3,3.88718E+1,1.68840E+2
4.39400E+0,4.28677E-3,4.28677E+1,1.88360E+2
4.44450E+0,4.64916E-3,4.64916E+1,2.06632E+2
4.49500E+0,4.97818E-3,4.97818E+1,2.23769E+2
4.54550E+0,5.33390E-3,5.33390E+1,2.42452E+2
4.59600E+0,5.66292E-3,5.66292E+1,2.60268E+2
4.64650E+0,6.03104E-3,6.03104E+1,2.80232E+2
4.69700E+0,6.53171E-3,6.53171E+1,3.06795E+2
4.74750E+0,6.86645E-3,6.86645E+1,3.25985E+2
4.79800E+0,7.30038E-3,7.30038E+1,3.50272E+2
4.84850E+0,7.71236E-3,7.71236E+1,3.73934E+2
4.89900E+0,8.21876E-3,8.21876E+1,4.02637E+2
4.94950E+0,8.66222E-3,8.66222E+1,4.28737E+2
5.00000E+0,9.10377E-3,9.10377E+1,4.55189E+2
5.05050E+0,9.56440E-3,9.56440E+1,4.83050E+2
5.10100E+0,1.01309E-2,1.01309E+2,5.16776E+2
5.15150E+0,1.05286E-2,1.05286E+2,5.42379E+2
5.20200E+0,1.11103E-2,1.11103E+2,5.77958E+2
5.25250E+0,1.16835E-2,1.16835E+2,6.13674E+2
5.30300E+0,1.22032E-2,1.22032E+2,6.47137E+2
5.35350E+0,1.27020E-2,1.27020E+2,6.80001E+2
