Tested at The Flinders University of South Australia

Cell Name:,CP156U_6R
Notes:,
Cell Area (cm2):,0.100000
Temperature (C):,25.000000
Ideality [LnJ vs. V]: ,-266.318
Jsat [Ln J vs. V] (A/m2): ,1.385E+4
Jsat [Ln J vs. V] (mA/cm2): ,1.385E+3
Schottky? : ,No
SBH [Ln J vs. V] (eV): ,0.000
R-Squared [Ln J vs. V]: ,0.977



Voltage (V), Current (A), Current Density (mA/cm2), Power Density (mW/cm2)
1.00000E+1,1.91555E-2,1.91555E+2,1.91555E+3
9.94950E+0,2.27194E-2,2.27194E+2,2.26046E+3
9.89900E+0,2.41203E-2,2.41203E+2,2.38767E+3
9.84850E+0,2.51226E-2,2.51226E+2,2.47420E+3
9.79800E+0,2.59724E-2,2.59724E+2,2.54477E+3
9.74750E+0,2.68164E-2,2.68164E+2,2.61393E+3
9.69700E+0,2.75106E-2,2.75106E+2,2.66771E+3
9.64650E+0,2.82059E-2,2.82059E+2,2.72088E+3
9.59600E+0,2.89812E-2,2.89812E+2,2.78104E+3
9.54550E+0,2.97794E-2,2.97794E+2,2.84260E+3
9.49500E+0,3.05805E-2,3.05805E+2,2.90362E+3
9.44450E+0,3.13654E-2,3.13654E+2,2.96230E+3
9.39400E+0,3.21627E-2,3.21627E+2,3.02136E+3
9.34350E+0,3.26948E-2,3.26948E+2,3.05484E+3
9.29300E+0,3.33643E-2,3.33643E+2,3.10054E+3
9.24250E+0,3.41530E-2,3.41530E+2,3.15659E+3
9.19200E+0,3.48997E-2,3.48997E+2,3.20798E+3
9.14150E+0,3.53994E-2,3.53994E+2,3.23604E+3
9.09100E+0,3.59764E-2,3.59764E+2,3.27062E+3
9.04050E+0,3.65706E-2,3.65705E+2,3.30616E+3
8.99000E+0,3.72067E-2,3.72066E+2,3.34488E+3
8.93950E+0,3.75700E-2,3.75700E+2,3.35857E+3
8.88900E+0,3.78571E-2,3.78571E+2,3.36511E+3
8.83850E+0,3.80363E-2,3.80363E+2,3.36184E+3
8.78800E+0,3.83568E-2,3.83568E+2,3.37079E+3
8.73750E+0,3.84493E-2,3.84493E+2,3.35951E+3
8.68700E+0,3.84541E-2,3.84541E+2,3.34050E+3
8.63650E+0,3.83825E-2,3.83825E+2,3.31491E+3
8.58600E+0,3.82461E-2,3.82461E+2,3.28381E+3
8.53550E+0,3.80077E-2,3.80077E+2,3.24415E+3
8.48500E+0,3.77626E-2,3.77626E+2,3.20416E+3
8.43450E+0,3.73812E-2,3.73812E+2,3.15291E+3
8.38400E+0,3.71666E-2,3.71666E+2,3.11605E+3
8.33350E+0,3.67184E-2,3.67184E+2,3.05993E+3
8.28300E+0,3.61261E-2,3.61261E+2,2.99233E+3
8.23250E+0,3.55873E-2,3.55873E+2,2.92973E+3
8.18200E+0,3.50313E-2,3.50313E+2,2.86626E+3
8.13150E+0,3.44381E-2,3.44381E+2,2.80034E+3
8.08100E+0,3.37200E-2,3.37200E+2,2.72491E+3
8.03050E+0,3.29819E-2,3.29819E+2,2.64861E+3
7.98000E+0,3.23753E-2,3.23753E+2,2.58355E+3
7.92950E+0,3.18060E-2,3.18060E+2,2.52206E+3
7.87900E+0,3.08628E-2,3.08628E+2,2.43168E+3
7.82850E+0,3.02534E-2,3.02534E+2,2.36839E+3
7.77800E+0,2.96678E-2,2.96678E+2,2.30757E+3
