Tested at The Flinders University of South Australia

Cell Name:,CP156V_1
Notes:,
Cell Area (cm2):,0.100000
Temperature (C):,25.000000
Ideality [LnJ vs. V]: ,NaN
Jsat [Ln J vs. V] (A/m2): ,NaN
Jsat [Ln J vs. V] (mA/cm2): ,NaN
Schottky? : ,No
SBH [Ln J vs. V] (eV): ,0.000
R-Squared [Ln J vs. V]: ,NaN



Voltage (V), Current (A), Current Density (mA/cm2), Power Density (mW/cm2)
0.00000E+0,2.68936E-4,2.68936E+0,0.00000E+0
5.05000E-2,1.87874E-4,1.87874E+0,9.48763E-2
1.01000E-1,1.85967E-4,1.85966E+0,1.87826E-1
1.51500E-1,1.83106E-4,1.83106E+0,2.77405E-1
2.02000E-1,1.83106E-4,1.83106E+0,3.69873E-1
2.52500E-1,1.83106E-4,1.83106E+0,4.62341E-1
3.03000E-1,1.85013E-4,1.85013E+0,5.60589E-1
3.53500E-1,1.85967E-4,1.85966E+0,6.57392E-1
4.04000E-1,1.88828E-4,1.88827E+0,7.62863E-1
4.54500E-1,1.88828E-4,1.88827E+0,8.58221E-1
5.05000E-1,2.12669E-4,2.12669E+0,1.07398E+0
5.55500E-1,4.13895E-4,4.13895E+0,2.29919E+0
6.06000E-1,4.26292E-4,4.26292E+0,2.58333E+0
6.56500E-1,3.86238E-4,3.86238E+0,2.53565E+0
7.07000E-1,1.95503E-4,1.95503E+0,1.38221E+0
7.57500E-1,1.95503E-4,1.95503E+0,1.48094E+0
8.08000E-1,1.96457E-4,1.96457E+0,1.58737E+0
8.58500E-1,2.45094E-4,2.45094E+0,2.10413E+0
9.09000E-1,2.45094E-4,2.45094E+0,2.22791E+0
9.59500E-1,2.05994E-4,2.05994E+0,1.97651E+0
1.01000E+0,2.54631E-4,2.54631E+0,2.57177E+0
1.06050E+0,3.63350E-4,3.63350E+0,3.85333E+0
1.11100E+0,3.30925E-4,3.30925E+0,3.67658E+0
1.16150E+0,3.08037E-4,3.08037E+0,3.57785E+0
1.21200E+0,3.15666E-4,3.15666E+0,3.82587E+0
1.26250E+0,3.24249E-4,3.24249E+0,4.09365E+0
1.31300E+0,3.08990E-4,3.08990E+0,4.05705E+0
1.36350E+0,3.22342E-4,3.22342E+0,4.39513E+0
1.41400E+0,3.18527E-4,3.18527E+0,4.50397E+0
1.46450E+0,3.22342E-4,3.22342E+0,4.72070E+0
1.51500E+0,3.24249E-4,3.24249E+0,4.91238E+0
1.56550E+0,3.12805E-4,3.12805E+0,4.89697E+0
1.61600E+0,3.06129E-4,3.06129E+0,4.94705E+0
1.66650E+0,3.09944E-4,3.09944E+0,5.16522E+0
1.71700E+0,3.05176E-4,3.05176E+0,5.23987E+0
1.76750E+0,3.19481E-4,3.19481E+0,5.64682E+0
1.81800E+0,3.18527E-4,3.18527E+0,5.79082E+0
1.86850E+0,3.12805E-4,3.12805E+0,5.84477E+0
1.91900E+0,3.09944E-4,3.09944E+0,5.94783E+0
1.96950E+0,3.08037E-4,3.08037E+0,6.06678E+0
2.02000E+0,3.08990E-4,3.08990E+0,6.24161E+0
2.07050E+0,3.03268E-4,3.03268E+0,6.27917E+0
2.12100E+0,3.14712E-4,3.14712E+0,6.67505E+0
