Tested at The Flinders University of South Australia

Cell Name:,CP156V_3
Notes:,
Cell Area (cm2):,0.100000
Temperature (C):,25.000000
Ideality [LnJ vs. V]: ,202.374
Jsat [Ln J vs. V] (A/m2): ,3.410E+2
Jsat [Ln J vs. V] (mA/cm2): ,3.410E+1
Schottky? : ,No
SBH [Ln J vs. V] (eV): ,0.000
R-Squared [Ln J vs. V]: ,0.990



Voltage (V), Current (A), Current Density (mA/cm2), Power Density (mW/cm2)
1.00000E+1,1.06592E-2,1.06592E+2,1.06592E+3
9.94950E+0,1.13268E-2,1.13268E+2,1.12696E+3
9.89900E+0,1.20439E-2,1.20439E+2,1.19223E+3
9.84850E+0,1.27802E-2,1.27802E+2,1.25866E+3
9.79800E+0,1.34869E-2,1.34869E+2,1.32144E+3
9.74750E+0,1.41468E-2,1.41468E+2,1.37896E+3
9.69700E+0,1.47963E-2,1.47963E+2,1.43479E+3
9.64650E+0,1.54018E-2,1.54018E+2,1.48574E+3
9.59600E+0,1.59960E-2,1.59960E+2,1.53497E+3
9.54550E+0,1.65577E-2,1.65577E+2,1.58051E+3
9.49500E+0,1.70765E-2,1.70765E+2,1.62141E+3
9.44450E+0,1.75533E-2,1.75533E+2,1.65782E+3
9.39400E+0,1.80111E-2,1.80111E+2,1.69196E+3
9.34350E+0,1.83754E-2,1.83754E+2,1.71691E+3
9.29300E+0,1.86949E-2,1.86949E+2,1.73732E+3
9.24250E+0,1.89428E-2,1.89428E+2,1.75079E+3
9.19200E+0,1.91345E-2,1.91345E+2,1.75885E+3
9.14150E+0,1.92432E-2,1.92432E+2,1.75912E+3
9.09100E+0,1.92757E-2,1.92757E+2,1.75235E+3
9.04050E+0,1.92604E-2,1.92604E+2,1.74124E+3
8.99000E+0,1.91813E-2,1.91812E+2,1.72439E+3
8.93950E+0,1.90392E-2,1.90391E+2,1.70200E+3
8.88900E+0,1.88541E-2,1.88541E+2,1.67594E+3
8.83850E+0,1.86310E-2,1.86310E+2,1.64670E+3
8.78800E+0,1.83678E-2,1.83678E+2,1.61416E+3
8.73750E+0,1.80521E-2,1.80521E+2,1.57730E+3
8.68700E+0,1.77507E-2,1.77507E+2,1.54201E+3
8.63650E+0,1.74046E-2,1.74046E+2,1.50314E+3
8.58600E+0,1.70431E-2,1.70431E+2,1.46332E+3
8.53550E+0,1.66712E-2,1.66712E+2,1.42297E+3
8.48500E+0,1.62954E-2,1.62954E+2,1.38267E+3
8.43450E+0,1.59016E-2,1.59016E+2,1.34122E+3
8.38400E+0,1.54953E-2,1.54953E+2,1.29913E+3
8.33350E+0,1.51157E-2,1.51157E+2,1.25967E+3
8.28300E+0,1.47247E-2,1.47247E+2,1.21965E+3
8.23250E+0,1.43347E-2,1.43347E+2,1.18010E+3
8.18200E+0,1.39589E-2,1.39589E+2,1.14212E+3
8.13150E+0,1.35889E-2,1.35889E+2,1.10498E+3
8.08100E+0,1.31931E-2,1.31931E+2,1.06614E+3
8.03050E+0,1.28164E-2,1.28164E+2,1.02922E+3
7.98000E+0,1.24636E-2,1.24636E+2,9.94593E+2
7.92950E+0,1.20840E-2,1.20840E+2,9.58202E+2
7.87900E+0,1.17207E-2,1.17207E+2,9.23471E+2
7.82850E+0,1.13745E-2,1.13745E+2,8.90450E+2
7.77800E+0,1.10512E-2,1.10512E+2,8.59561E+2
7.72750E+0,1.07126E-2,1.07126E+2,8.27818E+2
7.67700E+0,1.03931E-2,1.03931E+2,7.97881E+2
7.62650E+0,1.00641E-2,1.00641E+2,7.67541E+2
7.57600E+0,9.75323E-3,9.75323E+1,7.38904E+2
7.52550E+0,9.45187E-3,9.45187E+1,7.11300E+2
7.47500E+0,9.14669E-3,9.14669E+1,6.83715E+2
7.42450E+0,8.86440E-3,8.86440E+1,6.58138E+2
7.37400E+0,8.61454E-3,8.61454E+1,6.35236E+2
7.32300E+0,8.34179E-3,8.34179E+1,6.10869E+2
7.27250E+0,8.05092E-3,8.05092E+1,5.85503E+2
7.22200E+0,7.79629E-3,7.79629E+1,5.63048E+2
7.17150E+0,7.56741E-3,7.56741E+1,5.42697E+2
7.12100E+0,7.34901E-3,7.34901E+1,5.23323E+2
7.07050E+0,7.09248E-3,7.09248E+1,5.01474E+2
7.02000E+0,6.86169E-3,6.86169E+1,4.81690E+2
6.96950E+0,6.65188E-3,6.65188E+1,4.63603E+2
6.91900E+0,6.47545E-3,6.47545E+1,4.48036E+2
6.86850E+0,6.26850E-3,6.26850E+1,4.30552E+2
6.81800E+0,6.06728E-3,6.06728E+1,4.13667E+2
6.76750E+0,5.86700E-3,5.86700E+1,3.97049E+2
6.71700E+0,5.69439E-3,5.69439E+1,3.82492E+2
6.66650E+0,5.51987E-3,5.51987E+1,3.67982E+2
6.61600E+0,5.33390E-3,5.33390E+1,3.52891E+2
6.56550E+0,5.15461E-3,5.15461E+1,3.38426E+2
6.51500E+0,4.99916E-3,4.99916E+1,3.25695E+2
6.46450E+0,4.86755E-3,4.86755E+1,3.14663E+2
6.41400E+0,4.70829E-3,4.70829E+1,3.01990E+2
6.36350E+0,4.55189E-3,4.55189E+1,2.89659E+2
6.31300E+0,4.41933E-3,4.41933E+1,2.78992E+2
6.26250E+0,4.26006E-3,4.26006E+1,2.66786E+2
6.21200E+0,4.12273E-3,4.12273E+1,2.56104E+2
6.16150E+0,3.99971E-3,3.99971E+1,2.46442E+2
6.11100E+0,3.87764E-3,3.87764E+1,2.36963E+2
6.06050E+0,3.72696E-3,3.72696E+1,2.25872E+2
6.01000E+0,3.60393E-3,3.60393E+1,2.16596E+2
5.95950E+0,3.50094E-3,3.50094E+1,2.08638E+2
5.90900E+0,3.40271E-3,3.40271E+1,2.01066E+2
5.85850E+0,3.27683E-3,3.27683E+1,1.91973E+2
5.80800E+0,3.20339E-3,3.20339E+1,1.86053E+2
5.75750E+0,3.09944E-3,3.09944E+1,1.78450E+2
5.70700E+0,2.99549E-3,2.99549E+1,1.70953E+2
5.65650E+0,2.90012E-3,2.90012E+1,1.64046E+2
5.60600E+0,2.82860E-3,2.82860E+1,1.58571E+2
5.55550E+0,2.73418E-3,2.73418E+1,1.51898E+2
5.50500E+0,2.65980E-3,2.65980E+1,1.46422E+2
5.45450E+0,2.57206E-3,2.57206E+1,1.40293E+2
5.40400E+0,2.49195E-3,2.49195E+1,1.34665E+2
5.35350E+0,2.41470E-3,2.41470E+1,1.29271E+2
5.30300E+0,2.34508E-3,2.34508E+1,1.24360E+2
5.25250E+0,2.27737E-3,2.27737E+1,1.19619E+2
5.20200E+0,2.21920E-3,2.21920E+1,1.15443E+2
5.15150E+0,2.14481E-3,2.14481E+1,1.10490E+2
5.10100E+0,2.07043E-3,2.07043E+1,1.05612E+2
5.05050E+0,2.00558E-3,2.00558E+1,1.01292E+2
5.00000E+0,1.94740E-3,1.94740E+1,9.73701E+1
4.94950E+0,1.88828E-3,1.88828E+1,9.34602E+1
4.89900E+0,1.83678E-3,1.83678E+1,8.99837E+1
4.84850E+0,1.76525E-3,1.76525E+1,8.55882E+1
4.79800E+0,1.70231E-3,1.70231E+1,8.16768E+1
4.74750E+0,1.66035E-3,1.66035E+1,7.88250E+1
4.69700E+0,1.60599E-3,1.60599E+1,7.54333E+1
4.64650E+0,1.57642E-3,1.57642E+1,7.32485E+1
4.59600E+0,1.53732E-3,1.53732E+1,7.06554E+1
4.54550E+0,1.49345E-3,1.49345E+1,6.78850E+1
4.49500E+0,1.43337E-3,1.43337E+1,6.44301E+1
4.44450E+0,1.38187E-3,1.38187E+1,6.14174E+1
4.39400E+0,1.33228E-3,1.33228E+1,5.85405E+1
4.34350E+0,1.29700E-3,1.29700E+1,5.63351E+1
4.29300E+0,1.24931E-3,1.24931E+1,5.36330E+1
4.24250E+0,1.22070E-3,1.22070E+1,5.17883E+1
4.19200E+0,1.17874E-3,1.17874E+1,4.94128E+1
4.14150E+0,1.13773E-3,1.13773E+1,4.71192E+1
4.09100E+0,1.11484E-3,1.11484E+1,4.56083E+1
4.04050E+0,1.08910E-3,1.08910E+1,4.40049E+1
3.99000E+0,1.06144E-3,1.06144E+1,4.23515E+1
3.93950E+0,1.02234E-3,1.02234E+1,4.02750E+1
3.88900E+0,9.89914E-4,9.89914E+0,3.84978E+1
3.83850E+0,9.73701E-4,9.73701E+0,3.73755E+1
3.78800E+0,9.56535E-4,9.56535E+0,3.62336E+1
3.73750E+0,9.26971E-4,9.26971E+0,3.46456E+1
3.68700E+0,8.83102E-4,8.83102E+0,3.25600E+1
3.63650E+0,8.65936E-4,8.65936E+0,3.14898E+1
3.58600E+0,8.32558E-4,8.32558E+0,2.98555E+1
3.53550E+0,8.17299E-4,8.17299E+0,2.88956E+1
3.48500E+0,7.84874E-4,7.84874E+0,2.73529E+1
3.43450E+0,7.60078E-4,7.60078E+0,2.61049E+1
3.38400E+0,7.37190E-4,7.37190E+0,2.49465E+1
3.33350E+0,7.20024E-4,7.20024E+0,2.40020E+1
3.28300E+0,6.94275E-4,6.94275E+0,2.27930E+1
3.23250E+0,6.71387E-4,6.71387E+0,2.17026E+1
3.18200E+0,6.51360E-4,6.51360E+0,2.07263E+1
3.13150E+0,6.33240E-4,6.33240E+0,1.98299E+1
3.08100E+0,6.22749E-4,6.22749E+0,1.91869E+1
3.03050E+0,6.13213E-4,6.13213E+0,1.85834E+1
2.98000E+0,5.80788E-4,5.80788E+0,1.73075E+1
2.92950E+0,5.71251E-4,5.71251E+0,1.67348E+1
2.87900E+0,5.58853E-4,5.58853E+0,1.60894E+1
2.82850E+0,5.48363E-4,5.48363E+0,1.55104E+1
2.77800E+0,5.35011E-4,5.35011E+0,1.48626E+1
2.72750E+0,5.19753E-4,5.19752E+0,1.41762E+1
2.67700E+0,5.08308E-4,5.08308E+0,1.36074E+1
2.62650E+0,4.90189E-4,4.90189E+0,1.28748E+1
2.57600E+0,4.77791E-4,4.77791E+0,1.23079E+1
2.52550E+0,4.67300E-4,4.67300E+0,1.18017E+1
2.47450E+0,4.53949E-4,4.53949E+0,1.12330E+1
2.42400E+0,4.38690E-4,4.38690E+0,1.06339E+1
2.37350E+0,4.29153E-4,4.29153E+0,1.01860E+1
2.32300E+0,4.11987E-4,4.11987E+0,9.57046E+0
2.27250E+0,4.04358E-4,4.04358E+0,9.18903E+0
2.22200E+0,3.92914E-4,3.92914E+0,8.73054E+0
2.17150E+0,3.85284E-4,3.85284E+0,8.36645E+0
2.12100E+0,3.73840E-4,3.73840E+0,7.92915E+0
2.07050E+0,3.67165E-4,3.67165E+0,7.60214E+0
2.02000E+0,3.50952E-4,3.50952E+0,7.08923E+0
1.96950E+0,3.39508E-4,3.39508E+0,6.68661E+0
1.91900E+0,3.33786E-4,3.33786E+0,6.40535E+0
1.86850E+0,3.24249E-4,3.24249E+0,6.05860E+0
1.81800E+0,3.15666E-4,3.15666E+0,5.73881E+0
1.76750E+0,3.13759E-4,3.13759E+0,5.54569E+0
1.71700E+0,3.05176E-4,3.05176E+0,5.23987E+0
1.66650E+0,2.99454E-4,2.99454E+0,4.99040E+0
1.61600E+0,2.91824E-4,2.91824E+0,4.71588E+0
1.56550E+0,2.82288E-4,2.82288E+0,4.41921E+0
1.51500E+0,2.86102E-4,2.86102E+0,4.33445E+0
1.46450E+0,2.76566E-4,2.76566E+0,4.05030E+0
1.41400E+0,2.71797E-4,2.71797E+0,3.84321E+0
1.36350E+0,2.60353E-4,2.60353E+0,3.54991E+0
1.31300E+0,2.58446E-4,2.58446E+0,3.39339E+0
1.26250E+0,2.56538E-4,2.56538E+0,3.23880E+0
1.21200E+0,2.48909E-4,2.48909E+0,3.01678E+0
1.16150E+0,2.60353E-4,2.60353E+0,3.02400E+0
1.11100E+0,2.55585E-4,2.55585E+0,2.83955E+0
1.06050E+0,2.51770E-4,2.51770E+0,2.67002E+0
1.01000E+0,2.46048E-4,2.46048E+0,2.48508E+0
9.59500E-1,2.43187E-4,2.43187E+0,2.33338E+0
9.09000E-1,2.39372E-4,2.39372E+0,2.17589E+0
8.58500E-1,2.32696E-4,2.32696E+0,1.99770E+0
8.08000E-1,2.26974E-4,2.26974E+0,1.83395E+0
7.57500E-1,2.20299E-4,2.20299E+0,1.66876E+0
7.07000E-1,2.16484E-4,2.16484E+0,1.53054E+0
6.56500E-1,2.11716E-4,2.11716E+0,1.38991E+0
6.06000E-1,2.09808E-4,2.09808E+0,1.27144E+0
5.55500E-1,2.07901E-4,2.07901E+0,1.15489E+0
5.05000E-1,2.07901E-4,2.07901E+0,1.04990E+0
4.54500E-1,2.05040E-4,2.05040E+0,9.31907E-1
4.04000E-1,2.04086E-4,2.04086E+0,8.24509E-1
3.53500E-1,2.04086E-4,2.04086E+0,7.21445E-1
3.03000E-1,2.04086E-4,2.04086E+0,6.18381E-1
2.52500E-1,1.98364E-4,1.98364E+0,5.00870E-1
2.02000E-1,1.94550E-4,1.94550E+0,3.92990E-1
1.51500E-1,1.93596E-4,1.93596E+0,2.93298E-1
1.01000E-1,1.93596E-4,1.93596E+0,1.95532E-1
5.05000E-2,1.91689E-4,1.91688E+0,9.68027E-2
0.00000E+0,1.91689E-4,1.91688E+0,0.00000E+0
1.00000E+1,1.73387E-2,1.73387E+2,1.73387E+3
