Tested at The Flinders University of South Australia

Cell Name:,CP156V_3R
Notes:,
Cell Area (cm2):,0.100000
Temperature (C):,25.000000
Ideality [LnJ vs. V]: ,50.970
Jsat [Ln J vs. V] (A/m2): ,4.143E+0
Jsat [Ln J vs. V] (mA/cm2): ,4.143E-1
Schottky? : ,No
SBH [Ln J vs. V] (eV): ,0.000
R-Squared [Ln J vs. V]: ,1.000



Voltage (V), Current (A), Current Density (mA/cm2), Power Density (mW/cm2)
1.00000E+1,4.29687E-2,4.29687E+2,4.29687E+3
9.94950E+0,5.44787E-2,5.44786E+2,5.42035E+3
9.89900E+0,5.97143E-2,5.97143E+2,5.91112E+3
9.84850E+0,6.27651E-2,6.27651E+2,6.18142E+3
9.79800E+0,6.40249E-2,6.40249E+2,6.27316E+3
9.74750E+0,6.39343E-2,6.39343E+2,6.23200E+3
9.69700E+0,6.31638E-2,6.31638E+2,6.12499E+3
9.64650E+0,6.19125E-2,6.19125E+2,5.97239E+3
9.59600E+0,6.04448E-2,6.04448E+2,5.80029E+3
9.54550E+0,5.89275E-2,5.89275E+2,5.62493E+3
9.49500E+0,5.70669E-2,5.70669E+2,5.41850E+3
9.44450E+0,5.51815E-2,5.51815E+2,5.21162E+3
9.39400E+0,5.33428E-2,5.33428E+2,5.01102E+3
9.34350E+0,5.14612E-2,5.14612E+2,4.80828E+3
9.29300E+0,4.96902E-2,4.96902E+2,4.61771E+3
9.24250E+0,4.79202E-2,4.79202E+2,4.42903E+3
9.19200E+0,4.61893E-2,4.61893E+2,4.24572E+3
9.14150E+0,4.44565E-2,4.44565E+2,4.06399E+3
9.09100E+0,4.27656E-2,4.27656E+2,3.88782E+3
9.04050E+0,4.11482E-2,4.11482E+2,3.72000E+3
8.99000E+0,3.96252E-2,3.96252E+2,3.56230E+3
8.93950E+0,3.82461E-2,3.82461E+2,3.41901E+3
8.88900E+0,3.68366E-2,3.68366E+2,3.27441E+3
8.83850E+0,3.54719E-2,3.54719E+2,3.13519E+3
8.78800E+0,3.42607E-2,3.42607E+2,3.01083E+3
8.73750E+0,3.30582E-2,3.30582E+2,2.88846E+3
8.68700E+0,3.18899E-2,3.18899E+2,2.77028E+3
8.63650E+0,3.07827E-2,3.07827E+2,2.65855E+3
8.58600E+0,2.97575E-2,2.97575E+2,2.55498E+3
8.53550E+0,2.88000E-2,2.88000E+2,2.45822E+3
8.48500E+0,2.78635E-2,2.78635E+2,2.36422E+3
8.43450E+0,2.69566E-2,2.69566E+2,2.27365E+3
8.38400E+0,2.61126E-2,2.61126E+2,2.18928E+3
8.33350E+0,2.52676E-2,2.52676E+2,2.10568E+3
8.28300E+0,2.45953E-2,2.45953E+2,2.03723E+3
8.23250E+0,2.38752E-2,2.38752E+2,1.96553E+3
8.18200E+0,2.31857E-2,2.31857E+2,1.89706E+3
8.13150E+0,2.25420E-2,2.25420E+2,1.83300E+3
8.08100E+0,2.19088E-2,2.19088E+2,1.77045E+3
8.03050E+0,2.13375E-2,2.13375E+2,1.71351E+3
7.98000E+0,2.08149E-2,2.08149E+2,1.66103E+3
7.92950E+0,2.03228E-2,2.03228E+2,1.61150E+3
7.87900E+0,1.98383E-2,1.98383E+2,1.56306E+3
7.82850E+0,1.93873E-2,1.93873E+2,1.51773E+3
7.77800E+0,1.89591E-2,1.89590E+2,1.47463E+3
7.72750E+0,1.85184E-2,1.85184E+2,1.43101E+3
7.67700E+0,1.81284E-2,1.81284E+2,1.39172E+3
7.62650E+0,1.77641E-2,1.77641E+2,1.35478E+3
7.57600E+0,1.73817E-2,1.73817E+2,1.31684E+3
7.52550E+0,1.70260E-2,1.70260E+2,1.28129E+3
7.47500E+0,1.67017E-2,1.67017E+2,1.24845E+3
7.42450E+0,1.63727E-2,1.63727E+2,1.21559E+3
7.37400E+0,1.60360E-2,1.60360E+2,1.18250E+3
7.32300E+0,1.57309E-2,1.57309E+2,1.15197E+3
7.27250E+0,1.54428E-2,1.54428E+2,1.12308E+3
7.22200E+0,1.51663E-2,1.51663E+2,1.09531E+3
7.17150E+0,1.48745E-2,1.48745E+2,1.06672E+3
7.12100E+0,1.45845E-2,1.45845E+2,1.03857E+3
7.07050E+0,1.43194E-2,1.43194E+2,1.01245E+3
7.02000E+0,1.40696E-2,1.40696E+2,9.87683E+2
6.96950E+0,1.38121E-2,1.38121E+2,9.62632E+2
6.91900E+0,1.35794E-2,1.35794E+2,9.39557E+2
6.86850E+0,1.33285E-2,1.33286E+2,9.15471E+2
6.81800E+0,1.30644E-2,1.30644E+2,8.90729E+2
6.76750E+0,1.28145E-2,1.28145E+2,8.67223E+2
6.71700E+0,1.25809E-2,1.25809E+2,8.45057E+2
6.66650E+0,1.23558E-2,1.23558E+2,8.23699E+2
6.61600E+0,1.21221E-2,1.21221E+2,8.02001E+2
6.56550E+0,1.18961E-2,1.18961E+2,7.81040E+2
6.51500E+0,1.16692E-2,1.16692E+2,7.60246E+2
6.46450E+0,1.14355E-2,1.14355E+2,7.39249E+2
6.41400E+0,1.12171E-2,1.12171E+2,7.19466E+2
6.36350E+0,1.09940E-2,1.09940E+2,6.99601E+2
6.31300E+0,1.07641E-2,1.07641E+2,6.79539E+2
6.26250E+0,1.05524E-2,1.05524E+2,6.60845E+2
6.21200E+0,1.03474E-2,1.03474E+2,6.42779E+2
6.16150E+0,1.01395E-2,1.01395E+2,6.24743E+2
6.11100E+0,9.93156E-3,9.93156E+1,6.06918E+2
6.06050E+0,9.72748E-3,9.72748E+1,5.89534E+2
6.01000E+0,9.53007E-3,9.53007E+1,5.72757E+2
5.95950E+0,9.33266E-3,9.33266E+1,5.56180E+2
5.90900E+0,9.13048E-3,9.13048E+1,5.39520E+2
5.85850E+0,8.93688E-3,8.93688E+1,5.23567E+2
5.80800E+0,8.74519E-3,8.74519E+1,5.07921E+2
5.75750E+0,8.55923E-3,8.55923E+1,4.92797E+2
5.70700E+0,8.38184E-3,8.38184E+1,4.78352E+2
5.65650E+0,8.19015E-3,8.19015E+1,4.63276E+2
5.60600E+0,8.01086E-3,8.01086E+1,4.49089E+2
5.55550E+0,7.83062E-3,7.83062E+1,4.35030E+2
5.50500E+0,7.65228E-3,7.65228E+1,4.21258E+2
5.45450E+0,7.47871E-3,7.47871E+1,4.07926E+2
5.40400E+0,7.30514E-3,7.30514E+1,3.94770E+2
5.35350E+0,7.14111E-3,7.14111E+1,3.82299E+2
5.30300E+0,6.97708E-3,6.97708E+1,3.69995E+2
5.25250E+0,6.80733E-3,6.80733E+1,3.57555E+2
5.20200E+0,6.64234E-3,6.64234E+1,3.45535E+2
5.15150E+0,6.48022E-3,6.48022E+1,3.33828E+2
5.10100E+0,6.32095E-3,6.32095E+1,3.22432E+2
5.05050E+0,6.16837E-3,6.16837E+1,3.11533E+2
5.00000E+0,6.01196E-3,6.01196E+1,3.00598E+2
4.94950E+0,5.85651E-3,5.85651E+1,2.89868E+2
4.89900E+0,5.70774E-3,5.70774E+1,2.79622E+2
4.84850E+0,5.56087E-3,5.56088E+1,2.69619E+2
