Tested at The Flinders University of South Australia

Cell Name:,CP156V_4R
Notes:,
Cell Area (cm2):,0.100000
Temperature (C):,25.000000
Ideality [LnJ vs. V]: ,43.210
Jsat [Ln J vs. V] (A/m2): ,8.900E-1
Jsat [Ln J vs. V] (mA/cm2): ,8.900E-2
Schottky? : ,No
SBH [Ln J vs. V] (eV): ,0.000
R-Squared [Ln J vs. V]: ,1.000



Voltage (V), Current (A), Current Density (mA/cm2), Power Density (mW/cm2)
1.00000E+1,4.65708E-2,4.65708E+2,4.65708E+3
9.94950E+0,5.44024E-2,5.44024E+2,5.41276E+3
9.89900E+0,5.70107E-2,5.70106E+2,5.64348E+3
9.84850E+0,5.77164E-2,5.77164E+2,5.68420E+3
9.79800E+0,5.71928E-2,5.71928E+2,5.60375E+3
9.74750E+0,5.58004E-2,5.58004E+2,5.43915E+3
9.69700E+0,5.41305E-2,5.41305E+2,5.24904E+3
9.64650E+0,5.22652E-2,5.22652E+2,5.04176E+3
9.59600E+0,5.01623E-2,5.01623E+2,4.81358E+3
9.54550E+0,4.80900E-2,4.80900E+2,4.59043E+3
9.49500E+0,4.59595E-2,4.59595E+2,4.36385E+3
9.44450E+0,4.39129E-2,4.39129E+2,4.14735E+3
9.39400E+0,4.19588E-2,4.19588E+2,3.94161E+3
9.34350E+0,4.01611E-2,4.01611E+2,3.75246E+3
9.29300E+0,3.84207E-2,3.84207E+2,3.57043E+3
9.24250E+0,3.68910E-2,3.68910E+2,3.40965E+3
9.19200E+0,3.53851E-2,3.53851E+2,3.25260E+3
9.14150E+0,3.40490E-2,3.40490E+2,3.11259E+3
9.09100E+0,3.27616E-2,3.27616E+2,2.97835E+3
9.04050E+0,3.14760E-2,3.14760E+2,2.84559E+3
8.99000E+0,3.03335E-2,3.03335E+2,2.72698E+3
8.93950E+0,2.91748E-2,2.91748E+2,2.60808E+3
8.88900E+0,2.81610E-2,2.81611E+2,2.50324E+3
8.83850E+0,2.71807E-2,2.71807E+2,2.40236E+3
8.78800E+0,2.62337E-2,2.62337E+2,2.30541E+3
8.73750E+0,2.53792E-2,2.53792E+2,2.21751E+3
8.68700E+0,2.46010E-2,2.46010E+2,2.13709E+3
8.63650E+0,2.38638E-2,2.38638E+2,2.06100E+3
8.58600E+0,2.31504E-2,2.31504E+2,1.98770E+3
8.53550E+0,2.24915E-2,2.24915E+2,1.91976E+3
8.48500E+0,2.18553E-2,2.18553E+2,1.85443E+3
8.43450E+0,2.12355E-2,2.12355E+2,1.79111E+3
8.38400E+0,2.06804E-2,2.06804E+2,1.73385E+3
8.33350E+0,2.01387E-2,2.01387E+2,1.67826E+3
8.28300E+0,1.96505E-2,1.96505E+2,1.62765E+3
8.23250E+0,1.91326E-2,1.91326E+2,1.57509E+3
8.18200E+0,1.86892E-2,1.86892E+2,1.52915E+3
8.13150E+0,1.82285E-2,1.82285E+2,1.48225E+3
8.08100E+0,1.78032E-2,1.78032E+2,1.43868E+3
8.03050E+0,1.73664E-2,1.73664E+2,1.39461E+3
7.98000E+0,1.69830E-2,1.69830E+2,1.35525E+3
7.92950E+0,1.66130E-2,1.66130E+2,1.31733E+3
7.87900E+0,1.62363E-2,1.62363E+2,1.27926E+3
7.82850E+0,1.58730E-2,1.58730E+2,1.24261E+3
7.77800E+0,1.55506E-2,1.55506E+2,1.20953E+3
7.72750E+0,1.52245E-2,1.52245E+2,1.17647E+3
7.67700E+0,1.49193E-2,1.49193E+2,1.14535E+3
7.62650E+0,1.46084E-2,1.46084E+2,1.11411E+3
7.57600E+0,1.43194E-2,1.43194E+2,1.08484E+3
7.52550E+0,1.40276E-2,1.40276E+2,1.05565E+3
7.47500E+0,1.37377E-2,1.37377E+2,1.02689E+3
7.42450E+0,1.34563E-2,1.34563E+2,9.99066E+2
7.37400E+0,1.31884E-2,1.31884E+2,9.72510E+2
7.32300E+0,1.29147E-2,1.29147E+2,9.45741E+2
7.27250E+0,1.26505E-2,1.26505E+2,9.20007E+2
7.22200E+0,1.23978E-2,1.23978E+2,8.95367E+2
7.17150E+0,1.21489E-2,1.21489E+2,8.71255E+2
7.12100E+0,1.18895E-2,1.18895E+2,8.46648E+2
7.07050E+0,1.16634E-2,1.16634E+2,8.24664E+2
7.02000E+0,1.14222E-2,1.14222E+2,8.01836E+2
6.96950E+0,1.11971E-2,1.11971E+2,7.80381E+2
6.91900E+0,1.09644E-2,1.09644E+2,7.58626E+2
6.86850E+0,1.07470E-2,1.07470E+2,7.38155E+2
6.81800E+0,1.05410E-2,1.05410E+2,7.18683E+2
6.76750E+0,1.03350E-2,1.03350E+2,6.99419E+2
6.71700E+0,1.01233E-2,1.01233E+2,6.79979E+2
6.66650E+0,9.93443E-3,9.93442E+1,6.62278E+2
6.61600E+0,9.73129E-3,9.73129E+1,6.43822E+2
6.56550E+0,9.52625E-3,9.52625E+1,6.25446E+2
6.51500E+0,9.33552E-3,9.33552E+1,6.08209E+2
6.46450E+0,9.14097E-3,9.14097E+1,5.90918E+2
6.41400E+0,8.94260E-3,8.94260E+1,5.73579E+2
6.36350E+0,8.76141E-3,8.76141E+1,5.57532E+2
6.31300E+0,8.57639E-3,8.57639E+1,5.41428E+2
6.26250E+0,8.38852E-3,8.38852E+1,5.25331E+2
6.21200E+0,8.21114E-3,8.21114E+1,5.10076E+2
6.16150E+0,8.04329E-3,8.04329E+1,4.95587E+2
6.11100E+0,7.87067E-3,7.87067E+1,4.80977E+2
6.06050E+0,7.69997E-3,7.69997E+1,4.66656E+2
6.01000E+0,7.53307E-3,7.53307E+1,4.52738E+2
5.95950E+0,7.37572E-3,7.37572E+1,4.39556E+2
5.90900E+0,7.21550E-3,7.21550E+1,4.26364E+2
5.85850E+0,7.05433E-3,7.05433E+1,4.13278E+2
5.80800E+0,6.89411E-3,6.89411E+1,4.00410E+2
5.75750E+0,6.74152E-3,6.74152E+1,3.88143E+2
5.70700E+0,6.59943E-3,6.59943E+1,3.76629E+2
5.65650E+0,6.44970E-3,6.44970E+1,3.64827E+2
5.60600E+0,6.30379E-3,6.30379E+1,3.53390E+2
5.55550E+0,6.16741E-3,6.16741E+1,3.42631E+2
