Tested at The Flinders University of South Australia

Cell Name:,CP156W_1
Notes:,
Cell Area (cm2):,0.100000
Temperature (C):,25.000000
Ideality [LnJ vs. V]: ,NaN
Jsat [Ln J vs. V] (A/m2): ,NaN
Jsat [Ln J vs. V] (mA/cm2): ,NaN
Schottky? : ,No
SBH [Ln J vs. V] (eV): ,0.000
R-Squared [Ln J vs. V]: ,NaN



Voltage (V), Current (A), Current Density (mA/cm2), Power Density (mW/cm2)
0.00000E+0,2.52724E-4,2.52724E+0,0.00000E+0
5.05000E-2,1.77383E-4,1.77383E+0,8.95786E-2
1.01000E-1,1.77383E-4,1.77383E+0,1.79157E-1
1.51500E-1,1.77383E-4,1.77383E+0,2.68736E-1
2.02000E-1,1.76430E-4,1.76430E+0,3.56388E-1
2.52500E-1,1.77383E-4,1.77383E+0,4.47893E-1
3.03000E-1,1.77383E-4,1.77383E+0,5.37472E-1
3.53500E-1,1.86920E-4,1.86920E+0,6.60763E-1
4.04000E-1,1.93596E-4,1.93596E+0,7.82127E-1
4.54500E-1,2.03133E-4,2.03133E+0,9.23238E-1
5.05000E-1,2.65122E-4,2.65121E+0,1.33886E+0
5.55500E-1,2.11716E-4,2.11716E+0,1.17608E+0
6.06000E-1,2.19345E-4,2.19345E+0,1.32923E+0
6.56500E-1,2.32696E-4,2.32696E+0,1.52765E+0
7.07000E-1,2.31743E-4,2.31743E+0,1.63842E+0
7.57500E-1,2.45094E-4,2.45094E+0,1.85659E+0
8.08000E-1,2.32696E-4,2.32696E+0,1.88019E+0
8.58500E-1,2.52724E-4,2.52724E+0,2.16963E+0
9.09000E-1,2.60353E-4,2.60353E+0,2.36661E+0
9.59500E-1,2.45094E-4,2.45094E+0,2.35168E+0
1.01000E+0,1.97411E-4,1.97411E+0,1.99385E+0
1.06050E+0,3.98636E-4,3.98636E+0,4.22753E+0
1.11100E+0,2.38419E-4,2.38419E+0,2.64883E+0
1.16150E+0,2.67983E-4,2.67982E+0,3.11262E+0
1.21200E+0,2.96593E-4,2.96593E+0,3.59470E+0
1.26250E+0,3.04222E-4,3.04222E+0,3.84080E+0
1.31300E+0,3.36647E-4,3.36647E+0,4.42018E+0
1.36350E+0,3.51906E-4,3.51906E+0,4.79824E+0
1.41400E+0,3.39508E-4,3.39508E+0,4.80064E+0
1.46450E+0,3.49999E-4,3.49999E+0,5.12573E+0
1.51500E+0,3.77655E-4,3.77655E+0,5.72147E+0
1.56550E+0,3.51906E-4,3.51906E+0,5.50909E+0
1.61600E+0,3.20435E-4,3.20435E+0,5.17822E+0
1.66650E+0,3.33786E-4,3.33786E+0,5.56254E+0
1.71700E+0,2.90871E-4,2.90871E+0,4.99425E+0
1.76750E+0,3.07083E-4,3.07083E+0,5.42769E+0
1.81800E+0,3.69072E-4,3.69072E+0,6.70973E+0
1.86850E+0,3.15666E-4,3.15666E+0,5.89822E+0
1.91900E+0,2.96593E-4,2.96593E+0,5.69161E+0
1.96950E+0,2.88010E-4,2.88010E+0,5.67235E+0
2.02000E+0,2.96593E-4,2.96593E+0,5.99117E+0
2.07050E+0,2.90871E-4,2.90871E+0,6.02248E+0
2.12100E+0,2.88010E-4,2.88010E+0,6.10868E+0
2.17150E+0,2.90871E-4,2.90871E+0,6.31626E+0
2.22200E+0,2.94685E-4,2.94685E+0,6.54791E+0
2.27250E+0,3.00407E-4,3.00407E+0,6.82676E+0
2.32300E+0,2.99454E-4,2.99454E+0,6.95631E+0
2.37350E+0,2.94685E-4,2.94685E+0,6.99436E+0
2.42400E+0,3.03268E-4,3.03268E+0,7.35123E+0
2.47450E+0,3.09944E-4,3.09944E+0,7.66957E+0
2.52550E+0,2.96593E-4,2.96593E+0,7.49045E+0
2.57600E+0,2.88010E-4,2.88010E+0,7.41913E+0
2.62650E+0,2.90871E-4,2.90871E+0,7.63972E+0
2.67700E+0,3.06129E-4,3.06129E+0,8.19509E+0
2.72750E+0,3.23296E-4,3.23296E+0,8.81789E+0
2.77800E+0,3.26157E-4,3.26157E+0,9.06063E+0
2.82850E+0,3.38554E-4,3.38554E+0,9.57601E+0
2.87900E+0,3.39508E-4,3.39508E+0,9.77444E+0
2.92950E+0,3.58582E-4,3.58582E+0,1.05046E+1
2.98000E+0,3.74794E-4,3.74794E+0,1.11689E+1
3.03050E+0,3.90053E-4,3.90053E+0,1.18206E+1
3.08100E+0,4.07219E-4,4.07219E+0,1.25464E+1
3.13150E+0,4.36783E-4,4.36783E+0,1.36779E+1
3.18200E+0,4.66347E-4,4.66347E+0,1.48392E+1
3.23250E+0,4.95911E-4,4.95911E+0,1.60303E+1
3.28300E+0,5.12123E-4,5.12123E+0,1.68130E+1
3.33350E+0,5.54085E-4,5.54085E+0,1.84704E+1
3.38400E+0,5.93185E-4,5.93185E+0,2.00734E+1
3.43450E+0,6.23703E-4,6.23703E+0,2.14211E+1
3.48500E+0,6.79970E-4,6.79970E+0,2.36969E+1
3.53550E+0,7.25746E-4,7.25746E+0,2.56588E+1
3.58600E+0,7.70569E-4,7.70569E+0,2.76326E+1
3.63650E+0,8.65936E-4,8.65936E+0,3.14898E+1
3.68700E+0,9.35554E-4,9.35554E+0,3.44939E+1
3.73750E+0,9.82285E-4,9.82285E+0,3.67129E+1
3.78800E+0,1.06049E-3,1.06049E+1,4.01712E+1
3.83850E+0,1.13678E-3,1.13678E+1,4.36353E+1
3.88900E+0,1.19877E-3,1.19877E+1,4.66201E+1
3.93950E+0,1.28078E-3,1.28078E+1,5.04565E+1
3.99000E+0,1.37329E-3,1.37329E+1,5.47943E+1
4.04050E+0,1.45817E-3,1.45817E+1,5.89173E+1
4.09100E+0,1.51443E-3,1.51443E+1,6.19555E+1
4.14150E+0,1.61457E-3,1.61457E+1,6.68675E+1
4.19200E+0,1.67847E-3,1.67847E+1,7.03613E+1
4.24250E+0,1.74713E-3,1.74713E+1,7.41220E+1
4.29300E+0,1.80912E-3,1.80912E+1,7.76655E+1
4.34350E+0,1.89972E-3,1.89972E+1,8.25143E+1
4.39400E+0,2.02274E-3,2.02274E+1,8.88793E+1
4.44450E+0,2.11620E-3,2.11620E+1,9.40546E+1
4.49500E+0,2.21729E-3,2.21729E+1,9.96673E+1
4.54550E+0,2.32506E-3,2.32506E+1,1.05686E+2
4.59600E+0,2.41184E-3,2.41184E+1,1.10848E+2
4.64650E+0,2.48718E-3,2.48718E+1,1.15567E+2
4.69700E+0,2.58541E-3,2.58541E+1,1.21437E+2
4.74750E+0,2.65312E-3,2.65312E+1,1.25957E+2
4.79800E+0,2.74944E-3,2.74944E+1,1.31918E+2
4.84850E+0,2.87247E-3,2.87247E+1,1.39272E+2
4.89900E+0,2.98119E-3,2.98119E+1,1.46048E+2
4.94950E+0,3.12614E-3,3.12614E+1,1.54728E+2
5.00000E+0,3.19862E-3,3.19862E+1,1.59931E+2
5.05050E+0,3.31402E-3,3.31402E+1,1.67374E+2
5.10100E+0,3.40653E-3,3.40652E+1,1.73767E+2
5.15150E+0,3.52192E-3,3.52192E+1,1.81432E+2
5.20200E+0,3.61347E-3,3.61347E+1,1.87973E+2
5.25250E+0,3.73077E-3,3.73077E+1,1.95959E+2
5.30300E+0,3.91579E-3,3.91579E+1,2.07654E+2
5.35350E+0,3.99685E-3,3.99685E+1,2.13971E+2
5.40400E+0,4.16374E-3,4.16374E+1,2.25009E+2
5.45450E+0,4.27151E-3,4.27151E+1,2.32989E+2
5.50500E+0,4.39930E-3,4.39930E+1,2.42181E+2
5.55550E+0,4.56619E-3,4.56619E+1,2.53675E+2
5.60600E+0,4.71973E-3,4.71973E+1,2.64588E+2
5.65650E+0,4.88854E-3,4.88854E+1,2.76520E+2
5.70700E+0,5.02777E-3,5.02777E+1,2.86935E+2
5.75750E+0,5.10979E-3,5.10979E+1,2.94196E+2
5.80800E+0,5.24139E-3,5.24139E+1,3.04420E+2
5.85850E+0,5.34534E-3,5.34534E+1,3.13157E+2
5.90900E+0,5.50747E-3,5.50747E+1,3.25436E+2
