Tested at The Flinders University of South Australia

Cell Name:,CP156W_2
Notes:,
Cell Area (cm2):,0.100000
Temperature (C):,25.000000
Ideality [LnJ vs. V]: ,212.405
Jsat [Ln J vs. V] (A/m2): ,1.225E+2
Jsat [Ln J vs. V] (mA/cm2): ,1.225E+1
Schottky? : ,No
SBH [Ln J vs. V] (eV): ,0.000
R-Squared [Ln J vs. V]: ,0.981



Voltage (V), Current (A), Current Density (mA/cm2), Power Density (mW/cm2)
1.00000E+1,7.68375E-3,7.68375E+1,7.68375E+2
9.94950E+0,7.56931E-3,7.56931E+1,7.53109E+2
9.89900E+0,7.47299E-3,7.47299E+1,7.39751E+2
9.84850E+0,7.41100E-3,7.41100E+1,7.29873E+2
9.79800E+0,7.30419E-3,7.30419E+1,7.15665E+2
9.74750E+0,7.21931E-3,7.21932E+1,7.03703E+2
9.69700E+0,7.13634E-3,7.13635E+1,6.92011E+2
9.64650E+0,7.09438E-3,7.09438E+1,6.84360E+2
9.59600E+0,7.03716E-3,7.03716E+1,6.75286E+2
9.54550E+0,6.97708E-3,6.97708E+1,6.65997E+2
9.49500E+0,6.92463E-3,6.92463E+1,6.57494E+2
9.44450E+0,6.89793E-3,6.89793E+1,6.51475E+2
9.39400E+0,6.85215E-3,6.85215E+1,6.43691E+2
9.34350E+0,6.79207E-3,6.79207E+1,6.34617E+2
9.29300E+0,6.70815E-3,6.70815E+1,6.23388E+2
9.24250E+0,6.69670E-3,6.69670E+1,6.18943E+2
9.19200E+0,6.65474E-3,6.65474E+1,6.11704E+2
9.14150E+0,6.59943E-3,6.59943E+1,6.03287E+2
9.09100E+0,6.56033E-3,6.56033E+1,5.96399E+2
9.04050E+0,6.53839E-3,6.53839E+1,5.91103E+2
8.99000E+0,6.50597E-3,6.50597E+1,5.84886E+2
8.93950E+0,6.48022E-3,6.48022E+1,5.79299E+2
8.88900E+0,6.42777E-3,6.42776E+1,5.71364E+2
8.83850E+0,6.36673E-3,6.36673E+1,5.62723E+2
8.78800E+0,6.30474E-3,6.30474E+1,5.54061E+2
8.73750E+0,6.28758E-3,6.28757E+1,5.49377E+2
8.68700E+0,6.28567E-3,6.28567E+1,5.46036E+2
8.63650E+0,6.22368E-3,6.22368E+1,5.37508E+2
8.58600E+0,6.18553E-3,6.18553E+1,5.31090E+2
8.53550E+0,6.15311E-3,6.15311E+1,5.25198E+2
8.48500E+0,6.11401E-3,6.11401E+1,5.18773E+2
8.43450E+0,6.06060E-3,6.06060E+1,5.11181E+2
8.38400E+0,6.03962E-3,6.03962E+1,5.06362E+2
8.33350E+0,6.01006E-3,6.01006E+1,5.00848E+2
8.28300E+0,5.93281E-3,5.93281E+1,4.91414E+2
8.23250E+0,5.90324E-3,5.90324E+1,4.85985E+2
8.18200E+0,5.86987E-3,5.86987E+1,4.80272E+2
8.13150E+0,5.85079E-3,5.85079E+1,4.75757E+2
8.08100E+0,5.84030E-3,5.84030E+1,4.71955E+2
8.03050E+0,5.80788E-3,5.80788E+1,4.66402E+2
7.98000E+0,5.75638E-3,5.75638E+1,4.59359E+2
7.92950E+0,5.73063E-3,5.73063E+1,4.54410E+2
7.87900E+0,5.71537E-3,5.71537E+1,4.50314E+2
7.82850E+0,5.68295E-3,5.68294E+1,4.44889E+2
7.77800E+0,5.64384E-3,5.64384E+1,4.38978E+2
7.72750E+0,5.61142E-3,5.61142E+1,4.33622E+2
7.67700E+0,5.56087E-3,5.56088E+1,4.26908E+2
7.62650E+0,5.55229E-3,5.55229E+1,4.23446E+2
7.57600E+0,5.47123E-3,5.47123E+1,4.14500E+2
7.52550E+0,5.47409E-3,5.47409E+1,4.11953E+2
7.47500E+0,5.46074E-3,5.46074E+1,4.08190E+2
7.42450E+0,5.43213E-3,5.43213E+1,4.03308E+2
7.37400E+0,5.37395E-3,5.37395E+1,3.96275E+2
7.32300E+0,5.34534E-3,5.34534E+1,3.91440E+2
7.27250E+0,5.29480E-3,5.29480E+1,3.85064E+2
7.22200E+0,5.27668E-3,5.27668E+1,3.81082E+2
7.17150E+0,5.21374E-3,5.21374E+1,3.73903E+2
7.12100E+0,5.16033E-3,5.16033E+1,3.67467E+2
