Tested at The Flinders University of South Australia

Cell Name:,CP156W_4R
Notes:,
Cell Area (cm2):,0.100000
Temperature (C):,25.000000
Ideality [LnJ vs. V]: ,140.673
Jsat [Ln J vs. V] (A/m2): ,9.595E+1
Jsat [Ln J vs. V] (mA/cm2): ,9.595E+0
Schottky? : ,No
SBH [Ln J vs. V] (eV): ,0.000
R-Squared [Ln J vs. V]: ,0.997



Voltage (V), Current (A), Current Density (mA/cm2), Power Density (mW/cm2)
1.00000E+1,1.44901E-2,1.44901E+2,1.44901E+3
9.94950E+0,1.42889E-2,1.42889E+2,1.42167E+3
9.89900E+0,1.41001E-2,1.41001E+2,1.39577E+3
9.84850E+0,1.40133E-2,1.40133E+2,1.38010E+3
9.79800E+0,1.39580E-2,1.39580E+2,1.36760E+3
9.74750E+0,1.38016E-2,1.38016E+2,1.34531E+3
9.69700E+0,1.36299E-2,1.36299E+2,1.32169E+3
9.64650E+0,1.34773E-2,1.34773E+2,1.30009E+3
9.59600E+0,1.32628E-2,1.32627E+2,1.27269E+3
9.54550E+0,1.30873E-2,1.30873E+2,1.24925E+3
9.49500E+0,1.29948E-2,1.29948E+2,1.23385E+3
9.44450E+0,1.28441E-2,1.28441E+2,1.21306E+3
9.39400E+0,1.26696E-2,1.26696E+2,1.19018E+3
9.34350E+0,1.25074E-2,1.25074E+2,1.16863E+3
9.29300E+0,1.23348E-2,1.23348E+2,1.14627E+3
9.24250E+0,1.21822E-2,1.21822E+2,1.12594E+3
9.19200E+0,1.20401E-2,1.20401E+2,1.10673E+3
9.14150E+0,1.19390E-2,1.19391E+2,1.09141E+3
9.09100E+0,1.17588E-2,1.17588E+2,1.06899E+3
9.04050E+0,1.16739E-2,1.16739E+2,1.05538E+3
8.99000E+0,1.15251E-2,1.15251E+2,1.03611E+3
8.93950E+0,1.13745E-2,1.13745E+2,1.01682E+3
8.88900E+0,1.12286E-2,1.12286E+2,9.98107E+2
8.83850E+0,1.10483E-2,1.10483E+2,9.76506E+2
8.78800E+0,1.09119E-2,1.09119E+2,9.58941E+2
8.73750E+0,1.07527E-2,1.07527E+2,9.39515E+2
8.68700E+0,1.05991E-2,1.05991E+2,9.20747E+2
8.63650E+0,1.04542E-2,1.04542E+2,9.02875E+2
8.58600E+0,1.03464E-2,1.03464E+2,8.88343E+2
8.53550E+0,1.02425E-2,1.02425E+2,8.74245E+2
8.48500E+0,1.00889E-2,1.00889E+2,8.56045E+2
8.43450E+0,9.97639E-3,9.97639E+1,8.41458E+2
8.38400E+0,9.85432E-3,9.85432E+1,8.26186E+2
8.33350E+0,9.73415E-3,9.73415E+1,8.11196E+2
8.28300E+0,9.63688E-3,9.63688E+1,7.98223E+2
8.23250E+0,9.49287E-3,9.49287E+1,7.81501E+2
8.18200E+0,9.42802E-3,9.42802E+1,7.71401E+2
8.13150E+0,9.30500E-3,9.30500E+1,7.56636E+2
8.08100E+0,9.18198E-3,9.18198E+1,7.41995E+2
8.03050E+0,9.08756E-3,9.08756E+1,7.29777E+2
7.98000E+0,8.93879E-3,8.93879E+1,7.13315E+2
7.92950E+0,8.81863E-3,8.81863E+1,6.99273E+2
7.87900E+0,8.73089E-3,8.73089E+1,6.87907E+2
7.82850E+0,8.61740E-3,8.61740E+1,6.74613E+2
7.77800E+0,8.48389E-3,8.48389E+1,6.59877E+2
7.72750E+0,8.38375E-3,8.38375E+1,6.47854E+2
7.67700E+0,8.32081E-3,8.32081E+1,6.38788E+2
7.62650E+0,8.18825E-3,8.18825E+1,6.24477E+2
7.57600E+0,8.08144E-3,8.08144E+1,6.12250E+2
7.52550E+0,8.00323E-3,8.00323E+1,6.02283E+2
7.47500E+0,7.88784E-3,7.88784E+1,5.89616E+2
7.42450E+0,7.76100E-3,7.76100E+1,5.76216E+2
7.37400E+0,7.66277E-3,7.66277E+1,5.65053E+2
7.32300E+0,7.57217E-3,7.57217E+1,5.54510E+2
7.27250E+0,7.49111E-3,7.49111E+1,5.44791E+2
7.22200E+0,7.36141E-3,7.36141E+1,5.31641E+2
7.17150E+0,7.26604E-3,7.26604E+1,5.21084E+2
7.12100E+0,7.16305E-3,7.16305E+1,5.10081E+2
7.07050E+0,7.06863E-3,7.06863E+1,4.99788E+2
7.02000E+0,6.95324E-3,6.95324E+1,4.88117E+2
6.96950E+0,6.87408E-3,6.87408E+1,4.79089E+2
6.91900E+0,6.77300E-3,6.77300E+1,4.68624E+2
6.86850E+0,6.65665E-3,6.65665E+1,4.57212E+2
6.81800E+0,6.55651E-3,6.55651E+1,4.47023E+2
6.76750E+0,6.44684E-3,6.44684E+1,4.36290E+2
6.71700E+0,6.37531E-3,6.37531E+1,4.28230E+2
6.66650E+0,6.29139E-3,6.29139E+1,4.19415E+2
6.61600E+0,6.18649E-3,6.18648E+1,4.09298E+2
6.56550E+0,6.09493E-3,6.09493E+1,4.00163E+2
6.51500E+0,6.01101E-3,6.01101E+1,3.91617E+2
6.46450E+0,5.90229E-3,5.90229E+1,3.81554E+2
6.41400E+0,5.80788E-3,5.80788E+1,3.72517E+2
6.36350E+0,5.69248E-3,5.69248E+1,3.62241E+2
6.31300E+0,5.59711E-3,5.59711E+1,3.53346E+2
6.26250E+0,5.49889E-3,5.49889E+1,3.44368E+2
6.21200E+0,5.39589E-3,5.39589E+1,3.35193E+2
6.16150E+0,5.31483E-3,5.31483E+1,3.27473E+2
6.11100E+0,5.21660E-3,5.21660E+1,3.18786E+2
6.06050E+0,5.11646E-3,5.11646E+1,3.10083E+2
6.01000E+0,5.03826E-3,5.03826E+1,3.02799E+2
5.95950E+0,4.96578E-3,4.96578E+1,2.95936E+2
5.90900E+0,4.85992E-3,4.85992E+1,2.87173E+2
5.85850E+0,4.78554E-3,4.78554E+1,2.80361E+2
5.80800E+0,4.70352E-3,4.70352E+1,2.73181E+2
5.75750E+0,4.61006E-3,4.61006E+1,2.65424E+2
5.70700E+0,4.52519E-3,4.52518E+1,2.58252E+2
5.65650E+0,4.42886E-3,4.42886E+1,2.50519E+2
5.60600E+0,4.34589E-3,4.34589E+1,2.43631E+2
5.55550E+0,4.27151E-3,4.27151E+1,2.37304E+2
5.50500E+0,4.19998E-3,4.19998E+1,2.31209E+2
5.45450E+0,4.11701E-3,4.11701E+1,2.24562E+2
5.40400E+0,4.03118E-3,4.03118E+1,2.17845E+2
5.35350E+0,3.95393E-3,3.95393E+1,2.11674E+2
5.30300E+0,3.87287E-3,3.87287E+1,2.05378E+2
5.25250E+0,3.78513E-3,3.78513E+1,1.98814E+2
5.20200E+0,3.70407E-3,3.70407E+1,1.92686E+2
5.15150E+0,3.62587E-3,3.62587E+1,1.86787E+2
5.10100E+0,3.55434E-3,3.55434E+1,1.81307E+2
5.05050E+0,3.47042E-3,3.47042E+1,1.75274E+2
5.00000E+0,3.40366E-3,3.40366E+1,1.70183E+2
4.94950E+0,3.31879E-3,3.31879E+1,1.64263E+2
4.89900E+0,3.24345E-3,3.24345E+1,1.58896E+2
4.84850E+0,3.17478E-3,3.17478E+1,1.53929E+2
4.79800E+0,3.10326E-3,3.10326E+1,1.48894E+2
4.74750E+0,3.04508E-3,3.04508E+1,1.44565E+2
4.69700E+0,2.97737E-3,2.97737E+1,1.39847E+2
4.64650E+0,2.90680E-3,2.90680E+1,1.35064E+2
4.59600E+0,2.83718E-3,2.83718E+1,1.30397E+2
4.54550E+0,2.77042E-3,2.77042E+1,1.25930E+2
4.49500E+0,2.70939E-3,2.70939E+1,1.21787E+2
4.44450E+0,2.64931E-3,2.64931E+1,1.17748E+2
4.39400E+0,2.57873E-3,2.57873E+1,1.13310E+2
4.34350E+0,2.52056E-3,2.52056E+1,1.09481E+2
4.29300E+0,2.45476E-3,2.45476E+1,1.05383E+2
4.24250E+0,2.37465E-3,2.37465E+1,1.00744E+2
4.19200E+0,2.31648E-3,2.31648E+1,9.71066E+1
4.14150E+0,2.24495E-3,2.24495E+1,9.29746E+1
4.09100E+0,2.18678E-3,2.18678E+1,8.94610E+1
4.04050E+0,2.13623E-3,2.13623E+1,8.63144E+1
3.99000E+0,2.07520E-3,2.07520E+1,8.28003E+1
3.93950E+0,2.02084E-3,2.02084E+1,7.96108E+1
3.88900E+0,1.95885E-3,1.95885E+1,7.61796E+1
3.83850E+0,1.89686E-3,1.89686E+1,7.28109E+1
3.78800E+0,1.83487E-3,1.83487E+1,6.95048E+1
3.73750E+0,1.77670E-3,1.77670E+1,6.64040E+1
3.68700E+0,1.72615E-3,1.72615E+1,6.36432E+1
3.63650E+0,1.66988E-3,1.66988E+1,6.07253E+1
3.58600E+0,1.61934E-3,1.61934E+1,5.80695E+1
3.53550E+0,1.56593E-3,1.56593E+1,5.53636E+1
3.48500E+0,1.51348E-3,1.51348E+1,5.27448E+1
3.43450E+0,1.45817E-3,1.45817E+1,5.00808E+1
3.38400E+0,1.41716E-3,1.41716E+1,4.79567E+1
3.33350E+0,1.36852E-3,1.36852E+1,4.56197E+1
3.28300E+0,1.31989E-3,1.31989E+1,4.33318E+1
3.23250E+0,1.27315E-3,1.27315E+1,4.11547E+1
3.18200E+0,1.23596E-3,1.23596E+1,3.93283E+1
3.13150E+0,1.19400E-3,1.19400E+1,3.73901E+1
3.08100E+0,1.15681E-3,1.15681E+1,3.56412E+1
3.03050E+0,1.12438E-3,1.12438E+1,3.40744E+1
2.98000E+0,1.08337E-3,1.08337E+1,3.22845E+1
2.92950E+0,1.04141E-3,1.04141E+1,3.05082E+1
2.87900E+0,9.99451E-4,9.99451E+0,2.87742E+1
2.82850E+0,9.62257E-4,9.62257E+0,2.72175E+1
2.77800E+0,9.21249E-4,9.21249E+0,2.55923E+1
2.72750E+0,8.84056E-4,8.84056E+0,2.41126E+1
2.67700E+0,8.46863E-4,8.46863E+0,2.26705E+1
2.62650E+0,8.17299E-4,8.17299E+0,2.14664E+1
2.57600E+0,7.82013E-4,7.82013E+0,2.01447E+1
2.52550E+0,7.48634E-4,7.48634E+0,1.89068E+1
2.47450E+0,7.17163E-4,7.17163E+0,1.77462E+1
2.42400E+0,6.89506E-4,6.89506E+0,1.67136E+1
2.37350E+0,6.59943E-4,6.59943E+0,1.56637E+1
2.32300E+0,6.31332E-4,6.31332E+0,1.46659E+1
2.27250E+0,6.05583E-4,6.05583E+0,1.37619E+1
2.22200E+0,5.79834E-4,5.79834E+0,1.28839E+1
2.17150E+0,5.55038E-4,5.55038E+0,1.20527E+1
2.12100E+0,5.32150E-4,5.32150E+0,1.12869E+1
2.07050E+0,5.06401E-4,5.06401E+0,1.04850E+1
2.02000E+0,4.86374E-4,4.86374E+0,9.82475E+0
1.96950E+0,4.70161E-4,4.70161E+0,9.25983E+0
1.91900E+0,4.56810E-4,4.56810E+0,8.76618E+0
1.86850E+0,4.37736E-4,4.37736E+0,8.17911E+0
1.81800E+0,4.17709E-4,4.17709E+0,7.59396E+0
1.76750E+0,3.97682E-4,3.97682E+0,7.02903E+0
1.71700E+0,3.78609E-4,3.78609E+0,6.50071E+0
1.66650E+0,3.59535E-4,3.59535E+0,5.99165E+0
1.61600E+0,3.46184E-4,3.46184E+0,5.59433E+0
1.56550E+0,3.29018E-4,3.29018E+0,5.15077E+0
1.51500E+0,3.16620E-4,3.16620E+0,4.79679E+0
1.46450E+0,3.07083E-4,3.07083E+0,4.49723E+0
1.41400E+0,2.96593E-4,2.96593E+0,4.19382E+0
1.36350E+0,2.84195E-4,2.84195E+0,3.87500E+0
1.31300E+0,2.75612E-4,2.75612E+0,3.61878E+0
1.26250E+0,2.66075E-4,2.66075E+0,3.35920E+0
1.21200E+0,2.55585E-4,2.55585E+0,3.09769E+0
1.16150E+0,2.51770E-4,2.51770E+0,2.92431E+0
1.11100E+0,2.45094E-4,2.45094E+0,2.72300E+0
1.06050E+0,2.40326E-4,2.40326E+0,2.54866E+0
1.01000E+0,2.31743E-4,2.31743E+0,2.34060E+0
9.59500E-1,2.28882E-4,2.28882E+0,2.19612E+0
9.09000E-1,2.22206E-4,2.22206E+0,2.01985E+0
8.58500E-1,2.22206E-4,2.22206E+0,1.90764E+0
8.08000E-1,2.15530E-4,2.15530E+0,1.74149E+0
7.57500E-1,2.10762E-4,2.10762E+0,1.59652E+0
7.07000E-1,2.06947E-4,2.06947E+0,1.46312E+0
6.56500E-1,2.03133E-4,2.03133E+0,1.33357E+0
6.06000E-1,1.99318E-4,1.99318E+0,1.20787E+0
5.55500E-1,1.97411E-4,1.97411E+0,1.09662E+0
5.05000E-1,1.94550E-4,1.94550E+0,9.82475E-1
4.54500E-1,1.90735E-4,1.90735E+0,8.66890E-1
4.04000E-1,1.89781E-4,1.89781E+0,7.66716E-1
3.53500E-1,1.87874E-4,1.87874E+0,6.64134E-1
3.03000E-1,1.85013E-4,1.85013E+0,5.60589E-1
2.52500E-1,1.84059E-4,1.84059E+0,4.64749E-1
2.02000E-1,1.84059E-4,1.84059E+0,3.71799E-1
1.51500E-1,1.84059E-4,1.84059E+0,2.78850E-1
1.01000E-1,1.84059E-4,1.84059E+0,1.85900E-1
5.05000E-2,1.83106E-4,1.83106E+0,9.24683E-2
0.00000E+0,1.81198E-4,1.81198E+0,0.00000E+0
1.00000E+1,1.46065E-2,1.46065E+2,1.46065E+3
