Tested at The Flinders University of South Australia

Cell Name:,CP156X_4
Notes:,
Cell Area (cm2):,0.100000
Temperature (C):,25.000000
Ideality [LnJ vs. V]: ,133.216
Jsat [Ln J vs. V] (A/m2): ,4.570E+1
Jsat [Ln J vs. V] (mA/cm2): ,4.570E+0
Schottky? : ,No
SBH [Ln J vs. V] (eV): ,0.000
R-Squared [Ln J vs. V]: ,0.985



Voltage (V), Current (A), Current Density (mA/cm2), Power Density (mW/cm2)
1.00000E+1,7.92503E-3,7.92503E+1,7.92503E+2
9.94950E+0,7.65038E-3,7.65037E+1,7.61174E+2
9.89900E+0,7.64275E-3,7.64275E+1,7.56555E+2
9.84850E+0,7.60174E-3,7.60174E+1,7.48657E+2
9.79800E+0,7.61509E-3,7.61509E+1,7.46126E+2
9.74750E+0,7.57980E-3,7.57980E+1,7.38841E+2
9.69700E+0,7.49207E-3,7.49206E+1,7.26506E+2
9.64650E+0,7.42722E-3,7.42722E+1,7.16466E+2
9.59600E+0,7.34425E-3,7.34425E+1,7.04754E+2
9.54550E+0,7.26891E-3,7.26891E+1,6.93853E+2
9.49500E+0,7.18498E-3,7.18498E+1,6.82214E+2
9.44450E+0,7.10964E-3,7.10964E+1,6.71470E+2
9.39400E+0,7.04098E-3,7.04098E+1,6.61429E+2
9.34350E+0,6.91223E-3,6.91223E+1,6.45844E+2
9.29300E+0,6.83308E-3,6.83308E+1,6.34998E+2
9.24250E+0,6.73675E-3,6.73675E+1,6.22645E+2
9.19200E+0,6.64806E-3,6.64806E+1,6.11090E+2
9.14150E+0,6.59084E-3,6.59084E+1,6.02502E+2
9.09100E+0,6.51932E-3,6.51932E+1,5.92671E+2
9.04050E+0,6.38866E-3,6.38866E+1,5.77567E+2
8.99000E+0,6.31714E-3,6.31714E+1,5.67911E+2
8.93950E+0,6.29902E-3,6.29902E+1,5.63101E+2
8.88900E+0,6.22368E-3,6.22368E+1,5.53223E+2
8.83850E+0,6.15311E-3,6.15311E+1,5.43842E+2
8.78800E+0,6.07491E-3,6.07490E+1,5.33863E+2
8.73750E+0,5.99957E-3,5.99956E+1,5.24212E+2
8.68700E+0,5.97000E-3,5.97000E+1,5.18614E+2
8.63650E+0,5.88703E-3,5.88703E+1,5.08434E+2
8.58600E+0,5.82027E-3,5.82027E+1,4.99729E+2
8.53550E+0,5.76878E-3,5.76878E+1,4.92394E+2
8.48500E+0,5.68104E-3,5.68104E+1,4.82036E+2
8.43450E+0,5.64861E-3,5.64861E+1,4.76432E+2
8.38400E+0,5.58376E-3,5.58376E+1,4.68143E+2
8.33350E+0,5.51605E-3,5.51605E+1,4.59680E+2
8.28300E+0,5.42545E-3,5.42545E+1,4.49390E+2
8.23250E+0,5.37109E-3,5.37109E+1,4.42175E+2
8.18200E+0,5.30243E-3,5.30243E+1,4.33845E+2
8.13150E+0,5.26714E-3,5.26714E+1,4.28298E+2
8.08100E+0,5.24139E-3,5.24139E+1,4.23557E+2
8.03050E+0,5.19276E-3,5.19276E+1,4.17004E+2
7.98000E+0,5.14031E-3,5.14031E+1,4.10196E+2
7.92950E+0,5.05638E-3,5.05638E+1,4.00946E+2
7.87900E+0,5.01347E-3,5.01347E+1,3.95011E+2
7.82850E+0,4.96864E-3,4.96864E+1,3.88970E+2
7.77800E+0,4.88281E-3,4.88281E+1,3.79785E+2
7.72750E+0,4.84181E-3,4.84180E+1,3.74150E+2
7.67700E+0,4.80366E-3,4.80366E+1,3.68777E+2
7.62650E+0,4.83227E-3,4.83227E+1,3.68533E+2
7.57600E+0,4.77696E-3,4.77696E+1,3.61902E+2
7.52550E+0,4.67968E-3,4.67968E+1,3.52169E+2
7.47500E+0,4.67300E-3,4.67300E+1,3.49307E+2
7.42450E+0,4.62437E-3,4.62437E+1,3.43336E+2
7.37400E+0,4.59862E-3,4.59862E+1,3.39102E+2
7.32300E+0,4.54903E-3,4.54903E+1,3.33125E+2
7.27250E+0,4.52328E-3,4.52328E+1,3.28955E+2
7.22200E+0,4.46510E-3,4.46510E+1,3.22470E+2
7.17150E+0,4.46892E-3,4.46892E+1,3.20488E+2
7.12100E+0,4.40884E-3,4.40884E+1,3.13953E+2
7.07050E+0,4.39072E-3,4.39072E+1,3.10446E+2
7.02000E+0,4.39262E-3,4.39262E+1,3.08362E+2
6.96950E+0,4.35162E-3,4.35162E+1,3.03286E+2
6.91900E+0,4.27628E-3,4.27628E+1,2.95876E+2
6.86850E+0,4.27055E-3,4.27055E+1,2.93323E+2
6.81800E+0,4.22764E-3,4.22764E+1,2.88240E+2
6.76750E+0,4.20475E-3,4.20475E+1,2.84556E+2
6.71700E+0,4.17328E-3,4.17328E+1,2.80319E+2
6.66650E+0,4.13132E-3,4.13132E+1,2.75414E+2
6.61600E+0,4.07600E-3,4.07600E+1,2.69668E+2
6.56550E+0,4.02641E-3,4.02641E+1,2.64354E+2
6.51500E+0,4.01497E-3,4.01497E+1,2.61575E+2
6.46450E+0,4.02164E-3,4.02164E+1,2.59979E+2
6.41400E+0,4.01402E-3,4.01401E+1,2.57459E+2
6.36350E+0,4.00829E-3,4.00829E+1,2.55068E+2
6.31300E+0,3.97587E-3,3.97587E+1,2.50997E+2
6.26250E+0,3.92342E-3,3.92342E+1,2.45704E+2
6.21200E+0,3.87383E-3,3.87382E+1,2.40642E+2
6.16150E+0,3.84617E-3,3.84617E+1,2.36982E+2
6.11100E+0,3.81279E-3,3.81279E+1,2.33000E+2
6.06050E+0,3.82042E-3,3.82042E+1,2.31536E+2
6.01000E+0,3.82900E-3,3.82900E+1,2.30123E+2
5.95950E+0,3.81851E-3,3.81851E+1,2.27564E+2
5.90900E+0,3.76415E-3,3.76415E+1,2.22424E+2
5.85850E+0,3.75080E-3,3.75080E+1,2.19741E+2
5.80800E+0,3.74413E-3,3.74412E+1,2.17459E+2
5.75750E+0,3.67260E-3,3.67260E+1,2.11450E+2
5.70700E+0,3.63445E-3,3.63445E+1,2.07418E+2
5.65650E+0,3.61919E-3,3.61919E+1,2.04720E+2
5.60600E+0,3.57628E-3,3.57628E+1,2.00486E+2
5.55550E+0,3.55625E-3,3.55625E+1,1.97568E+2
5.50500E+0,3.52097E-3,3.52097E+1,1.93829E+2
5.45450E+0,3.55625E-3,3.55625E+1,1.93976E+2
5.40400E+0,3.50189E-3,3.50189E+1,1.89242E+2
5.35350E+0,3.48854E-3,3.48854E+1,1.86759E+2
5.30300E+0,3.43704E-3,3.43704E+1,1.82266E+2
5.25250E+0,3.38554E-3,3.38554E+1,1.77826E+2
5.20200E+0,3.33881E-3,3.33881E+1,1.73685E+2
5.15150E+0,3.30734E-3,3.30734E+1,1.70378E+2
5.10100E+0,3.27683E-3,3.27683E+1,1.67151E+2
5.05050E+0,3.21484E-3,3.21484E+1,1.62365E+2
5.00000E+0,3.15475E-3,3.15476E+1,1.57738E+2
4.94950E+0,3.18432E-3,3.18432E+1,1.57608E+2
4.89900E+0,3.15380E-3,3.15380E+1,1.54505E+2
4.84850E+0,3.11470E-3,3.11470E+1,1.51016E+2
4.79800E+0,3.06416E-3,3.06416E+1,1.47018E+2
4.74750E+0,3.02219E-3,3.02219E+1,1.43479E+2
4.69700E+0,2.97356E-3,2.97356E+1,1.39668E+2
4.64650E+0,2.93350E-3,2.93350E+1,1.36305E+2
4.59600E+0,2.93064E-3,2.93064E+1,1.34692E+2
4.54550E+0,2.90108E-3,2.90108E+1,1.31868E+2
4.49500E+0,2.82097E-3,2.82097E+1,1.26803E+2
4.44450E+0,2.78473E-3,2.78473E+1,1.23767E+2
4.39400E+0,2.77805E-3,2.77805E+1,1.22068E+2
4.34350E+0,2.73323E-3,2.73323E+1,1.18718E+2
4.29300E+0,2.72369E-3,2.72369E+1,1.16928E+2
4.24250E+0,2.68650E-3,2.68650E+1,1.13975E+2
4.19200E+0,2.63882E-3,2.63882E+1,1.10619E+2
4.14150E+0,2.58732E-3,2.58732E+1,1.07154E+2
4.09100E+0,2.57397E-3,2.57397E+1,1.05301E+2
4.04050E+0,2.53773E-3,2.53773E+1,1.02537E+2
3.99000E+0,2.50435E-3,2.50435E+1,9.99235E+1
3.93950E+0,2.50435E-3,2.50435E+1,9.86588E+1
3.88900E+0,2.45571E-3,2.45571E+1,9.55026E+1
3.83850E+0,2.37179E-3,2.37179E+1,9.10411E+1
3.78800E+0,2.35176E-3,2.35176E+1,8.90847E+1
3.73750E+0,2.29073E-3,2.29073E+1,8.56159E+1
3.68700E+0,2.30980E-3,2.30980E+1,8.51623E+1
3.63650E+0,2.26784E-3,2.26784E+1,8.24699E+1
3.58600E+0,2.22015E-3,2.22015E+1,7.96147E+1
3.53550E+0,2.17152E-3,2.17152E+1,7.67739E+1
3.48500E+0,2.12193E-3,2.12193E+1,7.39491E+1
3.43450E+0,2.07424E-3,2.07424E+1,7.12398E+1
3.38400E+0,2.03705E-3,2.03705E+1,6.89337E+1
3.33350E+0,1.97983E-3,1.97983E+1,6.59976E+1
3.28300E+0,1.93024E-3,1.93024E+1,6.33697E+1
3.23250E+0,1.87492E-3,1.87492E+1,6.06069E+1
3.18200E+0,1.84441E-3,1.84441E+1,5.86890E+1
3.13150E+0,1.79386E-3,1.79386E+1,5.61748E+1
3.08100E+0,1.73283E-3,1.73283E+1,5.33884E+1
3.03050E+0,1.69086E-3,1.69086E+1,5.12417E+1
2.98000E+0,1.63174E-3,1.63174E+1,4.86258E+1
2.92950E+0,1.58024E-3,1.58024E+1,4.62931E+1
2.87900E+0,1.53160E-3,1.53160E+1,4.40948E+1
2.82850E+0,1.50013E-3,1.50013E+1,4.24312E+1
2.77800E+0,1.43147E-3,1.43147E+1,3.97661E+1
2.72750E+0,1.38283E-3,1.38283E+1,3.77166E+1
2.67700E+0,1.36089E-3,1.36089E+1,3.64311E+1
2.62650E+0,1.32752E-3,1.32752E+1,3.48672E+1
2.57600E+0,1.25980E-3,1.25980E+1,3.24526E+1
2.52550E+0,1.20640E-3,1.20640E+1,3.04676E+1
2.47450E+0,1.15585E-3,1.15585E+1,2.86016E+1
2.42400E+0,1.12629E-3,1.12629E+1,2.73012E+1
2.37350E+0,1.07479E-3,1.07479E+1,2.55102E+1
2.32300E+0,1.05095E-3,1.05095E+1,2.44135E+1
2.27250E+0,1.00517E-3,1.00517E+1,2.28426E+1
2.22200E+0,9.92775E-4,9.92775E+0,2.20595E+1
2.17150E+0,9.45091E-4,9.45091E+0,2.05227E+1
2.12100E+0,9.09805E-4,9.09805E+0,1.92970E+1
2.07050E+0,8.70705E-4,8.70705E+0,1.80279E+1
2.02000E+0,8.46863E-4,8.46863E+0,1.71066E+1
1.96950E+0,8.04901E-4,8.04901E+0,1.58525E+1
1.91900E+0,7.88689E-4,7.88689E+0,1.51349E+1
1.86850E+0,7.49588E-4,7.49588E+0,1.40061E+1
1.81800E+0,7.06673E-4,7.06673E+0,1.28473E+1
1.76750E+0,6.81877E-4,6.81877E+0,1.20522E+1
1.71700E+0,6.45637E-4,6.45637E+0,1.10856E+1
1.66650E+0,6.07490E-4,6.07490E+0,1.01238E+1
1.61600E+0,5.81741E-4,5.81741E+0,9.40094E+0
1.56550E+0,5.55038E-4,5.55038E+0,8.68913E+0
1.51500E+0,5.16891E-4,5.16891E+0,7.83091E+0
1.46450E+0,5.10216E-4,5.10216E+0,7.47211E+0
1.41400E+0,5.00679E-4,5.00679E+0,7.07960E+0
