Tested at The Flinders University of South Australia

Cell Name:,CP156X_6
Notes:,
Cell Area (cm2):,0.100000
Temperature (C):,25.000000
Ideality [LnJ vs. V]: ,108.723
Jsat [Ln J vs. V] (A/m2): ,7.818E+0
Jsat [Ln J vs. V] (mA/cm2): ,7.818E-1
Schottky? : ,No
SBH [Ln J vs. V] (eV): ,0.000
R-Squared [Ln J vs. V]: ,0.998



Voltage (V), Current (A), Current Density (mA/cm2), Power Density (mW/cm2)
1.00000E+1,2.75135E-3,2.75135E+1,2.75135E+2
9.94950E+0,2.58732E-3,2.58732E+1,2.57425E+2
9.89900E+0,2.58160E-3,2.58160E+1,2.55552E+2
9.84850E+0,2.54631E-3,2.54631E+1,2.50773E+2
9.79800E+0,2.51675E-3,2.51675E+1,2.46591E+2
9.74750E+0,2.49767E-3,2.49767E+1,2.43461E+2
9.69700E+0,2.47383E-3,2.47383E+1,2.39887E+2
9.64650E+0,2.42996E-3,2.42996E+1,2.34406E+2
9.59600E+0,2.38705E-3,2.38705E+1,2.29061E+2
9.54550E+0,2.37083E-3,2.37083E+1,2.26308E+2
9.49500E+0,2.33746E-3,2.33746E+1,2.21941E+2
9.44450E+0,2.29359E-3,2.29359E+1,2.16618E+2
9.39400E+0,2.25735E-3,2.25735E+1,2.12055E+2
9.34350E+0,2.21252E-3,2.21252E+1,2.06727E+2
9.29300E+0,2.18964E-3,2.18964E+1,2.03483E+2
9.24250E+0,2.16675E-3,2.16675E+1,2.00262E+2
9.19200E+0,2.14672E-3,2.14672E+1,1.97327E+2
9.14150E+0,2.10571E-3,2.10571E+1,1.92494E+2
9.09100E+0,2.08569E-3,2.08569E+1,1.89610E+2
9.04050E+0,2.06471E-3,2.06471E+1,1.86660E+2
8.99000E+0,2.04945E-3,2.04945E+1,1.84245E+2
8.93950E+0,2.00748E-3,2.00748E+1,1.79459E+2
8.88900E+0,1.97697E-3,1.97697E+1,1.75733E+2
8.83850E+0,1.96075E-3,1.96075E+1,1.73301E+2
8.78800E+0,1.94836E-3,1.94836E+1,1.71222E+2
8.73750E+0,1.91212E-3,1.91212E+1,1.67071E+2
8.68700E+0,1.88065E-3,1.88065E+1,1.63372E+2
8.63650E+0,1.85871E-3,1.85871E+1,1.60528E+2
8.58600E+0,1.83106E-3,1.83105E+1,1.57214E+2
8.53550E+0,1.81198E-3,1.81198E+1,1.54662E+2
8.48500E+0,1.77288E-3,1.77288E+1,1.50429E+2
8.43450E+0,1.76144E-3,1.76144E+1,1.48568E+2
8.38400E+0,1.73855E-3,1.73855E+1,1.45760E+2
8.33350E+0,1.70326E-3,1.70326E+1,1.41941E+2
8.28300E+0,1.69277E-3,1.69277E+1,1.40212E+2
8.23250E+0,1.68037E-3,1.68037E+1,1.38337E+2
8.18200E+0,1.66035E-3,1.66035E+1,1.35850E+2
8.13150E+0,1.66035E-3,1.66035E+1,1.35011E+2
8.08100E+0,1.65749E-3,1.65749E+1,1.33941E+2
8.03050E+0,1.62220E-3,1.62220E+1,1.30271E+2
7.98000E+0,1.60503E-3,1.60503E+1,1.28082E+2
7.92950E+0,1.60503E-3,1.60503E+1,1.27271E+2
7.87900E+0,1.58119E-3,1.58119E+1,1.24582E+2
7.82850E+0,1.57261E-3,1.57261E+1,1.23112E+2
7.77800E+0,1.56975E-3,1.56975E+1,1.22095E+2
7.72750E+0,1.54114E-3,1.54114E+1,1.19091E+2
7.67700E+0,1.51634E-3,1.51634E+1,1.16410E+2
7.62650E+0,1.48869E-3,1.48869E+1,1.13535E+2
7.57600E+0,1.45149E-3,1.45149E+1,1.09965E+2
7.52550E+0,1.43910E-3,1.43910E+1,1.08299E+2
7.47500E+0,1.42288E-3,1.42288E+1,1.06360E+2
7.42450E+0,1.39332E-3,1.39332E+1,1.03447E+2
7.37400E+0,1.40476E-3,1.40476E+1,1.03587E+2
7.32300E+0,1.40381E-3,1.40381E+1,1.02801E+2
7.27250E+0,1.38855E-3,1.38855E+1,1.00982E+2
7.22200E+0,1.38187E-3,1.38187E+1,9.97989E+1
7.17150E+0,1.37138E-3,1.37138E+1,9.83488E+1
7.12100E+0,1.35231E-3,1.35231E+1,9.62980E+1
7.07050E+0,1.34563E-3,1.34563E+1,9.51431E+1
7.02000E+0,1.34945E-3,1.34945E+1,9.47313E+1
6.96950E+0,1.32370E-3,1.32370E+1,9.22553E+1
6.91900E+0,1.29032E-3,1.29032E+1,8.92773E+1
6.86850E+0,1.28651E-3,1.28651E+1,8.83637E+1
6.81800E+0,1.27697E-3,1.27697E+1,8.70638E+1
6.76750E+0,1.24836E-3,1.24836E+1,8.44828E+1
6.71700E+0,1.27315E-3,1.27315E+1,8.55178E+1
6.66650E+0,1.25122E-3,1.25122E+1,8.34126E+1
6.61600E+0,1.24550E-3,1.24550E+1,8.24022E+1
6.56550E+0,1.23596E-3,1.23596E+1,8.11471E+1
6.51500E+0,1.24454E-3,1.24454E+1,8.10821E+1
6.46450E+0,1.21498E-3,1.21498E+1,7.85424E+1
6.41400E+0,1.21498E-3,1.21498E+1,7.79289E+1
6.36350E+0,1.19591E-3,1.19591E+1,7.61016E+1
6.31300E+0,1.19209E-3,1.19209E+1,7.52568E+1
6.26250E+0,1.19686E-3,1.19686E+1,7.49534E+1
6.21200E+0,1.19591E-3,1.19591E+1,7.42898E+1
6.16150E+0,1.21784E-3,1.21784E+1,7.50373E+1
6.11100E+0,1.19591E-3,1.19591E+1,7.30819E+1
6.06050E+0,1.18542E-3,1.18542E+1,7.18422E+1
6.01000E+0,1.16062E-3,1.16062E+1,6.97534E+1
5.95950E+0,1.15967E-3,1.15967E+1,6.91104E+1
5.90900E+0,1.12438E-3,1.12438E+1,6.64397E+1
5.85850E+0,1.14822E-3,1.14822E+1,6.72687E+1
5.80800E+0,1.13678E-3,1.13678E+1,6.60242E+1
5.75750E+0,1.14059E-3,1.14059E+1,6.56697E+1
5.70700E+0,1.14441E-3,1.14441E+1,6.53114E+1
5.65650E+0,1.10626E-3,1.10626E+1,6.25757E+1
5.60600E+0,1.07574E-3,1.07574E+1,6.03063E+1
5.55550E+0,1.06049E-3,1.06049E+1,5.89153E+1
5.50500E+0,1.07574E-3,1.07574E+1,5.92198E+1
5.45450E+0,1.06907E-3,1.06907E+1,5.83124E+1
5.40400E+0,1.09291E-3,1.09291E+1,5.90609E+1
5.35350E+0,1.08147E-3,1.08147E+1,5.78963E+1
5.30300E+0,1.09577E-3,1.09577E+1,5.81088E+1
5.25250E+0,1.06049E-3,1.06049E+1,5.57020E+1
5.20200E+0,1.03951E-3,1.03950E+1,5.40751E+1
5.15150E+0,1.05095E-3,1.05095E+1,5.41396E+1
5.10100E+0,1.00708E-3,1.00708E+1,5.13712E+1
5.05050E+0,9.97543E-4,9.97543E+0,5.03809E+1
5.00000E+0,1.01757E-3,1.01757E+1,5.08785E+1
4.94950E+0,9.88960E-4,9.88960E+0,4.89486E+1
4.89900E+0,1.02329E-3,1.02329E+1,5.01311E+1
4.84850E+0,9.91821E-4,9.91821E+0,4.80885E+1
4.79800E+0,9.72748E-4,9.72748E+0,4.66724E+1
4.74750E+0,9.46999E-4,9.46999E+0,4.49588E+1
4.69700E+0,9.32694E-4,9.32693E+0,4.38086E+1
4.64650E+0,9.44138E-4,9.44138E+0,4.38694E+1
4.59600E+0,9.20296E-4,9.20296E+0,4.22968E+1
4.54550E+0,9.07898E-4,9.07898E+0,4.12685E+1
4.49500E+0,9.11713E-4,9.11713E+0,4.09815E+1
4.44450E+0,8.90732E-4,8.90732E+0,3.95886E+1
4.39400E+0,8.93593E-4,8.93593E+0,3.92645E+1
4.34350E+0,8.75473E-4,8.75473E+0,3.80262E+1
4.29300E+0,8.59261E-4,8.59261E+0,3.68881E+1
4.24250E+0,8.49724E-4,8.49724E+0,3.60495E+1
4.19200E+0,8.38280E-4,8.38280E+0,3.51407E+1
4.14150E+0,8.29697E-4,8.29697E+0,3.43619E+1
4.09100E+0,7.94411E-4,7.94411E+0,3.24993E+1
4.04050E+0,7.94411E-4,7.94411E+0,3.20982E+1
