Tested at The Flinders University of South Australia

Cell Name:,CP156X_1R
Notes:,
Cell Area (cm2):,0.100000
Temperature (C):,25.000000
Ideality [LnJ vs. V]: ,270.945
Jsat [Ln J vs. V] (A/m2): ,5.003E+2
Jsat [Ln J vs. V] (mA/cm2): ,5.003E+1
Schottky? : ,No
SBH [Ln J vs. V] (eV): ,0.000
R-Squared [Ln J vs. V]: ,0.999



Voltage (V), Current (A), Current Density (mA/cm2), Power Density (mW/cm2)
1.00000E+1,1.61247E-2,1.61247E+2,1.61247E+3
9.94950E+0,1.73550E-2,1.73550E+2,1.72673E+3
9.89900E+0,1.79329E-2,1.79329E+2,1.77518E+3
9.84850E+0,1.82657E-2,1.82657E+2,1.79890E+3
9.79800E+0,1.85032E-2,1.85032E+2,1.81294E+3
9.74750E+0,1.86920E-2,1.86920E+2,1.82200E+3
9.69700E+0,1.88198E-2,1.88198E+2,1.82496E+3
9.64650E+0,1.88885E-2,1.88885E+2,1.82208E+3
9.59600E+0,1.89095E-2,1.89095E+2,1.81455E+3
9.54550E+0,1.88923E-2,1.88923E+2,1.80336E+3
9.49500E+0,1.88885E-2,1.88885E+2,1.79346E+3
9.44450E+0,1.88761E-2,1.88761E+2,1.78275E+3
9.39400E+0,1.88627E-2,1.88627E+2,1.77196E+3
9.34350E+0,1.88360E-2,1.88360E+2,1.75994E+3
9.29300E+0,1.87874E-2,1.87874E+2,1.74591E+3
9.24250E+0,1.87063E-2,1.87063E+2,1.72893E+3
9.19200E+0,1.86005E-2,1.86005E+2,1.70975E+3
9.14150E+0,1.84937E-2,1.84936E+2,1.69060E+3
9.09100E+0,1.84536E-2,1.84536E+2,1.67762E+3
9.04050E+0,1.83239E-2,1.83239E+2,1.65657E+3
8.99000E+0,1.81990E-2,1.81990E+2,1.63609E+3
8.93950E+0,1.80540E-2,1.80540E+2,1.61394E+3
8.88900E+0,1.79481E-2,1.79481E+2,1.59541E+3
8.83850E+0,1.78442E-2,1.78442E+2,1.57716E+3
8.78800E+0,1.77593E-2,1.77593E+2,1.56069E+3
8.73750E+0,1.76334E-2,1.76334E+2,1.54072E+3
8.68700E+0,1.74742E-2,1.74742E+2,1.51798E+3
8.63650E+0,1.73178E-2,1.73178E+2,1.49565E+3
8.58600E+0,1.71461E-2,1.71461E+2,1.47217E+3
8.53550E+0,1.70193E-2,1.70193E+2,1.45268E+3
8.48500E+0,1.68829E-2,1.68829E+2,1.43251E+3
8.43450E+0,1.67303E-2,1.67303E+2,1.41112E+3
