Tested at The Flinders University of South Australia

Cell Name:,CP156Q_1R
Notes:,
Cell Area (cm2):,0.100000
Temperature (C):,25.000000
Ideality [LnJ vs. V]: ,1.030
Jsat [Ln J vs. V] (A/m2): ,1.234E+5
Jsat [Ln J vs. V] (mA/cm2): ,1.234E+4
Schottky? : ,No
SBH [Ln J vs. V] (eV): ,0.000
R-Squared [Ln J vs. V]: ,0.942



Voltage (V), Current (A), Current Density (mA/cm2), Power Density (mW/cm2)
-1.00000E+0,-2.28882E-5,-2.28882E-1,2.28882E-1
-9.55000E-1,-6.67572E-5,-6.67572E-1,6.37531E-1
-9.09500E-1,-1.02043E-4,-1.02043E+0,9.28083E-1
-8.64500E-1,-7.15256E-5,-7.15256E-1,6.18339E-1
-8.19000E-1,-4.57764E-5,-4.57764E-1,3.74908E-1
-7.74000E-1,-3.24249E-5,-3.24249E-1,2.50969E-1
-7.28500E-1,-6.00815E-5,-6.00815E-1,4.37694E-1
-6.83500E-1,-5.05447E-5,-5.05447E-1,3.45473E-1
-6.38000E-1,-5.34058E-5,-5.34058E-1,3.40729E-1
-5.93000E-1,-6.48498E-5,-6.48498E-1,3.84560E-1
-5.47500E-1,-4.86374E-5,-4.86374E-1,2.66290E-1
-5.02500E-1,-3.33786E-5,-3.33786E-1,1.67727E-1
-4.57500E-1,-2.28882E-5,-2.28882E-1,1.04713E-1
-4.12000E-1,-1.14441E-5,-1.14441E-1,4.71497E-2
-3.67000E-1,-9.53674E-7,-9.53674E-3,3.49998E-3
-3.21500E-1,1.23978E-5,1.23978E-1,-3.98588E-2
-2.76500E-1,1.90735E-5,1.90735E-1,-5.27382E-2
-2.31000E-1,-2.47002E-4,-2.47002E+0,5.70574E-1
-1.86000E-1,-2.02179E-4,-2.02179E+0,3.76053E-1
-1.40500E-1,-1.31607E-4,-1.31607E+0,1.84908E-1
-9.55000E-2,-6.58035E-5,-6.58035E-1,6.28424E-2
-5.05000E-2,1.90735E-6,1.90735E-2,-9.63211E-4
-5.00000E-3,5.43594E-5,5.43594E-1,-2.71797E-3
4.00000E-2,9.34601E-5,9.34601E-1,3.73840E-2
8.55000E-2,1.42097E-4,1.42097E+0,1.21493E-1
1.30500E-1,1.90735E-4,1.90735E+0,2.48909E-1
1.76000E-1,1.62125E-4,1.62125E+0,2.85339E-1
2.21000E-1,1.64986E-4,1.64986E+0,3.64618E-1
2.66500E-1,1.61171E-4,1.61171E+0,4.29521E-1
3.11500E-1,1.80244E-4,1.80244E+0,5.61461E-1
3.57000E-1,1.78337E-4,1.78337E+0,6.36663E-1
4.02000E-1,1.35422E-4,1.35422E+0,5.44396E-1
4.47000E-1,1.62125E-4,1.62125E+0,7.24697E-1
4.92500E-1,1.97411E-4,1.97411E+0,9.72247E-1
5.37500E-1,3.56674E-4,3.56674E+0,1.91712E+0
5.83000E-1,3.97682E-4,3.97682E+0,2.31849E+0
6.28000E-1,3.63350E-4,3.63350E+0,2.28184E+0
