Tested at The Flinders University of South Australia

Cell Name:,CP156X_6R
Notes:,
Cell Area (cm2):,0.100000
Temperature (C):,25.000000
Ideality [LnJ vs. V]: ,233.087
Jsat [Ln J vs. V] (A/m2): ,9.637E+1
Jsat [Ln J vs. V] (mA/cm2): ,9.637E+0
Schottky? : ,No
SBH [Ln J vs. V] (eV): ,0.000
R-Squared [Ln J vs. V]: ,0.999



Voltage (V), Current (A), Current Density (mA/cm2), Power Density (mW/cm2)
1.00000E+1,4.95243E-3,4.95243E+1,4.95243E+2
9.94950E+0,4.89807E-3,4.89807E+1,4.87334E+2
9.89900E+0,4.89616E-3,4.89616E+1,4.84671E+2
9.84850E+0,4.91810E-3,4.91810E+1,4.84359E+2
9.79800E+0,4.86946E-3,4.86946E+1,4.77110E+2
9.74750E+0,4.86565E-3,4.86565E+1,4.74279E+2
9.69700E+0,4.84657E-3,4.84657E+1,4.69972E+2
9.64650E+0,4.82369E-3,4.82368E+1,4.65317E+2
9.59600E+0,4.78077E-3,4.78077E+1,4.58763E+2
9.54550E+0,4.73976E-3,4.73976E+1,4.52434E+2
9.49500E+0,4.70352E-3,4.70352E+1,4.46599E+2
9.44450E+0,4.69303E-3,4.69303E+1,4.43233E+2
9.39400E+0,4.67682E-3,4.67682E+1,4.39340E+2
9.34350E+0,4.65393E-3,4.65393E+1,4.34840E+2
9.29300E+0,4.63295E-3,4.63295E+1,4.30540E+2
9.24250E+0,4.59385E-3,4.59385E+1,4.24586E+2
9.19200E+0,4.55093E-3,4.55093E+1,4.18322E+2
9.14150E+0,4.52423E-3,4.52423E+1,4.13583E+2
9.09100E+0,4.50325E-3,4.50325E+1,4.09390E+2
9.04050E+0,4.47941E-3,4.47941E+1,4.04961E+2
8.99000E+0,4.40407E-3,4.40407E+1,3.95926E+2
8.93950E+0,4.39549E-3,4.39548E+1,3.92934E+2
8.88900E+0,4.37355E-3,4.37355E+1,3.88765E+2
8.83850E+0,4.34685E-3,4.34685E+1,3.84196E+2
8.78800E+0,4.30489E-3,4.30489E+1,3.78313E+2
8.73750E+0,4.26006E-3,4.26006E+1,3.72223E+2
8.68700E+0,4.22382E-3,4.22382E+1,3.66924E+2
8.63650E+0,4.18854E-3,4.18854E+1,3.61743E+2
8.58600E+0,4.14658E-3,4.14658E+1,3.56025E+2
8.53550E+0,4.13513E-3,4.13513E+1,3.52954E+2
8.48500E+0,4.11987E-3,4.11987E+1,3.49571E+2
8.43450E+0,4.08363E-3,4.08363E+1,3.44434E+2
8.38400E+0,4.01497E-3,4.01497E+1,3.36615E+2
8.33350E+0,3.99017E-3,3.99017E+1,3.32521E+2
8.28300E+0,3.96729E-3,3.96728E+1,3.28610E+2
8.23250E+0,3.93677E-3,3.93677E+1,3.24094E+2
8.18200E+0,3.89957E-3,3.89957E+1,3.19063E+2
8.13150E+0,3.84617E-3,3.84617E+1,3.12751E+2
8.08100E+0,3.79944E-3,3.79944E+1,3.07033E+2
8.03050E+0,3.76892E-3,3.76892E+1,3.02663E+2
7.98000E+0,3.73650E-3,3.73650E+1,2.98172E+2
7.92950E+0,3.69740E-3,3.69739E+1,2.93185E+2
7.87900E+0,3.64876E-3,3.64876E+1,2.87486E+2
7.82850E+0,3.61443E-3,3.61443E+1,2.82955E+2
7.77800E+0,3.59821E-3,3.59821E+1,2.79869E+2
7.72750E+0,3.57342E-3,3.57342E+1,2.76136E+2
7.67700E+0,3.53146E-3,3.53146E+1,2.71110E+2
7.62650E+0,3.49999E-3,3.49999E+1,2.66926E+2
7.57600E+0,3.46661E-3,3.46661E+1,2.62630E+2
7.52550E+0,3.41797E-3,3.41797E+1,2.57219E+2
7.47500E+0,3.39889E-3,3.39889E+1,2.54067E+2
7.42450E+0,3.36361E-3,3.36361E+1,2.49731E+2
7.37400E+0,3.34168E-3,3.34168E+1,2.46415E+2
7.32300E+0,3.30162E-3,3.30162E+1,2.41778E+2
7.27250E+0,3.24440E-3,3.24440E+1,2.35949E+2
7.22200E+0,3.22151E-3,3.22151E+1,2.32658E+2
7.17150E+0,3.18527E-3,3.18527E+1,2.28432E+2
7.12100E+0,3.15666E-3,3.15666E+1,2.24786E+2
7.07050E+0,3.11661E-3,3.11661E+1,2.20360E+2
7.02000E+0,3.08228E-3,3.08227E+1,2.16376E+2
6.96950E+0,3.05843E-3,3.05843E+1,2.13158E+2
6.91900E+0,3.01743E-3,3.01743E+1,2.08776E+2
6.86850E+0,2.98977E-3,2.98977E+1,2.05352E+2
6.81800E+0,2.95734E-3,2.95734E+1,2.01632E+2
6.76750E+0,2.92873E-3,2.92873E+1,1.98202E+2
6.71700E+0,2.88773E-3,2.88773E+1,1.93969E+2
6.66650E+0,2.83813E-3,2.83813E+1,1.89204E+2
6.61600E+0,2.80476E-3,2.80476E+1,1.85563E+2
6.56550E+0,2.78282E-3,2.78282E+1,1.82706E+2
6.51500E+0,2.75135E-3,2.75135E+1,1.79250E+2
6.46450E+0,2.72465E-3,2.72465E+1,1.76135E+2
6.41400E+0,2.70462E-3,2.70462E+1,1.73474E+2
