	Common Settings,	
	.Source/Sweep Points,	100
	.Repeat,	0
	.Source to Measure Delay,	0.001
	.Measure Window,	20 ms
	.NPLC,	1
	.Channel,	SMU-1
	..Instrument,	My 2450
	...Model,	2450
	...Serial Number,	04566616
	..Source Settings,	
	...Mode,	DC
	...Function,	Voltage Sweep
	...Type,	Linear
	...Dual Sweep,	Disabled
	...Range,	Auto
	...Start,	1
	...Stop,	-1
	...Step,	-0.0202020202020202
	...Limit,	1
	..Measure Settings,	
	...Voltage,	Measured
	...Current,	True
	...Range,	Auto
	...Minimum Range,	1E-08
	...Resistance,	False
	...Power,	True
	...Auto Zero,	On
	..Instrument Settings,	
	...Input Terminals,	Front
	...Sense,	4-Wire
	...Output Off,	Normal
	...High Capacitance,	False

"Index","SMU-1 Time (s)","SMU-1 Voltage (V)","SMU-1 Current (A)","SMU-1 Power (W)"
"1","0","0.999995768070221","0.00413057813420892","0.00413056065389231"
"2","0.0838452799999999","0.979782462120056","0.00361795397475362","0.00354480785322114"
"3","0.16771766","0.959603309631348","0.00311205466277897","0.00298633795415637"
"4","0.2515464","0.939393877983093","0.00263207359239459","0.00247255381909645"
"5","0.33538198","0.91917610168457","0.00218276423402131","0.00200634471952421"
"6","0.41923772","0.898993670940399","0.00176182435825467","0.00158386894737958"
"7","0.50309126","0.878780603408813","0.00137674924917519","0.00120986053593281"
"8","0.5869145","0.858597934246063","0.00102814950514585","0.000882767041214337"
"9","0.82510786","0.838360488414764","0.000718404946383089","0.000602282321729309"
"10","0.90896246","0.818185567855835","0.00045170885277912","0.000369581664216592"
"11","0.9927868","0.797976553440094","0.000225754789425991","0.000180147028788747"
"12","1.23494088","0.777793526649475","4.0049748349702E-05","3.11504350103387E-05"
"13","1.6265469","0.757594764232635","-0.000116596100269817","-8.83325950943566E-05"
"14","1.71036216","0.737348973751068","-0.000239438522839919","-0.000176549749092486"
"15","1.79420546","0.717170357704163","-0.000348112138453871","-0.000249655706856124"
"16","1.87801374","0.696957051753998","-0.000431020424002782","-0.000300402723958737"
"17","1.96182622","0.676777601242065","-0.000503472168929875","-0.000340738686780501"
"18","2.04567186","0.656563282012939","-0.000576583668589592","-0.000378563665804243"
"19","2.12951182","0.636382043361664","-0.000637589721009135","-0.000405750649482187"
"20","2.21334948","0.616170823574066","-0.000696235743816942","-0.000429000151669388"
"21","2.29717198","0.59598982334137","-0.000753093976527452","-0.000448836346030046"
"22","2.38101136","0.575773358345032","-0.000804581795819104","-0.000463256762642042"
"23","2.4648579","0.555592834949493","-0.000857808161526918","-0.000476592068305554"
"24","2.54869596","0.535376250743866","-0.00090527452994138","-0.000484662483733932"
"25","2.6325233","0.515194177627563","-0.000950285524595529","-0.000489581569355371"
"26","2.71638032","0.494977474212646","-0.00100930384360254","-0.0004995826672195"
"27","2.80020696","0.474799990653992","-0.0010374941630289","-0.000492602218909691"
"28","3.11849978","0.454547375440598","-0.00108197156805545","-0.000491807336560953"
"29","3.20235358","0.434362858533859","-0.0011217666324228","-0.00048725376106707"
"30","3.28620014","0.414148300886154","-0.00116470130160451","-0.0004823590650994"
"31","3.37002106","0.393963485956192","-0.00120933284051716","-0.000476432981531445"
"32","3.45384586","0.373747795820236","-0.00123786029871553","-0.000462647558178309"
"33","3.53768202","0.353563100099564","-0.00127600622363389","-0.000451148716174334"
"34","3.62153286","0.333344876766205","-0.00131940701976418","-0.000439817570407758"
"35","3.7053496","0.313162356615067","-0.00133838946931064","-0.000419133200278109"
"36","3.78915964","0.292942553758621","-0.00136631261557341","-0.000400251106838695"
"37","3.87296712","0.272762358188629","-0.00138968182727695","-0.000379052892339943"
"38","3.95679868","0.252551048994064","-0.00143437995575368","-0.000362254162481652"
"39","4.04060592","0.232300445437431","-0.00146215537097305","-0.000339659343975772"
"40","4.12439936","0.212119147181511","-0.00149592536035925","-0.000317314411686599"
"41","4.21146244","0.191930875182152","-0.00151692819781601","-0.000291145356595312"
"42","4.2953005","0.171727061271667","-0.00153230654541403","-0.000263138500011292"
"43","4.37916732","0.151523783802986","-0.00155423767864704","-0.000235503973997769"
"44","4.46298218","0.131323382258415","-0.00157887605018914","-0.000207343343077645"
"45","4.54681118","0.111120767891407","-0.00159721274394542","-0.000177483506593156"
"46","4.6306602","0.0909190773963928","-0.00161807250697166","-0.000147113659494331"
"47","4.71446812","0.0707173570990562","-0.00163418787997216","-0.000115565447874941"
"48","4.79826588","0.0505188778042793","-0.00166200438980013","-8.39625966784887E-05"
"49","4.8820882","0.0303162690252066","-0.00168847164604813","-5.11881606630284E-05"
"50","4.96923204","0.0101018324494362","-0.00169767951592803","-1.71496740227449E-05"
"51","5.05333726","-0.0101006301119924","-0.00171430560294539","1.73155667942674E-05"
"52","5.1396961","-0.0302995815873146","-0.00173169211484492","5.2469546517853E-05"
"53","5.223511","-0.0504977889358997","-0.0017453096807003","8.81342798837864E-05"
"54","5.30734886","-0.0707018449902534","-0.00178895413409919","0.000126482357883754"
"55","5.39116712","-0.0909057781100273","-0.00178867287468165","0.000162600699457235"
"56","5.4749696","-0.111104138195515","-0.00178369448985904","0.000198175839099877"
"57","5.55882344","-0.131307005882263","-0.0017832814482972","0.000234157347621292"
"58","5.64265748","-0.151507958769798","-0.00182318734005094","0.000276227392346055"
"59","5.72651426","-0.17170561850071","-0.00186283187940717","0.000319858700016447"
"60","5.81030932","-0.191909655928612","-0.00184423010796309","0.000353925565472382"
"61","5.89663434","-0.212101578712463","-0.00185022177174687","0.000392434958755683"
