Tested at The Flinders University of South Australia

Cell Name:,CP55A_6
Notes:,
Cell Area (cm2):,0.100000
Temperature (C):,25.000000

Light Power (mW/cm2): ,100
Jsc (mA/cm2): ,17.634
Voc (V): ,0.884
FF: ,0.47
Eff (%): ,7.25
Rshunt (Ohms): ,1.56E+3
Rseries (Ohms): ,1.26E+2



Voltage (V), Current (A), Current Density (mA/cm2), Power Density (mW/cm2)
1.00000E+0,2.11208E-3,2.11208E+1,2.11208E+1
9.59200E-1,1.22361E-3,1.22361E+1,1.17369E+1
9.18350E-1,4.40955E-4,4.40955E+0,4.04951E+0
8.77550E-1,-4.85629E-5,-4.85629E-1,-4.26164E-1
8.36750E-1,-3.72946E-4,-3.72946E+0,-3.12063E+0
7.95900E-1,-5.76705E-4,-5.76705E+0,-4.58999E+0
7.55100E-1,-7.71314E-4,-7.71314E+0,-5.82419E+0
7.14300E-1,-9.17971E-4,-9.17971E+0,-6.55707E+0
6.73450E-1,-1.03603E-3,-1.03603E+1,-6.97716E+0
6.32650E-1,-1.14614E-3,-1.14614E+1,-7.25104E+0
5.91850E-1,-1.21416E-3,-1.21416E+1,-7.18602E+0
5.51000E-1,-1.29257E-3,-1.29257E+1,-7.12207E+0
5.10200E-1,-1.35370E-3,-1.35370E+1,-6.90656E+0
4.69400E-1,-1.39886E-3,-1.39886E+1,-6.56625E+0
4.28550E-1,-1.46434E-3,-1.46434E+1,-6.27542E+0
3.87750E-1,-1.48696E-3,-1.48696E+1,-5.76568E+0
3.46950E-1,-1.53996E-3,-1.53996E+1,-5.34289E+0
3.06100E-1,-1.55810E-3,-1.55809E+1,-4.76933E+0
2.65300E-1,-1.60281E-3,-1.60281E+1,-4.25227E+0
2.24500E-1,-1.61700E-3,-1.61700E+1,-3.63016E+0
1.83650E-1,-1.65881E-3,-1.65881E+1,-3.04641E+0
1.42850E-1,-1.67689E-3,-1.67689E+1,-2.39543E+0
1.02050E-1,-1.70183E-3,-1.70183E+1,-1.73672E+0
6.12000E-2,-1.73120E-3,-1.73120E+1,-1.05950E+0
2.04000E-2,-1.75029E-3,-1.75029E+1,-3.57059E-1
-2.04000E-2,-1.77647E-3,-1.77647E+1,3.62400E-1
-6.12000E-2,-1.78295E-3,-1.78295E+1,1.09117E+0
-1.02050E-1,-1.81627E-3,-1.81627E+1,1.85351E+0
-1.42850E-1,-1.82824E-3,-1.82824E+1,2.61164E+0
-1.83650E-1,-1.85101E-3,-1.85101E+1,3.39937E+0
-2.24500E-1,-1.86263E-3,-1.86263E+1,4.18160E+0
-2.65300E-1,-1.89714E-3,-1.89714E+1,5.03312E+0
-3.06100E-1,-1.90495E-3,-1.90495E+1,5.83105E+0
-3.46950E-1,-1.92471E-3,-1.92471E+1,6.67777E+0
-3.87750E-1,-1.94721E-3,-1.94721E+1,7.55030E+0
-4.28550E-1,-1.95336E-3,-1.95336E+1,8.37114E+0
-4.69400E-1,-1.97302E-3,-1.97302E+1,9.26135E+0
-5.10200E-1,-2.00339E-3,-2.00339E+1,1.02213E+1
-5.51000E-1,-2.01501E-3,-2.01501E+1,1.11027E+1
-5.91850E-1,-2.04313E-3,-2.04313E+1,1.20923E+1
-6.32650E-1,-2.06806E-3,-2.06806E+1,1.30836E+1
-6.73450E-1,-2.09701E-3,-2.09701E+1,1.41223E+1
-7.14300E-1,-2.11449E-3,-2.11449E+1,1.51038E+1
-7.55100E-1,-2.10553E-3,-2.10553E+1,1.58989E+1
-7.95900E-1,-2.12245E-3,-2.12245E+1,1.68926E+1
-8.36750E-1,-2.15037E-3,-2.15037E+1,1.79932E+1
-8.77550E-1,-2.16943E-3,-2.16943E+1,1.90378E+1
-9.18350E-1,-2.20530E-3,-2.20530E+1,2.02523E+1
-9.59200E-1,-2.23799E-3,-2.23799E+1,2.14668E+1
-1.00000E+0,-2.26645E-3,-2.26645E+1,2.26645E+1
