Tested at The Flinders University of South Australia

Cell Name:,CP55A_1
Notes:,
Cell Area (cm2):,0.100000
Temperature (C):,25.000000
Ideality [LnJ vs. V]: ,2.221
Jsat [Ln J vs. V] (A/m2): ,3.261E-6
Jsat [Ln J vs. V] (mA/cm2): ,3.261E-7
Schottky? : ,No
SBH [Ln J vs. V] (eV): ,0.000
R-Squared [Ln J vs. V]: ,0.998



Voltage (V), Current (A), Current Density (mA/cm2), Power Density (mW/cm2)
2.00000E+0,4.59052E-2,4.59052E+2,9.18105E+2
1.91835E+0,4.15814E-2,4.15814E+2,7.97677E+2
1.83675E+0,3.71226E-2,3.71226E+2,6.81849E+2
1.75510E+0,3.26915E-2,3.26915E+2,5.73768E+2
1.67345E+0,2.83438E-2,2.83438E+2,4.74319E+2
1.59185E+0,2.41137E-2,2.41137E+2,3.83855E+2
1.51020E+0,2.00292E-2,2.00292E+2,3.02482E+2
1.42855E+0,1.61271E-2,1.61270E+2,2.30383E+2
1.34695E+0,1.24555E-2,1.24555E+2,1.67769E+2
1.26530E+0,9.06475E-3,9.06475E+1,1.14696E+2
1.18365E+0,6.03424E-3,6.03424E+1,7.14243E+1
1.10205E+0,3.48219E-3,3.48219E+1,3.83755E+1
1.02040E+0,1.57005E-3,1.57005E+1,1.60207E+1
9.38800E-1,4.78372E-4,4.78372E+0,4.49096E+0
8.57150E-1,1.04442E-4,1.04442E+0,8.95226E-1
7.75500E-1,2.37823E-5,2.37823E-1,1.84431E-1
6.93900E-1,6.66082E-6,6.66082E-2,4.62194E-2
6.12250E-1,3.08454E-6,3.08454E-2,1.88851E-2
5.30600E-1,2.35438E-6,2.35438E-2,1.24924E-2
4.49000E-1,2.20537E-6,2.20537E-2,9.90212E-3
3.67350E-1,2.13087E-6,2.13087E-2,7.82774E-3
2.85700E-1,2.11596E-6,2.11596E-2,6.04531E-3
2.04100E-1,2.07126E-6,2.07126E-2,4.22744E-3
1.22450E-1,2.04146E-6,2.04146E-2,2.49977E-3
4.08000E-2,1.98185E-6,1.98185E-2,8.08596E-4
-4.08000E-2,1.96695E-6,1.96695E-2,-8.02517E-4
-1.22450E-1,1.92225E-6,1.92225E-2,-2.35380E-3
-2.04100E-1,1.89245E-6,1.89245E-2,-3.86248E-3
-2.85700E-1,1.86264E-6,1.86264E-2,-5.32158E-3
-3.67350E-1,1.83284E-6,1.83284E-2,-6.73295E-3
-4.49000E-1,1.78814E-6,1.78814E-2,-8.02874E-3
-5.30600E-1,1.75834E-6,1.75834E-2,-9.32974E-3
-6.12250E-1,1.72853E-6,1.72853E-2,-1.05830E-2
-6.93900E-1,1.68383E-6,1.68383E-2,-1.16841E-2
-7.75500E-1,1.68383E-6,1.68383E-2,-1.30581E-2
-8.57150E-1,1.65403E-6,1.65403E-2,-1.41775E-2
-9.38800E-1,1.60933E-6,1.60932E-2,-1.51083E-2
-1.02040E+0,1.57952E-6,1.57952E-2,-1.61175E-2
-1.10205E+0,1.54972E-6,1.54972E-2,-1.70787E-2
-1.18365E+0,1.53482E-6,1.53482E-2,-1.81669E-2
-1.26530E+0,1.47522E-6,1.47522E-2,-1.86659E-2
-1.34695E+0,-9.24617E-5,-9.24617E-1,1.24541E+0
-1.42855E+0,-7.79331E-5,-7.79331E-1,1.11331E+0
-1.51020E+0,-6.82026E-5,-6.82026E-1,1.03000E+0
-1.59185E+0,-6.09905E-5,-6.09904E-1,9.70876E-1
-1.67345E+0,-5.28693E-5,-5.28693E-1,8.84742E-1
-1.75510E+0,-5.15580E-5,-5.15580E-1,9.04895E-1
-1.83675E+0,-6.38068E-5,-6.38068E-1,1.17197E+0
-1.91835E+0,-5.22286E-5,-5.22286E-1,1.00193E+0
-2.00000E+0,-5.06788E-5,-5.06788E-1,1.01358E+0
