Tested at The Flinders University of South Australia

Cell Name:,CP55C_2
Notes:,
Cell Area (cm2):,0.100000
Temperature (C):,25.000000

Light Power (mW/cm2): ,100
Jsc (mA/cm2): ,18.169
Voc (V): ,0.908
FF: ,0.58
Eff (%): ,9.57
Rshunt (Ohms): ,2.32E+3
Rseries (Ohms): ,7.19E+1



Voltage (V), Current (A), Current Density (mA/cm2), Power Density (mW/cm2)
1.00000E+0,2.00449E-3,2.00449E+1,2.00449E+1
9.59200E-1,9.52631E-4,9.52631E+0,9.13764E+0
9.18350E-1,1.47685E-4,1.47685E+0,1.35627E+0
8.77550E-1,-4.20064E-4,-4.20064E+0,-3.68627E+0
8.36750E-1,-7.97063E-4,-7.97063E+0,-6.66943E+0
7.95900E-1,-1.03709E-3,-1.03709E+1,-8.25421E+0
7.55100E-1,-1.21318E-3,-1.21318E+1,-9.16071E+0
7.14300E-1,-1.32328E-3,-1.32328E+1,-9.45221E+0
6.73450E-1,-1.42059E-3,-1.42059E+1,-9.56694E+0
6.32650E-1,-1.48137E-3,-1.48137E+1,-9.37188E+0
5.91850E-1,-1.53416E-3,-1.53416E+1,-9.07995E+0
5.51000E-1,-1.56978E-3,-1.56978E+1,-8.64948E+0
5.10200E-1,-1.60797E-3,-1.60797E+1,-8.20386E+0
4.69400E-1,-1.63586E-3,-1.63586E+1,-7.67875E+0
4.28550E-1,-1.66267E-3,-1.66267E+1,-7.12538E+0
3.87750E-1,-1.69021E-3,-1.69021E+1,-6.55379E+0
3.46950E-1,-1.69590E-3,-1.69590E+1,-5.88393E+0
3.06100E-1,-1.70977E-3,-1.70977E+1,-5.23362E+0
2.65300E-1,-1.72706E-3,-1.72706E+1,-4.58189E+0
2.24500E-1,-1.74442E-3,-1.74442E+1,-3.91622E+0
1.83650E-1,-1.76282E-3,-1.76282E+1,-3.23742E+0
1.42850E-1,-1.77151E-3,-1.77151E+1,-2.53060E+0
1.02050E-1,-1.78665E-3,-1.78665E+1,-1.82328E+0
6.12000E-2,-1.79949E-3,-1.79949E+1,-1.10129E+0
2.04000E-2,-1.80808E-3,-1.80808E+1,-3.68848E-1
-2.04000E-2,-1.82565E-3,-1.82565E+1,3.72432E-1
-6.12000E-2,-1.82238E-3,-1.82238E+1,1.11530E+0
-1.02050E-1,-1.84520E-3,-1.84520E+1,1.88302E+0
-1.42850E-1,-1.84542E-3,-1.84542E+1,2.63618E+0
-1.83650E-1,-1.86363E-3,-1.86363E+1,3.42255E+0
-2.24500E-1,-1.85597E-3,-1.85597E+1,4.16665E+0
-2.65300E-1,-1.87923E-3,-1.87923E+1,4.98560E+0
-3.06100E-1,-1.87625E-3,-1.87625E+1,5.74320E+0
-3.46950E-1,-1.89103E-3,-1.89103E+1,6.56094E+0
-3.87750E-1,-1.90412E-3,-1.90411E+1,7.38321E+0
-4.28550E-1,-1.89459E-3,-1.89459E+1,8.11928E+0
-4.69400E-1,-1.91522E-3,-1.91522E+1,8.99002E+0
-5.10200E-1,-1.90704E-3,-1.90704E+1,9.72970E+0
-5.51000E-1,-1.91513E-3,-1.91513E+1,1.05523E+1
-5.91850E-1,-1.92778E-3,-1.92778E+1,1.14096E+1
-6.32650E-1,-1.92159E-3,-1.92159E+1,1.21570E+1
-6.73450E-1,-1.94730E-3,-1.94730E+1,1.31141E+1
-7.14300E-1,-1.94527E-3,-1.94527E+1,1.38951E+1
-7.55100E-1,-1.95448E-3,-1.95448E+1,1.47583E+1
-7.95900E-1,-1.95384E-3,-1.95384E+1,1.55506E+1
-8.36750E-1,-1.96730E-3,-1.96730E+1,1.64613E+1
-8.77550E-1,-1.96536E-3,-1.96536E+1,1.72470E+1
-9.18350E-1,-1.98534E-3,-1.98534E+1,1.82324E+1
-9.59200E-1,-1.97277E-3,-1.97277E+1,1.89228E+1
-1.00000E+0,-1.98753E-3,-1.98753E+1,1.98753E+1
