Tested at The Flinders University of South Australia

Cell Name:,CP55C_1
Notes:,
Cell Area (cm2):,0.100000
Temperature (C):,25.000000
Ideality [LnJ vs. V]: ,2.336
Jsat [Ln J vs. V] (A/m2): ,9.082E-6
Jsat [Ln J vs. V] (mA/cm2): ,9.082E-7
Schottky? : ,No
SBH [Ln J vs. V] (eV): ,0.000
R-Squared [Ln J vs. V]: ,0.999



Voltage (V), Current (A), Current Density (mA/cm2), Power Density (mW/cm2)
2.00000E+0,4.41320E-2,4.41320E+2,8.82641E+2
1.91835E+0,4.00750E-2,4.00750E+2,7.68779E+2
1.83675E+0,3.58996E-2,3.58996E+2,6.59386E+2
1.75510E+0,3.17431E-2,3.17431E+2,5.57124E+2
1.67345E+0,2.76506E-2,2.76506E+2,4.62718E+2
1.59185E+0,2.36548E-2,2.36548E+2,3.76549E+2
1.51020E+0,1.97784E-2,1.97784E+2,2.98694E+2
1.42855E+0,1.60514E-2,1.60514E+2,2.29302E+2
1.34695E+0,1.25175E-2,1.25175E+2,1.68604E+2
1.26530E+0,9.22550E-3,9.22550E+1,1.16730E+2
1.18365E+0,6.24856E-3,6.24856E+1,7.39610E+1
1.10205E+0,3.70155E-3,3.70155E+1,4.07930E+1
1.02040E+0,1.74543E-3,1.74543E+1,1.78104E+1
9.38800E-1,5.77077E-4,5.77077E+0,5.41760E+0
8.57150E-1,1.41740E-4,1.41740E+0,1.21492E+0
7.75500E-1,3.50028E-5,3.50028E-1,2.71447E-1
6.93900E-1,9.89437E-6,9.89437E-2,6.86570E-2
6.12250E-1,4.32134E-6,4.32134E-2,2.64574E-2
5.30600E-1,3.20375E-6,3.20375E-2,1.69991E-2
4.49000E-1,2.84612E-6,2.84612E-2,1.27791E-2
3.67350E-1,2.65241E-6,2.65241E-2,9.74362E-3
2.85700E-1,2.48849E-6,2.48849E-2,7.10963E-3
2.04100E-1,2.35438E-6,2.35438E-2,4.80530E-3
1.22450E-1,2.22027E-6,2.22027E-2,2.71872E-3
4.08000E-2,2.08616E-6,2.08616E-2,8.51155E-4
-4.08000E-2,1.96695E-6,1.96695E-2,-8.02517E-4
-1.22450E-1,1.81794E-6,1.81794E-2,-2.22607E-3
-2.04100E-1,1.68383E-6,1.68383E-2,-3.43670E-3
-2.85700E-1,1.53482E-6,1.53482E-2,-4.38498E-3
-3.67350E-1,1.40071E-6,1.40071E-2,-5.14550E-3
-4.49000E-1,1.25170E-6,1.25170E-2,-5.62012E-3
-5.30600E-1,1.08778E-6,1.08778E-2,-5.77179E-3
-6.12250E-1,9.23872E-7,9.23872E-3,-5.65641E-3
-6.93900E-1,7.45058E-7,7.45058E-3,-5.16996E-3
-7.75500E-1,6.10948E-7,6.10948E-3,-4.73790E-3
-8.57150E-1,4.61936E-7,4.61936E-3,-3.95948E-3
-9.38800E-1,3.72529E-7,3.72529E-3,-3.49730E-3
-1.02040E+0,2.08616E-7,2.08616E-3,-2.12872E-3
-1.10205E+0,7.45058E-8,7.45058E-4,-8.21091E-4
-1.18365E+0,-8.94070E-8,-8.94070E-4,1.05827E-3
-1.26530E+0,-2.53320E-7,-2.53320E-3,3.20525E-3
-1.34695E+0,-3.87430E-7,-3.87430E-3,5.21849E-3
-1.42855E+0,-5.36442E-7,-5.36442E-3,7.66334E-3
-1.51020E+0,-6.85453E-7,-6.85453E-3,1.03517E-2
-1.59185E+0,-8.64267E-7,-8.64267E-3,1.37578E-2
-1.67345E+0,-1.08778E-6,-1.08778E-2,1.82035E-2
-1.75510E+0,-1.28150E-6,-1.28150E-2,2.24916E-2
-1.83675E+0,-1.44541E-6,-1.44541E-2,2.65486E-2
-1.91835E+0,-1.63913E-6,-1.63913E-2,3.14442E-2
-2.00000E+0,-1.77324E-6,-1.77324E-2,3.54648E-2
