Tested at The Flinders University of South Australia

Cell Name:,CP55D_5
Notes:,
Cell Area (cm2):,0.100000
Temperature (C):,25.000000

Light Power (mW/cm2): ,100
Jsc (mA/cm2): ,13.068
Voc (V): ,0.915
FF: ,0.63
Eff (%): ,7.53
Rshunt (Ohms): ,5.51E+3
Rseries (Ohms): ,7.37E+1



Voltage (V), Current (A), Current Density (mA/cm2), Power Density (mW/cm2)
1.00000E+0,2.54995E-3,2.54995E+1,2.54995E+1
9.59200E-1,1.05450E-3,1.05450E+1,1.01147E+1
9.18350E-1,5.07683E-5,5.07683E-1,4.66230E-1
8.77550E-1,-5.02467E-4,-5.02467E+0,-4.40940E+0
8.36750E-1,-7.82430E-4,-7.82430E+0,-6.54698E+0
7.95900E-1,-9.15304E-4,-9.15304E+0,-7.28490E+0
7.55100E-1,-9.97290E-4,-9.97290E+0,-7.53054E+0
7.14300E-1,-1.05214E-3,-1.05214E+1,-7.51544E+0
6.73450E-1,-1.09118E-3,-1.09118E+1,-7.34857E+0
6.32650E-1,-1.11871E-3,-1.11870E+1,-7.07749E+0
5.91850E-1,-1.14478E-3,-1.14478E+1,-6.77539E+0
5.51000E-1,-1.16646E-3,-1.16646E+1,-6.42721E+0
5.10200E-1,-1.18536E-3,-1.18536E+1,-6.04770E+0
4.69400E-1,-1.20626E-3,-1.20626E+1,-5.66220E+0
4.28550E-1,-1.21553E-3,-1.21553E+1,-5.20916E+0
3.87750E-1,-1.23760E-3,-1.23760E+1,-4.79880E+0
3.46950E-1,-1.23872E-3,-1.23872E+1,-4.29774E+0
3.06100E-1,-1.26132E-3,-1.26132E+1,-3.86091E+0
2.65300E-1,-1.26357E-3,-1.26357E+1,-3.35226E+0
2.24500E-1,-1.27016E-3,-1.27016E+1,-2.85151E+0
1.83650E-1,-1.28382E-3,-1.28382E+1,-2.35774E+0
1.42850E-1,-1.28710E-3,-1.28710E+1,-1.83863E+0
1.02050E-1,-1.29564E-3,-1.29564E+1,-1.32220E+0
6.12000E-2,-1.29566E-3,-1.29566E+1,-7.92941E-1
2.04000E-2,-1.30312E-3,-1.30312E+1,-2.65837E-1
-2.04000E-2,-1.31053E-3,-1.31053E+1,2.67348E-1
-6.12000E-2,-1.31561E-3,-1.31561E+1,8.05153E-1
-1.02050E-1,-1.32845E-3,-1.32845E+1,1.35569E+0
-1.42850E-1,-1.31890E-3,-1.31890E+1,1.88405E+0
-1.83650E-1,-1.33383E-3,-1.33383E+1,2.44958E+0
-2.24500E-1,-1.33336E-3,-1.33336E+1,2.99338E+0
-2.65300E-1,-1.34753E-3,-1.34753E+1,3.57499E+0
-3.06100E-1,-1.35143E-3,-1.35143E+1,4.13673E+0
-3.46950E-1,-1.35188E-3,-1.35188E+1,4.69034E+0
-3.87750E-1,-1.36679E-3,-1.36679E+1,5.29974E+0
-4.28550E-1,-1.35712E-3,-1.35712E+1,5.81595E+0
-4.69400E-1,-1.37037E-3,-1.37037E+1,6.43252E+0
-5.10200E-1,-1.38393E-3,-1.38393E+1,7.06081E+0
-5.51000E-1,-1.41735E-3,-1.41735E+1,7.80962E+0
-5.91850E-1,-1.53434E-3,-1.53434E+1,9.08101E+0
-6.32650E-1,-1.67419E-3,-1.67419E+1,1.05918E+1
-6.73450E-1,-1.71843E-3,-1.71843E+1,1.15728E+1
-7.14300E-1,-1.70207E-3,-1.70207E+1,1.21579E+1
-7.55100E-1,-1.67766E-3,-1.67766E+1,1.26680E+1
-7.95900E-1,-1.65012E-3,-1.65012E+1,1.31333E+1
-8.36750E-1,-1.64175E-3,-1.64175E+1,1.37373E+1
-8.77550E-1,-1.62277E-3,-1.62277E+1,1.42406E+1
-9.18350E-1,-1.63180E-3,-1.63180E+1,1.49856E+1
-9.59200E-1,-1.64771E-3,-1.64771E+1,1.58048E+1
-1.00000E+0,-1.63579E-3,-1.63579E+1,1.63579E+1
