Tested at The Flinders University of South Australia

Cell Name:,CP55D_1
Notes:,
Cell Area (cm2):,0.100000
Temperature (C):,25.000000
Ideality [LnJ vs. V]: ,2.904
Jsat [Ln J vs. V] (A/m2): ,4.099E-4
Jsat [Ln J vs. V] (mA/cm2): ,4.099E-5
Schottky? : ,No
SBH [Ln J vs. V] (eV): ,0.000
R-Squared [Ln J vs. V]: ,0.992



Voltage (V), Current (A), Current Density (mA/cm2), Power Density (mW/cm2)
2.00000E+0,8.01783E-2,8.01783E+2,1.60357E+3
1.91835E+0,7.33658E-2,7.33658E+2,1.40741E+3
1.83675E+0,6.63913E-2,6.63913E+2,1.21944E+3
1.75510E+0,5.94001E-2,5.94001E+2,1.04253E+3
1.67345E+0,5.24775E-2,5.24775E+2,8.78185E+2
1.59185E+0,4.55619E-2,4.55619E+2,7.25278E+2
1.51020E+0,3.87712E-2,3.87712E+2,5.85522E+2
1.42855E+0,3.21091E-2,3.21091E+2,4.58695E+2
1.34695E+0,2.55932E-2,2.55932E+2,3.44727E+2
1.26530E+0,1.93351E-2,1.93351E+2,2.44648E+2
1.18365E+0,1.34188E-2,1.34188E+2,1.58832E+2
1.10205E+0,8.08673E-3,8.08673E+1,8.91198E+1
1.02040E+0,3.76837E-3,3.76837E+1,3.84524E+1
9.38800E-1,1.18422E-3,1.18422E+1,1.11175E+1
8.57150E-1,3.34829E-4,3.34829E+0,2.86999E+0
7.75500E-1,1.49861E-4,1.49861E+0,1.16217E+0
6.93900E-1,9.81689E-5,9.81689E-1,6.81194E-1
6.12250E-1,7.45654E-5,7.45654E-1,4.56527E-1
5.30600E-1,5.69820E-5,5.69820E-1,3.02347E-1
4.49000E-1,4.31687E-5,4.31687E-1,1.93827E-1
3.67350E-1,3.10242E-5,3.10242E-1,1.13967E-1
2.85700E-1,2.22176E-5,2.22176E-1,6.34758E-2
2.04100E-1,1.56611E-5,1.56611E-1,3.19643E-2
1.22450E-1,8.68738E-6,8.68738E-2,1.06377E-2
4.08000E-2,3.96371E-6,3.96371E-2,1.61719E-3
-4.08000E-2,-1.49012E-7,-1.49012E-3,6.07967E-5
-1.22450E-1,-2.93553E-6,-2.93553E-2,3.59456E-3
-2.04100E-1,-6.60121E-6,-6.60121E-2,1.34731E-2
-2.85700E-1,-1.10120E-5,-1.10120E-1,3.14612E-2
-3.67350E-1,-1.59889E-5,-1.59889E-1,5.87354E-2
-4.49000E-1,-2.13087E-5,-2.13087E-1,9.56759E-2
-5.30600E-1,-2.73287E-5,-2.73287E-1,1.45006E-1
-6.12250E-1,-5.74932E-4,-5.74932E+0,3.52002E+0
-6.93900E-1,-1.70216E-4,-1.70216E+0,1.18113E+0
-7.75500E-1,-2.54318E-4,-2.54318E+0,1.97224E+0
-8.57150E-1,-2.69026E-4,-2.69026E+0,2.30595E+0
-9.38800E-1,-2.67520E-4,-2.67521E+0,2.51148E+0
-1.02040E+0,-2.67684E-4,-2.67684E+0,2.73145E+0
-1.10205E+0,-4.14193E-4,-4.14193E+0,4.56461E+0
-1.18365E+0,-5.09635E-4,-5.09635E+0,6.03229E+0
-1.26530E+0,-6.76855E-4,-6.76855E+0,8.56425E+0
-1.34695E+0,-6.85781E-4,-6.85781E+0,9.23713E+0
-1.42855E+0,-6.81266E-4,-6.81266E+0,9.73223E+0
-1.51020E+0,-8.02368E-4,-8.02368E+0,1.21174E+1
-1.59185E+0,-7.83026E-4,-7.83026E+0,1.24646E+1
-1.67345E+0,-7.56293E-4,-7.56293E+0,1.26562E+1
-1.75510E+0,-8.04573E-4,-8.04573E+0,1.41211E+1
-1.83675E+0,-7.98017E-4,-7.98017E+0,1.46576E+1
-1.91835E+0,-8.09282E-4,-8.09282E+0,1.55249E+1
-2.00000E+0,-8.16032E-4,-8.16032E+0,1.63206E+1
