Tested at The Flinders University of South Australia

Cell Name:,CP55G_5
Notes:,
Cell Area (cm2):,0.100000
Temperature (C):,25.000000

Light Power (mW/cm2): ,100
Jsc (mA/cm2): ,17.460
Voc (V): ,0.913
FF: ,0.57
Eff (%): ,9.06
Rshunt (Ohms): ,1.51E+4
Rseries (Ohms): ,8.79E+1



Voltage (V), Current (A), Current Density (mA/cm2), Power Density (mW/cm2)
1.00000E+0,1.46882E-3,1.46882E+1,1.46882E+1
9.59200E-1,6.75321E-4,6.75321E+0,6.47768E+0
9.18350E-1,5.61625E-5,5.61625E-1,5.15768E-1
8.77550E-1,-4.07934E-4,-4.07934E+0,-3.57983E+0
8.36750E-1,-7.30067E-4,-7.30067E+0,-6.10884E+0
7.95900E-1,-9.68576E-4,-9.68575E+0,-7.70889E+0
7.55100E-1,-1.12683E-3,-1.12683E+1,-8.50866E+0
7.14300E-1,-1.25432E-3,-1.25432E+1,-8.95961E+0
6.73450E-1,-1.34523E-3,-1.34523E+1,-9.05946E+0
6.32650E-1,-1.40926E-3,-1.40926E+1,-8.91570E+0
5.91850E-1,-1.47863E-3,-1.47863E+1,-8.75125E+0
5.51000E-1,-1.50621E-3,-1.50621E+1,-8.29921E+0
5.10200E-1,-1.56221E-3,-1.56221E+1,-7.97039E+0
4.69400E-1,-1.57192E-3,-1.57192E+1,-7.37861E+0
4.28550E-1,-1.61232E-3,-1.61232E+1,-6.90960E+0
3.87750E-1,-1.62485E-3,-1.62485E+1,-6.30036E+0
3.46950E-1,-1.65069E-3,-1.65069E+1,-5.72707E+0
3.06100E-1,-1.66093E-3,-1.66093E+1,-5.08410E+0
2.65300E-1,-1.67343E-3,-1.67343E+1,-4.43961E+0
2.24500E-1,-1.69262E-3,-1.69262E+1,-3.79994E+0
1.83650E-1,-1.69429E-3,-1.69429E+1,-3.11157E+0
1.42850E-1,-1.72971E-3,-1.72971E+1,-2.47089E+0
1.02050E-1,-1.71705E-3,-1.71705E+1,-1.75225E+0
6.12000E-2,-1.73919E-3,-1.73919E+1,-1.06438E+0
2.04000E-2,-1.74469E-3,-1.74469E+1,-3.55916E-1
-2.04000E-2,-1.74738E-3,-1.74738E+1,3.56467E-1
-6.12000E-2,-1.77133E-3,-1.77133E+1,1.08405E+0
-1.02050E-1,-1.76039E-3,-1.76039E+1,1.79648E+0
-1.42850E-1,-1.78066E-3,-1.78066E+1,2.54367E+0
-1.83650E-1,-1.77005E-3,-1.77005E+1,3.25069E+0
-2.24500E-1,-1.79784E-3,-1.79784E+1,4.03615E+0
-2.65300E-1,-1.79081E-3,-1.79081E+1,4.75101E+0
-3.06100E-1,-1.79905E-3,-1.79905E+1,5.50688E+0
-3.46950E-1,-1.80729E-3,-1.80729E+1,6.27038E+0
-3.87750E-1,-1.79899E-3,-1.79899E+1,6.97557E+0
-4.28550E-1,-1.82815E-3,-1.82815E+1,7.83453E+0
-4.69400E-1,-1.81259E-3,-1.81259E+1,8.50831E+0
-5.10200E-1,-1.82882E-3,-1.82882E+1,9.33064E+0
-5.51000E-1,-1.82091E-3,-1.82091E+1,1.00332E+1
-5.91850E-1,-1.83898E-3,-1.83898E+1,1.08840E+1
-6.32650E-1,-1.84457E-3,-1.84457E+1,1.16697E+1
-6.73450E-1,-1.84403E-3,-1.84403E+1,1.24186E+1
-7.14300E-1,-1.86031E-3,-1.86031E+1,1.32882E+1
-7.55100E-1,-1.86528E-3,-1.86528E+1,1.40848E+1
-7.95900E-1,-1.86895E-3,-1.86895E+1,1.48750E+1
-8.36750E-1,-1.87547E-3,-1.87547E+1,1.56930E+1
-8.77550E-1,-1.86731E-3,-1.86731E+1,1.63866E+1
-9.18350E-1,-1.89307E-3,-1.89307E+1,1.73850E+1
-9.59200E-1,-1.87868E-3,-1.87868E+1,1.80203E+1
-1.00000E+0,-1.91018E-3,-1.91018E+1,1.91018E+1
