Tested at The Flinders University of South Australia

Cell Name:,CP55G_2
Notes:,
Cell Area (cm2):,0.100000
Temperature (C):,25.000000
Ideality [LnJ vs. V]: ,3.177
Jsat [Ln J vs. V] (A/m2): ,6.912E-4
Jsat [Ln J vs. V] (mA/cm2): ,6.912E-5
Schottky? : ,No
SBH [Ln J vs. V] (eV): ,0.000
R-Squared [Ln J vs. V]: ,0.993



Voltage (V), Current (A), Current Density (mA/cm2), Power Density (mW/cm2)
2.00000E+0,5.08497E-2,5.08497E+2,1.01699E+3
1.91835E+0,4.61269E-2,4.61269E+2,8.84875E+2
1.83675E+0,4.12807E-2,4.12807E+2,7.58223E+2
1.75510E+0,3.64693E-2,3.64693E+2,6.40074E+2
1.67345E+0,3.17330E-2,3.17329E+2,5.31035E+2
1.59185E+0,2.71093E-2,2.71093E+2,4.31539E+2
1.51020E+0,2.26267E-2,2.26267E+2,3.41708E+2
1.42855E+0,1.83229E-2,1.83229E+2,2.61752E+2
1.34695E+0,1.42477E-2,1.42477E+2,1.91909E+2
1.26530E+0,1.04592E-2,1.04592E+2,1.32340E+2
1.18365E+0,7.04715E-3,7.04715E+1,8.34136E+1
1.10205E+0,4.14586E-3,4.14586E+1,4.56895E+1
1.02040E+0,1.94819E-3,1.94819E+1,1.98794E+1
9.38800E-1,6.74009E-4,6.74009E+0,6.32760E+0
8.57150E-1,2.15560E-4,2.15560E+0,1.84767E+0
7.75500E-1,1.01760E-4,1.01760E+0,7.89149E-1
6.93900E-1,6.67423E-5,6.67423E-1,4.63125E-1
6.12250E-1,4.76092E-5,4.76092E-1,2.91487E-1
5.30600E-1,3.54797E-5,3.54797E-1,1.88255E-1
4.49000E-1,2.58237E-5,2.58237E-1,1.15948E-1
3.67350E-1,1.79708E-5,1.79708E-1,6.60157E-2
2.85700E-1,1.23233E-5,1.23233E-1,3.52076E-2
2.04100E-1,8.07643E-6,8.07643E-2,1.64840E-2
1.22450E-1,4.94719E-6,4.94719E-2,6.05783E-3
4.08000E-2,2.80142E-6,2.80142E-2,1.14298E-3
-4.08000E-2,1.08778E-6,1.08778E-2,-4.43816E-4
-1.22450E-1,-8.79168E-7,-8.79169E-3,1.07654E-3
-2.04100E-1,-3.59118E-6,-3.59118E-2,7.32960E-3
-2.85700E-1,-6.95884E-6,-6.95884E-2,1.98814E-2
-3.67350E-1,-1.12802E-5,-1.12802E-1,4.14377E-2
-4.49000E-1,-1.63317E-5,-1.63317E-1,7.33292E-2
-5.30600E-1,-2.23517E-5,-2.23517E-1,1.18598E-1
-6.12250E-1,-2.86847E-5,-2.86847E-1,1.75622E-1
-6.93900E-1,-3.59118E-5,-3.59118E-1,2.49192E-1
-7.75500E-1,-4.35263E-5,-4.35263E-1,3.37546E-1
-8.57150E-1,-5.36740E-5,-5.36740E-1,4.60067E-1
-9.38800E-1,-6.52224E-5,-6.52224E-1,6.12308E-1
-1.02040E+0,-7.66665E-5,-7.66665E-1,7.82305E-1
-1.10205E+0,-9.10908E-5,-9.10908E-1,1.00387E+0
-1.18365E+0,-1.05753E-4,-1.05753E+0,1.25175E+0
-1.26530E+0,-1.20103E-4,-1.20103E+0,1.51967E+0
-1.34695E+0,-1.35571E-4,-1.35571E+0,1.82607E+0
-1.42855E+0,-1.54838E-4,-1.54838E+0,2.21194E+0
-1.51020E+0,-1.77100E-4,-1.77100E+0,2.67457E+0
-1.59185E+0,-1.98975E-4,-1.98975E+0,3.16739E+0
-1.67345E+0,-2.26483E-4,-2.26483E+0,3.79007E+0
-1.75510E+0,-2.60964E-4,-2.60964E+0,4.58018E+0
-1.83675E+0,-2.91511E-4,-2.91511E+0,5.35434E+0
-1.91835E+0,-3.20584E-4,-3.20584E+0,6.14992E+0
-2.00000E+0,-3.60981E-4,-3.60981E+0,7.21961E+0
