Tested at The Flinders University of South Australia

Cell Name:,CP55H_6
Notes:,
Cell Area (cm2):,0.100000
Temperature (C):,25.000000

Light Power (mW/cm2): ,100
Jsc (mA/cm2): ,17.775
Voc (V): ,0.917
FF: ,0.59
Eff (%): ,9.55
Rshunt (Ohms): ,7.21E+4
Rseries (Ohms): ,8.23E+1



Voltage (V), Current (A), Current Density (mA/cm2), Power Density (mW/cm2)
1.00000E+0,1.58223E-3,1.58223E+1,1.58224E+1
9.59200E-1,6.96197E-4,6.96197E+0,6.67792E+0
9.18350E-1,1.80155E-5,1.80155E-1,1.65445E-1
8.77550E-1,-4.77687E-4,-4.77686E+0,-4.19194E+0
8.36750E-1,-8.05721E-4,-8.05721E+0,-6.74187E+0
7.95900E-1,-1.04584E-3,-1.04584E+1,-8.32382E+0
7.55100E-1,-1.20148E-3,-1.20148E+1,-9.07238E+0
7.14300E-1,-1.32999E-3,-1.32999E+1,-9.50010E+0
6.73450E-1,-1.41799E-3,-1.41799E+1,-9.54948E+0
6.32650E-1,-1.48223E-3,-1.48223E+1,-9.37735E+0
5.91850E-1,-1.54494E-3,-1.54494E+1,-9.14371E+0
5.51000E-1,-1.57182E-3,-1.57182E+1,-8.66072E+0
5.10200E-1,-1.62020E-3,-1.62020E+1,-8.26628E+0
4.69400E-1,-1.63247E-3,-1.63247E+1,-7.66280E+0
4.28550E-1,-1.66385E-3,-1.66385E+1,-7.13042E+0
3.87750E-1,-1.67184E-3,-1.67184E+1,-6.48254E+0
3.46950E-1,-1.69723E-3,-1.69723E+1,-5.88853E+0
3.06100E-1,-1.71377E-3,-1.71377E+1,-5.24584E+0
2.65300E-1,-1.71737E-3,-1.71737E+1,-4.55619E+0
2.24500E-1,-1.74129E-3,-1.74129E+1,-3.90920E+0
1.83650E-1,-1.73780E-3,-1.73780E+1,-3.19148E+0
1.42850E-1,-1.75585E-3,-1.75585E+1,-2.50823E+0
1.02050E-1,-1.75753E-3,-1.75753E+1,-1.79356E+0
6.12000E-2,-1.76835E-3,-1.76835E+1,-1.08223E+0
2.04000E-2,-1.77775E-3,-1.77775E+1,-3.62662E-1
-2.04000E-2,-1.77719E-3,-1.77719E+1,3.62546E-1
-6.12000E-2,-1.79206E-3,-1.79206E+1,1.09674E+0
-1.02050E-1,-1.78923E-3,-1.78923E+1,1.82591E+0
-1.42850E-1,-1.80969E-3,-1.80969E+1,2.58514E+0
-1.83650E-1,-1.79417E-3,-1.79417E+1,3.29500E+0
-2.24500E-1,-1.81468E-3,-1.81468E+1,4.07395E+0
-2.65300E-1,-1.80665E-3,-1.80665E+1,4.79303E+0
-3.06100E-1,-1.82758E-3,-1.82758E+1,5.59423E+0
-3.46950E-1,-1.82819E-3,-1.82819E+1,6.34292E+0
-3.87750E-1,-1.82781E-3,-1.82781E+1,7.08732E+0
-4.28550E-1,-1.83803E-3,-1.83803E+1,7.87687E+0
-4.69400E-1,-1.84114E-3,-1.84114E+1,8.64233E+0
-5.10200E-1,-1.85308E-3,-1.85308E+1,9.45441E+0
-5.51000E-1,-1.83976E-3,-1.83976E+1,1.01371E+1
-5.91850E-1,-1.86051E-3,-1.86051E+1,1.10115E+1
-6.32650E-1,-1.84479E-3,-1.84479E+1,1.16711E+1
-6.73450E-1,-1.86610E-3,-1.86610E+1,1.25673E+1
-7.14300E-1,-1.84166E-3,-1.84166E+1,1.31550E+1
-7.55100E-1,-1.87156E-3,-1.87156E+1,1.41321E+1
-7.95900E-1,-1.86139E-3,-1.86139E+1,1.48148E+1
-8.36750E-1,-1.88148E-3,-1.88148E+1,1.57433E+1
-8.77550E-1,-1.88079E-3,-1.88080E+1,1.65049E+1
-9.18350E-1,-1.87698E-3,-1.87698E+1,1.72372E+1
-9.59200E-1,-1.89567E-3,-1.89567E+1,1.81832E+1
-1.00000E+0,-1.87545E-3,-1.87544E+1,1.87544E+1
