Tested at The Flinders University of South Australia

Cell Name:,CP55H_1
Notes:,
Cell Area (cm2):,0.100000
Temperature (C):,25.000000
Ideality [LnJ vs. V]: ,2.244
Jsat [Ln J vs. V] (A/m2): ,3.986E-6
Jsat [Ln J vs. V] (mA/cm2): ,3.986E-7
Schottky? : ,No
SBH [Ln J vs. V] (eV): ,0.000
R-Squared [Ln J vs. V]: ,0.998



Voltage (V), Current (A), Current Density (mA/cm2), Power Density (mW/cm2)
2.00000E+0,5.10338E-2,5.10338E+2,1.02068E+3
1.91835E+0,4.62466E-2,4.62466E+2,8.87171E+2
1.83675E+0,4.13466E-2,4.13466E+2,7.59434E+2
1.75510E+0,3.64766E-2,3.64766E+2,6.40200E+2
1.67345E+0,3.16917E-2,3.16917E+2,5.30345E+2
1.59185E+0,2.70247E-2,2.70247E+2,4.30192E+2
1.51020E+0,2.25031E-2,2.25031E+2,3.39842E+2
1.42855E+0,1.81673E-2,1.81673E+2,2.59529E+2
1.34695E+0,1.40694E-2,1.40694E+2,1.89508E+2
1.26530E+0,1.02653E-2,1.02653E+2,1.29887E+2
1.18365E+0,6.84550E-3,6.84550E+1,8.10267E+1
1.10205E+0,3.94900E-3,3.94900E+1,4.35200E+1
1.02040E+0,1.76993E-3,1.76993E+1,1.80604E+1
9.38800E-1,5.29364E-4,5.29364E+0,4.96967E+0
8.57150E-1,1.11952E-4,1.11952E+0,9.59600E-1
7.75500E-1,2.65539E-5,2.65539E-1,2.05925E-1
6.93900E-1,9.90927E-6,9.90927E-2,6.87604E-2
6.12250E-1,6.13928E-6,6.13928E-2,3.75877E-2
5.30600E-1,4.90248E-6,4.90248E-2,2.60126E-2
4.49000E-1,4.20213E-6,4.20213E-2,1.88676E-2
3.67350E-1,3.57628E-6,3.57628E-2,1.31375E-2
2.85700E-1,3.12924E-6,3.12924E-2,8.94025E-3
2.04100E-1,2.72691E-6,2.72691E-2,5.56563E-3
1.22450E-1,2.42889E-6,2.42889E-2,2.97417E-3
4.08000E-2,2.13087E-6,2.13087E-2,8.69393E-4
-4.08000E-2,1.83284E-6,1.83284E-2,-7.47800E-4
-1.22450E-1,1.49012E-6,1.49012E-2,-1.82465E-3
-2.04100E-1,1.14739E-6,1.14739E-2,-2.34182E-3
-2.85700E-1,7.45058E-7,7.45058E-3,-2.12863E-3
-3.67350E-1,2.53320E-7,2.53320E-3,-9.30570E-4
-4.49000E-1,-3.12924E-7,-3.12924E-3,1.40503E-3
-5.30600E-1,-8.94070E-7,-8.94070E-3,4.74393E-3
-6.12250E-1,-1.51992E-6,-1.51992E-2,9.30570E-3
-6.93900E-1,-2.27988E-6,-2.27988E-2,1.58201E-2
-7.75500E-1,-3.35276E-6,-3.35276E-2,2.60007E-2
-8.57150E-1,-4.58956E-6,-4.58956E-2,3.93394E-2
-9.38800E-1,-5.93066E-6,-5.93066E-2,5.56771E-2
-1.02040E+0,-7.53999E-6,-7.53999E-2,7.69380E-2
-1.10205E+0,-9.53674E-6,-9.53674E-2,1.05100E-1
-1.18365E+0,-1.19060E-5,-1.19060E-1,1.40926E-1
-1.26530E+0,-1.45137E-5,-1.45137E-1,1.83642E-1
-1.34695E+0,-1.73748E-5,-1.73747E-1,2.34029E-1
-1.42855E+0,-2.27243E-5,-2.27243E-1,3.24628E-1
-1.51020E+0,-3.41833E-5,-3.41833E-1,5.16236E-1
-1.59185E+0,-6.29276E-5,-6.29276E-1,1.00171E+0
-1.67345E+0,-6.58721E-4,-6.58721E+0,1.10234E+1
-1.75510E+0,-5.22599E-4,-5.22599E+0,9.17213E+0
-1.83675E+0,-4.77850E-4,-4.77850E+0,8.77692E+0
-1.91835E+0,-4.67926E-4,-4.67926E+0,8.97646E+0
-2.00000E+0,-4.72844E-4,-4.72844E+0,9.45687E+0
