Tested at The Flinders University of South Australia

Cell Name:,CP55I_3
Notes:,
Cell Area (cm2):,0.100000
Temperature (C):,25.000000

Light Power (mW/cm2): ,100
Jsc (mA/cm2): ,14.586
Voc (V): ,0.919
FF: ,0.65
Eff (%): ,8.69
Rshunt (Ohms): ,1.64E+3
Rseries (Ohms): ,7.31E+1



Voltage (V), Current (A), Current Density (mA/cm2), Power Density (mW/cm2)
1.00000E+0,2.09695E-3,2.09695E+1,2.09695E+1
9.59200E-1,8.65534E-4,8.65534E+0,8.30220E+0
9.18350E-1,-1.17421E-5,-1.17421E-1,-1.07834E-1
8.77550E-1,-5.70238E-4,-5.70238E+0,-5.00412E+0
8.36750E-1,-8.69840E-4,-8.69840E+0,-7.27839E+0
7.95900E-1,-1.05549E-3,-1.05549E+1,-8.40068E+0
7.55100E-1,-1.13620E-3,-1.13620E+1,-8.57944E+0
7.14300E-1,-1.21689E-3,-1.21689E+1,-8.69223E+0
6.73450E-1,-1.24314E-3,-1.24314E+1,-8.37195E+0
6.32650E-1,-1.29229E-3,-1.29229E+1,-8.17566E+0
5.91850E-1,-1.30342E-3,-1.30342E+1,-7.71429E+0
5.51000E-1,-1.33818E-3,-1.33818E+1,-7.37339E+0
5.10200E-1,-1.34842E-3,-1.34842E+1,-6.87964E+0
4.69400E-1,-1.36000E-3,-1.36000E+1,-6.38384E+0
4.28550E-1,-1.37618E-3,-1.37618E+1,-5.89763E+0
3.87750E-1,-1.38780E-3,-1.38780E+1,-5.38121E+0
3.46950E-1,-1.40275E-3,-1.40275E+1,-4.86684E+0
3.06100E-1,-1.40031E-3,-1.40031E+1,-4.28634E+0
2.65300E-1,-1.41984E-3,-1.41984E+1,-3.76684E+0
2.24500E-1,-1.42184E-3,-1.42184E+1,-3.19203E+0
1.83650E-1,-1.43400E-3,-1.43400E+1,-2.63354E+0
1.42850E-1,-1.44424E-3,-1.44423E+1,-2.06309E+0
1.02050E-1,-1.44158E-3,-1.44158E+1,-1.47114E+0
6.12000E-2,-1.46009E-3,-1.46009E+1,-8.93575E-1
2.04000E-2,-1.44619E-3,-1.44619E+1,-2.95022E-1
-2.04000E-2,-1.47103E-3,-1.47103E+1,3.00090E-1
-6.12000E-2,-1.45833E-3,-1.45833E+1,8.92499E-1
-1.02050E-1,-1.47055E-3,-1.47055E+1,1.50070E+0
-1.42850E-1,-1.47182E-3,-1.47182E+1,2.10249E+0
-1.83650E-1,-1.47378E-3,-1.47378E+1,2.70660E+0
-2.24500E-1,-1.48760E-3,-1.48760E+1,3.33966E+0
-2.65300E-1,-1.48296E-3,-1.48296E+1,3.93430E+0
-3.06100E-1,-1.49079E-3,-1.49079E+1,4.56330E+0
-3.46950E-1,-1.49554E-3,-1.49554E+1,5.18878E+0
-3.87750E-1,-1.49882E-3,-1.49882E+1,5.81167E+0
-4.28550E-1,-1.50324E-3,-1.50324E+1,6.44215E+0
-4.69400E-1,-1.50794E-3,-1.50794E+1,7.07826E+0
-5.10200E-1,-1.51910E-3,-1.51910E+1,7.75044E+0
-5.51000E-1,-1.56601E-3,-1.56601E+1,8.62870E+0
-5.91850E-1,-1.59341E-3,-1.59341E+1,9.43060E+0
-6.32650E-1,-1.62198E-3,-1.62198E+1,1.02614E+1
-6.73450E-1,-1.63789E-3,-1.63789E+1,1.10304E+1
-7.14300E-1,-1.66267E-3,-1.66267E+1,1.18765E+1
-7.55100E-1,-1.68243E-3,-1.68243E+1,1.27040E+1
-7.95900E-1,-1.70614E-3,-1.70614E+1,1.35792E+1
-8.36750E-1,-1.68206E-3,-1.68206E+1,1.40746E+1
-8.77550E-1,-1.71743E-3,-1.71743E+1,1.50713E+1
-9.18350E-1,-1.73160E-3,-1.73160E+1,1.59022E+1
-9.59200E-1,-1.75710E-3,-1.75710E+1,1.68541E+1
-1.00000E+0,-1.77585E-3,-1.77585E+1,1.77585E+1
