Tested at The Flinders University of South Australia

Cell Name:,CP55I_1
Notes:,
Cell Area (cm2):,0.100000
Temperature (C):,25.000000
Ideality [LnJ vs. V]: ,1.970
Jsat [Ln J vs. V] (A/m2): ,6.143E-7
Jsat [Ln J vs. V] (mA/cm2): ,6.143E-8
Schottky? : ,No
SBH [Ln J vs. V] (eV): ,0.000
R-Squared [Ln J vs. V]: ,0.997



Voltage (V), Current (A), Current Density (mA/cm2), Power Density (mW/cm2)
2.00000E+0,8.08290E-2,8.08290E+2,1.61658E+3
1.91835E+0,7.37612E-2,7.37612E+2,1.41500E+3
1.83675E+0,6.65203E-2,6.65203E+2,1.22181E+3
1.75510E+0,5.93117E-2,5.93117E+2,1.04098E+3
1.67345E+0,5.21568E-2,5.21568E+2,8.72818E+2
1.59185E+0,4.50698E-2,4.50698E+2,7.17444E+2
1.51020E+0,3.81194E-2,3.81194E+2,5.75678E+2
1.42855E+0,3.13148E-2,3.13148E+2,4.47347E+2
1.34695E+0,2.47248E-2,2.47248E+2,3.33030E+2
1.26530E+0,1.84378E-2,1.84378E+2,2.33294E+2
1.18365E+0,1.25921E-2,1.25921E+2,1.49047E+2
1.10205E+0,7.36798E-3,7.36798E+1,8.11988E+1
1.02040E+0,3.22559E-3,3.22559E+1,3.29140E+1
9.38800E-1,8.18044E-4,8.18044E+0,7.67980E+0
8.57150E-1,1.24738E-4,1.24738E+0,1.06919E+0
7.75500E-1,2.79695E-5,2.79695E-1,2.16903E-1
6.93900E-1,1.57058E-5,1.57058E-1,1.08983E-1
6.12250E-1,1.12206E-5,1.12206E-1,6.86979E-2
5.30600E-1,9.52184E-6,9.52184E-2,5.05229E-2
4.49000E-1,8.16584E-6,8.16584E-2,3.66646E-2
3.67350E-1,6.80983E-6,6.80983E-2,2.50159E-2
2.85700E-1,5.60284E-6,5.60284E-2,1.60073E-2
2.04100E-1,4.47035E-6,4.47035E-2,9.12398E-3
1.22450E-1,3.42727E-6,3.42727E-2,4.19669E-3
4.08000E-2,2.39909E-6,2.39909E-2,9.78827E-4
-4.08000E-2,1.47522E-6,1.47522E-2,-6.01888E-4
-1.22450E-1,5.66244E-7,5.66244E-3,-6.93366E-4
-2.04100E-1,-3.87430E-7,-3.87430E-3,7.90745E-4
-2.85700E-1,-1.26660E-6,-1.26660E-2,3.61867E-3
-3.67350E-1,-9.40263E-6,-9.40263E-2,3.45406E-2
-4.49000E-1,-3.03984E-6,-3.03984E-2,1.36489E-2
-5.30600E-1,-4.02331E-6,-4.02331E-2,2.13477E-2
-6.12250E-1,-1.59144E-4,-1.59144E+0,9.74362E-1
-6.93900E-1,-3.03894E-4,-3.03894E+0,2.10872E+0
-7.75500E-1,-2.88442E-4,-2.88442E+0,2.23687E+0
-8.57150E-1,-2.68802E-4,-2.68802E+0,2.30404E+0
-9.38800E-1,-2.70143E-4,-2.70143E+0,2.53610E+0
-1.02040E+0,-2.68877E-4,-2.68877E+0,2.74362E+0
-1.10205E+0,-2.58178E-4,-2.58177E+0,2.84525E+0
-1.18365E+0,-2.67893E-4,-2.67893E+0,3.17092E+0
-1.26530E+0,-2.65777E-4,-2.65777E+0,3.36288E+0
-1.34695E+0,-2.54422E-4,-2.54422E+0,3.42694E+0
-1.42855E+0,-2.37823E-4,-2.37823E+0,3.39741E+0
-1.51020E+0,-2.21878E-4,-2.21878E+0,3.35081E+0
-1.59185E+0,-2.27168E-4,-2.27168E+0,3.61618E+0
-1.67345E+0,-2.14204E-4,-2.14204E+0,3.58460E+0
-1.75510E+0,-1.98394E-4,-1.98394E+0,3.48201E+0
-1.83675E+0,-1.99139E-4,-1.99139E+0,3.65769E+0
-1.91835E+0,-1.99631E-4,-1.99631E+0,3.82962E+0
-2.00000E+0,-1.82301E-4,-1.82301E+0,3.64602E+0
