Tested at The Flinders University of South Australia

Cell Name:,CP55J_2
Notes:,
Cell Area (cm2):,0.100000
Temperature (C):,25.000000

Light Power (mW/cm2): ,100
Jsc (mA/cm2): ,14.908
Voc (V): ,0.922
FF: ,0.65
Eff (%): ,8.94
Rshunt (Ohms): ,4.74E+3
Rseries (Ohms): ,7.24E+1



Voltage (V), Current (A), Current Density (mA/cm2), Power Density (mW/cm2)
1.00000E+0,2.17654E-3,2.17654E+1,2.17654E+1
9.59200E-1,8.63433E-4,8.63433E+0,8.28205E+0
9.18350E-1,-4.55677E-5,-4.55677E-1,-4.18471E-1
8.77550E-1,-6.09398E-4,-6.09398E+0,-5.34777E+0
8.36750E-1,-9.17301E-4,-9.17301E+0,-7.67551E+0
7.95900E-1,-1.09094E-3,-1.09094E+1,-8.68282E+0
7.55100E-1,-1.18332E-3,-1.18332E+1,-8.93522E+0
7.14300E-1,-1.24735E-3,-1.24735E+1,-8.90979E+0
6.73450E-1,-1.29563E-3,-1.29563E+1,-8.72539E+0
6.32650E-1,-1.31687E-3,-1.31687E+1,-8.33121E+0
5.91850E-1,-1.35183E-3,-1.35183E+1,-8.00082E+0
5.51000E-1,-1.36547E-3,-1.36547E+1,-7.52373E+0
5.10200E-1,-1.38792E-3,-1.38792E+1,-7.08119E+0
4.69400E-1,-1.39891E-3,-1.39891E+1,-6.56646E+0
4.28550E-1,-1.41290E-3,-1.41290E+1,-6.05497E+0
3.87750E-1,-1.43272E-3,-1.43272E+1,-5.55536E+0
3.46950E-1,-1.42960E-3,-1.42960E+1,-4.96001E+0
3.06100E-1,-1.45142E-3,-1.45142E+1,-4.44279E+0
2.65300E-1,-1.44857E-3,-1.44857E+1,-3.84306E+0
2.24500E-1,-1.45583E-3,-1.45583E+1,-3.26834E+0
1.83650E-1,-1.46642E-3,-1.46642E+1,-2.69309E+0
1.42850E-1,-1.46616E-3,-1.46615E+1,-2.09440E+0
1.02050E-1,-1.47821E-3,-1.47821E+1,-1.50851E+0
6.12000E-2,-1.47809E-3,-1.47809E+1,-9.04592E-1
2.04000E-2,-1.48645E-3,-1.48645E+1,-3.03236E-1
-2.04000E-2,-1.49506E-3,-1.49506E+1,3.04993E-1
-6.12000E-2,-1.49149E-3,-1.49149E+1,9.12790E-1
-1.02050E-1,-1.50850E-3,-1.50850E+1,1.53943E+0
-1.42850E-1,-1.49845E-3,-1.49845E+1,2.14053E+0
-1.83650E-1,-1.51105E-3,-1.51105E+1,2.77505E+0
-2.24500E-1,-1.50946E-3,-1.50946E+1,3.38873E+0
-2.65300E-1,-1.51551E-3,-1.51551E+1,4.02064E+0
-3.06100E-1,-1.51463E-3,-1.51463E+1,4.63628E+0
-3.46950E-1,-1.52436E-3,-1.52436E+1,5.28876E+0
-3.87750E-1,-1.52546E-3,-1.52546E+1,5.91498E+0
-4.28550E-1,-1.53041E-3,-1.53041E+1,6.55857E+0
-4.69400E-1,-1.53814E-3,-1.53814E+1,7.22004E+0
-5.10200E-1,-1.53254E-3,-1.53254E+1,7.81902E+0
-5.51000E-1,-1.54492E-3,-1.54492E+1,8.51253E+0
-5.91850E-1,-1.53482E-3,-1.53482E+1,9.08383E+0
-6.32650E-1,-1.55227E-3,-1.55227E+1,9.82043E+0
-6.73450E-1,-1.54492E-3,-1.54492E+1,1.04043E+1
-7.14300E-1,-1.54963E-3,-1.54963E+1,1.10690E+1
-7.55100E-1,-1.55121E-3,-1.55121E+1,1.17132E+1
-7.95900E-1,-1.54649E-3,-1.54649E+1,1.23085E+1
-8.36750E-1,-1.57228E-3,-1.57228E+1,1.31561E+1
-8.77550E-1,-1.54827E-3,-1.54827E+1,1.35869E+1
-9.18350E-1,-1.57019E-3,-1.57020E+1,1.44199E+1
-9.59200E-1,-1.55865E-3,-1.55865E+1,1.49505E+1
-1.00000E+0,-1.56514E-3,-1.56514E+1,1.56514E+1
