Tested at The Flinders University of South Australia

Cell Name:,CP55J_1
Notes:,
Cell Area (cm2):,0.100000
Temperature (C):,25.000000
Ideality [LnJ vs. V]: ,2.036
Jsat [Ln J vs. V] (A/m2): ,9.834E-7
Jsat [Ln J vs. V] (mA/cm2): ,9.834E-8
Schottky? : ,No
SBH [Ln J vs. V] (eV): ,0.000
R-Squared [Ln J vs. V]: ,0.998



Voltage (V), Current (A), Current Density (mA/cm2), Power Density (mW/cm2)
2.00000E+0,7.87303E-2,7.87303E+2,1.57461E+3
1.91835E+0,7.16955E-2,7.16955E+2,1.37537E+3
1.83675E+0,6.45090E-2,6.45090E+2,1.18487E+3
1.75510E+0,5.73019E-2,5.73019E+2,1.00571E+3
1.67345E+0,5.01727E-2,5.01727E+2,8.39615E+2
1.59185E+0,4.31494E-2,4.31494E+2,6.86874E+2
1.51020E+0,3.62630E-2,3.62630E+2,5.47644E+2
1.42855E+0,2.95674E-2,2.95674E+2,4.22385E+2
1.34695E+0,2.31312E-2,2.31312E+2,3.11566E+2
1.26530E+0,1.70307E-2,1.70307E+2,2.15490E+2
1.18365E+0,1.14114E-2,1.14114E+2,1.35071E+2
1.10205E+0,6.51684E-3,6.51684E+1,7.18188E+1
1.02040E+0,2.75692E-3,2.75692E+1,2.81316E+1
9.38800E-1,6.92323E-4,6.92323E+0,6.49953E+0
8.57150E-1,1.16438E-4,1.16438E+0,9.98046E-1
7.75500E-1,2.75224E-5,2.75224E-1,2.13437E-1
6.93900E-1,1.32769E-5,1.32769E-1,9.21286E-2
6.12250E-1,9.86457E-6,9.86457E-2,6.03958E-2
5.30600E-1,8.41916E-6,8.41916E-2,4.46720E-2
4.49000E-1,7.16746E-6,7.16746E-2,3.21819E-2
3.67350E-1,6.09458E-6,6.09457E-2,2.23884E-2
2.85700E-1,5.02169E-6,5.02169E-2,1.43470E-2
2.04100E-1,4.05312E-6,4.05312E-2,8.27241E-3
1.22450E-1,3.14414E-6,3.14414E-2,3.85001E-3
4.08000E-2,2.26498E-6,2.26498E-2,9.24111E-4
-4.08000E-2,1.38581E-6,1.38581E-2,-5.65410E-4
-1.22450E-1,5.21541E-7,5.21541E-3,-6.38626E-4
-2.04100E-1,-3.87430E-7,-3.87430E-3,7.90745E-4
-2.85700E-1,-1.32620E-6,-1.32620E-2,3.78896E-3
-3.67350E-1,-2.27988E-6,-2.27988E-2,8.37513E-3
-4.49000E-1,-3.29316E-6,-3.29316E-2,1.47863E-2
-5.30600E-1,-4.39584E-6,-4.39584E-2,2.33243E-2
-6.12250E-1,-5.54323E-6,-5.54323E-2,3.39384E-2
-6.93900E-1,-6.82473E-6,-6.82473E-2,4.73568E-2
-7.75500E-1,-8.06153E-6,-8.06153E-2,6.25171E-2
-8.57150E-1,-9.46224E-6,-9.46224E-2,8.11056E-2
-9.38800E-1,-1.08928E-5,-1.08927E-1,1.02261E-1
-1.02040E+0,-1.20997E-5,-1.20997E-1,1.23466E-1
-1.10205E+0,-1.38581E-5,-1.38581E-1,1.52723E-1
-1.18365E+0,-1.52588E-5,-1.52588E-1,1.80611E-1
-1.26530E+0,-5.38379E-5,-5.38379E-1,6.81211E-1
-1.34695E+0,-6.11842E-5,-6.11842E-1,8.24120E-1
-1.42855E+0,-6.16163E-5,-6.16163E-1,8.80220E-1
-1.51020E+0,-6.59823E-5,-6.59823E-1,9.96465E-1
-1.59185E+0,-7.26581E-5,-7.26581E-1,1.15661E+0
-1.67345E+0,-7.37160E-5,-7.37160E-1,1.23360E+0
-1.75510E+0,-1.02103E-4,-1.02103E+0,1.79201E+0
-1.83675E+0,-9.50694E-5,-9.50694E-1,1.74619E+0
-1.91835E+0,-9.07481E-5,-9.07481E-1,1.74087E+0
-2.00000E+0,-9.38177E-5,-9.38177E-1,1.87635E+0
