Tested at The Flinders University of South Australia

Cell Name:,CP55E_3
Notes:,
Cell Area (cm2):,0.100000
Temperature (C):,25.000000

Light Power (mW/cm2): ,100
Jsc (mA/cm2): ,13.999
Voc (V): ,0.919
FF: ,0.63
Eff (%): ,8.12
Rshunt (Ohms): ,2.17E+3
Rseries (Ohms): ,7.21E+1



Voltage (V), Current (A), Current Density (mA/cm2), Power Density (mW/cm2)
1.00000E+0,2.47259E-3,2.47259E+1,2.47259E+1
9.59200E-1,1.00364E-3,1.00364E+1,9.62690E+0
9.18350E-1,-1.44243E-5,-1.44243E-1,-1.32466E-1
8.77550E-1,-5.80445E-4,-5.80445E+0,-5.09369E+0
8.36750E-1,-8.53583E-4,-8.53583E+0,-7.14236E+0
7.95900E-1,-1.01122E-3,-1.01122E+1,-8.04832E+0
7.55100E-1,-1.07598E-3,-1.07598E+1,-8.12475E+0
7.14300E-1,-1.13034E-3,-1.13034E+1,-8.07403E+0
6.73450E-1,-1.14758E-3,-1.14758E+1,-7.72840E+0
6.32650E-1,-1.19053E-3,-1.19053E+1,-7.53188E+0
5.91850E-1,-1.21307E-3,-1.21307E+1,-7.17958E+0
5.51000E-1,-1.24048E-3,-1.24048E+1,-6.83503E+0
5.10200E-1,-1.25539E-3,-1.25539E+1,-6.40502E+0
4.69400E-1,-1.28201E-3,-1.28201E+1,-6.01774E+0
4.28550E-1,-1.30460E-3,-1.30460E+1,-5.59085E+0
3.87750E-1,-1.30765E-3,-1.30765E+1,-5.07042E+0
3.46950E-1,-1.34517E-3,-1.34517E+1,-4.66708E+0
3.06100E-1,-1.33407E-3,-1.33407E+1,-4.08359E+0
2.65300E-1,-1.35709E-3,-1.35709E+1,-3.60037E+0
2.24500E-1,-1.36365E-3,-1.36365E+1,-3.06139E+0
1.83650E-1,-1.37132E-3,-1.37132E+1,-2.51844E+0
1.42850E-1,-1.38497E-3,-1.38497E+1,-1.97844E+0
1.02050E-1,-1.38032E-3,-1.38032E+1,-1.40862E+0
6.12000E-2,-1.39649E-3,-1.39649E+1,-8.54653E-1
2.04000E-2,-1.39046E-3,-1.39046E+1,-2.83653E-1
-2.04000E-2,-1.40929E-3,-1.40929E+1,2.87496E-1
-6.12000E-2,-1.40549E-3,-1.40549E+1,8.60161E-1
-1.02050E-1,-1.41516E-3,-1.41516E+1,1.44417E+0
-1.42850E-1,-1.41120E-3,-1.41120E+1,2.01590E+0
-1.83650E-1,-1.42388E-3,-1.42388E+1,2.61496E+0
-2.24500E-1,-1.42997E-3,-1.42997E+1,3.21029E+0
-2.65300E-1,-1.44045E-3,-1.44045E+1,3.82152E+0
-3.06100E-1,-1.45021E-3,-1.45021E+1,4.43910E+0
-3.46950E-1,-1.45319E-3,-1.45319E+1,5.04185E+0
-3.87750E-1,-1.47998E-3,-1.47998E+1,5.73863E+0
-4.28550E-1,-1.57513E-3,-1.57513E+1,6.75021E+0
-4.69400E-1,-2.83970E-3,-2.83970E+1,1.33295E+1
-5.10200E-1,-2.99962E-3,-2.99962E+1,1.53041E+1
-5.51000E-1,-2.49171E-3,-2.49171E+1,1.37293E+1
-5.91850E-1,-2.43087E-3,-2.43087E+1,1.43871E+1
-6.32650E-1,-2.51238E-3,-2.51238E+1,1.58946E+1
-6.73450E-1,-2.56683E-3,-2.56683E+1,1.72863E+1
-7.14300E-1,-2.54419E-3,-2.54419E+1,1.81732E+1
-7.55100E-1,-2.51150E-3,-2.51150E+1,1.89643E+1
-7.95900E-1,-2.63985E-3,-2.63985E+1,2.10105E+1
-8.36750E-1,-2.59179E-3,-2.59179E+1,2.16868E+1
-8.77550E-1,-2.63353E-3,-2.63353E+1,2.31105E+1
-9.18350E-1,-2.61064E-3,-2.61064E+1,2.39748E+1
-9.59200E-1,-2.55358E-3,-2.55358E+1,2.44940E+1
-1.00000E+0,-2.53162E-3,-2.53162E+1,2.53162E+1
