Tested at The Flinders University of South Australia

Cell Name:,CP55E_4
Notes:,
Cell Area (cm2):,0.100000
Temperature (C):,25.000000
Ideality [LnJ vs. V]: ,3.230
Jsat [Ln J vs. V] (A/m2): ,1.599E-3
Jsat [Ln J vs. V] (mA/cm2): ,1.599E-4
Schottky? : ,No
SBH [Ln J vs. V] (eV): ,0.000
R-Squared [Ln J vs. V]: ,0.991



Voltage (V), Current (A), Current Density (mA/cm2), Power Density (mW/cm2)
2.00000E+0,7.67785E-2,7.67785E+2,1.53557E+3
1.91835E+0,7.02844E-2,7.02844E+2,1.34830E+3
1.83675E+0,6.36557E-2,6.36557E+2,1.16920E+3
1.75510E+0,5.71277E-2,5.71277E+2,1.00265E+3
1.67345E+0,5.05651E-2,5.05651E+2,8.46181E+2
1.59185E+0,4.40478E-2,4.40478E+2,7.01175E+2
1.51020E+0,3.75870E-2,3.75870E+2,5.67639E+2
1.42855E+0,3.12718E-2,3.12718E+2,4.46733E+2
1.34695E+0,2.50948E-2,2.50948E+2,3.38015E+2
1.26530E+0,1.91166E-2,1.91166E+2,2.41882E+2
1.18365E+0,1.34534E-2,1.34534E+2,1.59241E+2
1.10205E+0,8.29992E-3,8.29992E+1,9.14693E+1
1.02040E+0,4.04073E-3,4.04073E+1,4.12316E+1
9.38800E-1,1.37082E-3,1.37082E+1,1.28692E+1
8.57150E-1,4.48823E-4,4.48823E+0,3.84709E+0
7.75500E-1,2.97993E-4,2.97993E+0,2.31094E+0
6.93900E-1,1.99832E-3,1.99832E+1,1.38663E+1
6.12250E-1,1.35483E-3,1.35483E+1,8.29493E+0
5.30600E-1,1.00176E-3,1.00176E+1,5.31534E+0
4.49000E-1,7.54029E-4,7.54029E+0,3.38559E+0
3.67350E-1,5.69045E-4,5.69046E+0,2.09039E+0
2.85700E-1,3.99679E-4,3.99679E+0,1.14188E+0
2.04100E-1,2.28480E-4,2.28479E+0,4.66327E-1
1.22450E-1,1.08615E-4,1.08615E+0,1.32999E-1
4.08000E-2,2.66731E-5,2.66731E-1,1.08826E-2
-4.08000E-2,-1.62572E-5,-1.62572E-1,6.63293E-3
-1.22450E-1,-5.61029E-5,-5.61029E-1,6.86980E-2
-2.04100E-1,-1.64747E-4,-1.64747E+0,3.36249E-1
-2.85700E-1,-4.02167E-4,-4.02167E+0,1.14899E+0
-3.67350E-1,-7.42436E-4,-7.42435E+0,2.72734E+0
-4.49000E-1,-9.06810E-4,-9.06810E+0,4.07158E+0
-5.30600E-1,-9.75922E-4,-9.75922E+0,5.17824E+0
-6.12250E-1,-9.70706E-4,-9.70706E+0,5.94315E+0
-6.93900E-1,-9.38714E-4,-9.38714E+0,6.51373E+0
-7.75500E-1,-8.89167E-4,-8.89167E+0,6.89549E+0
-8.57150E-1,-8.26597E-4,-8.26597E+0,7.08518E+0
-9.38800E-1,-7.42912E-4,-7.42912E+0,6.97446E+0
-1.02040E+0,-7.49782E-4,-7.49782E+0,7.65077E+0
-1.10205E+0,-6.85751E-4,-6.85751E+0,7.55732E+0
-1.18365E+0,-6.58125E-4,-6.58125E+0,7.78989E+0
-1.26530E+0,-6.18860E-4,-6.18860E+0,7.83044E+0
-1.34695E+0,-7.42316E-4,-7.42316E+0,9.99863E+0
-1.42855E+0,-7.40111E-4,-7.40111E+0,1.05729E+1
-1.51020E+0,-7.44373E-4,-7.44373E+0,1.12415E+1
-1.59185E+0,-7.91311E-4,-7.91311E+0,1.25965E+1
-1.67345E+0,-7.93472E-4,-7.93472E+0,1.32784E+1
-1.75510E+0,-8.63209E-4,-8.63209E+0,1.51502E+1
-1.83675E+0,-8.67516E-4,-8.67516E+0,1.59341E+1
-1.91835E+0,-8.89569E-4,-8.89569E+0,1.70651E+1
-2.00000E+0,-8.83460E-4,-8.83460E+0,1.76692E+1
