Tested at The Flinders University of South Australia

Cell Name:,CP55F_1
Notes:,
Cell Area (cm2):,0.100000
Temperature (C):,25.000000

Light Power (mW/cm2): ,100
Jsc (mA/cm2): ,18.236
Voc (V): ,0.917
FF: ,0.64
Eff (%): ,10.64
Rshunt (Ohms): ,5.29E+3
Rseries (Ohms): ,6.59E+1



Voltage (V), Current (A), Current Density (mA/cm2), Power Density (mW/cm2)
1.00000E+0,2.11333E-3,2.11333E+1,2.11333E+1
9.59200E-1,9.26971E-4,9.26971E+0,8.89151E+0
9.18350E-1,2.62409E-5,2.62409E-1,2.40984E-1
8.77550E-1,-5.92679E-4,-5.92679E+0,-5.20105E+0
8.36750E-1,-9.80303E-4,-9.80303E+0,-8.20268E+0
7.95900E-1,-1.22659E-3,-1.22659E+1,-9.76242E+0
7.55100E-1,-1.37538E-3,-1.37538E+1,-1.03855E+1
7.14300E-1,-1.48965E-3,-1.48965E+1,-1.06406E+1
6.73450E-1,-1.55641E-3,-1.55641E+1,-1.04816E+1
6.32650E-1,-1.61274E-3,-1.61274E+1,-1.02030E+1
5.91850E-1,-1.65404E-3,-1.65404E+1,-9.78946E+0
5.51000E-1,-1.67249E-3,-1.67249E+1,-9.21543E+0
5.10200E-1,-1.71500E-3,-1.71500E+1,-8.74995E+0
4.69400E-1,-1.70849E-3,-1.70849E+1,-8.01967E+0
4.28550E-1,-1.74636E-3,-1.74636E+1,-7.48401E+0
3.87750E-1,-1.74822E-3,-1.74822E+1,-6.77872E+0
3.46950E-1,-1.77166E-3,-1.77166E+1,-6.14677E+0
3.06100E-1,-1.77771E-3,-1.77771E+1,-5.44157E+0
2.65300E-1,-1.78833E-3,-1.78833E+1,-4.74445E+0
2.24500E-1,-1.79735E-3,-1.79735E+1,-4.03505E+0
1.83650E-1,-1.80042E-3,-1.80042E+1,-3.30647E+0
1.42850E-1,-1.80505E-3,-1.80505E+1,-2.57852E+0
1.02050E-1,-1.81562E-3,-1.81562E+1,-1.85284E+0
6.12000E-2,-1.81130E-3,-1.81130E+1,-1.10851E+0
2.04000E-2,-1.82745E-3,-1.82745E+1,-3.72800E-1
-2.04000E-2,-1.81973E-3,-1.81973E+1,3.71225E-1
-6.12000E-2,-1.84184E-3,-1.84184E+1,1.12721E+0
-1.02050E-1,-1.82742E-3,-1.82742E+1,1.86488E+0
-1.42850E-1,-1.84329E-3,-1.84329E+1,2.63314E+0
-1.83650E-1,-1.84554E-3,-1.84554E+1,3.38933E+0
-2.24500E-1,-1.85631E-3,-1.85631E+1,4.16742E+0
-2.65300E-1,-1.84458E-3,-1.84459E+1,4.89368E+0
-3.06100E-1,-1.86585E-3,-1.86585E+1,5.71136E+0
-3.46950E-1,-1.85789E-3,-1.85789E+1,6.44596E+0
-3.87750E-1,-1.86315E-3,-1.86315E+1,7.22437E+0
-4.28550E-1,-1.86691E-3,-1.86691E+1,8.00063E+0
-4.69400E-1,-1.86878E-3,-1.86878E+1,8.77207E+0
-5.10200E-1,-1.87261E-3,-1.87261E+1,9.55408E+0
-5.51000E-1,-1.87057E-3,-1.87057E+1,1.03069E+1
-5.91850E-1,-1.88667E-3,-1.88667E+1,1.11662E+1
-6.32650E-1,-1.87066E-3,-1.87066E+1,1.18347E+1
-6.73450E-1,-1.89146E-3,-1.89146E+1,1.27381E+1
-7.14300E-1,-1.87525E-3,-1.87525E+1,1.33949E+1
-7.55100E-1,-1.89216E-3,-1.89216E+1,1.42877E+1
-7.95900E-1,-1.88141E-3,-1.88141E+1,1.49741E+1
-8.36750E-1,-1.89155E-3,-1.89155E+1,1.58276E+1
-8.77550E-1,-1.89686E-3,-1.89686E+1,1.66459E+1
-9.18350E-1,-1.89358E-3,-1.89358E+1,1.73897E+1
-9.59200E-1,-1.90029E-3,-1.90028E+1,1.82275E+1
-1.00000E+0,-1.89689E-3,-1.89689E+1,1.89689E+1
