Tested at The Flinders University of South Australia

Cell Name:,CP55F_1
Notes:,
Cell Area (cm2):,0.100000
Temperature (C):,25.000000
Ideality [LnJ vs. V]: ,2.233
Jsat [Ln J vs. V] (A/m2): ,5.202E-6
Jsat [Ln J vs. V] (mA/cm2): ,5.202E-7
Schottky? : ,No
SBH [Ln J vs. V] (eV): ,0.000
R-Squared [Ln J vs. V]: ,0.999



Voltage (V), Current (A), Current Density (mA/cm2), Power Density (mW/cm2)
2.00000E+0,5.25306E-2,5.25306E+2,1.05061E+3
1.91835E+0,4.78246E-2,4.78245E+2,9.17442E+2
1.83675E+0,4.29348E-2,4.29347E+2,7.88604E+2
1.75510E+0,3.80444E-2,3.80444E+2,6.67718E+2
1.67345E+0,3.32137E-2,3.32137E+2,5.55814E+2
1.59185E+0,2.84780E-2,2.84780E+2,4.53328E+2
1.51020E+0,2.38662E-2,2.38662E+2,3.60427E+2
1.42855E+0,1.94173E-2,1.94173E+2,2.77386E+2
1.34695E+0,1.51845E-2,1.51845E+2,2.04528E+2
1.26530E+0,1.12231E-2,1.12231E+2,1.42006E+2
1.18365E+0,7.62332E-3,7.62332E+1,9.02335E+1
1.10205E+0,4.52460E-3,4.52460E+1,4.98634E+1
1.02040E+0,2.12744E-3,2.12744E+1,2.17084E+1
9.38800E-1,6.87048E-4,6.87048E+0,6.45000E+0
8.57150E-1,1.56924E-4,1.56924E+0,1.34507E+0
7.75500E-1,3.56585E-5,3.56585E-1,2.76532E-1
6.93900E-1,9.81986E-6,9.81986E-2,6.81400E-2
6.12250E-1,4.38094E-6,4.38094E-2,2.68223E-2
5.30600E-1,3.23355E-6,3.23355E-2,1.71572E-2
4.49000E-1,2.87592E-6,2.87592E-2,1.29129E-2
3.67350E-1,2.65241E-6,2.65241E-2,9.74362E-3
2.85700E-1,2.47359E-6,2.47359E-2,7.06706E-3
2.04100E-1,2.30968E-6,2.30968E-2,4.71406E-3
1.22450E-1,2.07126E-6,2.07126E-2,2.53626E-3
4.08000E-2,1.90735E-6,1.90735E-2,7.78198E-4
-4.08000E-2,1.74344E-6,1.74344E-2,-7.11322E-4
-1.22450E-1,1.56462E-6,1.56462E-2,-1.91588E-3
-2.04100E-1,1.43051E-6,1.43051E-2,-2.91967E-3
-2.85700E-1,1.44541E-6,1.44541E-2,-4.12954E-3
-3.67350E-1,1.34111E-6,1.34111E-2,-4.92655E-3
-4.49000E-1,8.64267E-7,8.64267E-3,-3.88056E-3
-5.30600E-1,5.96046E-7,5.96046E-3,-3.16262E-3
-6.12250E-1,4.32134E-7,4.32134E-3,-2.64574E-3
-6.93900E-1,2.38419E-7,2.38419E-3,-1.65439E-3
-7.75500E-1,1.49012E-8,1.49012E-4,-1.15558E-4
-8.57150E-1,-1.63913E-7,-1.63913E-3,1.40498E-3
-9.38800E-1,-3.57628E-7,-3.57628E-3,3.35741E-3
-1.02040E+0,-5.66244E-7,-5.66244E-3,5.77795E-3
-1.10205E+0,-7.30157E-7,-7.30157E-3,8.04669E-3
-1.18365E+0,-9.53674E-7,-9.53674E-3,1.12882E-2
-1.26530E+0,-1.20699E-6,-1.20699E-2,1.52721E-2
-1.34695E+0,-1.40071E-6,-1.40071E-2,1.88668E-2
-1.42855E+0,-1.59442E-6,-1.59442E-2,2.27771E-2
-1.51020E+0,-1.81794E-6,-1.81794E-2,2.74546E-2
-1.59185E+0,-2.04146E-6,-2.04146E-2,3.24970E-2
-1.67345E+0,-2.25007E-6,-2.25007E-2,3.76539E-2
-1.75510E+0,-2.44379E-6,-2.44379E-2,4.28910E-2
-1.83675E+0,-2.63751E-6,-2.63751E-2,4.84444E-2
-1.91835E+0,-2.81632E-6,-2.81632E-2,5.40269E-2
-2.00000E+0,-2.99513E-6,-2.99513E-2,5.99027E-2
