Tested at The Flinders University of South Australia

Cell Name:,CP55K_1
Notes:,
Cell Area (cm2):,0.100000
Temperature (C):,25.000000

Light Power (mW/cm2): ,100
Jsc (mA/cm2): ,14.705
Voc (V): ,0.924
FF: ,0.67
Eff (%): ,9.11
Rshunt (Ohms): ,1.29E+4
Rseries (Ohms): ,6.72E+1



Voltage (V), Current (A), Current Density (mA/cm2), Power Density (mW/cm2)
1.00000E+0,2.46428E-3,2.46428E+1,2.46428E+1
9.59200E-1,9.35316E-4,9.35316E+0,8.97155E+0
9.18350E-1,-8.01980E-5,-8.01980E-1,-7.36499E-1
8.77550E-1,-6.87778E-4,-6.87778E+0,-6.03560E+0
8.36750E-1,-9.83432E-4,-9.83432E+0,-8.22887E+0
7.95900E-1,-1.10565E-3,-1.10565E+1,-8.79988E+0
7.55100E-1,-1.20652E-3,-1.20652E+1,-9.11041E+0
7.14300E-1,-1.24615E-3,-1.24615E+1,-8.90128E+0
6.73450E-1,-1.28728E-3,-1.28728E+1,-8.66920E+0
6.32650E-1,-1.31537E-3,-1.31537E+1,-8.32169E+0
5.91850E-1,-1.33651E-3,-1.33651E+1,-7.91016E+0
5.51000E-1,-1.36779E-3,-1.36779E+1,-7.53653E+0
5.10200E-1,-1.37649E-3,-1.37649E+1,-7.02288E+0
4.69400E-1,-1.39658E-3,-1.39658E+1,-6.55556E+0
4.28550E-1,-1.39462E-3,-1.39462E+1,-5.97662E+0
3.87750E-1,-1.41941E-3,-1.41941E+1,-5.50376E+0
3.46950E-1,-1.40947E-3,-1.40947E+1,-4.89016E+0
3.06100E-1,-1.43060E-3,-1.43060E+1,-4.37907E+0
2.65300E-1,-1.44182E-3,-1.44182E+1,-3.82515E+0
2.24500E-1,-1.43307E-3,-1.43307E+1,-3.21725E+0
1.83650E-1,-1.45575E-3,-1.45575E+1,-2.67349E+0
1.42850E-1,-1.44598E-3,-1.44598E+1,-2.06558E+0
1.02050E-1,-1.46668E-3,-1.46668E+1,-1.49674E+0
6.12000E-2,-1.45894E-3,-1.45894E+1,-8.92873E-1
2.04000E-2,-1.47210E-3,-1.47210E+1,-3.00309E-1
-2.04000E-2,-1.46893E-3,-1.46893E+1,2.99661E-1
-6.12000E-2,-1.48147E-3,-1.48147E+1,9.06661E-1
-1.02050E-1,-1.48235E-3,-1.48235E+1,1.51274E+0
-1.42850E-1,-1.48430E-3,-1.48430E+1,2.12033E+0
-1.83650E-1,-1.49833E-3,-1.49833E+1,2.75168E+0
-2.24500E-1,-1.48465E-3,-1.48465E+1,3.33303E+0
-2.65300E-1,-1.51122E-3,-1.51122E+1,4.00926E+0
-3.06100E-1,-1.48709E-3,-1.48709E+1,4.55199E+0
-3.46950E-1,-1.51350E-3,-1.51350E+1,5.25107E+0
-3.87750E-1,-1.50824E-3,-1.50824E+1,5.84819E+0
-4.28550E-1,-1.51071E-3,-1.51071E+1,6.47415E+0
-4.69400E-1,-1.51201E-3,-1.51201E+1,7.09736E+0
-5.10200E-1,-1.51330E-3,-1.51330E+1,7.72087E+0
-5.51000E-1,-1.52656E-3,-1.52656E+1,8.41137E+0
-5.91850E-1,-1.51768E-3,-1.51768E+1,8.98241E+0
-6.32650E-1,-1.53148E-3,-1.53148E+1,9.68892E+0
-6.73450E-1,-1.53342E-3,-1.53342E+1,1.03268E+1
-7.14300E-1,-1.53372E-3,-1.53372E+1,1.09553E+1
-7.55100E-1,-1.53153E-3,-1.53153E+1,1.15646E+1
-7.95900E-1,-1.53071E-3,-1.53071E+1,1.21829E+1
-8.36750E-1,-1.54048E-3,-1.54048E+1,1.28900E+1
-8.77550E-1,-1.54446E-3,-1.54446E+1,1.35534E+1
-9.18350E-1,-1.54391E-3,-1.54391E+1,1.41785E+1
-9.59200E-1,-1.54544E-3,-1.54544E+1,1.48239E+1
-1.00000E+0,-1.54898E-3,-1.54898E+1,1.54898E+1
