Tested at The Flinders University of South Australia

Cell Name:,CP55K_1
Notes:,
Cell Area (cm2):,0.100000
Temperature (C):,25.000000
Ideality [LnJ vs. V]: ,1.981
Jsat [Ln J vs. V] (A/m2): ,7.045E-7
Jsat [Ln J vs. V] (mA/cm2): ,7.045E-8
Schottky? : ,No
SBH [Ln J vs. V] (eV): ,0.000
R-Squared [Ln J vs. V]: ,0.996



Voltage (V), Current (A), Current Density (mA/cm2), Power Density (mW/cm2)
2.00000E+0,7.97959E-2,7.97959E+2,1.59592E+3
1.91835E+0,7.28444E-2,7.28444E+2,1.39741E+3
1.83675E+0,6.57284E-2,6.57284E+2,1.20727E+3
1.75510E+0,5.86721E-2,5.86721E+2,1.02975E+3
1.67345E+0,5.16570E-2,5.16570E+2,8.64453E+2
1.59185E+0,4.47068E-2,4.47068E+2,7.11666E+2
1.51020E+0,3.78556E-2,3.78556E+2,5.71695E+2
1.42855E+0,3.11554E-2,3.11554E+2,4.45070E+2
1.34695E+0,2.46580E-2,2.46580E+2,3.32131E+2
1.26530E+0,1.84402E-2,1.84402E+2,2.33324E+2
1.18365E+0,1.26305E-2,1.26305E+2,1.49501E+2
1.10205E+0,7.45489E-3,7.45489E+1,8.21566E+1
1.02040E+0,3.30213E-3,3.30213E+1,3.36949E+1
9.38800E-1,8.43495E-4,8.43495E+0,7.91873E+0
8.57150E-1,1.27435E-4,1.27435E+0,1.09231E+0
7.75500E-1,2.96384E-5,2.96384E-1,2.29846E-1
6.93900E-1,1.13100E-5,1.13100E-1,7.84800E-2
6.12250E-1,8.28505E-6,8.28505E-2,5.07252E-2
5.30600E-1,6.88434E-6,6.88434E-2,3.65283E-2
4.49000E-1,6.07967E-6,6.07967E-2,2.72977E-2
3.67350E-1,5.30481E-6,5.30481E-2,1.94872E-2
2.85700E-1,4.48525E-6,4.48525E-2,1.28144E-2
2.04100E-1,3.71039E-6,3.71039E-2,7.57290E-3
1.22450E-1,2.93553E-6,2.93553E-2,3.59456E-3
4.08000E-2,2.26498E-6,2.26498E-2,9.24111E-4
-4.08000E-2,1.66893E-6,1.66893E-2,-6.80923E-4
-1.22450E-1,1.10269E-6,1.10269E-2,-1.35024E-3
-2.04100E-1,5.06639E-7,5.06639E-3,-1.03405E-3
-2.85700E-1,-1.04308E-7,-1.04308E-3,2.98008E-4
-3.67350E-1,-4.61936E-7,-4.61936E-3,1.69692E-3
-4.49000E-1,-9.98378E-7,-9.98378E-3,4.48272E-3
-5.30600E-1,-1.54972E-6,-1.54972E-2,8.22282E-3
-6.12250E-1,-2.16067E-6,-2.16067E-2,1.32287E-2
-6.93900E-1,-2.77162E-6,-2.77162E-2,1.92322E-2
-7.75500E-1,-3.51667E-6,-3.51667E-2,2.72718E-2
-8.57150E-1,-4.21703E-6,-4.21703E-2,3.61463E-2
-9.38800E-1,-4.87268E-6,-4.87268E-2,4.57447E-2
-1.02040E+0,-5.64754E-6,-5.64754E-2,5.76275E-2
-1.10205E+0,-6.49691E-6,-6.49691E-2,7.15992E-2
-1.18365E+0,-7.42078E-6,-7.42078E-2,8.78360E-2
-1.26530E+0,-8.27014E-6,-8.27014E-2,1.04642E-1
-1.34695E+0,-9.43244E-6,-9.43244E-2,1.27050E-1
-1.42855E+0,-1.06096E-5,-1.06096E-1,1.51564E-1
-1.51020E+0,-1.17421E-5,-1.17421E-1,1.77329E-1
-1.59185E+0,-1.29789E-5,-1.29789E-1,2.06605E-1
-1.67345E+0,-1.41263E-5,-1.41263E-1,2.36397E-1
-1.75510E+0,-1.52439E-5,-1.52439E-1,2.67546E-1
-1.83675E+0,-1.66893E-5,-1.66893E-1,3.06541E-1
-1.91835E+0,-1.82241E-5,-1.82241E-1,3.49602E-1
-2.00000E+0,-2.00421E-5,-2.00421E-1,4.00841E-1
