Tested at The Flinders University of South Australia

Cell Name:,CP55L_4
Notes:,
Cell Area (cm2):,0.100000
Temperature (C):,25.000000

Light Power (mW/cm2): ,100
Jsc (mA/cm2): ,14.186
Voc (V): ,0.912
FF: ,0.66
Eff (%): ,8.53
Rshunt (Ohms): ,1.78E+3
Rseries (Ohms): ,6.38E+1



Voltage (V), Current (A), Current Density (mA/cm2), Power Density (mW/cm2)
1.00000E+0,2.62468E-3,2.62468E+1,2.62468E+1
9.59200E-1,1.15518E-3,1.15518E+1,1.10805E+1
9.18350E-1,9.72152E-5,9.72152E-1,8.92776E-1
8.77550E-1,-5.41896E-4,-5.41896E+0,-4.75540E+0
8.36750E-1,-8.75756E-4,-8.75756E+0,-7.32789E+0
7.95900E-1,-1.04757E-3,-1.04757E+1,-8.33759E+0
7.55100E-1,-1.13027E-3,-1.13027E+1,-8.53465E+0
7.14300E-1,-1.19326E-3,-1.19326E+1,-8.52342E+0
6.73450E-1,-1.22050E-3,-1.22049E+1,-8.21942E+0
6.32650E-1,-1.25545E-3,-1.25545E+1,-7.94262E+0
5.91850E-1,-1.27746E-3,-1.27746E+1,-7.56066E+0
5.51000E-1,-1.29966E-3,-1.29966E+1,-7.16115E+0
5.10200E-1,-1.31969E-3,-1.31969E+1,-6.73307E+0
4.69400E-1,-1.32614E-3,-1.32614E+1,-6.22492E+0
4.28550E-1,-1.34331E-3,-1.34331E+1,-5.75676E+0
3.87750E-1,-1.35162E-3,-1.35162E+1,-5.24093E+0
3.46950E-1,-1.36769E-3,-1.36769E+1,-4.74519E+0
3.06100E-1,-1.36395E-3,-1.36395E+1,-4.17504E+0
2.65300E-1,-1.38487E-3,-1.38487E+1,-3.67406E+0
2.24500E-1,-1.38517E-3,-1.38517E+1,-3.10970E+0
1.83650E-1,-1.38572E-3,-1.38572E+1,-2.54487E+0
1.42850E-1,-1.40536E-3,-1.40536E+1,-2.00755E+0
1.02050E-1,-1.39050E-3,-1.39050E+1,-1.41901E+0
6.12000E-2,-1.41960E-3,-1.41960E+1,-8.68798E-1
2.04000E-2,-1.40713E-3,-1.40713E+1,-2.87055E-1
-2.04000E-2,-1.43009E-3,-1.43009E+1,2.91739E-1
-6.12000E-2,-1.42835E-3,-1.42835E+1,8.74151E-1
-1.02050E-1,-1.43431E-3,-1.43431E+1,1.46371E+0
-1.42850E-1,-1.44367E-3,-1.44367E+1,2.06228E+0
-1.83650E-1,-1.44076E-3,-1.44076E+1,2.64596E+0
-2.24500E-1,-1.45684E-3,-1.45684E+1,3.27061E+0
-2.65300E-1,-1.44917E-3,-1.44917E+1,3.84464E+0
-3.06100E-1,-1.46250E-3,-1.46250E+1,4.47672E+0
-3.46950E-1,-1.46159E-3,-1.46159E+1,5.07100E+0
-3.87750E-1,-1.46049E-3,-1.46049E+1,5.66306E+0
-4.28550E-1,-1.46773E-3,-1.46773E+1,6.28998E+0
-4.69400E-1,-1.47162E-3,-1.47162E+1,6.90780E+0
-5.10200E-1,-1.47921E-3,-1.47921E+1,7.54692E+0
-5.51000E-1,-1.48332E-3,-1.48332E+1,8.17310E+0
-5.91850E-1,-1.48703E-3,-1.48703E+1,8.80100E+0
-6.32650E-1,-1.48699E-3,-1.48699E+1,9.40742E+0
-6.73450E-1,-1.49420E-3,-1.49420E+1,1.00627E+1
-7.14300E-1,-1.49673E-3,-1.49673E+1,1.06912E+1
-7.55100E-1,-1.50289E-3,-1.50289E+1,1.13483E+1
-7.95900E-1,-1.73157E-3,-1.73157E+1,1.37816E+1
-8.36750E-1,-1.66501E-3,-1.66501E+1,1.39320E+1
-8.77550E-1,-1.66002E-3,-1.66002E+1,1.45675E+1
-9.18350E-1,-1.64171E-3,-1.64171E+1,1.50766E+1
-9.59200E-1,-1.64588E-3,-1.64588E+1,1.57873E+1
-1.00000E+0,-1.62609E-3,-1.62609E+1,1.62609E+1
