Tested at The Flinders University of South Australia

Cell Name:,CP55L_2
Notes:,
Cell Area (cm2):,0.100000
Temperature (C):,25.000000
Ideality [LnJ vs. V]: ,2.824
Jsat [Ln J vs. V] (A/m2): ,2.604E-4
Jsat [Ln J vs. V] (mA/cm2): ,2.604E-5
Schottky? : ,No
SBH [Ln J vs. V] (eV): ,0.000
R-Squared [Ln J vs. V]: ,0.980



Voltage (V), Current (A), Current Density (mA/cm2), Power Density (mW/cm2)
2.00000E+0,8.05230E-2,8.05230E+2,1.61046E+3
1.91835E+0,7.37125E-2,7.37125E+2,1.41406E+3
1.83675E+0,6.67698E-2,6.67697E+2,1.22639E+3
1.75510E+0,5.97887E-2,5.97887E+2,1.04935E+3
1.67345E+0,5.28548E-2,5.28548E+2,8.84498E+2
1.59185E+0,4.59778E-2,4.59778E+2,7.31897E+2
1.51020E+0,3.91872E-2,3.91872E+2,5.91805E+2
1.42855E+0,3.25465E-2,3.25465E+2,4.64943E+2
1.34695E+0,2.60939E-2,2.60939E+2,3.51472E+2
1.26530E+0,1.97929E-2,1.97929E+2,2.50440E+2
1.18365E+0,1.38582E-2,1.38582E+2,1.64033E+2
1.10205E+0,8.49138E-3,8.49137E+1,9.35792E+1
1.02040E+0,4.01299E-3,4.01299E+1,4.09485E+1
9.38800E-1,1.27295E-3,1.27295E+1,1.19504E+1
8.57150E-1,2.93314E-4,2.93314E+0,2.51415E+0
7.75500E-1,1.68636E-4,1.68636E+0,1.30778E+0
6.93900E-1,1.30162E-4,1.30162E+0,9.03191E-1
6.12250E-1,1.03071E-4,1.03071E+0,6.31054E-1
5.30600E-1,8.74698E-5,8.74698E-1,4.64115E-1
4.49000E-1,6.80834E-5,6.80834E-1,3.05695E-1
3.67350E-1,5.07683E-5,5.07683E-1,1.86497E-1
2.85700E-1,3.78043E-5,3.78043E-1,1.08007E-1
2.04100E-1,4.23193E-6,4.23193E-2,8.63737E-3
1.22450E-1,3.29316E-6,3.29316E-2,4.03247E-3
4.08000E-2,2.44379E-6,2.44379E-2,9.97066E-4
-4.08000E-2,1.62423E-6,1.62423E-2,-6.62685E-4
-1.22450E-1,7.74860E-7,7.74860E-3,-9.48817E-4
-2.04100E-1,-2.98023E-8,-2.98023E-4,6.08265E-5
-2.85700E-1,-7.45058E-7,-7.45058E-3,2.12863E-3
-3.67350E-1,-1.09956E-4,-1.09956E+0,4.03922E-1
-4.49000E-1,-3.12030E-5,-3.12030E-1,1.40102E-1
-5.30600E-1,-3.32296E-6,-3.32296E-2,1.76316E-2
-6.12250E-1,-4.42565E-6,-4.42565E-2,2.70960E-2
-6.93900E-1,-5.37932E-6,-5.37932E-2,3.73271E-2
-7.75500E-1,-6.37770E-6,-6.37770E-2,4.94590E-2
-8.57150E-1,-7.48038E-6,-7.48038E-2,6.41181E-2
-9.38800E-1,-8.32975E-6,-8.32975E-2,7.81997E-2
-1.02040E+0,-9.22382E-6,-9.22382E-2,9.41198E-2
-1.10205E+0,-1.01477E-5,-1.01477E-1,1.11833E-1
-1.18365E+0,-1.13696E-5,-1.13696E-1,1.34576E-1
-1.26530E+0,-1.21445E-5,-1.21444E-1,1.53664E-1
-1.34695E+0,-1.35153E-5,-1.35153E-1,1.82045E-1
-1.42855E+0,-1.47223E-5,-1.47223E-1,2.10316E-1
-1.51020E+0,-1.56611E-5,-1.56611E-1,2.36514E-1
-1.59185E+0,-1.68532E-5,-1.68532E-1,2.68278E-1
-1.67345E+0,-1.85668E-5,-1.85668E-1,3.10707E-1
-1.75510E+0,-2.03699E-5,-2.03699E-1,3.57512E-1
-1.83675E+0,-2.71350E-5,-2.71350E-1,4.98402E-1
-1.91835E+0,-3.27527E-5,-3.27527E-1,6.28312E-1
-2.00000E+0,-3.34531E-5,-3.34531E-1,6.69062E-1
