Tested at The Flinders University of South Australia

Cell Name:,CP55P_2
Notes:,
Cell Area (cm2):,0.100000
Temperature (C):,25.000000

Light Power (mW/cm2): ,100
Jsc (mA/cm2): ,17.531
Voc (V): ,0.880
FF: ,0.51
Eff (%): ,7.84
Rshunt (Ohms): ,1.87E+3
Rseries (Ohms): ,9.43E+1



Voltage (V), Current (A), Current Density (mA/cm2), Power Density (mW/cm2)
1.00000E+0,2.92178E-3,2.92178E+1,2.92178E+1
9.59200E-1,1.63430E-3,1.63430E+1,1.56762E+1
9.18350E-1,6.61910E-4,6.61910E+0,6.07865E+0
8.77550E-1,-2.07275E-5,-2.07275E-1,-1.81894E-1
8.36750E-1,-4.53457E-4,-4.53457E+0,-3.79430E+0
7.95900E-1,-7.26700E-4,-7.26700E+0,-5.78380E+0
7.55100E-1,-9.09790E-4,-9.09790E+0,-6.86983E+0
7.14300E-1,-1.04657E-3,-1.04657E+1,-7.47564E+0
6.73450E-1,-1.15590E-3,-1.15590E+1,-7.78440E+0
6.32650E-1,-1.23990E-3,-1.23990E+1,-7.84420E+0
5.91850E-1,-1.30300E-3,-1.30300E+1,-7.71182E+0
5.51000E-1,-1.36211E-3,-1.36211E+1,-7.50525E+0
5.10200E-1,-1.41554E-3,-1.41554E+1,-7.22206E+0
4.69400E-1,-1.45528E-3,-1.45528E+1,-6.83107E+0
4.28550E-1,-1.47842E-3,-1.47842E+1,-6.33576E+0
3.87750E-1,-1.52282E-3,-1.52282E+1,-5.90475E+0
3.46950E-1,-1.55789E-3,-1.55789E+1,-5.40509E+0
3.06100E-1,-1.58621E-3,-1.58621E+1,-4.85540E+0
2.65300E-1,-1.60794E-3,-1.60794E+1,-4.26586E+0
2.24500E-1,-1.63911E-3,-1.63911E+1,-3.67981E+0
1.83650E-1,-1.66087E-3,-1.66087E+1,-3.05019E+0
1.42850E-1,-1.68417E-3,-1.68417E+1,-2.40584E+0
1.02050E-1,-1.70024E-3,-1.70024E+1,-1.73509E+0
6.12000E-2,-1.72296E-3,-1.72296E+1,-1.05445E+0
2.04000E-2,-1.74212E-3,-1.74213E+1,-3.55394E-1
-2.04000E-2,-1.76399E-3,-1.76398E+1,3.59853E-1
-6.12000E-2,-1.78118E-3,-1.78118E+1,1.09008E+0
-1.02050E-1,-1.79514E-3,-1.79514E+1,1.83194E+0
-1.42850E-1,-1.82071E-3,-1.82071E+1,2.60089E+0
-1.83650E-1,-1.83570E-3,-1.83570E+1,3.37127E+0
-2.24500E-1,-1.84724E-3,-1.84724E+1,4.14705E+0
-2.65300E-1,-1.87622E-3,-1.87622E+1,4.97761E+0
-3.06100E-1,-1.88807E-3,-1.88807E+1,5.77937E+0
-3.46950E-1,-1.90648E-3,-1.90648E+1,6.61455E+0
-3.87750E-1,-1.91537E-3,-1.91536E+1,7.42683E+0
-4.28550E-1,-1.93669E-3,-1.93669E+1,8.29968E+0
-4.69400E-1,-1.95731E-3,-1.95731E+1,9.18762E+0
-5.10200E-1,-1.95342E-3,-1.95342E+1,9.96636E+0
-5.51000E-1,-1.98464E-3,-1.98464E+1,1.09354E+1
-5.91850E-1,-1.99033E-3,-1.99033E+1,1.17798E+1
-6.32650E-1,-2.01878E-3,-2.01878E+1,1.27718E+1
-6.73450E-1,-2.02118E-3,-2.02118E+1,1.36116E+1
-7.14300E-1,-2.03502E-3,-2.03502E+1,1.45362E+1
-7.55100E-1,-2.04544E-3,-2.04544E+1,1.54451E+1
-7.95900E-1,-2.07615E-3,-2.07615E+1,1.65241E+1
-8.36750E-1,-2.08961E-3,-2.08960E+1,1.74848E+1
-8.77550E-1,-2.08414E-3,-2.08414E+1,1.82893E+1
-9.18350E-1,-2.10102E-3,-2.10102E+1,1.92947E+1
-9.59200E-1,-2.09211E-3,-2.09211E+1,2.00675E+1
-1.00000E+0,-2.10845E-3,-2.10845E+1,2.10845E+1
