Tested at The Flinders University of South Australia

Cell Name:,CP55P_1
Notes:,
Cell Area (cm2):,0.100000
Temperature (C):,25.000000
Ideality [LnJ vs. V]: ,2.321
Jsat [Ln J vs. V] (A/m2): ,1.009E-5
Jsat [Ln J vs. V] (mA/cm2): ,1.009E-6
Schottky? : ,No
SBH [Ln J vs. V] (eV): ,0.000
R-Squared [Ln J vs. V]: ,0.998



Voltage (V), Current (A), Current Density (mA/cm2), Power Density (mW/cm2)
2.00000E+0,6.23662E-2,6.23662E+2,1.24733E+3
1.91835E+0,5.68244E-2,5.68244E+2,1.09009E+3
1.83675E+0,5.10370E-2,5.10370E+2,9.37422E+2
1.75510E+0,4.52749E-2,4.52749E+2,7.94620E+2
1.67345E+0,3.95755E-2,3.95755E+2,6.62276E+2
1.59185E+0,3.39834E-2,3.39834E+2,5.40964E+2
1.51020E+0,2.85276E-2,2.85276E+2,4.30824E+2
1.42855E+0,2.32544E-2,2.32544E+2,3.32201E+2
1.34695E+0,1.82224E-2,1.82224E+2,2.45447E+2
1.26530E+0,1.34950E-2,1.34950E+2,1.70752E+2
1.18365E+0,9.17699E-3,9.17699E+1,1.08623E+2
1.10205E+0,5.43439E-3,5.43439E+1,5.98897E+1
1.02040E+0,2.51797E-3,2.51797E+1,2.56933E+1
9.38800E-1,7.75814E-4,7.75814E+0,7.28334E+0
8.57150E-1,1.71348E-4,1.71348E+0,1.46871E+0
7.75500E-1,4.35263E-5,4.35263E-1,3.37546E-1
6.93900E-1,1.51396E-5,1.51396E-1,1.05054E-1
6.12250E-1,8.12113E-6,8.12113E-2,4.97216E-2
5.30600E-1,6.06477E-6,6.06477E-2,3.21797E-2
4.49000E-1,5.02169E-6,5.02169E-2,2.25474E-2
3.67350E-1,4.39584E-6,4.39584E-2,1.61481E-2
2.85700E-1,3.82960E-6,3.82960E-2,1.09412E-2
2.04100E-1,3.29316E-6,3.29316E-2,6.72133E-3
1.22450E-1,2.77162E-6,2.77162E-2,3.39384E-3
4.08000E-2,2.27988E-6,2.27988E-2,9.30190E-4
-4.08000E-2,1.83284E-6,1.83284E-2,-7.47800E-4
-1.22450E-1,1.26660E-6,1.26660E-2,-1.55095E-3
-2.04100E-1,5.96046E-7,5.96046E-3,-1.21653E-3
-2.85700E-1,-5.96046E-8,-5.96046E-4,1.70290E-4
-3.67350E-1,-1.05798E-6,-1.05798E-2,3.88650E-3
-4.49000E-1,-2.33948E-6,-2.33948E-2,1.05043E-2
-5.30600E-1,-4.20213E-6,-4.20213E-2,2.22965E-2
-6.12250E-1,-6.02007E-6,-6.02007E-2,3.68579E-2
-6.93900E-1,-7.85291E-6,-7.85291E-2,5.44914E-2
-7.75500E-1,-9.68575E-6,-9.68576E-2,7.51130E-2
-8.57150E-1,-1.20401E-5,-1.20401E-1,1.03202E-1
-9.38800E-1,-1.36495E-5,-1.36495E-1,1.28141E-1
-1.02040E+0,-1.62125E-5,-1.62125E-1,1.65432E-1
-1.10205E+0,-1.91927E-5,-1.91927E-1,2.11513E-1
-1.18365E+0,-2.29180E-5,-2.29180E-1,2.71269E-1
-1.26530E+0,-2.62559E-5,-2.62558E-1,3.32215E-1
-1.34695E+0,-3.18289E-5,-3.18289E-1,4.28719E-1
-1.42855E+0,-3.46601E-5,-3.46601E-1,4.95137E-1
-1.51020E+0,-3.98010E-5,-3.98010E-1,6.01075E-1
-1.59185E+0,-7.34776E-5,-7.34776E-1,1.16965E+0
-1.67345E+0,-1.05843E-4,-1.05843E+0,1.77123E+0
-1.75510E+0,-9.02712E-5,-9.02712E-1,1.58435E+0
-1.83675E+0,-3.60608E-6,-3.60608E-2,6.62347E-2
-1.91835E+0,-3.65078E-6,-3.65078E-2,7.00348E-2
-2.00000E+0,-4.09782E-6,-4.09782E-2,8.19564E-2
