Tested at The Flinders University of South Australia

Cell Name:,CP55M_6
Notes:,
Cell Area (cm2):,0.100000
Temperature (C):,25.000000

Light Power (mW/cm2): ,100
Jsc (mA/cm2): ,16.951
Voc (V): ,0.909
FF: ,0.58
Eff (%): ,8.87
Rshunt (Ohms): ,1.65E+3
Rseries (Ohms): ,8.95E+1



Voltage (V), Current (A), Current Density (mA/cm2), Power Density (mW/cm2)
1.00000E+0,1.56997E-3,1.56997E+1,1.56997E+1
9.59200E-1,7.71850E-4,7.71850E+0,7.40359E+0
9.18350E-1,1.08346E-4,1.08346E+0,9.94998E-1
8.77550E-1,-3.47614E-4,-3.47614E+0,-3.05049E+0
8.36750E-1,-6.23986E-4,-6.23986E+0,-5.22120E+0
7.95900E-1,-8.36998E-4,-8.36998E+0,-6.66167E+0
7.55100E-1,-1.09948E-3,-1.09948E+1,-8.30219E+0
7.14300E-1,-1.21401E-3,-1.21401E+1,-8.67169E+0
6.73450E-1,-1.31646E-3,-1.31646E+1,-8.86569E+0
6.32650E-1,-1.37804E-3,-1.37804E+1,-8.71820E+0
5.91850E-1,-1.41761E-3,-1.41761E+1,-8.39011E+0
5.51000E-1,-1.31749E-3,-1.31749E+1,-7.25935E+0
5.10200E-1,-1.36295E-3,-1.36295E+1,-6.95377E+0
4.69400E-1,-1.42244E-3,-1.42243E+1,-6.67691E+0
4.28550E-1,-1.44160E-3,-1.44160E+1,-6.17797E+0
3.87750E-1,-1.50485E-3,-1.50485E+1,-5.83507E+0
3.46950E-1,-1.51430E-3,-1.51430E+1,-5.25387E+0
3.06100E-1,-1.55078E-3,-1.55078E+1,-4.74693E+0
2.65300E-1,-1.56771E-3,-1.56771E+1,-4.15912E+0
2.24500E-1,-1.59539E-3,-1.59539E+1,-3.58166E+0
1.83650E-1,-1.61950E-3,-1.61950E+1,-2.97422E+0
1.42850E-1,-1.63260E-3,-1.63260E+1,-2.33217E+0
1.02050E-1,-1.65717E-3,-1.65717E+1,-1.69115E+0
6.12000E-2,-1.67468E-3,-1.67468E+1,-1.02491E+0
2.04000E-2,-1.68277E-3,-1.68277E+1,-3.43286E-1
-2.04000E-2,-1.70746E-3,-1.70746E+1,3.48323E-1
-6.12000E-2,-1.71122E-3,-1.71122E+1,1.04727E+0
-1.02050E-1,-1.73488E-3,-1.73488E+1,1.77045E+0
-1.42850E-1,-1.73658E-3,-1.73658E+1,2.48071E+0
-1.83650E-1,-1.75682E-3,-1.75682E+1,3.22639E+0
-2.24500E-1,-1.76065E-3,-1.76065E+1,3.95265E+0
-2.65300E-1,-1.77516E-3,-1.77516E+1,4.70950E+0
-3.06100E-1,-1.78423E-3,-1.78423E+1,5.46154E+0
-3.46950E-1,-1.79111E-3,-1.79111E+1,6.21424E+0
-3.87750E-1,-1.80413E-3,-1.80413E+1,6.99551E+0
-4.28550E-1,-1.79996E-3,-1.79996E+1,7.71371E+0
-4.69400E-1,-1.81255E-3,-1.81255E+1,8.50810E+0
-5.10200E-1,-1.80531E-3,-1.80531E+1,9.21067E+0
-5.51000E-1,-1.84219E-3,-1.84219E+1,1.01504E+1
-5.91850E-1,-1.85861E-3,-1.85861E+1,1.10002E+1
-6.32650E-1,-2.01584E-3,-2.01584E+1,1.27532E+1
-6.73450E-1,-1.89920E-3,-1.89920E+1,1.27901E+1
-7.14300E-1,-2.02115E-3,-2.02115E+1,1.44371E+1
-7.55100E-1,-1.79148E-3,-1.79148E+1,1.35274E+1
-7.95900E-1,-1.77892E-3,-1.77892E+1,1.41584E+1
-8.36750E-1,-1.79708E-3,-1.79708E+1,1.50371E+1
-8.77550E-1,-1.78222E-3,-1.78222E+1,1.56399E+1
-9.18350E-1,-1.77857E-3,-1.77857E+1,1.63335E+1
-9.59200E-1,-1.79000E-3,-1.79000E+1,1.71697E+1
-1.00000E+0,-1.80328E-3,-1.80328E+1,1.80328E+1
