Tested at The Flinders University of South Australia

Cell Name:,CP55M_1
Notes:,
Cell Area (cm2):,0.100000
Temperature (C):,25.000000
Ideality [LnJ vs. V]: ,2.297
Jsat [Ln J vs. V] (A/m2): ,1.932E-2
Jsat [Ln J vs. V] (mA/cm2): ,1.932E-3
Schottky? : ,No
SBH [Ln J vs. V] (eV): ,0.000
R-Squared [Ln J vs. V]: ,0.859



Voltage (V), Current (A), Current Density (mA/cm2), Power Density (mW/cm2)
2.00000E+0,4.93600E-2,4.93600E+2,9.87200E+2
1.91835E+0,4.47131E-2,4.47131E+2,8.57754E+2
1.83675E+0,3.99742E-2,3.99742E+2,7.34226E+2
1.75510E+0,3.53028E-2,3.53028E+2,6.19600E+2
1.67345E+0,3.06174E-2,3.06174E+2,5.12367E+2
1.59185E+0,2.61286E-2,2.61286E+2,4.15929E+2
1.51020E+0,2.17572E-2,2.17572E+2,3.28577E+2
1.42855E+0,1.75753E-2,1.75753E+2,2.51072E+2
1.34695E+0,1.36394E-2,1.36394E+2,1.83716E+2
1.26530E+0,9.98934E-3,9.98934E+1,1.26395E+2
1.18365E+0,6.72340E-3,6.72340E+1,7.95815E+1
1.10205E+0,3.98135E-3,3.98135E+1,4.38765E+1
1.02040E+0,1.78948E-3,1.78948E+1,1.82599E+1
9.38800E-1,5.62325E-4,5.62325E+0,5.27911E+0
8.57150E-1,1.38029E-4,1.38029E+0,1.18312E+0
7.75500E-1,2.04891E-4,2.04891E+0,1.58893E+0
6.93900E-1,4.42311E-4,4.42311E+0,3.06920E+0
6.12250E-1,3.13819E-4,3.13819E+0,1.92135E+0
5.30600E-1,1.76609E-4,1.76609E+0,9.37085E-1
4.49000E-1,1.43662E-4,1.43662E+0,6.45043E-1
3.67350E-1,8.21054E-5,8.21054E-1,3.01614E-1
2.85700E-1,5.03808E-5,5.03808E-1,1.43938E-1
2.04100E-1,2.41399E-6,2.41399E-2,4.92695E-3
1.22450E-1,2.25007E-6,2.25007E-2,2.75522E-3
4.08000E-2,2.11596E-6,2.11596E-2,8.63314E-4
-4.08000E-2,1.96695E-6,1.96695E-2,-8.02517E-4
-1.22450E-1,1.78814E-6,1.78814E-2,-2.18958E-3
-2.04100E-1,1.60933E-6,1.60932E-2,-3.28463E-3
-2.85700E-1,1.49012E-6,1.49012E-2,-4.25726E-3
-3.67350E-1,-7.39098E-5,-7.39098E-1,2.71508E-1
-4.49000E-1,-1.57356E-4,-1.57356E+0,7.06530E-1
-5.30600E-1,-8.52346E-5,-8.52346E-1,4.52255E-1
-6.12250E-1,-9.94801E-5,-9.94802E-1,6.09067E-1
-6.93900E-1,-1.24350E-4,-1.24350E+0,8.62866E-1
-7.75500E-1,-1.36480E-4,-1.36480E+0,1.05840E+0
-8.57150E-1,-2.61098E-4,-2.61098E+0,2.23800E+0
-9.38800E-1,-1.98409E-4,-1.98409E+0,1.86266E+0
-1.02040E+0,-5.93513E-5,-5.93513E-1,6.05621E-1
-1.10205E+0,-2.60443E-4,-2.60442E+0,2.87021E+0
-1.18365E+0,-4.41343E-4,-4.41343E+0,5.22395E+0
-1.26530E+0,-4.65334E-4,-4.65333E+0,5.88786E+0
-1.34695E+0,-2.99826E-4,-2.99826E+0,4.03851E+0
-1.42855E+0,-3.16829E-4,-3.16829E+0,4.52605E+0
-1.51020E+0,-3.50997E-4,-3.50997E+0,5.30076E+0
-1.59185E+0,-2.85119E-4,-2.85119E+0,4.53866E+0
-1.67345E+0,-2.83986E-4,-2.83986E+0,4.75237E+0
-1.75510E+0,-3.08707E-4,-3.08707E+0,5.41812E+0
-1.83675E+0,-2.55734E-4,-2.55734E+0,4.69719E+0
-1.91835E+0,-4.70877E-6,-4.70877E-2,9.03306E-2
-2.00000E+0,-7.69496E-5,-7.69496E-1,1.53899E+0
