Tested at The Flinders University of South Australia

Cell Name:,CP55O_2
Notes:,
Cell Area (cm2):,0.100000
Temperature (C):,25.000000

Light Power (mW/cm2): ,100
Jsc (mA/cm2): ,17.445
Voc (V): ,0.908
FF: ,0.60
Eff (%): ,9.55
Rshunt (Ohms): ,1.01E+4
Rseries (Ohms): ,6.86E+1



Voltage (V), Current (A), Current Density (mA/cm2), Power Density (mW/cm2)
1.00000E+0,2.17752E-3,2.17752E+1,2.17752E+1
9.59200E-1,1.02224E-3,1.02224E+1,9.80528E+0
9.18350E-1,1.56596E-4,1.56596E+0,1.43810E+0
8.77550E-1,-4.38541E-4,-4.38541E+0,-3.84842E+0
8.36750E-1,-8.05154E-4,-8.05154E+0,-6.73713E+0
7.95900E-1,-1.04703E-3,-1.04703E+1,-8.33331E+0
7.55100E-1,-1.21519E-3,-1.21519E+1,-9.17590E+0
7.14300E-1,-1.32324E-3,-1.32324E+1,-9.45189E+0
6.73450E-1,-1.41743E-3,-1.41743E+1,-9.54567E+0
6.32650E-1,-1.48274E-3,-1.48274E+1,-9.38055E+0
5.91850E-1,-1.53416E-3,-1.53416E+1,-9.07995E+0
5.51000E-1,-1.57793E-3,-1.57793E+1,-8.69439E+0
5.10200E-1,-1.60621E-3,-1.60621E+1,-8.19489E+0
4.69400E-1,-1.63612E-3,-1.63612E+1,-7.67994E+0
4.28550E-1,-1.66065E-3,-1.66064E+1,-7.11669E+0
3.87750E-1,-1.67136E-3,-1.67136E+1,-6.48069E+0
3.46950E-1,-1.68240E-3,-1.68240E+1,-5.83709E+0
3.06100E-1,-1.69399E-3,-1.69399E+1,-5.18532E+0
2.65300E-1,-1.71201E-3,-1.71201E+1,-4.54196E+0
2.24500E-1,-1.70726E-3,-1.70726E+1,-3.83279E+0
1.83650E-1,-1.72949E-3,-1.72949E+1,-3.17620E+0
1.42850E-1,-1.72286E-3,-1.72286E+1,-2.46110E+0
1.02050E-1,-1.73460E-3,-1.73460E+1,-1.77016E+0
6.12000E-2,-1.74449E-3,-1.74449E+1,-1.06763E+0
2.04000E-2,-1.74247E-3,-1.74247E+1,-3.55463E-1
-2.04000E-2,-1.74650E-3,-1.74650E+1,3.56287E-1
-6.12000E-2,-1.75214E-3,-1.75214E+1,1.07231E+0
-1.02050E-1,-1.76494E-3,-1.76494E+1,1.80112E+0
-1.42850E-1,-1.75229E-3,-1.75229E+1,2.50314E+0
-1.83650E-1,-1.77389E-3,-1.77389E+1,3.25776E+0
-2.24500E-1,-1.76519E-3,-1.76519E+1,3.96286E+0
-2.65300E-1,-1.77228E-3,-1.77228E+1,4.70187E+0
-3.06100E-1,-1.78316E-3,-1.78316E+1,5.45826E+0
-3.46950E-1,-1.76826E-3,-1.76826E+1,6.13498E+0
-3.87750E-1,-1.79684E-3,-1.79684E+1,6.96725E+0
-4.28550E-1,-1.77182E-3,-1.77182E+1,7.59315E+0
-4.69400E-1,-1.80504E-3,-1.80504E+1,8.47284E+0
-5.10200E-1,-1.79064E-3,-1.79064E+1,9.13586E+0
-5.51000E-1,-1.80043E-3,-1.80043E+1,9.92039E+0
-5.91850E-1,-1.80750E-3,-1.80750E+1,1.06977E+1
-6.32650E-1,-1.79711E-3,-1.79711E+1,1.13694E+1
-6.73450E-1,-1.81223E-3,-1.81223E+1,1.22045E+1
-7.14300E-1,-1.80234E-3,-1.80234E+1,1.28741E+1
-7.55100E-1,-1.81435E-3,-1.81435E+1,1.37002E+1
-7.95900E-1,-1.79759E-3,-1.79759E+1,1.43070E+1
-8.36750E-1,-1.80872E-3,-1.80872E+1,1.51344E+1
-8.77550E-1,-1.81203E-3,-1.81203E+1,1.59014E+1
-9.18350E-1,-1.80732E-3,-1.80732E+1,1.65975E+1
-9.59200E-1,-1.82609E-3,-1.82609E+1,1.75159E+1
-1.00000E+0,-1.81207E-3,-1.81207E+1,1.81207E+1
