Tested at The Flinders University of South Australia

Cell Name:,CP55E_1
Notes:,
Cell Area (cm2):,0.100000
Temperature (C):,25.000000

Light Power (mW/cm2): ,100
Jsc (mA/cm2): ,13.909
Voc (V): ,0.922
FF: ,0.62
Eff (%): ,7.89
Rshunt (Ohms): ,2.92E+3
Rseries (Ohms): ,6.94E+1



Voltage (V), Current (A), Current Density (mA/cm2), Power Density (mW/cm2)
1.00000E+0,2.85754E-3,2.85754E+1,2.85754E+1
9.59200E-1,1.06743E-3,1.06743E+1,1.02388E+1
9.18350E-1,-5.02765E-5,-5.02765E-1,-4.61714E-1
8.77550E-1,-6.37963E-4,-6.37963E+0,-5.59845E+0
8.36750E-1,-8.74534E-4,-8.74534E+0,-7.31766E+0
7.95900E-1,-9.91851E-4,-9.91851E+0,-7.89414E+0
7.55100E-1,-1.04338E-3,-1.04338E+1,-7.87855E+0
7.14300E-1,-1.10012E-3,-1.10012E+1,-7.85818E+0
6.73450E-1,-1.13228E-3,-1.13228E+1,-7.62534E+0
6.32650E-1,-1.16229E-3,-1.16229E+1,-7.35323E+0
5.91850E-1,-1.19241E-3,-1.19241E+1,-7.05725E+0
5.51000E-1,-1.21501E-3,-1.21501E+1,-6.69471E+0
5.10200E-1,-1.23890E-3,-1.23890E+1,-6.32085E+0
4.69400E-1,-1.25842E-3,-1.25842E+1,-5.90701E+0
4.28550E-1,-1.27542E-3,-1.27542E+1,-5.46581E+0
3.87750E-1,-1.28961E-3,-1.28961E+1,-5.00045E+0
3.46950E-1,-1.31741E-3,-1.31741E+1,-4.57076E+0
3.06100E-1,-1.32395E-3,-1.32395E+1,-4.05262E+0
2.65300E-1,-1.33465E-3,-1.33465E+1,-3.54083E+0
2.24500E-1,-1.34048E-3,-1.34048E+1,-3.00938E+0
1.83650E-1,-1.35659E-3,-1.35659E+1,-2.49137E+0
1.42850E-1,-1.36802E-3,-1.36802E+1,-1.95421E+0
1.02050E-1,-1.37092E-3,-1.37092E+1,-1.39903E+0
6.12000E-2,-1.38102E-3,-1.38102E+1,-8.45187E-1
2.04000E-2,-1.38392E-3,-1.38392E+1,-2.82319E-1
-2.04000E-2,-1.39791E-3,-1.39791E+1,2.85173E-1
-6.12000E-2,-1.39689E-3,-1.39689E+1,8.54899E-1
-1.02050E-1,-1.41037E-3,-1.41036E+1,1.43928E+0
-1.42850E-1,-1.41244E-3,-1.41244E+1,2.01766E+0
-1.83650E-1,-1.42319E-3,-1.42319E+1,2.61370E+0
-2.24500E-1,-1.42440E-3,-1.42440E+1,3.19778E+0
-2.65300E-1,-1.42983E-3,-1.42983E+1,3.79333E+0
-3.06100E-1,-1.44546E-3,-1.44546E+1,4.42454E+0
-3.46950E-1,-1.43266E-3,-1.43266E+1,4.97060E+0
-3.87750E-1,-1.45827E-3,-1.45827E+1,5.65445E+0
-4.28550E-1,-1.44175E-3,-1.44175E+1,6.17861E+0
-4.69400E-1,-1.46507E-3,-1.46507E+1,6.87702E+0
-5.10200E-1,-1.46609E-3,-1.46609E+1,7.48002E+0
-5.51000E-1,-1.46784E-3,-1.46784E+1,8.08779E+0
-5.91850E-1,-1.46622E-3,-1.46622E+1,8.67779E+0
-6.32650E-1,-1.47276E-3,-1.47276E+1,9.31739E+0
-6.73450E-1,-1.48068E-3,-1.48068E+1,9.97167E+0
-7.14300E-1,-1.47089E-3,-1.47089E+1,1.05066E+1
-7.55100E-1,-1.49763E-3,-1.49763E+1,1.13086E+1
-7.95900E-1,-1.48566E-3,-1.48566E+1,1.18244E+1
-8.36750E-1,-1.49746E-3,-1.49746E+1,1.25300E+1
-8.77550E-1,-1.50447E-3,-1.50447E+1,1.32024E+1
-9.18350E-1,-1.50718E-3,-1.50718E+1,1.38412E+1
-9.59200E-1,-1.52703E-3,-1.52703E+1,1.46472E+1
-1.00000E+0,-1.52619E-3,-1.52619E+1,1.52619E+1
